YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 23/10/2023 Time: 13:40:46,	
A_WL(nm),	A_I(mW)
1.545800E+3,	0.000000E+0
1.545804E+3,	422.098365E-15
1.545808E+3,	0.000000E+0
1.545812E+3,	0.000000E+0
1.545816E+3,	22.640006E-12
1.545820E+3,	2.056299E-12
1.545824E+3,	0.000000E+0
1.545828E+3,	0.000000E+0
1.545832E+3,	14.619882E-12
1.545836E+3,	20.056949E-12
1.545840E+3,	0.000000E+0
1.545844E+3,	16.882552E-12
1.545848E+3,	0.000000E+0
1.545852E+3,	0.000000E+0
1.545856E+3,	0.000000E+0
1.545860E+3,	0.000000E+0
1.545864E+3,	0.000000E+0
1.545868E+3,	7.869898E-12
1.545872E+3,	9.634401E-12
1.545876E+3,	277.591572E-15
1.545880E+3,	5.064376E-12
1.545884E+3,	6.750071E-12
1.545888E+3,	7.072938E-12
1.545892E+3,	19.881614E-12
1.545896E+3,	0.000000E+0
1.545900E+3,	0.000000E+0
1.545904E+3,	0.000000E+0
1.545908E+3,	9.560547E-12
1.545912E+3,	0.000000E+0
1.545916E+3,	0.000000E+0
1.545920E+3,	29.547002E-12
1.545924E+3,	16.104785E-12
1.545928E+3,	10.308304E-12
1.545932E+3,	0.000000E+0
1.545936E+3,	0.000000E+0
1.545940E+3,	7.052967E-12
1.545944E+3,	9.040392E-12
1.545948E+3,	15.601019E-12
1.545952E+3,	23.185343E-12
1.545956E+3,	7.522722E-12
1.545960E+3,	0.000000E+0
1.545964E+3,	1.633094E-12
1.545968E+3,	1.305636E-12
1.545972E+3,	0.000000E+0
1.545976E+3,	0.000000E+0
1.545980E+3,	3.602903E-12
1.545984E+3,	3.060755E-12
1.545988E+3,	7.560597E-12
1.545992E+3,	0.000000E+0
1.545996E+3,	0.000000E+0
1.546000E+3,	4.669131E-12
1.546004E+3,	9.620766E-12
1.546008E+3,	9.946057E-12
1.546012E+3,	9.774908E-12
1.546016E+3,	3.552304E-12
1.546020E+3,	4.217342E-12
1.546024E+3,	9.530410E-12
1.546028E+3,	0.000000E+0
1.546032E+3,	18.474818E-12
1.546036E+3,	4.586383E-12
1.546040E+3,	9.440049E-12
1.546044E+3,	13.560391E-12
1.546048E+3,	0.000000E+0
1.546052E+3,	0.000000E+0
1.546056E+3,	0.000000E+0
1.546060E+3,	8.129922E-12
1.546064E+3,	2.157669E-12
1.546068E+3,	0.000000E+0
1.546072E+3,	3.856796E-12
1.546076E+3,	6.829735E-12
1.546080E+3,	0.000000E+0
1.546084E+3,	0.000000E+0
1.546088E+3,	0.000000E+0
1.546092E+3,	0.000000E+0
1.546096E+3,	19.066779E-12
1.546100E+3,	0.000000E+0
1.546104E+3,	18.353604E-12
1.546108E+3,	0.000000E+0
1.546112E+3,	187.403737E-15
1.546116E+3,	17.152094E-12
1.546120E+3,	9.427954E-12
1.546124E+3,	1.109271E-12
1.546128E+3,	7.182746E-12
1.546132E+3,	5.192961E-12
1.546136E+3,	0.000000E+0
1.546140E+3,	1.123732E-12
1.546144E+3,	14.901124E-12
1.546148E+3,	12.352432E-12
1.546152E+3,	3.983327E-12
1.546156E+3,	0.000000E+0
1.546160E+3,	9.884607E-12
1.546164E+3,	0.000000E+0
1.546168E+3,	4.906322E-12
1.546172E+3,	3.568405E-12
1.546176E+3,	16.249916E-12
1.546180E+3,	27.636481E-12
1.546184E+3,	12.915755E-12
1.546188E+3,	41.771413E-12
1.546192E+3,	11.017358E-12
1.546196E+3,	0.000000E+0
1.546200E+3,	0.000000E+0
1.546204E+3,	13.277357E-12
1.546208E+3,	5.991123E-12
