YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 23/10/2023 Time: 13:43:44,	
A_WL(nm),	A_I(mW)
1.545800E+3,	12.942697E-12
1.545804E+3,	9.325782E-12
1.545808E+3,	0.000000E+0
1.545812E+3,	0.000000E+0
1.545816E+3,	3.960973E-12
1.545820E+3,	3.785652E-12
1.545824E+3,	13.255984E-12
1.545828E+3,	0.000000E+0
1.545832E+3,	17.111082E-12
1.545836E+3,	0.000000E+0
1.545840E+3,	0.000000E+0
1.545844E+3,	0.000000E+0
1.545848E+3,	0.000000E+0
1.545852E+3,	4.535387E-12
1.545856E+3,	0.000000E+0
1.545860E+3,	17.835257E-12
1.545864E+3,	24.347257E-12
1.545868E+3,	0.000000E+0
1.545872E+3,	0.000000E+0
1.545876E+3,	11.366942E-12
1.545880E+3,	9.289659E-12
1.545884E+3,	4.730285E-12
1.545888E+3,	17.914747E-12
1.545892E+3,	2.559124E-12
1.545896E+3,	16.030974E-12
1.545900E+3,	9.707349E-12
1.545904E+3,	0.000000E+0
1.545908E+3,	11.638671E-12
1.545912E+3,	0.000000E+0
1.545916E+3,	0.000000E+0
1.545920E+3,	0.000000E+0
1.545924E+3,	9.038852E-12
1.545928E+3,	0.000000E+0
1.545932E+3,	25.935577E-12
1.545936E+3,	14.531372E-12
1.545940E+3,	0.000000E+0
1.545944E+3,	7.412777E-12
1.545948E+3,	5.202165E-12
1.545952E+3,	0.000000E+0
1.545956E+3,	2.335810E-12
1.545960E+3,	21.528452E-12
1.545964E+3,	0.000000E+0
1.545968E+3,	25.720351E-12
1.545972E+3,	12.060543E-12
1.545976E+3,	0.000000E+0
1.545980E+3,	0.000000E+0
1.545984E+3,	0.000000E+0
1.545988E+3,	0.000000E+0
1.545992E+3,	3.328163E-12
1.545996E+3,	0.000000E+0
1.546000E+3,	0.000000E+0
1.546004E+3,	2.589351E-12
1.546008E+3,	691.826803E-15
1.546012E+3,	6.542793E-12
1.546016E+3,	0.000000E+0
1.546020E+3,	0.000000E+0
1.546024E+3,	3.601364E-12
1.546028E+3,	330.394691E-15
1.546032E+3,	3.124060E-12
1.546036E+3,	0.000000E+0
1.546040E+3,	0.000000E+0
1.546044E+3,	0.000000E+0
1.546048E+3,	0.000000E+0
1.546052E+3,	0.000000E+0
1.546056E+3,	4.364993E-12
1.546060E+3,	6.403946E-12
1.546064E+3,	0.000000E+0
1.546068E+3,	0.000000E+0
1.546072E+3,	0.000000E+0
1.546076E+3,	113.560208E-15
1.546080E+3,	3.127465E-12
1.546084E+3,	11.935149E-12
1.546088E+3,	3.891407E-12
1.546092E+3,	1.467078E-12
1.546096E+3,	0.000000E+0
1.546100E+3,	18.138766E-12
1.546104E+3,	13.091998E-12
1.546108E+3,	0.000000E+0
1.546112E+3,	0.000000E+0
1.546116E+3,	0.000000E+0
1.546120E+3,	11.415705E-12
1.546124E+3,	6.729310E-12
1.546128E+3,	0.000000E+0
1.546132E+3,	2.386775E-12
1.546136E+3,	17.019383E-12
1.546140E+3,	18.832880E-12
1.546144E+3,	0.000000E+0
1.546148E+3,	0.000000E+0
1.546152E+3,	0.000000E+0
1.546156E+3,	0.000000E+0
1.546160E+3,	7.146006E-12
1.546164E+3,	7.345580E-12
1.546168E+3,	22.026526E-12
1.546172E+3,	0.000000E+0
1.546176E+3,	866.564051E-15
1.546180E+3,	0.000000E+0
1.546184E+3,	0.000000E+0
1.546188E+3,	7.128618E-12
1.546192E+3,	0.000000E+0
1.546196E+3,	4.427257E-12
1.546200E+3,	0.000000E+0
1.546204E+3,	2.518224E-12
1.546208E+3,	0.000000E+0
1.546212E+3,	1.469585E-12
1.546216E+3,	0.000000E+0
1.546220E+3,	3.541551E-12
1.546224E+3,	20.091967E-12
1.546228E+3,	9.967178E-12
1.546232E+3,	7.002060E-12
1.546236E+3,	9.327996E-12
1.546240E+3,	0.000000E+0
1.546244E+3,	0.000000E+0
1.546248E+3,	2.084304E-12
1.546252E+3,	0.000000E+0
1.546256E+3,	2.142798E-12
1.546260E+3,	15.620503E-12
1.546264E+3,	0.000000E+0
1.546268E+3,	5.103662E-12
1.546272E+3,	0.000000E+0
1.546276E+3,	13.405459E-12
1.546280E+3,	14.232013E-12
1.546284E+3,	0.000000E+0
1.546288E+3,	2.880487E-12
1.546292E+3,	12.284243E-12
1.546296E+3,	583.800110E-15
1.546300E+3,	5.947345E-12
1.546304E+3,	23.680874E-12
1.546308E+3,	4.417640E-12
1.546312E+3,	5.032501E-12
1.546316E+3,	23.188987E-12
1.546320E+3,	13.580982E-12
1.546324E+3,	0.000000E+0
1.546328E+3,	8.974844E-12
1.546332E+3,	0.000000E+0
1.546336E+3,	0.000000E+0
1.546340E+3,	9.713103E-12
1.546344E+3,	0.000000E+0
1.546348E+3,	0.000000E+0
1.546352E+3,	0.000000E+0
1.546356E+3,	0.000000E+0
1.546360E+3,	356.152485E-15
1.546364E+3,	2.672043E-12
1.546368E+3,	0.000000E+0
1.546372E+3,	5.466519E-12
1.546376E+3,	4.562313E-12
1.546380E+3,	3.636829E-12
1.546384E+3,	12.873786E-12
1.546388E+3,	0.000000E+0
1.546392E+3,	17.948714E-12
1.546396E+3,	0.000000E+0
1.546400E+3,	2.297004E-12
1.546404E+3,	11.789167E-12
1.546408E+3,	2.049089E-12
1.546412E+3,	0.000000E+0
1.546416E+3,	0.000000E+0
1.546420E+3,	0.000000E+0
1.546424E+3,	0.000000E+0
1.546428E+3,	7.267927E-12
1.546432E+3,	13.281929E-12
1.546436E+3,	0.000000E+0
1.546440E+3,	0.000000E+0
1.546444E+3,	5.917130E-12
1.546448E+3,	0.000000E+0
1.546452E+3,	11.165597E-12
1.546456E+3,	493.493479E-15
1.546460E+3,	3.063097E-12
1.546464E+3,	0.000000E+0
1.546468E+3,	0.000000E+0
1.546472E+3,	9.718532E-12
1.546476E+3,	0.000000E+0
1.546480E+3,	0.000000E+0
1.546484E+3,	1.122328E-12
1.546488E+3,	0.000000E+0
1.546492E+3,	0.000000E+0
1.546496E+3,	0.000000E+0
1.546500E+3,	4.799618E-12
1.546504E+3,	0.000000E+0
1.546508E+3,	0.000000E+0
1.546512E+3,	7.911522E-12
1.546516E+3,	0.000000E+0
1.546520E+3,	0.000000E+0
1.546524E+3,	17.674010E-12
1.546528E+3,	11.860444E-12
1.546532E+3,	1.796265E-12
1.546536E+3,	20.196312E-12
1.546540E+3,	0.000000E+0
1.546544E+3,	0.000000E+0
1.546548E+3,	10.404666E-12
1.546552E+3,	0.000000E+0
1.546556E+3,	1.343953E-12
1.546560E+3,	7.296377E-12
1.546564E+3,	6.320449E-12
1.546568E+3,	17.299613E-12
1.546572E+3,	8.508573E-12
1.546576E+3,	7.169731E-12
1.546580E+3,	13.755391E-12
1.546584E+3,	21.301021E-12
1.546588E+3,	6.946908E-12
1.546592E+3,	28.615827E-12
1.546596E+3,	10.028341E-12
1.546600E+3,	10.752041E-12
1.546604E+3,	8.938536E-12
1.546608E+3,	0.000000E+0
1.546612E+3,	6.700869E-12
1.546616E+3,	8.021926E-12
1.546620E+3,	13.921430E-12
1.546624E+3,	3.038959E-12
1.546628E+3,	0.000000E+0
1.546632E+3,	0.000000E+0
1.546636E+3,	0.000000E+0
1.546640E+3,	0.000000E+0
1.546644E+3,	7.931441E-12
1.546648E+3,	0.000000E+0
1.546652E+3,	17.142631E-12
1.546656E+3,	0.000000E+0
1.546660E+3,	2.773897E-12
1.546664E+3,	0.000000E+0
1.546668E+3,	3.575472E-12
1.546672E+3,	13.990194E-12
1.546676E+3,	0.000000E+0
1.546680E+3,	0.000000E+0
1.546684E+3,	0.000000E+0
1.546688E+3,	13.092175E-12
1.546692E+3,	8.754362E-12
1.546696E+3,	7.840957E-12
1.546700E+3,	0.000000E+0
1.546704E+3,	0.000000E+0
1.546708E+3,	4.622949E-12
1.546712E+3,	0.000000E+0
1.546716E+3,	0.000000E+0
1.546720E+3,	3.697678E-12
1.546724E+3,	7.372142E-12
1.546728E+3,	10.808101E-12
1.546732E+3,	19.616865E-12
1.546736E+3,	7.335940E-12
1.546740E+3,	7.878966E-12
1.546744E+3,	0.000000E+0
1.546748E+3,	17.183845E-12
1.546752E+3,	9.145069E-12
1.546756E+3,	0.000000E+0
1.546760E+3,	0.000000E+0
1.546764E+3,	10.612186E-12
1.546768E+3,	18.410441E-12
1.546772E+3,	0.000000E+0
1.546776E+3,	31.989245E-12
1.546780E+3,	3.408064E-12
1.546784E+3,	9.761449E-12
1.546788E+3,	0.000000E+0
1.546792E+3,	0.000000E+0
1.546796E+3,	0.000000E+0
1.546800E+3,	0.000000E+0
1.546804E+3,	3.751980E-12
1.546808E+3,	0.000000E+0
1.546812E+3,	3.246110E-12
1.546816E+3,	0.000000E+0
1.546820E+3,	0.000000E+0
1.546824E+3,	0.000000E+0
1.546828E+3,	12.379677E-12
1.546832E+3,	17.608870E-12
1.546836E+3,	10.889826E-12
1.546840E+3,	6.758270E-12
1.546844E+3,	18.924819E-12
1.546848E+3,	18.414686E-12
1.546852E+3,	0.000000E+0
1.546856E+3,	3.318325E-12
1.546860E+3,	2.250131E-12
1.546864E+3,	13.348482E-12
1.546868E+3,	3.858279E-12
1.546872E+3,	7.843616E-12
1.546876E+3,	0.000000E+0
1.546880E+3,	0.000000E+0
1.546884E+3,	0.000000E+0
1.546888E+3,	7.591099E-12
1.546892E+3,	0.000000E+0
1.546896E+3,	14.338539E-12
1.546900E+3,	0.000000E+0
1.546904E+3,	1.616457E-12
1.546908E+3,	0.000000E+0
1.546912E+3,	0.000000E+0
1.546916E+3,	18.660865E-12
1.546920E+3,	0.000000E+0
1.546924E+3,	20.681001E-12
1.546928E+3,	11.954402E-12
1.546932E+3,	3.142600E-12
1.546936E+3,	11.777162E-12
1.546940E+3,	11.085362E-12
1.546944E+3,	0.000000E+0
1.546948E+3,	4.224546E-12
1.546952E+3,	0.000000E+0
1.546956E+3,	7.502301E-12
1.546960E+3,	15.638382E-12
1.546964E+3,	7.447975E-12
1.546968E+3,	0.000000E+0
1.546972E+3,	0.000000E+0
1.546976E+3,	0.000000E+0
1.546980E+3,	0.000000E+0
1.546984E+3,	6.216553E-12
1.546988E+3,	0.000000E+0
1.546992E+3,	0.000000E+0
1.546996E+3,	0.000000E+0
1.547000E+3,	1.469782E-12
1.547004E+3,	0.000000E+0
1.547008E+3,	0.000000E+0
1.547012E+3,	0.000000E+0
1.547016E+3,	3.407728E-12
1.547020E+3,	15.198690E-12
1.547024E+3,	5.872479E-12
1.547028E+3,	25.629560E-12
1.547032E+3,	21.614653E-12
1.547036E+3,	3.682226E-12
1.547040E+3,	11.359551E-12
1.547044E+3,	10.023094E-12
1.547048E+3,	8.516415E-12
1.547052E+3,	7.580746E-12
1.547056E+3,	4.712672E-12
1.547060E+3,	15.727475E-12
1.547064E+3,	11.996134E-12
1.547068E+3,	0.000000E+0
1.547072E+3,	5.905796E-12
1.547076E+3,	0.000000E+0
1.547080E+3,	1.037575E-12
1.547084E+3,	26.405639E-12
1.547088E+3,	2.540980E-12
1.547092E+3,	14.696663E-12
1.547096E+3,	22.197554E-12
1.547100E+3,	12.485193E-12
1.547104E+3,	14.224071E-12
1.547108E+3,	0.000000E+0
1.547112E+3,	8.360684E-12
1.547116E+3,	16.610263E-12
1.547120E+3,	0.000000E+0
1.547124E+3,	2.878612E-12
1.547128E+3,	0.000000E+0
1.547132E+3,	0.000000E+0
1.547136E+3,	0.000000E+0
1.547140E+3,	0.000000E+0
1.547144E+3,	8.301015E-12
1.547148E+3,	0.000000E+0
1.547152E+3,	28.127644E-12
1.547156E+3,	15.900982E-12
1.547160E+3,	0.000000E+0
1.547164E+3,	13.245378E-12
1.547168E+3,	4.933074E-12
1.547172E+3,	3.710967E-12
1.547176E+3,	11.614804E-12
1.547180E+3,	28.304634E-12
1.547184E+3,	38.450427E-12
1.547188E+3,	13.375824E-12
1.547192E+3,	27.405155E-12
1.547196E+3,	30.253700E-12
1.547200E+3,	1.581338E-12
1.547204E+3,	5.222954E-12
1.547208E+3,	0.000000E+0
1.547212E+3,	11.550898E-12
1.547216E+3,	19.963345E-12
1.547220E+3,	2.758975E-12
1.547224E+3,	8.574688E-12
1.547228E+3,	0.000000E+0
1.547232E+3,	0.000000E+0
1.547236E+3,	0.000000E+0
1.547240E+3,	12.488066E-12
1.547244E+3,	2.251685E-12
1.547248E+3,	17.176151E-12
1.547252E+3,	8.428102E-12
1.547256E+3,	23.224493E-12
1.547260E+3,	24.608666E-12
1.547264E+3,	0.000000E+0
1.547268E+3,	12.180069E-12
1.547272E+3,	28.837498E-12
1.547276E+3,	25.751235E-12
1.547280E+3,	22.747802E-12
1.547284E+3,	26.209044E-12
1.547288E+3,	18.049945E-12
1.547292E+3,	22.716502E-12
1.547296E+3,	26.426500E-12
1.547300E+3,	27.187609E-12
1.547304E+3,	24.016321E-12
1.547308E+3,	0.000000E+0
1.547312E+3,	17.305974E-12
1.547316E+3,	8.148421E-12
1.547320E+3,	603.132790E-15
1.547324E+3,	6.257091E-12
1.547328E+3,	0.000000E+0
1.547332E+3,	11.645813E-12
1.547336E+3,	18.445723E-12
1.547340E+3,	12.400334E-12
1.547344E+3,	0.000000E+0
1.547348E+3,	21.932326E-12
1.547352E+3,	38.092587E-12
1.547356E+3,	18.060016E-12
1.547360E+3,	17.546887E-12
1.547364E+3,	24.958647E-12
1.547368E+3,	40.180842E-12
1.547372E+3,	29.931442E-12
1.547376E+3,	16.662550E-12
1.547380E+3,	31.844881E-12
1.547384E+3,	25.466052E-12
1.547388E+3,	23.006802E-12
1.547392E+3,	16.516690E-12
1.547396E+3,	22.254106E-12
1.547400E+3,	26.813229E-12
1.547404E+3,	37.289959E-12
1.547408E+3,	40.897002E-12
1.547412E+3,	34.557229E-12
1.547416E+3,	3.876799E-12
1.547420E+3,	45.790973E-12
1.547424E+3,	8.614890E-12
1.547428E+3,	0.000000E+0
1.547432E+3,	9.953005E-12
1.547436E+3,	0.000000E+0
1.547440E+3,	16.934648E-12
1.547444E+3,	12.675078E-12
1.547448E+3,	3.557783E-12
1.547452E+3,	12.537535E-12
1.547456E+3,	11.355708E-12
1.547460E+3,	0.000000E+0
1.547464E+3,	15.031436E-12
1.547468E+3,	7.907984E-12
1.547472E+3,	26.458178E-12
1.547476E+3,	14.423744E-12
1.547480E+3,	37.108700E-12
1.547484E+3,	21.973633E-12
1.547488E+3,	24.329991E-12
1.547492E+3,	17.271576E-12
1.547496E+3,	44.760666E-12
1.547500E+3,	45.784122E-12
1.547504E+3,	20.691461E-12
1.547508E+3,	10.828735E-12
1.547512E+3,	31.352971E-12
1.547516E+3,	43.786233E-12
1.547520E+3,	27.508343E-12
1.547524E+3,	45.656480E-12
1.547528E+3,	27.308912E-12
1.547532E+3,	38.839599E-12
1.547536E+3,	18.755367E-12
1.547540E+3,	27.335020E-12
1.547544E+3,	11.499546E-12
1.547548E+3,	5.534774E-12
1.547552E+3,	0.000000E+0
1.547556E+3,	9.686546E-12
1.547560E+3,	21.761129E-12
1.547564E+3,	26.130462E-12
1.547568E+3,	18.987240E-12
1.547572E+3,	42.256576E-12
1.547576E+3,	28.076097E-12
1.547580E+3,	14.838368E-12
1.547584E+3,	10.846867E-12
1.547588E+3,	15.288719E-12
1.547592E+3,	31.404161E-12
1.547596E+3,	35.335737E-12
1.547600E+3,	27.236393E-12
1.547604E+3,	49.554433E-12
1.547608E+3,	45.884609E-12
1.547612E+3,	53.428431E-12
1.547616E+3,	50.026836E-12
1.547620E+3,	64.979903E-12
1.547624E+3,	51.574385E-12
1.547628E+3,	55.187445E-12
1.547632E+3,	60.583952E-12
1.547636E+3,	67.481467E-12
1.547640E+3,	53.972451E-12
1.547644E+3,	44.397607E-12
1.547648E+3,	38.921082E-12
1.547652E+3,	41.703083E-12
1.547656E+3,	55.959573E-12
1.547660E+3,	39.718989E-12
1.547664E+3,	18.497639E-12
1.547668E+3,	46.573704E-12
1.547672E+3,	39.349697E-12
1.547676E+3,	21.853187E-12
1.547680E+3,	29.618245E-12
1.547684E+3,	24.014782E-12
1.547688E+3,	15.346641E-12
1.547692E+3,	14.975424E-12
1.547696E+3,	17.935058E-12
1.547700E+3,	22.292035E-12
1.547704E+3,	27.463177E-12
1.547708E+3,	27.405868E-12
1.547712E+3,	19.501017E-12
1.547716E+3,	77.735484E-12
1.547720E+3,	57.594412E-12
1.547724E+3,	66.337098E-12
1.547728E+3,	44.734316E-12
1.547732E+3,	80.917131E-12
1.547736E+3,	78.815341E-12
1.547740E+3,	54.837377E-12
1.547744E+3,	69.016495E-12
1.547748E+3,	76.349476E-12
1.547752E+3,	77.601029E-12
1.547756E+3,	87.395750E-12
1.547760E+3,	44.661764E-12
1.547764E+3,	52.171051E-12
1.547768E+3,	75.243035E-12
1.547772E+3,	40.265878E-12
1.547776E+3,	45.547675E-12
1.547780E+3,	23.748234E-12
1.547784E+3,	14.225596E-12
1.547788E+3,	17.875033E-12
1.547792E+3,	24.228076E-12
1.547796E+3,	0.000000E+0
1.547800E+3,	10.053774E-12
1.547804E+3,	6.444241E-12
1.547808E+3,	5.174555E-12
1.547812E+3,	11.470700E-12
1.547816E+3,	18.351596E-12
1.547820E+3,	25.126752E-12
1.547824E+3,	24.328661E-12
1.547828E+3,	34.643590E-12
1.547832E+3,	65.084056E-12
1.547836E+3,	33.532532E-12
1.547840E+3,	62.578740E-12
1.547844E+3,	66.733366E-12
1.547848E+3,	77.528185E-12
1.547852E+3,	80.577192E-12
1.547856E+3,	84.860629E-12
1.547860E+3,	81.283685E-12
1.547864E+3,	86.200312E-12
1.547868E+3,	54.733187E-12
1.547872E+3,	59.080529E-12
1.547876E+3,	47.944963E-12
1.547880E+3,	42.857795E-12
1.547884E+3,	45.887606E-12
1.547888E+3,	49.715675E-12
1.547892E+3,	53.107265E-12
1.547896E+3,	31.464282E-12
1.547900E+3,	0.000000E+0
1.547904E+3,	17.440103E-12
1.547908E+3,	32.679835E-12
1.547912E+3,	44.552520E-12
1.547916E+3,	19.947405E-12
1.547920E+3,	21.612884E-12
1.547924E+3,	44.653911E-12
1.547928E+3,	56.138127E-12
1.547932E+3,	63.839109E-12
1.547936E+3,	54.495758E-12
1.547940E+3,	97.829689E-12
1.547944E+3,	84.968048E-12
1.547948E+3,	101.971534E-12
1.547952E+3,	99.335974E-12
1.547956E+3,	108.776544E-12
1.547960E+3,	129.028272E-12
1.547964E+3,	145.977284E-12
1.547968E+3,	142.801627E-12
1.547972E+3,	142.298844E-12
1.547976E+3,	130.632829E-12
1.547980E+3,	143.110128E-12
1.547984E+3,	148.880772E-12
1.547988E+3,	130.135223E-12
1.547992E+3,	117.602252E-12
1.547996E+3,	100.610519E-12
1.548000E+3,	98.178853E-12
1.548004E+3,	72.936772E-12
1.548008E+3,	80.576547E-12
1.548012E+3,	52.414972E-12
1.548016E+3,	57.556955E-12
1.548020E+3,	36.915540E-12
1.548024E+3,	24.871852E-12
1.548028E+3,	32.150359E-12
1.548032E+3,	31.760650E-12
1.548036E+3,	21.711684E-12
1.548040E+3,	34.109927E-12
1.548044E+3,	30.171915E-12
1.548048E+3,	52.370461E-12
1.548052E+3,	56.386074E-12
1.548056E+3,	59.748312E-12
1.548060E+3,	56.926326E-12
1.548064E+3,	49.920081E-12
1.548068E+3,	76.642470E-12
1.548072E+3,	80.910352E-12
1.548076E+3,	78.852615E-12
1.548080E+3,	91.005621E-12
1.548084E+3,	76.565075E-12
1.548088E+3,	84.604481E-12
1.548092E+3,	99.284335E-12
1.548096E+3,	81.920821E-12
1.548100E+3,	94.756473E-12
1.548104E+3,	82.810417E-12
1.548108E+3,	77.582824E-12
1.548112E+3,	59.716203E-12
1.548116E+3,	40.654334E-12
1.548120E+3,	52.662102E-12
1.548124E+3,	45.265728E-12
1.548128E+3,	31.097070E-12
1.548132E+3,	41.146739E-12
1.548136E+3,	24.974105E-12
1.548140E+3,	8.521819E-12
1.548144E+3,	22.867630E-12
1.548148E+3,	31.877828E-12
1.548152E+3,	31.630903E-12
1.548156E+3,	31.420637E-12
1.548160E+3,	51.506222E-12
1.548164E+3,	66.213771E-12
1.548168E+3,	52.935727E-12
1.548172E+3,	55.899320E-12
1.548176E+3,	59.549328E-12
1.548180E+3,	65.796111E-12
1.548184E+3,	73.349099E-12
1.548188E+3,	62.451022E-12
1.548192E+3,	69.207820E-12
1.548196E+3,	85.355120E-12
1.548200E+3,	88.515559E-12
1.548204E+3,	83.375311E-12
1.548208E+3,	79.582778E-12
1.548212E+3,	72.786015E-12
1.548216E+3,	71.187628E-12
1.548220E+3,	33.080747E-12
1.548224E+3,	37.808587E-12
1.548228E+3,	43.247489E-12
1.548232E+3,	27.068651E-12
1.548236E+3,	17.209866E-12
1.548240E+3,	14.157708E-12
1.548244E+3,	11.681566E-12
1.548248E+3,	37.481293E-12
1.548252E+3,	6.527306E-12
1.548256E+3,	18.517934E-12
1.548260E+3,	14.092517E-12
1.548264E+3,	31.897909E-12
1.548268E+3,	60.848485E-12
1.548272E+3,	37.557598E-12
1.548276E+3,	60.703154E-12
1.548280E+3,	40.548847E-12
1.548284E+3,	49.040487E-12
1.548288E+3,	69.003465E-12
1.548292E+3,	64.817420E-12
1.548296E+3,	54.938496E-12
1.548300E+3,	71.497282E-12
