YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 23/10/2023 Time: 13:42:32,	
A_WL(nm),	A_I(mW)
1.545800E+3,	0.000000E+0
1.545804E+3,	0.000000E+0
1.545808E+3,	28.239640E-12
1.545812E+3,	0.000000E+0
1.545816E+3,	10.252889E-12
1.545820E+3,	0.000000E+0
1.545824E+3,	2.250108E-12
1.545828E+3,	10.934961E-12
1.545832E+3,	0.000000E+0
1.545836E+3,	2.138115E-12
1.545840E+3,	9.387890E-12
1.545844E+3,	0.000000E+0
1.545848E+3,	4.088956E-12
1.545852E+3,	15.071466E-12
1.545856E+3,	6.732707E-12
1.545860E+3,	11.061405E-12
1.545864E+3,	0.000000E+0
1.545868E+3,	0.000000E+0
1.545872E+3,	0.000000E+0
1.545876E+3,	17.690649E-12
1.545880E+3,	0.000000E+0
1.545884E+3,	19.376063E-12
1.545888E+3,	203.483619E-15
1.545892E+3,	0.000000E+0
1.545896E+3,	0.000000E+0
1.545900E+3,	0.000000E+0
1.545904E+3,	2.278220E-12
1.545908E+3,	11.291601E-12
1.545912E+3,	0.000000E+0
1.545916E+3,	16.014446E-12
1.545920E+3,	0.000000E+0
1.545924E+3,	0.000000E+0
1.545928E+3,	17.475790E-12
1.545932E+3,	0.000000E+0
1.545936E+3,	0.000000E+0
1.545940E+3,	2.658229E-12
1.545944E+3,	0.000000E+0
1.545948E+3,	0.000000E+0
1.545952E+3,	0.000000E+0
1.545956E+3,	0.000000E+0
1.545960E+3,	6.440155E-12
1.545964E+3,	17.012075E-12
1.545968E+3,	3.946267E-12
1.545972E+3,	3.065007E-12
1.545976E+3,	15.589169E-12
1.545980E+3,	0.000000E+0
1.545984E+3,	31.559760E-12
1.545988E+3,	16.018134E-12
1.545992E+3,	12.224149E-12
1.545996E+3,	25.176660E-12
1.546000E+3,	3.313758E-12
1.546004E+3,	6.042578E-12
1.546008E+3,	0.000000E+0
1.546012E+3,	4.799886E-12
1.546016E+3,	0.000000E+0
1.546020E+3,	6.701109E-12
1.546024E+3,	13.578460E-12
1.546028E+3,	2.880038E-12
1.546032E+3,	7.070538E-12
1.546036E+3,	13.374916E-12
1.546040E+3,	11.373718E-12
1.546044E+3,	9.295477E-12
1.546048E+3,	7.831673E-12
1.546052E+3,	12.298204E-12
1.546056E+3,	0.000000E+0
1.546060E+3,	20.059963E-12
1.546064E+3,	6.405486E-12
1.546068E+3,	8.429979E-12
1.546072E+3,	548.920450E-15
1.546076E+3,	0.000000E+0
1.546080E+3,	0.000000E+0
1.546084E+3,	0.000000E+0
1.546088E+3,	0.000000E+0
1.546092E+3,	0.000000E+0
1.546096E+3,	21.452014E-12
1.546100E+3,	8.605980E-12
1.546104E+3,	0.000000E+0
1.546108E+3,	3.567582E-12
1.546112E+3,	0.000000E+0
1.546116E+3,	3.869554E-12
1.546120E+3,	19.816794E-12
1.546124E+3,	0.000000E+0
1.546128E+3,	6.748928E-12
1.546132E+3,	5.158255E-12
1.546136E+3,	1.636659E-12
1.546140E+3,	0.000000E+0
1.546144E+3,	10.572324E-12
1.546148E+3,	11.466718E-12
1.546152E+3,	946.588667E-15
1.546156E+3,	8.373626E-12
1.546160E+3,	13.058341E-12
1.546164E+3,	10.601517E-12
1.546168E+3,	3.279125E-12
1.546172E+3,	9.191279E-12
1.546176E+3,	0.000000E+0
1.546180E+3,	23.178527E-12
1.546184E+3,	14.028760E-12
1.546188E+3,	0.000000E+0
1.546192E+3,	1.688086E-12
1.546196E+3,	3.449289E-12
1.546200E+3,	0.000000E+0
1.546204E+3,	0.000000E+0
1.546208E+3,	1.362646E-12
1.546212E+3,	21.991906E-12
1.546216E+3,	13.148669E-12
1.546220E+3,	0.000000E+0
1.546224E+3,	5.466802E-12
1.546228E+3,	0.000000E+0
1.546232E+3,	14.868393E-12
1.546236E+3,	0.000000E+0
1.546240E+3,	0.000000E+0
1.546244E+3,	25.336703E-12
1.546248E+3,	12.102155E-12
1.546252E+3,	8.829679E-12
1.546256E+3,	15.067274E-12
1.546260E+3,	2.951558E-12
1.546264E+3,	0.000000E+0
1.546268E+3,	0.000000E+0
1.546272E+3,	0.000000E+0
1.546276E+3,	0.000000E+0
1.546280E+3,	3.947930E-12
1.546284E+3,	0.000000E+0
1.546288E+3,	10.043352E-12
1.546292E+3,	0.000000E+0
1.546296E+3,	4.527687E-12
1.546300E+3,	0.000000E+0
1.546304E+3,	0.000000E+0
1.546308E+3,	15.021554E-12
1.546312E+3,	0.000000E+0
1.546316E+3,	2.267168E-12
1.546320E+3,	0.000000E+0
1.546324E+3,	0.000000E+0
1.546328E+3,	0.000000E+0
1.546332E+3,	4.817032E-12
1.546336E+3,	0.000000E+0
1.546340E+3,	4.216000E-12
1.546344E+3,	10.620139E-12
1.546348E+3,	23.250564E-12
1.546352E+3,	12.755975E-12
1.546356E+3,	0.000000E+0
1.546360E+3,	0.000000E+0
1.546364E+3,	21.836118E-12
1.546368E+3,	4.744695E-12
1.546372E+3,	0.000000E+0
1.546376E+3,	1.706559E-12
1.546380E+3,	2.020371E-12
1.546384E+3,	2.487984E-12
1.546388E+3,	25.710142E-12
1.546392E+3,	17.490813E-12
1.546396E+3,	7.459034E-12
1.546400E+3,	20.190016E-12
1.546404E+3,	0.000000E+0
1.546408E+3,	0.000000E+0
1.546412E+3,	0.000000E+0
1.546416E+3,	0.000000E+0
1.546420E+3,	2.135751E-12
1.546424E+3,	8.680471E-12
1.546428E+3,	13.609061E-12
1.546432E+3,	7.332417E-12
1.546436E+3,	13.138764E-12
1.546440E+3,	9.107199E-12
1.546444E+3,	38.406228E-12
1.546448E+3,	4.257403E-12
1.546452E+3,	21.043356E-12
1.546456E+3,	8.598598E-12
1.546460E+3,	7.350505E-12
1.546464E+3,	7.600549E-12
1.546468E+3,	10.142770E-12
1.546472E+3,	0.000000E+0
1.546476E+3,	0.000000E+0
1.546480E+3,	14.567740E-12
1.546484E+3,	6.783384E-12
1.546488E+3,	3.311100E-12
1.546492E+3,	6.247118E-12
1.546496E+3,	4.691524E-12
1.546500E+3,	15.548092E-12
1.546504E+3,	11.267624E-12
1.546508E+3,	15.447151E-12
1.546512E+3,	10.269428E-12
1.546516E+3,	0.000000E+0
1.546520E+3,	0.000000E+0
1.546524E+3,	10.348099E-12
1.546528E+3,	500.862217E-15
1.546532E+3,	7.677863E-12
1.546536E+3,	12.164795E-12
1.546540E+3,	8.600578E-12
1.546544E+3,	0.000000E+0
1.546548E+3,	4.157447E-12
1.546552E+3,	0.000000E+0
1.546556E+3,	1.689253E-12
1.546560E+3,	0.000000E+0
1.546564E+3,	2.276726E-12
1.546568E+3,	31.170470E-12
1.546572E+3,	2.014917E-12
1.546576E+3,	9.052890E-12
1.546580E+3,	0.000000E+0
1.546584E+3,	0.000000E+0
1.546588E+3,	0.000000E+0
1.546592E+3,	25.046637E-12
1.546596E+3,	10.773125E-12
1.546600E+3,	0.000000E+0
1.546604E+3,	0.000000E+0
1.546608E+3,	0.000000E+0
1.546612E+3,	9.634070E-12
1.546616E+3,	0.000000E+0
1.546620E+3,	11.950438E-12
1.546624E+3,	4.832069E-12
1.546628E+3,	1.369617E-12
1.546632E+3,	0.000000E+0
1.546636E+3,	0.000000E+0
1.546640E+3,	0.000000E+0
1.546644E+3,	0.000000E+0
1.546648E+3,	6.966622E-12
1.546652E+3,	9.887422E-12
1.546656E+3,	22.301720E-12
1.546660E+3,	3.390726E-12
1.546664E+3,	15.841214E-12
1.546668E+3,	0.000000E+0
1.546672E+3,	5.164197E-12
1.546676E+3,	595.156576E-15
1.546680E+3,	1.255322E-12
1.546684E+3,	6.485252E-12
1.546688E+3,	7.476309E-12
1.546692E+3,	0.000000E+0
1.546696E+3,	10.918930E-12
1.546700E+3,	15.732640E-12
1.546704E+3,	2.250637E-12
1.546708E+3,	5.675161E-12
1.546712E+3,	15.382132E-12
1.546716E+3,	2.757343E-12
1.546720E+3,	108.743168E-15
1.546724E+3,	3.916430E-12
1.546728E+3,	10.429528E-12
1.546732E+3,	1.049834E-12
1.546736E+3,	0.000000E+0
1.546740E+3,	15.663857E-12
1.546744E+3,	19.736539E-12
1.546748E+3,	9.867339E-12
1.546752E+3,	0.000000E+0
1.546756E+3,	0.000000E+0
1.546760E+3,	12.133474E-12
1.546764E+3,	26.687256E-12
1.546768E+3,	11.786992E-12
1.546772E+3,	18.393458E-12
1.546776E+3,	19.790845E-12
1.546780E+3,	4.966277E-12
1.546784E+3,	8.876052E-12
1.546788E+3,	13.687675E-12
1.546792E+3,	11.292988E-12
1.546796E+3,	0.000000E+0
1.546800E+3,	6.381760E-12
1.546804E+3,	0.000000E+0
1.546808E+3,	2.887976E-12
1.546812E+3,	191.283446E-15
1.546816E+3,	14.070983E-12
1.546820E+3,	4.314648E-12
1.546824E+3,	5.074882E-12
1.546828E+3,	4.322101E-12
1.546832E+3,	0.000000E+0
1.546836E+3,	2.668089E-12
1.546840E+3,	14.187199E-12
1.546844E+3,	5.945090E-12
1.546848E+3,	4.060526E-12
1.546852E+3,	278.231306E-15
1.546856E+3,	6.868443E-12
1.546860E+3,	0.000000E+0
1.546864E+3,	0.000000E+0
1.546868E+3,	1.129165E-12
1.546872E+3,	34.534978E-12
1.546876E+3,	31.809482E-12
1.546880E+3,	14.291483E-12
1.546884E+3,	6.174661E-12
1.546888E+3,	0.000000E+0
1.546892E+3,	2.738378E-12
1.546896E+3,	25.314557E-12
1.546900E+3,	23.488814E-12
1.546904E+3,	0.000000E+0
1.546908E+3,	12.734458E-12
1.546912E+3,	11.262628E-12
1.546916E+3,	7.773694E-12
1.546920E+3,	8.063372E-12
1.546924E+3,	0.000000E+0
1.546928E+3,	8.515996E-12
1.546932E+3,	0.000000E+0
1.546936E+3,	0.000000E+0
1.546940E+3,	0.000000E+0
1.546944E+3,	1.129426E-12
1.546948E+3,	0.000000E+0
