YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 31/10/2023 Time: 12:43:19,	
A_WL(nm),	A_I(mW)
1.548878E+3,	0.000000E+0
1.548882E+3,	13.055581E-12
1.548886E+3,	8.554112E-12
1.548890E+3,	0.000000E+0
1.548894E+3,	49.067350E-12
1.548898E+3,	116.589419E-12
1.548902E+3,	0.000000E+0
1.548906E+3,	31.061466E-12
1.548910E+3,	67.088673E-12
1.548914E+3,	0.000000E+0
1.548918E+3,	0.000000E+0
1.548922E+3,	0.000000E+0
1.548926E+3,	0.000000E+0
1.548930E+3,	0.000000E+0
1.548934E+3,	0.000000E+0
1.548938E+3,	80.596191E-12
1.548942E+3,	238.183957E-12
1.548946E+3,	67.088673E-12
1.548950E+3,	168.395093E-12
1.548954E+3,	0.000000E+0
1.548958E+3,	332.736595E-12
1.548962E+3,	323.806134E-12
1.548966E+3,	377.848646E-12
1.548970E+3,	416.128767E-12
1.548974E+3,	251.749419E-12
1.548978E+3,	17.565137E-12
1.548982E+3,	62.600580E-12
1.548986E+3,	0.000000E+0
1.548990E+3,	0.000000E+0
1.548994E+3,	0.000000E+0
1.548998E+3,	0.000000E+0
1.549002E+3,	0.000000E+0
1.549006E+3,	0.000000E+0
1.549010E+3,	0.000000E+0
1.549014E+3,	58.097037E-12
1.549018E+3,	0.000000E+0
1.549022E+3,	301.357787E-12
1.549026E+3,	0.000000E+0
1.549030E+3,	4.055443E-12
1.549034E+3,	204.509314E-12
1.549038E+3,	98.651650E-12
1.549042E+3,	0.000000E+0
1.549046E+3,	440.999807E-12
1.549050E+3,	0.000000E+0
1.549054E+3,	0.000000E+0
1.549058E+3,	112.165389E-12
1.549062E+3,	0.000000E+0
1.549066E+3,	17.569186E-12
1.549070E+3,	179.734101E-12
1.549074E+3,	89.663126E-12
1.549078E+3,	0.000000E+0
1.549082E+3,	0.000000E+0
1.549086E+3,	0.000000E+0
1.549090E+3,	0.000000E+0
1.549094E+3,	98.674368E-12
1.549098E+3,	0.000000E+0
1.549102E+3,	0.000000E+0
1.549106E+3,	576.269908E-12
1.549110E+3,	0.000000E+0
1.549114E+3,	0.000000E+0
1.549118E+3,	0.000000E+0
1.549122E+3,	0.000000E+0
1.549126E+3,	396.045160E-12
1.549130E+3,	0.000000E+0
1.549134E+3,	0.000000E+0
1.549138E+3,	0.000000E+0
1.549142E+3,	213.616825E-12
1.549146E+3,	0.000000E+0
1.549150E+3,	0.000000E+0
1.549154E+3,	0.000000E+0
1.549158E+3,	355.576487E-12
1.549162E+3,	148.270308E-12
1.549166E+3,	0.000000E+0
1.549170E+3,	0.000000E+0
1.549174E+3,	0.000000E+0
1.549178E+3,	107.710400E-12
1.549182E+3,	67.150492E-12
1.549186E+3,	0.000000E+0
1.549190E+3,	0.000000E+0
1.549194E+3,	0.000000E+0
1.549198E+3,	143.796760E-12
