YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 31/10/2023 Time: 14:55:22,	
A_WL(nm),	A_I(mW)
1.548878E+3,	0.000000E+0
1.548882E+3,	507.808193E-12
1.548886E+3,	76.224078E-12
1.548890E+3,	76.224086E-12
1.548894E+3,	0.000000E+0
1.548898E+3,	0.000000E+0
1.548902E+3,	0.000000E+0
1.548906E+3,	180.399570E-12
1.548910E+3,	239.983665E-12
1.548914E+3,	0.000000E+0
1.548918E+3,	0.000000E+0
1.548922E+3,	76.241639E-12
1.548926E+3,	0.000000E+0
1.548930E+3,	835.409200E-12
1.548934E+3,	321.854674E-12
1.548938E+3,	0.000000E+0
1.548942E+3,	947.051470E-12
1.548946E+3,	433.496974E-12
1.548950E+3,	165.555475E-12
1.548954E+3,	1.813452E-12
1.548958E+3,	0.000000E+0
1.548962E+3,	388.840029E-12
1.548966E+3,	0.000000E+0
1.548970E+3,	0.000000E+0
1.548974E+3,	0.000000E+0
1.548978E+3,	0.000000E+0
1.548982E+3,	634.599146E-12
1.548986E+3,	0.000000E+0
1.548990E+3,	0.000000E+0
1.548994E+3,	0.000000E+0
1.548998E+3,	0.000000E+0
1.549002E+3,	0.000000E+0
1.549006E+3,	0.000000E+0
1.549010E+3,	1.684278E-9
1.549014E+3,	0.000000E+0
1.549018E+3,	0.000000E+0
1.549022E+3,	120.954242E-12
1.549026E+3,	746.438979E-12
1.549030E+3,	366.680381E-12
1.549034E+3,	0.000000E+0
1.549038E+3,	232.647975E-12
1.549042E+3,	537.944116E-12
1.549046E+3,	456.035380E-12
1.549050E+3,	0.000000E+0
1.549054E+3,	0.000000E+0
1.549058E+3,	0.000000E+0
1.549062E+3,	389.019138E-12
1.549066E+3,	344.341654E-12
1.549070E+3,	9.260524E-12
1.549074E+3,	0.000000E+0
1.549078E+3,	0.000000E+0
1.549082E+3,	0.000000E+0
1.549086E+3,	724.267002E-12
1.549090E+3,	344.420982E-12
1.549094E+3,	0.000000E+0
1.549098E+3,	597.651693E-12
1.549102E+3,	232.701519E-12
1.549106E+3,	180.565800E-12
1.549110E+3,	0.000000E+0
1.549114E+3,	761.506890E-12
1.549118E+3,	210.357664E-12
1.549122E+3,	0.000000E+0
1.549126E+3,	0.000000E+0
1.549130E+3,	210.406106E-12
1.549134E+3,	500.943535E-12
1.549138E+3,	1.394905E-9
1.549142E+3,	0.000000E+0
1.549146E+3,	232.755123E-12
1.549150E+3,	0.000000E+0
1.549154E+3,	0.000000E+0
1.549158E+3,	903.226106E-12
1.549162E+3,	0.000000E+0
1.549166E+3,	76.311893E-12
1.549170E+3,	0.000000E+0
1.549174E+3,	0.000000E+0
1.549178E+3,	404.097715E-12
1.549182E+3,	0.000000E+0
1.549186E+3,	0.000000E+0
1.549190E+3,	132.214912E-12
1.549194E+3,	0.000000E+0
1.549198E+3,	1.484643E-9
1.549202E+3,	836.371555E-12
1.549206E+3,	199.277463E-12
1.549210E+3,	0.000000E+0
1.549214E+3,	0.000000E+0
1.549218E+3,	389.287956E-12
1.549222E+3,	0.000000E+0
1.549226E+3,	16.718331E-12
1.549230E+3,	0.000000E+0
1.549234E+3,	0.000000E+0
1.549238E+3,	322.225436E-12
1.549242E+3,	0.000000E+0
1.549246E+3,	0.000000E+0
1.549250E+3,	0.000000E+0
1.549254E+3,	210.502993E-12
1.549258E+3,	0.000000E+0
1.549262E+3,	0.000000E+0
1.549266E+3,	255.221661E-12
1.549270E+3,	31.628387E-12
1.549274E+3,	434.096255E-12
1.549278E+3,	0.000000E+0
1.549282E+3,	0.000000E+0
1.549286E+3,	0.000000E+0
1.549290E+3,	0.000000E+0
1.549294E+3,	493.721156E-12
1.549298E+3,	143.458059E-12
1.549302E+3,	0.000000E+0
1.549306E+3,	188.187009E-12
1.549310E+3,	0.000000E+0
1.549314E+3,	31.635698E-12
1.549318E+3,	76.364633E-12
1.549322E+3,	31.635690E-12
1.549326E+3,	210.551484E-12
1.549330E+3,	98.729116E-12
1.549334E+3,	449.105934E-12
1.549338E+3,	0.000000E+0
1.549342E+3,	188.187009E-12
1.549346E+3,	9.271215E-12
1.549350E+3,	0.000000E+0
1.549354E+3,	643.079381E-12
1.549358E+3,	0.000000E+0
1.549362E+3,	0.000000E+0
1.549366E+3,	300.078489E-12
1.549370E+3,	546.144384E-12
