YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 31/10/2023 Time: 14:54:51,	
A_WL(nm),	A_I(mW)
1.548878E+3,	0.000000E+0
1.548882E+3,	0.000000E+0
1.548886E+3,	1.772796E-9
1.548890E+3,	42.739104E-12
1.548894E+3,	0.000000E+0
1.548898E+3,	0.000000E+0
1.548902E+3,	0.000000E+0
1.548906E+3,	611.983669E-12
1.548910E+3,	0.000000E+0
1.548914E+3,	723.766869E-12
1.548918E+3,	1.348964E-9
1.548922E+3,	0.000000E+0
1.548926E+3,	537.696440E-12
1.548930E+3,	0.000000E+0
1.548934E+3,	0.000000E+0
1.548938E+3,	0.000000E+0
1.548942E+3,	0.000000E+0
1.548946E+3,	0.000000E+0
1.548950E+3,	0.000000E+0
1.548954E+3,	254.869303E-12
1.548958E+3,	0.000000E+0
1.548962E+3,	0.000000E+0
1.548966E+3,	0.000000E+0
1.548970E+3,	0.000000E+0
1.548974E+3,	0.000000E+0
1.548978E+3,	0.000000E+0
1.548982E+3,	0.000000E+0
1.548986E+3,	1.699167E-9
1.548990E+3,	0.000000E+0
1.548994E+3,	0.000000E+0
1.548998E+3,	210.260782E-12
1.549002E+3,	0.000000E+0
1.549006E+3,	0.000000E+0
1.549010E+3,	120.926387E-12
1.549014E+3,	0.000000E+0
1.549018E+3,	0.000000E+0
1.549022E+3,	508.159095E-12
1.549026E+3,	545.390379E-12
1.549030E+3,	98.615508E-12
1.549034E+3,	463.481611E-12
1.549038E+3,	0.000000E+0
1.549042E+3,	0.000000E+0
1.549046E+3,	880.471462E-12
1.549050E+3,	0.000000E+0
1.549054E+3,	389.019169E-12
1.549058E+3,	0.000000E+0
1.549062E+3,	0.000000E+0
1.549066E+3,	567.729105E-12
1.549070E+3,	0.000000E+0
1.549074E+3,	404.004679E-12
1.549078E+3,	0.000000E+0
1.549082E+3,	0.000000E+0
1.549086E+3,	0.000000E+0
1.549090E+3,	106.086187E-12
1.549094E+3,	567.859782E-12
1.549098E+3,	255.045421E-12
1.549102E+3,	0.000000E+0
1.549106E+3,	806.194569E-12
1.549110E+3,	232.701550E-12
1.549114E+3,	299.733178E-12
1.549118E+3,	433.796496E-12
1.549122E+3,	0.000000E+0
1.549126E+3,	0.000000E+0
1.549130E+3,	0.000000E+0
1.549134E+3,	31.613852E-12
1.549138E+3,	0.000000E+0
1.549142E+3,	545.641598E-12
1.549146E+3,	1.815115E-12
1.549150E+3,	0.000000E+0
1.549154E+3,	0.000000E+0
1.549158E+3,	0.000000E+0
1.549162E+3,	0.000000E+0
1.549166E+3,	143.359027E-12
1.549170E+3,	374.299006E-12
1.549174E+3,	0.000000E+0
1.549178E+3,	0.000000E+0
1.549182E+3,	0.000000E+0
1.549186E+3,	0.000000E+0
1.549190E+3,	0.000000E+0
1.549194E+3,	0.000000E+0
1.549198E+3,	0.000000E+0
1.549202E+3,	0.000000E+0
1.549206E+3,	31.621115E-12
1.549210E+3,	98.683660E-12
1.549214E+3,	9.266950E-12
1.549218E+3,	0.000000E+0
1.549222E+3,	0.000000E+0
1.549226E+3,	508.510303E-12
1.549230E+3,	1.015205E-9
1.549234E+3,	270.065671E-12
1.549238E+3,	0.000000E+0
1.549242E+3,	791.845475E-12
1.549246E+3,	0.000000E+0
1.549250E+3,	791.845475E-12
1.549254E+3,	0.000000E+0
1.549258E+3,	0.000000E+0
1.549262E+3,	165.784356E-12
1.549266E+3,	0.000000E+0
1.549270E+3,	0.000000E+0
1.549274E+3,	911.095215E-12
1.549278E+3,	0.000000E+0
1.549282E+3,	0.000000E+0
1.549286E+3,	0.000000E+0
1.549290E+3,	0.000000E+0
1.549294E+3,	0.000000E+0
1.549298E+3,	0.000000E+0
1.549302E+3,	188.186994E-12
1.549306E+3,	0.000000E+0
1.549310E+3,	0.000000E+0
1.549314E+3,	0.000000E+0
1.549318E+3,	0.000000E+0
1.549322E+3,	0.000000E+0
1.549326E+3,	0.000000E+0
1.549330E+3,	240.370800E-12
1.549334E+3,	0.000000E+0
1.549338E+3,	300.009401E-12
1.549342E+3,	210.551469E-12
1.549346E+3,	0.000000E+0
1.549350E+3,	0.000000E+0
1.549354E+3,	598.340099E-12
1.549358E+3,	232.969581E-12
1.549362E+3,	0.000000E+0
1.549366E+3,	277.708848E-12
1.549370E+3,	1.060646E-9
1.549374E+3,	0.000000E+0
1.549378E+3,	0.000000E+0
1.549382E+3,	0.000000E+0
1.549386E+3,	0.000000E+0
1.549390E+3,	1.179950E-9
1.549394E+3,	46.556047E-12
1.549398E+3,	0.000000E+0
1.549402E+3,	0.000000E+0
1.549406E+3,	680.518783E-12
1.549410E+3,	0.000000E+0
1.549414E+3,	0.000000E+0
1.549418E+3,	270.314556E-12
1.549422E+3,	0.000000E+0
1.549426E+3,	993.765627E-12
1.549430E+3,	311.334973E-12
1.549434E+3,	0.000000E+0
1.549438E+3,	0.000000E+0
1.549442E+3,	0.000000E+0
1.549446E+3,	0.000000E+0
1.549450E+3,	0.000000E+0
1.549454E+3,	9.275482E-12
1.549458E+3,	121.149370E-12
1.549462E+3,	0.000000E+0
1.549466E+3,	106.257292E-12
1.549470E+3,	501.636061E-12
1.549474E+3,	0.000000E+0
1.549478E+3,	0.000000E+0
1.549482E+3,	0.000000E+0
1.549486E+3,	188.317018E-12
1.549490E+3,	0.000000E+0
1.549494E+3,	971.614563E-12
1.549498E+3,	412.116343E-12
1.549502E+3,	0.000000E+0
1.549506E+3,	330.056586E-12
1.549510E+3,	300.216712E-12
1.549514E+3,	121.177292E-12
1.549518E+3,	0.000000E+0
1.549522E+3,	270.439038E-12
1.549526E+3,	501.751580E-12
1.549530E+3,	0.000000E+0
1.549534E+3,	54.049932E-12
1.549538E+3,	121.205158E-12
1.549542E+3,	0.000000E+0
1.549546E+3,	0.000000E+0
1.549550E+3,	0.000000E+0
1.549554E+3,	54.049917E-12
1.549558E+3,	0.000000E+0
1.549562E+3,	31.664837E-12
1.549566E+3,	54.049921E-12
1.549570E+3,	0.000000E+0
1.549574E+3,	0.000000E+0
1.549578E+3,	240.647681E-12
1.549582E+3,	0.000000E+0
1.549586E+3,	121.233086E-12
1.549590E+3,	0.000000E+0
1.549594E+3,	1.016843E-9
1.549598E+3,	0.000000E+0
1.549602E+3,	0.000000E+0
1.549606E+3,	0.000000E+0
1.549610E+3,	0.000000E+0
1.549614E+3,	401.111031E-12
1.549618E+3,	0.000000E+0
1.549622E+3,	0.000000E+0
1.549626E+3,	0.000000E+0
1.549630E+3,	0.000000E+0
1.549634E+3,	210.842573E-12
1.549638E+3,	390.005712E-12
1.549642E+3,	0.000000E+0
1.549646E+3,	360.145217E-12
1.549650E+3,	31.679423E-12
1.549654E+3,	31.679409E-12
1.549658E+3,	524.378077E-12
1.549662E+3,	815.518249E-12
1.549666E+3,	0.000000E+0
1.549670E+3,	1.252228E-9
