YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 31/10/2023 Time: 14:55:48,	
A_WL(nm),	A_I(mW)
1.548878E+3,	0.000000E+0
1.548882E+3,	463.161560E-12
1.548886E+3,	143.194042E-12
1.548890E+3,	0.000000E+0
1.548894E+3,	0.000000E+0
1.548898E+3,	0.000000E+0
1.548902E+3,	500.367103E-12
1.548906E+3,	232.487323E-12
1.548910E+3,	0.000000E+0
1.548914E+3,	0.000000E+0
1.548918E+3,	0.000000E+0
1.548922E+3,	9.256281E-12
1.548926E+3,	0.000000E+0
1.548930E+3,	0.000000E+0
1.548934E+3,	813.080697E-12
1.548938E+3,	0.000000E+0
1.548942E+3,	0.000000E+0
1.548946E+3,	0.000000E+0
1.548950E+3,	76.241655E-12
1.548954E+3,	0.000000E+0
1.548958E+3,	0.000000E+0
1.548962E+3,	0.000000E+0
1.548966E+3,	154.426793E-12
1.548970E+3,	880.268749E-12
1.548974E+3,	0.000000E+0
1.548978E+3,	478.264000E-12
1.548982E+3,	46.481069E-12
1.548986E+3,	0.000000E+0
1.548990E+3,	0.000000E+0
1.548994E+3,	277.261563E-12
1.548998E+3,	0.000000E+0
1.549002E+3,	61.370134E-12
1.549006E+3,	0.000000E+0
1.549010E+3,	493.153066E-12
1.549014E+3,	500.597583E-12
1.549018E+3,	0.000000E+0
1.549022E+3,	0.000000E+0
1.549026E+3,	0.000000E+0
1.549030E+3,	902.810251E-12
1.549034E+3,	0.000000E+0
1.549038E+3,	0.000000E+0
1.549042E+3,	1.148536E-9
1.549046E+3,	9.260528E-12
1.549050E+3,	0.000000E+0
1.549054E+3,	0.000000E+0
1.549058E+3,	0.000000E+0
1.549062E+3,	0.000000E+0
1.549066E+3,	0.000000E+0
1.549070E+3,	0.000000E+0
1.549074E+3,	120.982104E-12
1.549078E+3,	389.108754E-12
1.549082E+3,	255.045437E-12
1.549086E+3,	188.013778E-12
1.549090E+3,	0.000000E+0
1.549094E+3,	0.000000E+0
1.549098E+3,	0.000000E+0
1.549102E+3,	0.000000E+0
1.549106E+3,	925.361963E-12
1.549110E+3,	552.963889E-12
1.549114E+3,	91.190263E-12
1.549118E+3,	634.891519E-12
1.549122E+3,	0.000000E+0
1.549126E+3,	0.000000E+0
1.549130E+3,	232.755107E-12
1.549134E+3,	0.000000E+0
1.549138E+3,	0.000000E+0
1.549142E+3,	0.000000E+0
1.549146E+3,	322.151250E-12
1.549150E+3,	0.000000E+0
1.549154E+3,	0.000000E+0
1.549158E+3,	0.000000E+0
1.549162E+3,	0.000000E+0
1.549166E+3,	329.600911E-12
1.549170E+3,	433.896424E-12
1.549174E+3,	567.990614E-12
1.549178E+3,	210.406060E-12
1.549182E+3,	0.000000E+0
1.549186E+3,	679.892290E-12
1.549190E+3,	0.000000E+0
1.549194E+3,	0.000000E+0
1.549198E+3,	0.000000E+0
1.549202E+3,	299.871273E-12
1.549206E+3,	288.694161E-12
1.549210E+3,	814.017392E-12
1.549214E+3,	322.225436E-12
1.549218E+3,	501.058832E-12
1.549222E+3,	0.000000E+0
1.549226E+3,	0.000000E+0
1.549230E+3,	0.000000E+0
1.549234E+3,	344.579599E-12
1.549238E+3,	985.399410E-12
1.549242E+3,	98.706401E-12
1.549246E+3,	221.682680E-12
1.549250E+3,	165.784341E-12
1.549254E+3,	0.000000E+0
1.549258E+3,	1.507344E-9
1.549262E+3,	42.808047E-12
1.549266E+3,	926.001463E-12
1.549270E+3,	501.174250E-12
1.549274E+3,	0.000000E+0
1.549278E+3,	106.159471E-12
1.549282E+3,	0.000000E+0
1.549286E+3,	0.000000E+0
1.549290E+3,	0.000000E+0
1.549294E+3,	0.000000E+0
1.549298E+3,	0.000000E+0
1.549302E+3,	0.000000E+0
1.549306E+3,	926.214708E-12
1.549310E+3,	881.485788E-12
1.549314E+3,	0.000000E+0
1.549318E+3,	836.756807E-12
1.549322E+3,	769.663365E-12
1.549326E+3,	1.149859E-9
1.549330E+3,	590.747563E-12
1.549334E+3,	374.557652E-12
1.549338E+3,	136.003218E-12
1.549342E+3,	300.009339E-12
1.549346E+3,	188.187009E-12
1.549350E+3,	0.000000E+0
1.549354E+3,	0.000000E+0
1.549358E+3,	0.000000E+0
1.549362E+3,	0.000000E+0
1.549366E+3,	106.208378E-12
1.549370E+3,	0.000000E+0
1.549374E+3,	557.329158E-12
1.549378E+3,	0.000000E+0
1.549382E+3,	210.599971E-12
1.549386E+3,	590.883604E-12
1.549390E+3,	0.000000E+0
1.549394E+3,	538.687764E-12
1.549398E+3,	635.622824E-12
1.549402E+3,	0.000000E+0
1.549406E+3,	0.000000E+0
1.549410E+3,	0.000000E+0
1.549414E+3,	904.266582E-12
1.549418E+3,	0.000000E+0
1.549422E+3,	0.000000E+0
1.549426E+3,	0.000000E+0
1.549430E+3,	20.462891E-12
1.549434E+3,	0.000000E+0
1.549438E+3,	881.891821E-12
1.549442E+3,	0.000000E+0
1.549446E+3,	0.000000E+0
1.549450E+3,	54.025035E-12
1.549454E+3,	837.142236E-12
1.549458E+3,	0.000000E+0
1.549462E+3,	1.046214E-9
1.549466E+3,	0.000000E+0
1.549470E+3,	0.000000E+0
1.549474E+3,	0.000000E+0
1.549478E+3,	0.000000E+0
1.549482E+3,	277.836736E-12
1.549486E+3,	0.000000E+0
1.549490E+3,	882.094845E-12
1.549494E+3,	374.816476E-12
1.549498E+3,	210.696978E-12
1.549502E+3,	98.797324E-12
1.549506E+3,	210.696978E-12
1.549510E+3,	747.815300E-12
1.549514E+3,	0.000000E+0
1.549518E+3,	0.000000E+0
1.549522E+3,	0.000000E+0
1.549526E+3,	0.000000E+0
1.549530E+3,	0.000000E+0
1.549534E+3,	479.366481E-12
1.549538E+3,	1.016609E-9
1.549542E+3,	449.519704E-12
1.549546E+3,	904.683108E-12
1.549550E+3,	0.000000E+0
1.549554E+3,	0.000000E+0
1.549558E+3,	0.000000E+0
1.549562E+3,	0.000000E+0
1.549566E+3,	0.000000E+0
1.549570E+3,	300.285785E-12
1.549574E+3,	0.000000E+0
1.549578E+3,	0.000000E+0
1.549582E+3,	0.000000E+0
1.549586E+3,	0.000000E+0
1.549590E+3,	554.110999E-12
1.549594E+3,	0.000000E+0
1.549598E+3,	554.110999E-12
1.549602E+3,	0.000000E+0
1.549606E+3,	613.818301E-12
1.549610E+3,	1.285526E-9
1.549614E+3,	0.000000E+0
1.549618E+3,	76.452648E-12
1.549622E+3,	0.000000E+0
1.549626E+3,	1.419867E-9
1.549630E+3,	0.000000E+0
1.549634E+3,	0.000000E+0
1.549638E+3,	390.005743E-12
1.549642E+3,	0.000000E+0
1.549646E+3,	255.633362E-12
1.549650E+3,	404.935943E-12
1.549654E+3,	0.000000E+0
1.549658E+3,	0.000000E+0
1.549662E+3,	599.029422E-12
1.549666E+3,	1.196240E-9
1.549670E+3,	225.772836E-12
1.549674E+3,	0.000000E+0
1.549678E+3,	225.772820E-12
1.549682E+3,	0.000000E+0
1.549686E+3,	509.565132E-12
1.549690E+3,	673.835906E-12
1.549694E+3,	994.910463E-12
1.549698E+3,	434.896658E-12
1.549702E+3,	0.000000E+0
1.549706E+3,	0.000000E+0
1.549710E+3,	0.000000E+0
1.549714E+3,	233.291679E-12
1.549718E+3,	793.305452E-12
1.549722E+3,	255.692215E-12
1.549726E+3,	449.830328E-12
1.549730E+3,	770.904916E-12
1.549734E+3,	688.769576E-12
1.549738E+3,	322.893885E-12
1.549742E+3,	196.002552E-12
1.549746E+3,	673.991018E-12
1.549750E+3,	1.331225E-9
1.549754E+3,	9.288297E-12
1.549758E+3,	1.002608E-9
1.549762E+3,	942.859539E-12
1.549766E+3,	524.619618E-12
1.549770E+3,	860.705285E-12
1.549774E+3,	0.000000E+0
1.549778E+3,	838.299528E-12
1.549782E+3,	539.556789E-12
1.549786E+3,	524.619618E-12
1.549790E+3,	31.694021E-12
1.549794E+3,	972.733882E-12
1.549798E+3,	240.869444E-12
1.549802E+3,	591.973055E-12
1.549806E+3,	0.000000E+0
1.549810E+3,	0.000000E+0
1.549814E+3,	1.406235E-9
1.549818E+3,	0.000000E+0
1.549822E+3,	0.000000E+0
1.549826E+3,	0.000000E+0
1.549830E+3,	1.346472E-9
1.549834E+3,	838.492638E-12
1.549838E+3,	0.000000E+0
1.549842E+3,	0.000000E+0
1.549846E+3,	614.383909E-12
1.549850E+3,	323.117009E-12
1.549854E+3,	0.000000E+0
1.549858E+3,	0.000000E+0
1.549862E+3,	0.000000E+0
1.549866E+3,	54.124649E-12
1.549870E+3,	0.000000E+0
1.549874E+3,	0.000000E+0
1.549878E+3,	0.000000E+0
1.549882E+3,	323.117009E-12
1.549886E+3,	196.092835E-12
1.549890E+3,	278.284917E-12
1.549894E+3,	0.000000E+0
1.549898E+3,	0.000000E+0
1.549902E+3,	659.357547E-12
1.549906E+3,	278.349033E-12
1.549910E+3,	0.000000E+0
1.549914E+3,	0.000000E+0
1.549918E+3,	226.032916E-12
1.549922E+3,	0.000000E+0
1.549926E+3,	0.000000E+0
1.549930E+3,	405.402474E-12
1.549934E+3,	0.000000E+0
1.549938E+3,	323.191418E-12
1.549942E+3,	0.000000E+0
1.549946E+3,	0.000000E+0
1.549950E+3,	0.000000E+0
1.549954E+3,	0.000000E+0
1.549958E+3,	390.454981E-12
1.549962E+3,	233.560420E-12
1.549966E+3,	0.000000E+0
1.549970E+3,	0.000000E+0
1.549974E+3,	584.906711E-12
1.549978E+3,	771.793027E-12
1.549982E+3,	569.955776E-12
1.549986E+3,	738.153423E-12
1.549990E+3,	1.579142E-9
1.549994E+3,	233.560420E-12
1.549998E+3,	390.544897E-12
1.550002E+3,	375.594024E-12
1.550006E+3,	0.000000E+0
1.550010E+3,	502.676692E-12
1.550014E+3,	31.723237E-12
1.550018E+3,	188.707724E-12
1.550022E+3,	0.000000E+0
1.550026E+3,	0.000000E+0
1.550030E+3,	0.000000E+0
1.550034E+3,	727.107625E-12
1.550038E+3,	824.310896E-12
1.550042E+3,	480.360946E-12
1.550046E+3,	0.000000E+0
1.550050E+3,	166.319644E-12
1.550054E+3,	0.000000E+0
1.550058E+3,	0.000000E+0
1.550062E+3,	0.000000E+0
1.550066E+3,	0.000000E+0
1.550070E+3,	345.771824E-12
1.550074E+3,	0.000000E+0
1.550078E+3,	0.000000E+0
1.550082E+3,	54.162026E-12
1.550086E+3,	405.589212E-12
1.550090E+3,	76.593562E-12
1.550094E+3,	420.543527E-12
1.550098E+3,	1.288192E-9
1.550102E+3,	330.893628E-12
1.550106E+3,	0.000000E+0
1.550110E+3,	480.471566E-12
1.550114E+3,	0.000000E+0
1.550118E+3,	76.611185E-12
1.550122E+3,	300.978077E-12
1.550126E+3,	0.000000E+0
1.550130E+3,	151.400154E-12
1.550134E+3,	0.000000E+0
1.550138E+3,	0.000000E+0
1.550142E+3,	0.000000E+0
1.550146E+3,	0.000000E+0
1.550150E+3,	0.000000E+0
1.550154E+3,	0.000000E+0
1.550158E+3,	0.000000E+0
1.550162E+3,	0.000000E+0
1.550166E+3,	1.490122E-9
1.550170E+3,	301.047388E-12
1.550174E+3,	0.000000E+0
1.550178E+3,	570.349624E-12
1.550182E+3,	345.931063E-12
1.550186E+3,	637.675198E-12
1.550190E+3,	91.590071E-12
1.550194E+3,	1.153838E-9
1.550198E+3,	570.349624E-12
1.550202E+3,	345.931063E-12
1.550206E+3,	0.000000E+0
1.550210E+3,	256.163682E-12
