YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 10/11/2023 Time: 14:14:28,	
A_WL(nm),	A_I(mW)
1.556000E+3,	0.000000E+0
1.556004E+3,	1.486226E-9
1.556008E+3,	233.502923E-12
1.556012E+3,	0.000000E+0
1.556016E+3,	61.109777E-12
1.556020E+3,	199.024288E-12
1.556024E+3,	351.715375E-12
1.556028E+3,	0.000000E+0
1.556032E+3,	0.000000E+0
1.556036E+3,	0.000000E+0
1.556040E+3,	0.000000E+0
1.556044E+3,	463.467146E-12
1.556048E+3,	658.891053E-12
1.556052E+3,	463.467146E-12
1.556056E+3,	220.418949E-12
1.556060E+3,	831.323867E-12
1.556064E+3,	291.034300E-12
1.556068E+3,	404.347293E-12
1.556072E+3,	727.864140E-12
1.556076E+3,	49.628315E-12
1.556080E+3,	164.583560E-12
1.556084E+3,	272.969920E-12
1.556088E+3,	0.000000E+0
1.556092E+3,	270.342323E-12
1.556096E+3,	15.141760E-12
1.556100E+3,	154.730262E-12
1.556104E+3,	796.837291E-12
1.556108E+3,	178.378191E-12
1.556112E+3,	103.274099E-12
1.556116E+3,	210.565650E-12
1.556120E+3,	0.000000E+0
1.556124E+3,	0.000000E+0
1.556128E+3,	685.871904E-12
1.556132E+3,	0.000000E+0
1.556136E+3,	0.000000E+0
1.556140E+3,	629.147495E-12
1.556144E+3,	478.904832E-12
1.556148E+3,	647.544528E-12
1.556152E+3,	0.000000E+0
1.556156E+3,	452.075682E-12
1.556160E+3,	0.000000E+0
1.556164E+3,	199.115995E-12
1.556168E+3,	0.000000E+0
1.556172E+3,	0.000000E+0
1.556176E+3,	0.000000E+0
1.556180E+3,	298.000256E-12
1.556184E+3,	215.213383E-12
1.556188E+3,	0.000000E+0
1.556192E+3,	210.614125E-12
1.556196E+3,	500.368006E-12
1.556200E+3,	0.000000E+0
1.556204E+3,	233.610496E-12
1.556208E+3,	0.000000E+0
1.556212E+3,	77.235386E-12
1.556216E+3,	0.000000E+0
1.556220E+3,	544.186329E-12
1.556224E+3,	969.716637E-12
1.556228E+3,	491.282598E-12
1.556232E+3,	509.683900E-12
1.556236E+3,	762.701936E-12
1.556240E+3,	1.153730E-9
1.556244E+3,	0.000000E+0
1.556248E+3,	310.336363E-12
1.556252E+3,	0.000000E+0
1.556256E+3,	0.000000E+0
1.556260E+3,	220.520463E-12
1.556264E+3,	95.654434E-12
1.556268E+3,	0.000000E+0
1.556272E+3,	0.000000E+0
1.556276E+3,	693.696950E-12
1.556280E+3,	0.000000E+0
1.556284E+3,	380.874723E-12
1.556288E+3,	0.000000E+0
1.556292E+3,	325.670818E-12
1.556296E+3,	295.001971E-12
1.556300E+3,	518.884535E-12
1.556304E+3,	0.000000E+0
1.556308E+3,	521.184710E-12
1.556312E+3,	0.000000E+0
1.556316E+3,	362.556894E-12
1.556320E+3,	0.000000E+0
1.556324E+3,	233.718070E-12
1.556328E+3,	0.000000E+0
1.556332E+3,	95.676469E-12
1.556336E+3,	69.382859E-12
1.556340E+3,	0.000000E+0
1.556344E+3,	0.000000E+0
1.556348E+3,	181.130801E-12
1.556352E+3,	0.000000E+0
1.556356E+3,	0.000000E+0
1.556360E+3,	0.000000E+0
1.556364E+3,	213.997857E-12
1.556368E+3,	0.000000E+0
1.556372E+3,	509.801305E-12
1.556376E+3,	0.000000E+0
1.556380E+3,	0.000000E+0
1.556384E+3,	130.186892E-12
1.556388E+3,	509.801305E-12
1.556392E+3,	0.000000E+0
1.556396E+3,	440.780460E-12
1.556400E+3,	0.000000E+0
1.556404E+3,	0.000000E+0
1.556408E+3,	575.667888E-12
1.556412E+3,	740.040976E-12
1.556416E+3,	0.000000E+0
1.556420E+3,	222.265785E-12
1.556424E+3,	69.398829E-12
1.556428E+3,	0.000000E+0
1.556432E+3,	0.000000E+0
1.556436E+3,	0.000000E+0
1.556440E+3,	222.265785E-12
1.556444E+3,	1.025393E-9
1.556448E+3,	0.000000E+0
1.556452E+3,	0.000000E+0
1.556456E+3,	0.000000E+0
1.556460E+3,	758.450721E-12
1.556464E+3,	0.000000E+0
1.556468E+3,	16.799452E-12
1.556472E+3,	0.000000E+0
1.556476E+3,	0.000000E+0
1.556480E+3,	0.000000E+0
1.556484E+3,	3.649635E-12
1.556488E+3,	0.000000E+0
1.556492E+3,	0.000000E+0
1.556496E+3,	763.228910E-12
1.556500E+3,	0.000000E+0
1.556504E+3,	3.650457E-12
1.556508E+3,	0.000000E+0
1.556512E+3,	118.738102E-12
1.556516E+3,	291.369559E-12
1.556520E+3,	795.453480E-12
1.556524E+3,	571.416210E-12
