YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 10/11/2023 Time: 14:15:21,	
A_WL(nm),	A_I(mW)
1.556000E+3,	0.000000E+0
1.556004E+3,	0.000000E+0
1.556008E+3,	0.000000E+0
1.556012E+3,	0.000000E+0
1.556016E+3,	0.000000E+0
1.556020E+3,	713.703125E-12
1.556024E+3,	315.283396E-12
1.556028E+3,	58.609200E-12
1.556032E+3,	0.000000E+0
1.556036E+3,	0.000000E+0
1.556040E+3,	0.000000E+0
1.556044E+3,	323.019667E-12
1.556048E+3,	0.000000E+0
1.556052E+3,	0.000000E+0
1.556056E+3,	238.719184E-12
1.556060E+3,	0.000000E+0
1.556064E+3,	0.000000E+0
1.556068E+3,	0.000000E+0
1.556072E+3,	483.956998E-12
1.556076E+3,	0.000000E+0
1.556080E+3,	364.403557E-12
1.556084E+3,	0.000000E+0
1.556088E+3,	391.992818E-12
1.556092E+3,	649.492497E-12
1.556096E+3,	51.725349E-12
1.556100E+3,	0.000000E+0
1.556104E+3,	621.903300E-12
1.556108E+3,	419.582078E-12
1.556112E+3,	0.000000E+0
1.556116E+3,	403.488364E-12
1.556120E+3,	0.000000E+0
1.556124E+3,	0.000000E+0
1.556128E+3,	0.000000E+0
1.556132E+3,	265.603244E-12
1.556136E+3,	649.642129E-12
1.556140E+3,	0.000000E+0
1.556144E+3,	556.342670E-12
1.556148E+3,	0.000000E+0
1.556152E+3,	5.744583E-12
1.556156E+3,	0.000000E+0
1.556160E+3,	645.042775E-12
1.556164E+3,	0.000000E+0
1.556168E+3,	603.649482E-12
1.556172E+3,	0.000000E+0
1.556176E+3,	0.000000E+0
1.556180E+3,	0.000000E+0
1.556184E+3,	0.000000E+0
1.556188E+3,	0.000000E+0
1.556192E+3,	426.577573E-12
1.556196E+3,	263.303583E-12
1.556200E+3,	0.000000E+0
1.556204E+3,	0.000000E+0
1.556208E+3,	42.538744E-12
1.556212E+3,	12.643493E-12
1.556216E+3,	43.852798E-12
1.556220E+3,	277.165250E-12
1.556224E+3,	318.568171E-12
1.556228E+3,	449.677491E-12
1.556232E+3,	0.000000E+0
1.556236E+3,	219.661122E-12
1.556240E+3,	0.000000E+0
1.556244E+3,	0.000000E+0
1.556248E+3,	76.722392E-12
1.556252E+3,	0.000000E+0
1.556256E+3,	449.677459E-12
1.556260E+3,	0.000000E+0
1.556264E+3,	0.000000E+0
1.556268E+3,	0.000000E+0
1.556272E+3,	438.176649E-12
1.556276E+3,	0.000000E+0
1.556280E+3,	553.184841E-12
1.556284E+3,	219.661122E-12
1.556288E+3,	0.000000E+0
1.556292E+3,	0.000000E+0
1.556296E+3,	208.160297E-12
1.556300E+3,	0.000000E+0
1.556304E+3,	300.166838E-12
1.556308E+3,	0.000000E+0
1.556312E+3,	447.480340E-12
1.556316E+3,	0.000000E+0
1.556320E+3,	0.000000E+0
1.556324E+3,	0.000000E+0
1.556328E+3,	1.070968E-9
1.556332E+3,	254.222097E-12
1.556336E+3,	149.047559E-12
1.556340E+3,	0.000000E+0
1.556344E+3,	0.000000E+0
1.556348E+3,	0.000000E+0
1.556352E+3,	541.808741E-12
1.556356E+3,	0.000000E+0
1.556360E+3,	0.000000E+0
1.556364E+3,	96.460290E-12
1.556368E+3,	978.940533E-12
1.556372E+3,	127.683978E-12
1.556376E+3,	0.000000E+0
1.556380E+3,	477.718046E-12
1.556384E+3,	0.000000E+0
1.556388E+3,	0.000000E+0
1.556392E+3,	0.000000E+0
1.556396E+3,	0.000000E+0
1.556400E+3,	0.000000E+0
1.556404E+3,	309.509974E-12
1.556408E+3,	11.008495E-12
1.556412E+3,	0.000000E+0
1.556416E+3,	323.317316E-12
1.556420E+3,	79.387695E-12
1.556424E+3,	0.000000E+0
1.556428E+3,	330.988075E-12
1.556432E+3,	0.000000E+0
1.556436E+3,	149.081867E-12
1.556440E+3,	0.000000E+0
1.556444E+3,	12.652224E-12
1.556448E+3,	852.598629E-12
1.556452E+3,	227.980951E-12
1.556456E+3,	453.720002E-12
1.556460E+3,	0.000000E+0
1.556464E+3,	0.000000E+0
1.556468E+3,	346.329594E-12
1.556472E+3,	545.768956E-12
1.556476E+3,	567.246992E-12
1.556480E+3,	168.806686E-12
1.556484E+3,	0.000000E+0
1.556488E+3,	0.000000E+0
1.556492E+3,	60.991947E-12
1.556496E+3,	392.444408E-12
1.556500E+3,	285.029205E-12
1.556504E+3,	88.612985E-12
1.556508E+3,	281.960272E-12
1.556512E+3,	556.855316E-12
1.556516E+3,	591.929665E-12
1.556520E+3,	0.000000E+0
1.556524E+3,	201.727690E-12
1.556528E+3,	177.614115E-12
1.556532E+3,	14.956903E-12
1.556536E+3,	0.000000E+0
1.556540E+3,	57.046091E-12
1.556544E+3,	0.000000E+0
1.556548E+3,	0.000000E+0
1.556552E+3,	466.100477E-12
1.556556E+3,	0.000000E+0
1.556560E+3,	0.000000E+0
1.556564E+3,	79.405961E-12
1.556568E+3,	0.000000E+0
1.556572E+3,	377.099388E-12
1.556576E+3,	0.000000E+0
1.556580E+3,	0.000000E+0
1.556584E+3,	0.000000E+0
1.556588E+3,	0.000000E+0
1.556592E+3,	0.000000E+0
1.556596E+3,	0.000000E+0
1.556600E+3,	0.000000E+0
1.556604E+3,	231.374954E-12
1.556608E+3,	420.162185E-12
1.556612E+3,	0.000000E+0
1.556616E+3,	0.000000E+0
1.556620E+3,	0.000000E+0
1.556624E+3,	0.000000E+0
1.556628E+3,	62.540821E-12
1.556632E+3,	0.000000E+0
1.556636E+3,	0.000000E+0
1.556640E+3,	0.000000E+0
1.556644E+3,	193.003570E-12
1.556648E+3,	47.192296E-12
1.556652E+3,	0.000000E+0
1.556656E+3,	0.000000E+0
1.556660E+3,	1.067871E-9
1.556664E+3,	401.743927E-12
1.556668E+3,	0.000000E+0
1.556672E+3,	0.000000E+0
1.556676E+3,	392.625145E-12
1.556680E+3,	0.000000E+0
1.556684E+3,	0.000000E+0
1.556688E+3,	592.202322E-12
1.556692E+3,	0.000000E+0
1.556696E+3,	0.000000E+0
1.556700E+3,	0.000000E+0
