YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 10/11/2023 Time: 15:07:38,	
A_WL(nm),	A_I(mW)
1.556050E+3,	15.755946E-15
1.556054E+3,	0.000000E+0
1.556058E+3,	0.000000E+0
1.556062E+3,	0.000000E+0
1.556066E+3,	0.000000E+0
1.556070E+3,	0.000000E+0
1.556074E+3,	7.983060E-12
1.556078E+3,	0.000000E+0
1.556082E+3,	0.000000E+0
1.556086E+3,	0.000000E+0
1.556090E+3,	2.366157E-12
1.556094E+3,	2.171525E-12
1.556098E+3,	0.000000E+0
1.556102E+3,	7.551515E-12
1.556106E+3,	0.000000E+0
1.556110E+3,	0.000000E+0
1.556114E+3,	4.343075E-12
1.556118E+3,	5.836516E-12
1.556122E+3,	14.057452E-12
1.556126E+3,	5.631783E-12
1.556130E+3,	10.294055E-12
1.556134E+3,	0.000000E+0
1.556138E+3,	3.689200E-12
1.556142E+3,	0.000000E+0
1.556146E+3,	4.043800E-12
1.556150E+3,	7.594201E-12
1.556154E+3,	0.000000E+0
1.556158E+3,	8.726201E-12
1.556162E+3,	0.000000E+0
1.556166E+3,	0.000000E+0
1.556170E+3,	0.000000E+0
1.556174E+3,	18.631453E-12
1.556178E+3,	0.000000E+0
1.556182E+3,	0.000000E+0
1.556186E+3,	0.000000E+0
1.556190E+3,	0.000000E+0
1.556194E+3,	0.000000E+0
1.556198E+3,	6.107196E-12
1.556202E+3,	4.333293E-12
1.556206E+3,	9.476886E-12
1.556210E+3,	0.000000E+0
1.556214E+3,	0.000000E+0
1.556218E+3,	0.000000E+0
1.556222E+3,	6.816917E-12
1.556226E+3,	0.000000E+0
1.556230E+3,	0.000000E+0
1.556234E+3,	0.000000E+0
1.556238E+3,	0.000000E+0
1.556242E+3,	10.732313E-12
1.556246E+3,	2.541817E-12
1.556250E+3,	0.000000E+0
1.556254E+3,	0.000000E+0
1.556258E+3,	17.549315E-12
1.556262E+3,	0.000000E+0
1.556266E+3,	0.000000E+0
1.556270E+3,	0.000000E+0
1.556274E+3,	0.000000E+0
1.556278E+3,	19.991086E-12
1.556282E+3,	13.131826E-12
1.556286E+3,	7.223036E-12
1.556290E+3,	0.000000E+0
1.556294E+3,	9.452907E-12
1.556298E+3,	0.000000E+0
1.556302E+3,	3.630770E-12
1.556306E+3,	0.000000E+0
1.556310E+3,	0.000000E+0
1.556314E+3,	0.000000E+0
1.556318E+3,	0.000000E+0
1.556322E+3,	0.000000E+0
1.556326E+3,	7.664345E-12
1.556330E+3,	2.671078E-12
1.556334E+3,	0.000000E+0
1.556338E+3,	8.767772E-12
1.556342E+3,	1.896689E-12
1.556346E+3,	0.000000E+0
1.556350E+3,	0.000000E+0
1.556354E+3,	0.000000E+0
1.556358E+3,	219.046518E-15
1.556362E+3,	0.000000E+0
1.556366E+3,	0.000000E+0
1.556370E+3,	1.577628E-12
1.556374E+3,	7.189124E-12
1.556378E+3,	9.819415E-12
1.556382E+3,	0.000000E+0
1.556386E+3,	7.819033E-12
1.556390E+3,	20.280784E-12
1.556394E+3,	797.453870E-15
1.556398E+3,	0.000000E+0
1.556402E+3,	0.000000E+0
1.556406E+3,	97.830125E-15
1.556410E+3,	1.210799E-12
1.556414E+3,	2.702964E-12
1.556418E+3,	0.000000E+0
1.556422E+3,	0.000000E+0
1.556426E+3,	1.238769E-12
1.556430E+3,	5.573950E-12
1.556434E+3,	0.000000E+0
1.556438E+3,	6.618670E-12
1.556442E+3,	0.000000E+0
1.556446E+3,	0.000000E+0
1.556450E+3,	0.000000E+0
1.556454E+3,	0.000000E+0
1.556458E+3,	0.000000E+0
1.556462E+3,	0.000000E+0
1.556466E+3,	2.082675E-12
1.556470E+3,	0.000000E+0
1.556474E+3,	5.339007E-12
1.556478E+3,	10.701672E-12
1.556482E+3,	6.854219E-12
1.556486E+3,	0.000000E+0
1.556490E+3,	7.538293E-12
1.556494E+3,	0.000000E+0
1.556498E+3,	1.258237E-12
1.556502E+3,	6.638375E-12
1.556506E+3,	2.696036E-12
1.556510E+3,	0.000000E+0
1.556514E+3,	4.282331E-12
1.556518E+3,	0.000000E+0
1.556522E+3,	0.000000E+0
1.556526E+3,	0.000000E+0
1.556530E+3,	0.000000E+0
1.556534E+3,	0.000000E+0
1.556538E+3,	0.000000E+0
1.556542E+3,	6.010499E-12
1.556546E+3,	2.088824E-12
1.556550E+3,	0.000000E+0
1.556554E+3,	0.000000E+0
1.556558E+3,	5.334860E-12
1.556562E+3,	5.925129E-12
1.556566E+3,	3.384139E-12
1.556570E+3,	0.000000E+0
1.556574E+3,	5.672380E-12
1.556578E+3,	0.000000E+0
1.556582E+3,	18.146945E-12
1.556586E+3,	0.000000E+0
1.556590E+3,	0.000000E+0
1.556594E+3,	2.186396E-12
1.556598E+3,	0.000000E+0
1.556602E+3,	159.186109E-15
1.556606E+3,	0.000000E+0
1.556610E+3,	13.246048E-12
1.556614E+3,	0.000000E+0
1.556618E+3,	0.000000E+0
1.556622E+3,	0.000000E+0
1.556626E+3,	0.000000E+0
1.556630E+3,	0.000000E+0
1.556634E+3,	1.154711E-12
1.556638E+3,	0.000000E+0
1.556642E+3,	4.184777E-12
1.556646E+3,	13.236160E-12
1.556650E+3,	3.698763E-12
1.556654E+3,	11.003265E-12
1.556658E+3,	0.000000E+0
1.556662E+3,	0.000000E+0
1.556666E+3,	0.000000E+0
1.556670E+3,	0.000000E+0
1.556674E+3,	4.058787E-12
1.556678E+3,	4.884829E-12
1.556682E+3,	0.000000E+0
1.556686E+3,	2.686893E-12
1.556690E+3,	0.000000E+0
1.556694E+3,	4.426655E-12
1.556698E+3,	9.047361E-12
1.556702E+3,	8.101098E-12
1.556706E+3,	3.109736E-12
1.556710E+3,	2.684329E-12
1.556714E+3,	0.000000E+0
1.556718E+3,	10.999232E-12
1.556722E+3,	2.226462E-12
1.556726E+3,	8.800623E-12
1.556730E+3,	2.709148E-12
1.556734E+3,	6.887146E-12
1.556738E+3,	0.000000E+0
1.556742E+3,	12.145255E-12
1.556746E+3,	9.020161E-12
1.556750E+3,	2.276044E-12
1.556754E+3,	11.784567E-12
1.556758E+3,	0.000000E+0
1.556762E+3,	3.206901E-12
1.556766E+3,	0.000000E+0
1.556770E+3,	12.507449E-12
1.556774E+3,	0.000000E+0
1.556778E+3,	7.056710E-12
1.556782E+3,	13.605299E-12
1.556786E+3,	6.164536E-12
1.556790E+3,	4.225099E-12
1.556794E+3,	6.992118E-12
1.556798E+3,	2.671278E-12
1.556802E+3,	0.000000E+0
1.556806E+3,	6.738353E-12
1.556810E+3,	0.000000E+0
1.556814E+3,	0.000000E+0
1.556818E+3,	0.000000E+0
1.556822E+3,	0.000000E+0
1.556826E+3,	0.000000E+0
1.556830E+3,	2.947212E-12
1.556834E+3,	0.000000E+0
1.556838E+3,	0.000000E+0
1.556842E+3,	4.542142E-12
1.556846E+3,	0.000000E+0
1.556850E+3,	7.057909E-12
1.556854E+3,	0.000000E+0
1.556858E+3,	4.784524E-12
1.556862E+3,	0.000000E+0
1.556866E+3,	0.000000E+0
1.556870E+3,	0.000000E+0
1.556874E+3,	0.000000E+0
1.556878E+3,	0.000000E+0
1.556882E+3,	8.719288E-12
1.556886E+3,	0.000000E+0
1.556890E+3,	10.227131E-12
1.556894E+3,	11.628361E-12
1.556898E+3,	0.000000E+0
1.556902E+3,	6.316011E-12
1.556906E+3,	0.000000E+0
1.556910E+3,	3.976049E-12
1.556914E+3,	12.551351E-12
1.556918E+3,	798.555229E-15
1.556922E+3,	2.142679E-12
1.556926E+3,	0.000000E+0
1.556930E+3,	0.000000E+0
1.556934E+3,	14.870172E-12
1.556938E+3,	0.000000E+0
1.556942E+3,	0.000000E+0
1.556946E+3,	0.000000E+0
1.556950E+3,	2.342816E-12
1.556954E+3,	1.970317E-12
1.556958E+3,	6.107103E-12
1.556962E+3,	25.112017E-12
1.556966E+3,	501.042744E-15
1.556970E+3,	0.000000E+0
1.556974E+3,	0.000000E+0
1.556978E+3,	4.791412E-12
1.556982E+3,	1.826271E-12
1.556986E+3,	5.133538E-12
1.556990E+3,	0.000000E+0
1.556994E+3,	0.000000E+0
1.556998E+3,	0.000000E+0
1.557002E+3,	0.000000E+0
1.557006E+3,	2.390327E-12
1.557010E+3,	0.000000E+0
1.557014E+3,	5.168149E-12
1.557018E+3,	1.357869E-12
1.557022E+3,	204.863467E-15
1.557026E+3,	10.574694E-12
1.557030E+3,	0.000000E+0
1.557034E+3,	20.764847E-12
1.557038E+3,	88.110658E-15
1.557042E+3,	0.000000E+0
1.557046E+3,	3.898429E-12
1.557050E+3,	7.142979E-12
1.557054E+3,	6.562110E-12
1.557058E+3,	0.000000E+0
1.557062E+3,	19.296475E-12
1.557066E+3,	8.819356E-12
1.557070E+3,	4.908995E-12
1.557074E+3,	0.000000E+0
1.557078E+3,	0.000000E+0
1.557082E+3,	4.109554E-12
1.557086E+3,	1.373495E-12
1.557090E+3,	4.410520E-12
1.557094E+3,	16.486799E-12
1.557098E+3,	0.000000E+0
1.557102E+3,	12.691589E-12
1.557106E+3,	6.489565E-12
1.557110E+3,	0.000000E+0
1.557114E+3,	0.000000E+0
1.557118E+3,	22.908074E-12
1.557122E+3,	15.461627E-12
1.557126E+3,	12.930430E-12
1.557130E+3,	8.109711E-12
1.557134E+3,	11.990120E-12
1.557138E+3,	14.140696E-12
1.557142E+3,	2.194205E-12
1.557146E+3,	13.466372E-12
1.557150E+3,	0.000000E+0
1.557154E+3,	18.804802E-12
1.557158E+3,	12.375298E-12
1.557162E+3,	8.297274E-12
1.557166E+3,	19.077615E-12
1.557170E+3,	18.840735E-12
1.557174E+3,	10.507510E-12
1.557178E+3,	3.235615E-12
1.557182E+3,	13.922384E-12
1.557186E+3,	10.035429E-12
1.557190E+3,	1.630916E-12
1.557194E+3,	0.000000E+0
1.557198E+3,	19.149478E-12
1.557202E+3,	5.611186E-12
1.557206E+3,	12.848459E-12
1.557210E+3,	5.170529E-12
1.557214E+3,	12.863002E-12
1.557218E+3,	34.321019E-12
1.557222E+3,	36.106758E-12
1.557226E+3,	21.391831E-12
1.557230E+3,	28.213878E-12
1.557234E+3,	28.676601E-12
1.557238E+3,	42.944103E-12
1.557242E+3,	57.557583E-12
1.557246E+3,	59.537935E-12
1.557250E+3,	84.288658E-12
1.557254E+3,	85.306289E-12
1.557258E+3,	93.217993E-12
1.557262E+3,	81.717304E-12
1.557266E+3,	60.559231E-12
1.557270E+3,	60.301747E-12
1.557274E+3,	55.818317E-12
1.557278E+3,	50.039378E-12
1.557282E+3,	30.791278E-12
1.557286E+3,	34.329812E-12
1.557290E+3,	31.369372E-12
1.557294E+3,	22.507684E-12
1.557298E+3,	9.326853E-12
1.557302E+3,	5.803180E-12
1.557306E+3,	10.139953E-12
1.557310E+3,	4.205541E-12
1.557314E+3,	28.721161E-12
1.557318E+3,	44.776470E-12
