YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 10/11/2023 Time: 15:26:11,	
A_WL(nm),	A_I(mW)
1.554484E+3,	4.243012E-12
1.554488E+3,	0.000000E+0
1.554492E+3,	48.569373E-12
1.554496E+3,	3.955977E-12
1.554500E+3,	0.000000E+0
1.554504E+3,	7.564412E-12
1.554508E+3,	0.000000E+0
1.554512E+3,	0.000000E+0
1.554516E+3,	0.000000E+0
1.554520E+3,	0.000000E+0
1.554524E+3,	0.000000E+0
1.554528E+3,	0.000000E+0
1.554532E+3,	0.000000E+0
1.554536E+3,	0.000000E+0
1.554540E+3,	0.000000E+0
1.554544E+3,	9.239545E-12
1.554548E+3,	9.385703E-12
1.554552E+3,	0.000000E+0
1.554556E+3,	0.000000E+0
1.554560E+3,	7.403803E-12
1.554564E+3,	53.663786E-12
1.554568E+3,	0.000000E+0
1.554572E+3,	0.000000E+0
1.554576E+3,	5.565933E-12
1.554580E+3,	0.000000E+0
1.554584E+3,	0.000000E+0
1.554588E+3,	0.000000E+0
1.554592E+3,	2.287539E-12
1.554596E+3,	75.520787E-12
1.554600E+3,	0.000000E+0
1.554604E+3,	0.000000E+0
1.554608E+3,	26.937357E-12
1.554612E+3,	0.000000E+0
1.554616E+3,	0.000000E+0
1.554620E+3,	0.000000E+0
1.554624E+3,	0.000000E+0
1.554628E+3,	0.000000E+0
1.554632E+3,	0.000000E+0
1.554636E+3,	0.000000E+0
1.554640E+3,	0.000000E+0
1.554644E+3,	42.047289E-12
1.554648E+3,	0.000000E+0
1.554652E+3,	0.000000E+0
1.554656E+3,	0.000000E+0
1.554660E+3,	37.778840E-12
1.554664E+3,	0.000000E+0
1.554668E+3,	37.065028E-12
1.554672E+3,	43.042233E-12
1.554676E+3,	0.000000E+0
1.554680E+3,	71.614553E-12
1.554684E+3,	0.000000E+0
1.554688E+3,	0.000000E+0
1.554692E+3,	0.000000E+0
1.554696E+3,	0.000000E+0
1.554700E+3,	6.949133E-12
1.554704E+3,	48.034286E-12
1.554708E+3,	23.999532E-12
1.554712E+3,	0.000000E+0
1.554716E+3,	5.801009E-12
1.554720E+3,	112.244754E-12
1.554724E+3,	2.428478E-12
1.554728E+3,	46.994057E-12
1.554732E+3,	0.000000E+0
1.554736E+3,	0.000000E+0
1.554740E+3,	0.000000E+0
1.554744E+3,	0.000000E+0
1.554748E+3,	20.522230E-12
1.554752E+3,	0.000000E+0
1.554756E+3,	81.241755E-12
1.554760E+3,	85.151725E-12
1.554764E+3,	0.000000E+0
1.554768E+3,	67.704721E-12
1.554772E+3,	0.000000E+0
1.554776E+3,	0.000000E+0
1.554780E+3,	52.274008E-12
1.554784E+3,	7.249716E-12
1.554788E+3,	32.555336E-12
1.554792E+3,	30.649205E-12
1.554796E+3,	0.000000E+0
1.554800E+3,	0.000000E+0
1.554804E+3,	0.000000E+0
1.554808E+3,	0.000000E+0
1.554812E+3,	0.000000E+0
1.554816E+3,	0.000000E+0
1.554820E+3,	51.957330E-12
1.554824E+3,	26.514388E-12
1.554828E+3,	0.000000E+0
1.554832E+3,	99.621766E-12
1.554836E+3,	55.901978E-12
1.554840E+3,	0.000000E+0
1.554844E+3,	82.583092E-12
1.554848E+3,	0.000000E+0
1.554852E+3,	120.659858E-12
1.554856E+3,	24.443450E-12
1.554860E+3,	896.334294E-15
1.554864E+3,	0.000000E+0
1.554868E+3,	0.000000E+0
1.554872E+3,	9.719025E-12
1.554876E+3,	34.652716E-12
1.554880E+3,	0.000000E+0
1.554884E+3,	0.000000E+0
1.554888E+3,	24.909398E-12
1.554892E+3,	60.876680E-12
1.554896E+3,	0.000000E+0
1.554900E+3,	0.000000E+0
1.554904E+3,	0.000000E+0
1.554908E+3,	29.079841E-12
1.554912E+3,	69.652635E-12
1.554916E+3,	0.000000E+0
1.554920E+3,	0.000000E+0
1.554924E+3,	57.900950E-12
1.554928E+3,	27.907861E-12
1.554932E+3,	59.907079E-12
1.554936E+3,	0.000000E+0
1.554940E+3,	54.953757E-12
1.554944E+3,	0.000000E+0
1.554948E+3,	0.000000E+0
1.554952E+3,	0.000000E+0
1.554956E+3,	0.000000E+0
1.554960E+3,	0.000000E+0
1.554964E+3,	0.000000E+0
1.554968E+3,	65.370428E-12
1.554972E+3,	23.051178E-12
1.554976E+3,	0.000000E+0
1.554980E+3,	1.204038E-12
1.554984E+3,	47.344051E-12
1.554988E+3,	1.993697E-12
1.554992E+3,	0.000000E+0
1.554996E+3,	0.000000E+0
1.555000E+3,	0.000000E+0
