YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/11/2023 Time: 12:48:20,	
A_WL(nm),	A_I(mW)
1.557650E+3,	10.593707E-12
1.557654E+3,	11.536105E-12
1.557658E+3,	11.316876E-12
1.557662E+3,	9.416971E-12
1.557666E+3,	11.065947E-12
1.557670E+3,	12.056417E-12
1.557674E+3,	2.138406E-12
1.557678E+3,	2.147010E-12
1.557682E+3,	526.301343E-15
1.557686E+3,	2.397056E-12
1.557690E+3,	4.860334E-12
1.557694E+3,	1.690471E-12
1.557698E+3,	3.771748E-12
1.557702E+3,	570.460337E-15
1.557706E+3,	0.000000E+0
1.557710E+3,	5.645971E-12
1.557714E+3,	0.000000E+0
1.557718E+3,	3.433001E-12
1.557722E+3,	3.629480E-12
1.557726E+3,	4.527225E-12
1.557730E+3,	1.120525E-12
1.557734E+3,	3.676068E-12
1.557738E+3,	0.000000E+0
1.557742E+3,	5.234560E-12
1.557746E+3,	538.072963E-15
1.557750E+3,	2.495447E-12
1.557754E+3,	0.000000E+0
1.557758E+3,	2.046949E-12
1.557762E+3,	0.000000E+0
1.557766E+3,	0.000000E+0
1.557770E+3,	1.212896E-12
1.557774E+3,	1.060675E-12
1.557778E+3,	4.374802E-12
1.557782E+3,	0.000000E+0
1.557786E+3,	0.000000E+0
1.557790E+3,	1.794319E-12
1.557794E+3,	0.000000E+0
1.557798E+3,	2.970096E-12
1.557802E+3,	0.000000E+0
1.557806E+3,	0.000000E+0
1.557810E+3,	2.013586E-12
1.557814E+3,	116.998887E-15
1.557818E+3,	2.479060E-12
1.557822E+3,	0.000000E+0
1.557826E+3,	0.000000E+0
1.557830E+3,	2.465896E-12
1.557834E+3,	1.941100E-12
1.557838E+3,	0.000000E+0
1.557842E+3,	1.448548E-12
1.557846E+3,	0.000000E+0
1.557850E+3,	671.529269E-15
1.557854E+3,	0.000000E+0
1.557858E+3,	0.000000E+0
1.557862E+3,	275.985025E-15
1.557866E+3,	0.000000E+0
1.557870E+3,	0.000000E+0
1.557874E+3,	946.062765E-15
1.557878E+3,	2.424867E-12
1.557882E+3,	4.379060E-12
1.557886E+3,	1.948813E-12
1.557890E+3,	0.000000E+0
1.557894E+3,	0.000000E+0
1.557898E+3,	2.316647E-12
1.557902E+3,	3.293918E-12
1.557906E+3,	0.000000E+0
1.557910E+3,	4.449016E-12
1.557914E+3,	691.280141E-15
1.557918E+3,	399.423398E-15
1.557922E+3,	0.000000E+0
1.557926E+3,	1.592214E-12
1.557930E+3,	2.535768E-12
1.557934E+3,	1.487372E-12
1.557938E+3,	2.856686E-12
1.557942E+3,	282.367284E-15
1.557946E+3,	512.194174E-15
1.557950E+3,	0.000000E+0
1.557954E+3,	2.312945E-12
1.557958E+3,	2.342993E-12
1.557962E+3,	2.337487E-12
1.557966E+3,	1.407425E-12
1.557970E+3,	0.000000E+0
1.557974E+3,	5.740855E-12
1.557978E+3,	1.161758E-12
1.557982E+3,	4.248099E-12
1.557986E+3,	0.000000E+0
1.557990E+3,	6.561543E-12
1.557994E+3,	5.459413E-12
1.557998E+3,	5.388102E-12
1.558002E+3,	6.870449E-12
1.558006E+3,	1.552596E-12
1.558010E+3,	2.751016E-12
1.558014E+3,	3.836374E-12
1.558018E+3,	6.557159E-12
1.558022E+3,	684.394176E-15
1.558026E+3,	1.243864E-12
1.558030E+3,	4.761821E-12
1.558034E+3,	3.047175E-12
1.558038E+3,	1.647060E-12
1.558042E+3,	897.390822E-15
1.558046E+3,	1.752730E-12
1.558050E+3,	2.288863E-12
1.558054E+3,	3.094497E-12
1.558058E+3,	0.000000E+0
1.558062E+3,	0.000000E+0
1.558066E+3,	0.000000E+0
1.558070E+3,	0.000000E+0
1.558074E+3,	716.309186E-15
1.558078E+3,	3.674558E-12
1.558082E+3,	1.486244E-12
1.558086E+3,	0.000000E+0
1.558090E+3,	965.600896E-15
1.558094E+3,	2.017189E-12
1.558098E+3,	0.000000E+0
1.558102E+3,	0.000000E+0
1.558106E+3,	3.862941E-12
1.558110E+3,	5.790493E-12
1.558114E+3,	1.193986E-12
1.558118E+3,	0.000000E+0
