YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/11/2023 Time: 12:33:25,	
A_WL(nm),	A_I(mW)
1.557650E+3,	13.237825E-12
1.557654E+3,	10.692028E-12
1.557658E+3,	9.527682E-12
1.557662E+3,	11.191600E-12
1.557666E+3,	12.014764E-12
1.557670E+3,	14.352177E-12
1.557674E+3,	12.266118E-12
1.557678E+3,	12.380639E-12
1.557682E+3,	8.291202E-12
1.557686E+3,	6.668040E-12
1.557690E+3,	7.542698E-12
1.557694E+3,	8.415995E-12
1.557698E+3,	12.026042E-12
1.557702E+3,	9.121386E-12
1.557706E+3,	12.379260E-12
1.557710E+3,	9.417804E-12
1.557714E+3,	8.090352E-12
1.557718E+3,	6.161176E-12
1.557722E+3,	9.334993E-12
1.557726E+3,	8.353615E-12
1.557730E+3,	3.527889E-12
1.557734E+3,	5.221752E-12
1.557738E+3,	0.000000E+0
1.557742E+3,	0.000000E+0
1.557746E+3,	814.821342E-15
1.557750E+3,	3.390096E-12
1.557754E+3,	0.000000E+0
1.557758E+3,	2.870416E-12
1.557762E+3,	4.530237E-12
1.557766E+3,	3.471815E-12
1.557770E+3,	2.537918E-12
1.557774E+3,	3.480315E-12
1.557778E+3,	97.619763E-15
1.557782E+3,	1.495566E-12
1.557786E+3,	1.979055E-12
1.557790E+3,	3.707502E-12
1.557794E+3,	0.000000E+0
1.557798E+3,	0.000000E+0
1.557802E+3,	1.161587E-12
1.557806E+3,	6.985751E-12
1.557810E+3,	1.519820E-12
1.557814E+3,	0.000000E+0
1.557818E+3,	0.000000E+0
1.557822E+3,	538.788391E-15
1.557826E+3,	1.123670E-12
1.557830E+3,	3.129816E-12
1.557834E+3,	557.414411E-15
1.557838E+3,	0.000000E+0
1.557842E+3,	0.000000E+0
1.557846E+3,	0.000000E+0
1.557850E+3,	0.000000E+0
1.557854E+3,	228.419333E-15
1.557858E+3,	0.000000E+0
1.557862E+3,	0.000000E+0
1.557866E+3,	5.342553E-12
1.557870E+3,	0.000000E+0
1.557874E+3,	0.000000E+0
1.557878E+3,	0.000000E+0
1.557882E+3,	0.000000E+0
1.557886E+3,	31.886464E-15
1.557890E+3,	1.198349E-12
1.557894E+3,	1.356417E-12
