YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/11/2023 Time: 12:34:12,	
A_WL(nm),	A_I(mW)
1.557650E+3,	9.242809E-12
1.557654E+3,	10.008306E-12
1.557658E+3,	11.734753E-12
1.557662E+3,	8.309756E-12
1.557666E+3,	7.510818E-12
1.557670E+3,	6.917655E-12
1.557674E+3,	9.038647E-12
1.557678E+3,	4.934957E-12
1.557682E+3,	8.467194E-12
1.557686E+3,	9.563561E-12
1.557690E+3,	2.432399E-12
1.557694E+3,	2.938340E-12
1.557698E+3,	1.079566E-12
1.557702E+3,	2.375908E-12
1.557706E+3,	5.412430E-12
1.557710E+3,	5.874206E-12
1.557714E+3,	1.010404E-12
1.557718E+3,	589.817508E-15
1.557722E+3,	0.000000E+0
1.557726E+3,	1.233979E-12
1.557730E+3,	1.895793E-12
1.557734E+3,	5.585236E-12
1.557738E+3,	3.869133E-12
1.557742E+3,	730.914222E-15
1.557746E+3,	4.279440E-12
1.557750E+3,	4.109654E-12
1.557754E+3,	308.565419E-15
1.557758E+3,	1.898275E-12
1.557762E+3,	4.013272E-12
1.557766E+3,	0.000000E+0
1.557770E+3,	3.488213E-12
1.557774E+3,	0.000000E+0
1.557778E+3,	420.323949E-15
1.557782E+3,	1.497968E-12
1.557786E+3,	0.000000E+0
1.557790E+3,	1.091119E-12
1.557794E+3,	1.612225E-12
1.557798E+3,	393.607290E-15
1.557802E+3,	0.000000E+0
1.557806E+3,	0.000000E+0
1.557810E+3,	1.338639E-12
1.557814E+3,	1.127236E-12
1.557818E+3,	0.000000E+0
1.557822E+3,	0.000000E+0
1.557826E+3,	1.195745E-12
1.557830E+3,	587.236900E-15
1.557834E+3,	693.148691E-15
1.557838E+3,	775.265517E-15
1.557842E+3,	1.041921E-12
1.557846E+3,	0.000000E+0
1.557850E+3,	201.756672E-15
1.557854E+3,	0.000000E+0
1.557858E+3,	0.000000E+0
1.557862E+3,	61.318801E-15
1.557866E+3,	0.000000E+0
1.557870E+3,	0.000000E+0
1.557874E+3,	0.000000E+0
1.557878E+3,	0.000000E+0
1.557882E+3,	0.000000E+0
1.557886E+3,	2.791142E-12
1.557890E+3,	8.510476E-12
1.557894E+3,	137.362976E-15
1.557898E+3,	2.773127E-12
1.557902E+3,	1.134881E-12
1.557906E+3,	0.000000E+0
1.557910E+3,	610.127492E-15
1.557914E+3,	5.272020E-12
1.557918E+3,	1.836113E-12
1.557922E+3,	5.507106E-12
1.557926E+3,	2.196388E-12
1.557930E+3,	3.956873E-12
1.557934E+3,	1.801749E-12
1.557938E+3,	6.380300E-12
1.557942E+3,	4.613652E-12
1.557946E+3,	2.056999E-12
1.557950E+3,	824.343822E-15
1.557954E+3,	0.000000E+0
1.557958E+3,	366.538942E-15
1.557962E+3,	0.000000E+0
1.557966E+3,	886.647366E-15
1.557970E+3,	0.000000E+0
1.557974E+3,	395.234909E-15
1.557978E+3,	1.808268E-12
1.557982E+3,	0.000000E+0
1.557986E+3,	2.923462E-12
1.557990E+3,	4.070250E-12
1.557994E+3,	2.852119E-12
1.557998E+3,	1.457497E-12
1.558002E+3,	2.691061E-12
1.558006E+3,	5.468466E-12
1.558010E+3,	6.334499E-12
1.558014E+3,	2.383872E-12
1.558018E+3,	6.604549E-12
1.558022E+3,	9.116343E-12
1.558026E+3,	6.068052E-12
1.558030E+3,	0.000000E+0
1.558034E+3,	0.000000E+0
1.558038E+3,	2.767906E-12
1.558042E+3,	422.183158E-15
1.558046E+3,	831.212026E-15
1.558050E+3,	1.786056E-12
1.558054E+3,	5.033478E-12
1.558058E+3,	5.932919E-12
1.558062E+3,	2.515523E-12
1.558066E+3,	0.000000E+0
1.558070E+3,	0.000000E+0
1.558074E+3,	3.147473E-12
1.558078E+3,	469.432883E-15
1.558082E+3,	423.030657E-15
1.558086E+3,	10.319720E-12
1.558090E+3,	3.148008E-12
1.558094E+3,	909.622190E-15
1.558098E+3,	4.514149E-12
1.558102E+3,	4.527767E-12
1.558106E+3,	6.862581E-12
1.558110E+3,	3.837592E-12
1.558114E+3,	2.701910E-12
1.558118E+3,	3.706455E-12
1.558122E+3,	5.057009E-12
1.558126E+3,	0.000000E+0
1.558130E+3,	0.000000E+0
1.558134E+3,	4.925019E-12
