YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 20/11/2023 Time: 12:33:07,	
A_WL(nm),	A_I(mW)
1.557650E+3,	7.853410E-12
1.557654E+3,	3.854225E-12
1.557658E+3,	2.207311E-12
1.557662E+3,	9.660431E-12
1.557666E+3,	6.603741E-12
1.557670E+3,	5.771036E-12
1.557674E+3,	2.030617E-12
1.557678E+3,	0.000000E+0
1.557682E+3,	5.115260E-12
1.557686E+3,	1.406387E-12
1.557690E+3,	3.824629E-12
1.557694E+3,	4.210909E-12
1.557698E+3,	4.830303E-12
1.557702E+3,	2.393763E-12
1.557706E+3,	0.000000E+0
1.557710E+3,	672.908024E-15
1.557714E+3,	5.541631E-12
1.557718E+3,	4.180209E-12
1.557722E+3,	0.000000E+0
1.557726E+3,	3.118650E-12
1.557730E+3,	0.000000E+0
1.557734E+3,	0.000000E+0
1.557738E+3,	0.000000E+0
1.557742E+3,	1.710801E-12
1.557746E+3,	0.000000E+0
1.557750E+3,	0.000000E+0
1.557754E+3,	0.000000E+0
1.557758E+3,	0.000000E+0
1.557762E+3,	0.000000E+0
1.557766E+3,	0.000000E+0
1.557770E+3,	0.000000E+0
1.557774E+3,	108.792260E-15
1.557778E+3,	2.350801E-12
1.557782E+3,	0.000000E+0
1.557786E+3,	932.619335E-15
1.557790E+3,	0.000000E+0
1.557794E+3,	3.168716E-12
1.557798E+3,	957.285538E-15
1.557802E+3,	2.951562E-12
1.557806E+3,	3.025803E-12
1.557810E+3,	2.737328E-12
1.557814E+3,	4.511200E-12
1.557818E+3,	811.692259E-15
1.557822E+3,	2.364518E-12
1.557826E+3,	481.089578E-15
1.557830E+3,	6.061235E-12
1.557834E+3,	5.356133E-12
1.557838E+3,	6.887940E-12
1.557842E+3,	1.068814E-12
1.557846E+3,	2.681604E-12
1.557850E+3,	0.000000E+0
1.557854E+3,	375.999023E-15
1.557858E+3,	1.328972E-12
1.557862E+3,	3.356809E-12
1.557866E+3,	2.285188E-12
1.557870E+3,	566.070526E-15
1.557874E+3,	6.799730E-12
1.557878E+3,	459.839738E-15
1.557882E+3,	6.003475E-12
1.557886E+3,	4.039718E-12
1.557890E+3,	245.098186E-15
1.557894E+3,	2.187730E-12
1.557898E+3,	4.108476E-12
1.557902E+3,	3.618056E-12
1.557906E+3,	4.209000E-12
1.557910E+3,	4.486980E-12
1.557914E+3,	7.075127E-12
1.557918E+3,	6.560599E-12
1.557922E+3,	5.654342E-12
1.557926E+3,	6.621334E-12
1.557930E+3,	6.321214E-12
1.557934E+3,	2.056613E-12
1.557938E+3,	6.311146E-12
1.557942E+3,	2.055111E-12
1.557946E+3,	4.634308E-12
1.557950E+3,	5.813979E-12
1.557954E+3,	5.945453E-12
1.557958E+3,	6.461245E-12
1.557962E+3,	6.224312E-12
1.557966E+3,	10.969274E-12
1.557970E+3,	3.806677E-12
1.557974E+3,	4.171094E-12
1.557978E+3,	4.141090E-12
1.557982E+3,	4.492706E-12
1.557986E+3,	542.404676E-15
1.557990E+3,	3.612120E-12
1.557994E+3,	4.388092E-12
1.557998E+3,	2.266378E-12
1.558002E+3,	147.683573E-15
1.558006E+3,	4.194160E-12
1.558010E+3,	620.455334E-15
1.558014E+3,	1.892252E-12
1.558018E+3,	0.000000E+0
1.558022E+3,	0.000000E+0
1.558026E+3,	1.464944E-12
1.558030E+3,	22.063807E-15
1.558034E+3,	0.000000E+0
1.558038E+3,	1.662601E-12
1.558042E+3,	0.000000E+0
1.558046E+3,	2.673735E-12
1.558050E+3,	1.023432E-12
1.558054E+3,	2.173197E-12
1.558058E+3,	5.342354E-12
1.558062E+3,	890.567774E-15
1.558066E+3,	1.741169E-12
1.558070E+3,	5.545422E-12
1.558074E+3,	1.002407E-12
1.558078E+3,	9.004425E-12
1.558082E+3,	7.340245E-12
1.558086E+3,	5.163630E-12
1.558090E+3,	2.598085E-12
1.558094E+3,	8.785052E-12
1.558098E+3,	8.981904E-12
1.558102E+3,	8.027927E-12
1.558106E+3,	5.608432E-12
1.558110E+3,	14.993305E-12
1.558114E+3,	11.264334E-12
1.558118E+3,	16.743296E-12
1.558122E+3,	16.368873E-12
1.558126E+3,	13.683076E-12
1.558130E+3,	16.811335E-12
1.558134E+3,	19.581279E-12
1.558138E+3,	21.497622E-12
1.558142E+3,	25.525976E-12
1.558146E+3,	28.699248E-12
1.558150E+3,	33.111101E-12
1.558154E+3,	32.391546E-12
1.558158E+3,	35.926228E-12
1.558162E+3,	38.796921E-12
1.558166E+3,	42.273329E-12
1.558170E+3,	47.634108E-12
1.558174E+3,	48.758319E-12
1.558178E+3,	51.432552E-12
1.558182E+3,	52.549321E-12
1.558186E+3,	59.074647E-12
1.558190E+3,	60.991866E-12
1.558194E+3,	58.531692E-12
1.558198E+3,	65.779036E-12
1.558202E+3,	69.531512E-12
1.558206E+3,	71.911510E-12
1.558210E+3,	73.667713E-12
1.558214E+3,	75.218851E-12
1.558218E+3,	76.860022E-12
1.558222E+3,	85.766319E-12
1.558226E+3,	87.922846E-12
1.558230E+3,	90.617836E-12
1.558234E+3,	95.288180E-12
1.558238E+3,	97.724229E-12
1.558242E+3,	98.577996E-12
1.558246E+3,	102.680365E-12
1.558250E+3,	105.683948E-12
1.558254E+3,	110.532035E-12
1.558258E+3,	110.179245E-12
1.558262E+3,	122.066553E-12
1.558266E+3,	117.737240E-12
1.558270E+3,	118.043717E-12
1.558274E+3,	123.707756E-12
