YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 12/12/2023 Time: 18:14:10,	
A_WL(nm),	A_I(mW)
1.555000E+3,	0.000000E+0
1.555004E+3,	0.000000E+0
1.555008E+3,	504.216026E-15
1.555012E+3,	509.496440E-15
1.555016E+3,	165.581362E-15
1.555020E+3,	549.376556E-15
1.555024E+3,	0.000000E+0
1.555028E+3,	0.000000E+0
1.555032E+3,	587.365238E-15
1.555036E+3,	0.000000E+0
1.555040E+3,	320.039637E-15
1.555044E+3,	0.000000E+0
1.555048E+3,	392.155116E-15
1.555052E+3,	387.215444E-15
1.555056E+3,	0.000000E+0
1.555060E+3,	0.000000E+0
1.555064E+3,	62.096591E-15
1.555068E+3,	0.000000E+0
1.555072E+3,	300.905791E-15
1.555076E+3,	1.797870E-12
1.555080E+3,	0.000000E+0
1.555084E+3,	876.596954E-15
1.555088E+3,	0.000000E+0
1.555092E+3,	231.847220E-15
1.555096E+3,	1.038374E-12
1.555100E+3,	513.271160E-15
1.555104E+3,	102.059881E-15
1.555108E+3,	897.609417E-15
1.555112E+3,	600.072440E-15
1.555116E+3,	65.930729E-15
1.555120E+3,	0.000000E+0
1.555124E+3,	172.015927E-15
1.555128E+3,	0.000000E+0
1.555132E+3,	0.000000E+0
1.555136E+3,	504.069801E-15
1.555140E+3,	0.000000E+0
1.555144E+3,	0.000000E+0
1.555148E+3,	270.260254E-15
1.555152E+3,	231.083904E-15
1.555156E+3,	0.000000E+0
1.555160E+3,	0.000000E+0
1.555164E+3,	736.640499E-15
1.555168E+3,	278.028827E-15
1.555172E+3,	333.290914E-15
1.555176E+3,	90.695981E-15
1.555180E+3,	768.991988E-15
1.555184E+3,	873.052975E-15
1.555188E+3,	505.293489E-15
1.555192E+3,	635.675115E-15
1.555196E+3,	455.301622E-15
1.555200E+3,	0.000000E+0
1.555204E+3,	691.824933E-15
1.555208E+3,	231.679426E-15
1.555212E+3,	0.000000E+0
1.555216E+3,	1.036402E-12
1.555220E+3,	675.462919E-15
1.555224E+3,	609.549943E-15
1.555228E+3,	59.927398E-15
1.555232E+3,	1.431343E-12
1.555236E+3,	0.000000E+0
1.555240E+3,	391.161810E-15
1.555244E+3,	838.623638E-15
1.555248E+3,	0.000000E+0
1.555252E+3,	0.000000E+0
1.555256E+3,	0.000000E+0
1.555260E+3,	486.482585E-15
1.555264E+3,	102.628627E-15
1.555268E+3,	0.000000E+0
1.555272E+3,	70.640646E-15
1.555276E+3,	1.191794E-12
1.555280E+3,	395.739419E-15
1.555284E+3,	4.663261E-15
1.555288E+3,	878.024451E-15
1.555292E+3,	627.714980E-15
1.555296E+3,	1.576462E-12
1.555300E+3,	331.990591E-15
1.555304E+3,	897.204009E-15
1.555308E+3,	209.300293E-15
1.555312E+3,	0.000000E+0
1.555316E+3,	136.334040E-15
1.555320E+3,	711.861285E-15
1.555324E+3,	506.829598E-15
1.555328E+3,	196.971113E-15
1.555332E+3,	0.000000E+0
1.555336E+3,	531.993902E-15
1.555340E+3,	404.239219E-15
1.555344E+3,	1.104155E-12
1.555348E+3,	0.000000E+0
1.555352E+3,	136.420043E-15
1.555356E+3,	545.771430E-15
1.555360E+3,	685.448998E-15
1.555364E+3,	1.092385E-12
1.555368E+3,	530.829929E-15
1.555372E+3,	705.891751E-15
1.555376E+3,	0.000000E+0
1.555380E+3,	0.000000E+0
1.555384E+3,	1.494273E-12
1.555388E+3,	154.864897E-15
1.555392E+3,	0.000000E+0
1.555396E+3,	703.454199E-15
1.555400E+3,	110.101575E-15
1.555404E+3,	0.000000E+0
1.555408E+3,	0.000000E+0
1.555412E+3,	510.907974E-15
1.555416E+3,	0.000000E+0
1.555420E+3,	576.857203E-15
1.555424E+3,	979.696181E-15
1.555428E+3,	746.727215E-15
1.555432E+3,	0.000000E+0
1.555436E+3,	251.471053E-15
1.555440E+3,	719.550181E-15
1.555444E+3,	1.254063E-12
1.555448E+3,	0.000000E+0
1.555452E+3,	471.473231E-15
1.555456E+3,	0.000000E+0
1.555460E+3,	607.887496E-15
1.555464E+3,	304.217265E-15
1.555468E+3,	214.785604E-15
1.555472E+3,	0.000000E+0
1.555476E+3,	157.827508E-15
1.555480E+3,	1.008559E-12
1.555484E+3,	1.416829E-12
1.555488E+3,	313.315762E-15
1.555492E+3,	0.000000E+0
1.555496E+3,	0.000000E+0
1.555500E+3,	799.102243E-15
1.555504E+3,	321.663607E-15
1.555508E+3,	886.835568E-15
1.555512E+3,	506.010834E-15
1.555516E+3,	0.000000E+0
1.555520E+3,	874.086710E-15
1.555524E+3,	1.402567E-12
1.555528E+3,	593.301626E-15
1.555532E+3,	1.047090E-12
1.555536E+3,	729.889148E-15
1.555540E+3,	1.686658E-12
1.555544E+3,	673.309867E-15
1.555548E+3,	337.694247E-15
1.555552E+3,	1.377733E-12
1.555556E+3,	668.181607E-15
1.555560E+3,	0.000000E+0
1.555564E+3,	0.000000E+0
1.555568E+3,	223.938316E-15
1.555572E+3,	973.806111E-15
1.555576E+3,	549.123515E-15
1.555580E+3,	131.847939E-15
1.555584E+3,	32.835554E-15
1.555588E+3,	1.262402E-12
1.555592E+3,	75.157828E-15
1.555596E+3,	575.699460E-15
1.555600E+3,	386.958428E-15
1.555604E+3,	337.215350E-15
1.555608E+3,	682.356125E-15
1.555612E+3,	0.000000E+0
1.555616E+3,	0.000000E+0
1.555620E+3,	0.000000E+0
1.555624E+3,	289.051086E-15
1.555628E+3,	0.000000E+0
1.555632E+3,	87.373690E-15
1.555636E+3,	558.070846E-15
1.555640E+3,	844.594212E-15
1.555644E+3,	1.089970E-12
1.555648E+3,	0.000000E+0
1.555652E+3,	1.532894E-12
1.555656E+3,	2.055072E-12
1.555660E+3,	1.034286E-12
1.555664E+3,	1.540825E-12
1.555668E+3,	1.369214E-12
1.555672E+3,	1.921746E-12
1.555676E+3,	1.284015E-12
1.555680E+3,	1.011156E-12
1.555684E+3,	825.469053E-15
1.555688E+3,	1.332862E-12
1.555692E+3,	1.274203E-12
1.555696E+3,	1.835071E-12
1.555700E+3,	676.667948E-15
1.555704E+3,	1.256221E-12
1.555708E+3,	821.436731E-15
1.555712E+3,	1.001013E-12
1.555716E+3,	862.341259E-15
1.555720E+3,	1.939812E-12
1.555724E+3,	1.605230E-12
1.555728E+3,	1.537299E-12
1.555732E+3,	1.317839E-12
1.555736E+3,	1.324109E-12
1.555740E+3,	893.587098E-15
1.555744E+3,	2.977070E-12
1.555748E+3,	2.533552E-12
1.555752E+3,	2.367056E-12
1.555756E+3,	1.386149E-12
1.555760E+3,	2.614159E-12
1.555764E+3,	1.527552E-12
1.555768E+3,	1.531481E-12
1.555772E+3,	2.032748E-12
1.555776E+3,	1.696129E-12
1.555780E+3,	635.060633E-15
1.555784E+3,	1.967738E-12
1.555788E+3,	1.567400E-12
1.555792E+3,	2.403180E-12
1.555796E+3,	2.696847E-12
1.555800E+3,	1.996474E-12
1.555804E+3,	2.382306E-12
1.555808E+3,	2.471950E-12
1.555812E+3,	2.426146E-12
1.555816E+3,	2.668694E-12
1.555820E+3,	3.000832E-12
1.555824E+3,	1.805457E-12
1.555828E+3,	1.637986E-12
1.555832E+3,	2.963439E-12
1.555836E+3,	2.055043E-12
1.555840E+3,	2.844208E-12
1.555844E+3,	2.610936E-12
1.555848E+3,	3.455534E-12
1.555852E+3,	3.289533E-12
1.555856E+3,	3.735659E-12
1.555860E+3,	3.641630E-12
1.555864E+3,	4.772294E-12
1.555868E+3,	4.065988E-12
1.555872E+3,	4.374556E-12
1.555876E+3,	5.572397E-12
1.555880E+3,	5.071622E-12
1.555884E+3,	4.401465E-12
1.555888E+3,	4.787369E-12
1.555892E+3,	5.115079E-12
1.555896E+3,	4.603505E-12
1.555900E+3,	5.267784E-12
1.555904E+3,	4.740646E-12
1.555908E+3,	5.440865E-12
1.555912E+3,	5.396374E-12
1.555916E+3,	5.918220E-12
1.555920E+3,	5.951176E-12
1.555924E+3,	6.219208E-12
1.555928E+3,	5.125281E-12
1.555932E+3,	5.325024E-12
1.555936E+3,	5.520681E-12
1.555940E+3,	5.640371E-12
1.555944E+3,	5.786552E-12
1.555948E+3,	5.931176E-12
1.555952E+3,	5.935094E-12
1.555956E+3,	5.762133E-12
1.555960E+3,	5.117402E-12
1.555964E+3,	5.284230E-12
1.555968E+3,	4.699274E-12
1.555972E+3,	6.423976E-12
1.555976E+3,	5.371739E-12
1.555980E+3,	5.260005E-12
1.555984E+3,	5.920332E-12
1.555988E+3,	6.303191E-12
1.555992E+3,	6.563546E-12
1.555996E+3,	7.180008E-12
1.556000E+3,	7.395446E-12
1.556004E+3,	7.962929E-12
1.556008E+3,	8.901110E-12
1.556012E+3,	8.318708E-12
1.556016E+3,	9.202174E-12
1.556020E+3,	9.267836E-12
1.556024E+3,	9.031406E-12
1.556028E+3,	11.059545E-12
1.556032E+3,	10.899917E-12
1.556036E+3,	10.963250E-12
1.556040E+3,	10.192696E-12
1.556044E+3,	10.797564E-12
1.556048E+3,	10.308784E-12
1.556052E+3,	10.981868E-12
1.556056E+3,	10.221971E-12
1.556060E+3,	11.064957E-12
1.556064E+3,	11.534527E-12
1.556068E+3,	12.733030E-12
1.556072E+3,	11.692591E-12
1.556076E+3,	12.045104E-12
1.556080E+3,	11.584253E-12
1.556084E+3,	12.340184E-12
1.556088E+3,	12.906364E-12
1.556092E+3,	12.387689E-12
1.556096E+3,	13.216908E-12
1.556100E+3,	13.825448E-12
1.556104E+3,	12.698513E-12
1.556108E+3,	13.677478E-12
1.556112E+3,	13.131288E-12
1.556116E+3,	13.380586E-12
1.556120E+3,	13.322757E-12
1.556124E+3,	12.435422E-12
1.556128E+3,	13.502222E-12
1.556132E+3,	13.676105E-12
1.556136E+3,	13.763570E-12
1.556140E+3,	13.829613E-12
1.556144E+3,	14.669948E-12
1.556148E+3,	14.408272E-12
1.556152E+3,	15.620663E-12
1.556156E+3,	16.491317E-12
1.556160E+3,	16.188417E-12
1.556164E+3,	17.433146E-12
1.556168E+3,	17.545793E-12
1.556172E+3,	18.207826E-12
1.556176E+3,	19.471497E-12
1.556180E+3,	20.129369E-12
1.556184E+3,	21.353287E-12
1.556188E+3,	21.273956E-12
1.556192E+3,	21.063065E-12
1.556196E+3,	23.520434E-12
1.556200E+3,	23.829808E-12
1.556204E+3,	23.072587E-12
1.556208E+3,	23.041252E-12
1.556212E+3,	24.198130E-12
1.556216E+3,	24.265693E-12
1.556220E+3,	24.299274E-12
1.556224E+3,	23.907721E-12
1.556228E+3,	22.626071E-12
1.556232E+3,	23.388382E-12
1.556236E+3,	24.200959E-12
1.556240E+3,	23.623748E-12
1.556244E+3,	24.653421E-12
1.556248E+3,	24.440938E-12
1.556252E+3,	26.060321E-12
1.556256E+3,	26.189798E-12
1.556260E+3,	27.432583E-12
1.556264E+3,	28.849828E-12
1.556268E+3,	29.147975E-12
1.556272E+3,	31.953213E-12
1.556276E+3,	32.296942E-12
1.556280E+3,	32.627632E-12
1.556284E+3,	34.212769E-12
1.556288E+3,	35.480073E-12
1.556292E+3,	35.548917E-12
1.556296E+3,	36.244761E-12
1.556300E+3,	38.603808E-12
1.556304E+3,	38.060533E-12
1.556308E+3,	38.065040E-12
1.556312E+3,	38.739712E-12
1.556316E+3,	39.143548E-12
1.556320E+3,	39.917626E-12
1.556324E+3,	40.236863E-12
1.556328E+3,	40.502988E-12
1.556332E+3,	40.202247E-12
1.556336E+3,	39.528684E-12
1.556340E+3,	39.609541E-12
1.556344E+3,	40.692345E-12
1.556348E+3,	40.441751E-12
1.556352E+3,	39.941479E-12
1.556356E+3,	40.934089E-12
1.556360E+3,	41.451082E-12
1.556364E+3,	41.203889E-12
1.556368E+3,	43.671029E-12
1.556372E+3,	44.588898E-12
1.556376E+3,	47.006297E-12
