YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 15/12/2023 Time: 12:21:19,	
A_WL(nm),	A_I(mW)
1.555000E+3,	0.000000E+0
1.555004E+3,	727.811515E-15
1.555008E+3,	1.091500E-12
1.555012E+3,	0.000000E+0
1.555016E+3,	0.000000E+0
1.555020E+3,	0.000000E+0
1.555024E+3,	0.000000E+0
1.555028E+3,	0.000000E+0
1.555032E+3,	453.568939E-15
1.555036E+3,	0.000000E+0
1.555040E+3,	115.205024E-15
1.555044E+3,	0.000000E+0
1.555048E+3,	0.000000E+0
1.555052E+3,	0.000000E+0
1.555056E+3,	751.395063E-15
1.555060E+3,	0.000000E+0
1.555064E+3,	0.000000E+0
1.555068E+3,	0.000000E+0
1.555072E+3,	0.000000E+0
1.555076E+3,	0.000000E+0
1.555080E+3,	0.000000E+0
1.555084E+3,	359.560721E-15
1.555088E+3,	0.000000E+0
1.555092E+3,	0.000000E+0
1.555096E+3,	963.308996E-15
1.555100E+3,	1.117067E-12
1.555104E+3,	2.204205E-12
1.555108E+3,	0.000000E+0
1.555112E+3,	464.735133E-15
1.555116E+3,	0.000000E+0
1.555120E+3,	341.775628E-15
1.555124E+3,	0.000000E+0
1.555128E+3,	0.000000E+0
1.555132E+3,	0.000000E+0
1.555136E+3,	2.383074E-12
1.555140E+3,	0.000000E+0
1.555144E+3,	0.000000E+0
1.555148E+3,	377.566507E-15
1.555152E+3,	0.000000E+0
1.555156E+3,	0.000000E+0
1.555160E+3,	0.000000E+0
1.555164E+3,	1.100763E-12
1.555168E+3,	0.000000E+0
1.555172E+3,	0.000000E+0
1.555176E+3,	545.714895E-15
1.555180E+3,	0.000000E+0
1.555184E+3,	0.000000E+0
1.555188E+3,	0.000000E+0
1.555192E+3,	847.530458E-15
1.555196E+3,	1.128464E-12
1.555200E+3,	1.410815E-12
1.555204E+3,	2.111906E-15
1.555208E+3,	61.008110E-15
1.555212E+3,	0.000000E+0
1.555216E+3,	0.000000E+0
1.555220E+3,	1.415573E-12
1.555224E+3,	0.000000E+0
1.555228E+3,	0.000000E+0
1.555232E+3,	325.692975E-15
1.555236E+3,	0.000000E+0
1.555240E+3,	0.000000E+0
1.555244E+3,	0.000000E+0
1.555248E+3,	0.000000E+0
1.555252E+3,	136.666420E-15
1.555256E+3,	0.000000E+0
1.555260E+3,	575.317538E-15
1.555264E+3,	0.000000E+0
1.555268E+3,	0.000000E+0
1.555272E+3,	1.881695E-12
1.555276E+3,	0.000000E+0
1.555280E+3,	0.000000E+0
1.555284E+3,	51.338386E-15
1.555288E+3,	558.455261E-15
1.555292E+3,	0.000000E+0
1.555296E+3,	0.000000E+0
1.555300E+3,	0.000000E+0
1.555304E+3,	0.000000E+0
1.555308E+3,	0.000000E+0
1.555312E+3,	2.141709E-12
1.555316E+3,	924.142904E-15
1.555320E+3,	0.000000E+0
1.555324E+3,	3.019862E-12
1.555328E+3,	0.000000E+0
1.555332E+3,	368.090947E-15
1.555336E+3,	254.640422E-15
1.555340E+3,	1.465500E-12
1.555344E+3,	2.551320E-12
1.555348E+3,	0.000000E+0
1.555352E+3,	253.766268E-15
1.555356E+3,	0.000000E+0
1.555360E+3,	383.496808E-15
1.555364E+3,	0.000000E+0
1.555368E+3,	0.000000E+0
1.555372E+3,	0.000000E+0
1.555376E+3,	0.000000E+0
1.555380E+3,	0.000000E+0
1.555384E+3,	1.920831E-12
1.555388E+3,	0.000000E+0
1.555392E+3,	0.000000E+0
1.555396E+3,	0.000000E+0
1.555400E+3,	1.359919E-12
1.555404E+3,	232.134199E-15
1.555408E+3,	2.670716E-12
1.555412E+3,	329.180750E-15
1.555416E+3,	0.000000E+0
1.555420E+3,	0.000000E+0
1.555424E+3,	0.000000E+0
1.555428E+3,	999.092572E-15
1.555432E+3,	0.000000E+0
1.555436E+3,	0.000000E+0
1.555440E+3,	730.379835E-15
1.555444E+3,	0.000000E+0
1.555448E+3,	2.034598E-12
1.555452E+3,	0.000000E+0
1.555456E+3,	0.000000E+0
1.555460E+3,	0.000000E+0
1.555464E+3,	0.000000E+0
1.555468E+3,	0.000000E+0
1.555472E+3,	0.000000E+0
1.555476E+3,	0.000000E+0
1.555480E+3,	0.000000E+0
1.555484E+3,	0.000000E+0
1.555488E+3,	828.168603E-15
1.555492E+3,	0.000000E+0
1.555496E+3,	1.917084E-12
1.555500E+3,	0.000000E+0
1.555504E+3,	0.000000E+0
1.555508E+3,	0.000000E+0
1.555512E+3,	518.497931E-15
1.555516E+3,	486.529989E-15
1.555520E+3,	1.787350E-12
1.555524E+3,	44.992054E-15
1.555528E+3,	0.000000E+0
1.555532E+3,	1.054793E-12
