YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 15/12/2023 Time: 12:17:56,	
A_WL(nm),	A_I(mW)
1.555000E+3,	565.813458E-15
1.555004E+3,	1.350306E-12
1.555008E+3,	0.000000E+0
1.555012E+3,	31.365893E-15
1.555016E+3,	0.000000E+0
1.555020E+3,	867.731030E-15
1.555024E+3,	234.638468E-15
1.555028E+3,	347.723809E-15
1.555032E+3,	225.929979E-15
1.555036E+3,	0.000000E+0
1.555040E+3,	0.000000E+0
1.555044E+3,	0.000000E+0
1.555048E+3,	0.000000E+0
1.555052E+3,	387.102339E-15
1.555056E+3,	543.392860E-15
1.555060E+3,	0.000000E+0
1.555064E+3,	0.000000E+0
1.555068E+3,	0.000000E+0
1.555072E+3,	0.000000E+0
1.555076E+3,	0.000000E+0
1.555080E+3,	282.919750E-15
1.555084E+3,	599.637440E-15
1.555088E+3,	0.000000E+0
1.555092E+3,	593.402120E-15
1.555096E+3,	2.783128E-12
1.555100E+3,	0.000000E+0
1.555104E+3,	371.819500E-15
1.555108E+3,	0.000000E+0
1.555112E+3,	390.939462E-15
1.555116E+3,	1.466388E-12
1.555120E+3,	1.738427E-12
1.555124E+3,	1.923731E-12
1.555128E+3,	0.000000E+0
1.555132E+3,	3.112340E-12
1.555136E+3,	0.000000E+0
1.555140E+3,	0.000000E+0
1.555144E+3,	0.000000E+0
1.555148E+3,	754.209291E-15
1.555152E+3,	1.670304E-12
1.555156E+3,	1.329834E-12
1.555160E+3,	0.000000E+0
1.555164E+3,	203.364834E-15
1.555168E+3,	0.000000E+0
1.555172E+3,	0.000000E+0
1.555176E+3,	0.000000E+0
1.555180E+3,	52.969986E-15
1.555184E+3,	1.246032E-12
1.555188E+3,	0.000000E+0
1.555192E+3,	0.000000E+0
1.555196E+3,	339.175870E-15
1.555200E+3,	1.684139E-12
1.555204E+3,	1.476980E-12
1.555208E+3,	220.322023E-15
1.555212E+3,	1.647535E-12
1.555216E+3,	788.877726E-15
