YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 12/12/2023 Time: 18:12:14,	
A_WL(nm),	A_I(mW)
1.555000E+3,	503.662567E-15
1.555004E+3,	0.000000E+0
1.555008E+3,	0.000000E+0
1.555012E+3,	0.000000E+0
1.555016E+3,	0.000000E+0
1.555020E+3,	180.435393E-15
1.555024E+3,	0.000000E+0
1.555028E+3,	0.000000E+0
1.555032E+3,	293.040709E-15
1.555036E+3,	110.934672E-15
1.555040E+3,	76.653942E-15
1.555044E+3,	0.000000E+0
1.555048E+3,	888.587362E-15
1.555052E+3,	112.788435E-15
1.555056E+3,	380.754734E-15
1.555060E+3,	912.738905E-15
1.555064E+3,	26.163904E-15
1.555068E+3,	619.592687E-15
1.555072E+3,	159.382526E-15
1.555076E+3,	0.000000E+0
1.555080E+3,	0.000000E+0
1.555084E+3,	631.777784E-15
1.555088E+3,	247.464247E-15
1.555092E+3,	414.684576E-15
1.555096E+3,	1.318071E-12
1.555100E+3,	0.000000E+0
1.555104E+3,	298.729108E-15
1.555108E+3,	0.000000E+0
1.555112E+3,	823.333091E-15
1.555116E+3,	1.115307E-12
1.555120E+3,	111.676164E-15
1.555124E+3,	0.000000E+0
1.555128E+3,	0.000000E+0
1.555132E+3,	342.738104E-15
1.555136E+3,	254.281920E-15
1.555140E+3,	0.000000E+0
1.555144E+3,	0.000000E+0
1.555148E+3,	763.362642E-15
1.555152E+3,	533.494278E-15
1.555156E+3,	451.519145E-15
1.555160E+3,	674.045678E-15
1.555164E+3,	0.000000E+0
1.555168E+3,	623.079010E-15
1.555172E+3,	0.000000E+0
1.555176E+3,	154.438558E-15
1.555180E+3,	356.553573E-15
1.555184E+3,	320.756468E-15
1.555188E+3,	523.899195E-15
1.555192E+3,	243.837439E-15
1.555196E+3,	120.532933E-15
1.555200E+3,	533.084830E-15
1.555204E+3,	126.770276E-15
1.555208E+3,	245.855448E-15
1.555212E+3,	130.085004E-15
1.555216E+3,	347.197766E-15
1.555220E+3,	0.000000E+0
1.555224E+3,	0.000000E+0
1.555228E+3,	0.000000E+0
1.555232E+3,	276.226032E-15
1.555236E+3,	0.000000E+0
1.555240E+3,	0.000000E+0
1.555244E+3,	235.067354E-15
1.555248E+3,	1.054707E-12
1.555252E+3,	648.914525E-15
1.555256E+3,	331.551752E-15
1.555260E+3,	288.580537E-15
1.555264E+3,	777.916891E-15
1.555268E+3,	1.378592E-12
1.555272E+3,	483.983115E-15
1.555276E+3,	1.030423E-12
1.555280E+3,	866.233374E-15
1.555284E+3,	443.161614E-15
