YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 15/12/2023 Time: 12:22:12,	
A_WL(nm),	A_I(mW)
1.555000E+3,	1.129848E-12
1.555004E+3,	0.000000E+0
1.555008E+3,	66.202407E-15
1.555012E+3,	0.000000E+0
1.555016E+3,	318.793455E-15
1.555020E+3,	0.000000E+0
1.555024E+3,	277.661040E-15
1.555028E+3,	0.000000E+0
1.555032E+3,	0.000000E+0
1.555036E+3,	0.000000E+0
1.555040E+3,	0.000000E+0
1.555044E+3,	0.000000E+0
1.555048E+3,	0.000000E+0
1.555052E+3,	0.000000E+0
1.555056E+3,	793.358645E-15
1.555060E+3,	211.048250E-15
1.555064E+3,	0.000000E+0
1.555068E+3,	0.000000E+0
1.555072E+3,	0.000000E+0
1.555076E+3,	1.338763E-12
1.555080E+3,	0.000000E+0
1.555084E+3,	81.164817E-15
1.555088E+3,	1.214706E-12
1.555092E+3,	0.000000E+0
1.555096E+3,	1.434734E-12
1.555100E+3,	1.111648E-12
1.555104E+3,	0.000000E+0
1.555108E+3,	0.000000E+0
1.555112E+3,	0.000000E+0
1.555116E+3,	0.000000E+0
1.555120E+3,	0.000000E+0
1.555124E+3,	792.624118E-15
1.555128E+3,	0.000000E+0
1.555132E+3,	1.795401E-12
1.555136E+3,	0.000000E+0
1.555140E+3,	0.000000E+0
1.555144E+3,	0.000000E+0
1.555148E+3,	0.000000E+0
1.555152E+3,	1.052155E-12
1.555156E+3,	0.000000E+0
1.555160E+3,	843.967235E-15
1.555164E+3,	826.840425E-15
1.555168E+3,	266.117330E-15
1.555172E+3,	0.000000E+0
1.555176E+3,	0.000000E+0
1.555180E+3,	108.673036E-15
1.555184E+3,	0.000000E+0
1.555188E+3,	0.000000E+0
1.555192E+3,	1.223938E-12
1.555196E+3,	0.000000E+0
1.555200E+3,	0.000000E+0
1.555204E+3,	0.000000E+0
1.555208E+3,	0.000000E+0
1.555212E+3,	0.000000E+0
1.555216E+3,	0.000000E+0
1.555220E+3,	0.000000E+0
1.555224E+3,	1.179007E-12
1.555228E+3,	0.000000E+0
1.555232E+3,	0.000000E+0
