YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/05/2023 Time: 15:24:04,	
A_WL(nm),	A_I(mW)
1.554700E+3,	0.000000E+0
1.554704E+3,	1.948587E-12
1.554708E+3,	0.000000E+0
1.554712E+3,	0.000000E+0
1.554716E+3,	933.027203E-15
1.554720E+3,	0.000000E+0
1.554724E+3,	0.000000E+0
1.554728E+3,	4.888146E-12
1.554732E+3,	3.573771E-12
1.554736E+3,	0.000000E+0
1.554740E+3,	11.720447E-12
1.554744E+3,	0.000000E+0
1.554748E+3,	0.000000E+0
1.554752E+3,	14.710604E-12
1.554756E+3,	12.225792E-12
1.554760E+3,	0.000000E+0
1.554764E+3,	6.674690E-12
1.554768E+3,	0.000000E+0
1.554772E+3,	0.000000E+0
1.554776E+3,	7.199336E-12
1.554780E+3,	6.038343E-12
1.554784E+3,	0.000000E+0
1.554788E+3,	10.105839E-12
1.554792E+3,	0.000000E+0
1.554796E+3,	4.153066E-12
1.554800E+3,	3.272008E-12
1.554804E+3,	11.558256E-12
1.554808E+3,	5.443869E-12
1.554812E+3,	319.143958E-15
1.554816E+3,	758.202635E-15
1.554820E+3,	8.318242E-12
1.554824E+3,	22.439571E-12
1.554828E+3,	0.000000E+0
1.554832E+3,	0.000000E+0
1.554836E+3,	963.252803E-15
1.554840E+3,	13.694338E-12
1.554844E+3,	18.199289E-12
1.554848E+3,	1.466130E-12
1.554852E+3,	6.196900E-12
1.554856E+3,	657.582338E-15
1.554860E+3,	0.000000E+0
1.554864E+3,	1.413009E-12
1.554868E+3,	3.441180E-12
1.554872E+3,	0.000000E+0
1.554876E+3,	13.261798E-12
1.554880E+3,	14.153064E-12
1.554884E+3,	0.000000E+0
1.554888E+3,	0.000000E+0
1.554892E+3,	0.000000E+0
1.554896E+3,	0.000000E+0
1.554900E+3,	0.000000E+0
1.554904E+3,	0.000000E+0
1.554908E+3,	4.909128E-12
1.554912E+3,	20.678102E-12
1.554916E+3,	8.473059E-12
1.554920E+3,	4.959768E-12
1.554924E+3,	18.278284E-12
1.554928E+3,	9.646981E-12
1.554932E+3,	0.000000E+0
1.554936E+3,	9.418293E-12
1.554940E+3,	17.946407E-12
1.554944E+3,	1.452556E-12
1.554948E+3,	10.562461E-12
1.554952E+3,	17.497969E-12
1.554956E+3,	3.356442E-12
1.554960E+3,	4.467853E-12
1.554964E+3,	0.000000E+0
1.554968E+3,	0.000000E+0
1.554972E+3,	15.687895E-12
1.554976E+3,	1.094384E-12
1.554980E+3,	0.000000E+0
1.554984E+3,	4.628812E-12
1.554988E+3,	0.000000E+0
1.554992E+3,	3.201208E-12
1.554996E+3,	4.270597E-12
1.555000E+3,	0.000000E+0
1.555004E+3,	0.000000E+0
1.555008E+3,	0.000000E+0
1.555012E+3,	11.567186E-12
1.555016E+3,	0.000000E+0
1.555020E+3,	0.000000E+0
1.555024E+3,	4.264798E-12
1.555028E+3,	3.975228E-12
1.555032E+3,	0.000000E+0
1.555036E+3,	0.000000E+0
1.555040E+3,	5.722619E-12
1.555044E+3,	0.000000E+0
1.555048E+3,	0.000000E+0
1.555052E+3,	0.000000E+0
1.555056E+3,	22.638538E-12
1.555060E+3,	13.229954E-12
1.555064E+3,	0.000000E+0
1.555068E+3,	0.000000E+0
1.555072E+3,	0.000000E+0
1.555076E+3,	11.002459E-12
1.555080E+3,	9.102020E-12
1.555084E+3,	3.743557E-12
1.555088E+3,	24.777298E-12
1.555092E+3,	0.000000E+0
1.555096E+3,	13.221220E-12
1.555100E+3,	0.000000E+0
1.555104E+3,	9.203495E-12
1.555108E+3,	0.000000E+0
1.555112E+3,	0.000000E+0
1.555116E+3,	759.600087E-15
1.555120E+3,	0.000000E+0
1.555124E+3,	3.613833E-12
1.555128E+3,	0.000000E+0
1.555132E+3,	0.000000E+0
1.555136E+3,	0.000000E+0
1.555140E+3,	6.077709E-12
1.555144E+3,	0.000000E+0
