YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/05/2023 Time: 10:46:35,	
A_WL(nm),	A_I(mW)
1.554700E+3,	183.135546E-15
1.554704E+3,	7.921056E-12
1.554708E+3,	28.117941E-12
1.554712E+3,	14.286066E-12
1.554716E+3,	3.146399E-12
1.554720E+3,	6.527775E-12
1.554724E+3,	7.383126E-12
1.554728E+3,	10.136043E-12
1.554732E+3,	41.938169E-12
1.554736E+3,	10.565814E-12
1.554740E+3,	7.457574E-12
1.554744E+3,	0.000000E+0
1.554748E+3,	5.967619E-12
1.554752E+3,	6.007205E-12
1.554756E+3,	8.093945E-12
1.554760E+3,	0.000000E+0
1.554764E+3,	0.000000E+0
1.554768E+3,	17.270185E-12
1.554772E+3,	227.628163E-15
1.554776E+3,	18.832013E-12
1.554780E+3,	14.477712E-12
1.554784E+3,	12.597446E-12
1.554788E+3,	32.702335E-12
1.554792E+3,	16.060872E-12
1.554796E+3,	6.511350E-12
1.554800E+3,	0.000000E+0
1.554804E+3,	793.672522E-15
1.554808E+3,	18.130720E-12
1.554812E+3,	5.092932E-12
1.554816E+3,	20.681765E-12
1.554820E+3,	6.159248E-12
1.554824E+3,	10.086541E-12
1.554828E+3,	12.044498E-12
1.554832E+3,	29.794192E-12
1.554836E+3,	7.718399E-12
1.554840E+3,	0.000000E+0
1.554844E+3,	2.266333E-12
1.554848E+3,	15.154884E-12
1.554852E+3,	4.955117E-12
1.554856E+3,	0.000000E+0
1.554860E+3,	14.745131E-12
1.554864E+3,	38.910809E-12
1.554868E+3,	10.484098E-12
1.554872E+3,	14.632829E-12
1.554876E+3,	27.751824E-12
1.554880E+3,	390.958574E-15
1.554884E+3,	15.601093E-12
1.554888E+3,	631.393634E-15
1.554892E+3,	0.000000E+0
1.554896E+3,	17.207605E-12
1.554900E+3,	24.109237E-12
1.554904E+3,	30.665062E-12
1.554908E+3,	4.882569E-12
1.554912E+3,	35.043979E-12
1.554916E+3,	39.311086E-12
1.554920E+3,	33.018788E-12
1.554924E+3,	4.074842E-12
1.554928E+3,	11.990755E-12
1.554932E+3,	0.000000E+0
1.554936E+3,	11.882341E-12
1.554940E+3,	32.342096E-12
1.554944E+3,	16.087088E-12
1.554948E+3,	10.025208E-12
1.554952E+3,	28.976071E-12
1.554956E+3,	24.558884E-12
1.554960E+3,	25.467059E-12
1.554964E+3,	23.350359E-12
1.554968E+3,	29.777505E-12
1.554972E+3,	36.524442E-12
1.554976E+3,	38.289962E-12
1.554980E+3,	6.872073E-12
1.554984E+3,	12.148806E-12
1.554988E+3,	10.779007E-12
1.554992E+3,	16.809366E-12
1.554996E+3,	2.539224E-12
1.555000E+3,	9.767463E-12
1.555004E+3,	7.693311E-12
1.555008E+3,	18.585465E-12
1.555012E+3,	25.993122E-12
1.555016E+3,	24.079838E-12
1.555020E+3,	8.291774E-12
1.555024E+3,	15.796153E-12
1.555028E+3,	0.000000E+0
1.555032E+3,	21.195171E-12
1.555036E+3,	4.743847E-12
1.555040E+3,	28.425119E-12
1.555044E+3,	18.566011E-12
1.555048E+3,	0.000000E+0
1.555052E+3,	8.540959E-12
