YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/05/2023 Time: 14:49:19,	
A_WL(nm),	A_I(mW)
1.554700E+3,	9.682004E-12
1.554704E+3,	14.037749E-12
1.554708E+3,	18.927590E-12
1.554712E+3,	3.525081E-12
1.554716E+3,	0.000000E+0
1.554720E+3,	879.207235E-15
1.554724E+3,	10.709395E-12
1.554728E+3,	0.000000E+0
1.554732E+3,	15.631479E-12
1.554736E+3,	1.749083E-12
1.554740E+3,	17.893706E-12
1.554744E+3,	3.413408E-12
1.554748E+3,	1.567775E-12
1.554752E+3,	24.794754E-12
1.554756E+3,	0.000000E+0
1.554760E+3,	24.990718E-12
1.554764E+3,	14.240535E-12
1.554768E+3,	0.000000E+0
1.554772E+3,	16.501594E-12
1.554776E+3,	12.741059E-12
1.554780E+3,	24.354369E-12
1.554784E+3,	16.732436E-12
1.554788E+3,	8.681424E-12
1.554792E+3,	1.925316E-12
1.554796E+3,	189.201503E-15
1.554800E+3,	11.134765E-12
1.554804E+3,	0.000000E+0
1.554808E+3,	7.029841E-12
1.554812E+3,	18.472620E-12
1.554816E+3,	36.231668E-12
1.554820E+3,	7.027412E-12
1.554824E+3,	19.186783E-12
1.554828E+3,	26.397413E-12
1.554832E+3,	19.983258E-12
1.554836E+3,	27.721486E-12
1.554840E+3,	15.671065E-12
1.554844E+3,	0.000000E+0
1.554848E+3,	24.029806E-12
1.554852E+3,	0.000000E+0
1.554856E+3,	20.103833E-12
1.554860E+3,	28.862698E-12
1.554864E+3,	0.000000E+0
1.554868E+3,	26.375219E-12
1.554872E+3,	3.910778E-12
1.554876E+3,	9.680921E-12
1.554880E+3,	15.525641E-12
1.554884E+3,	16.475738E-12
1.554888E+3,	27.880298E-12
1.554892E+3,	29.659442E-12
1.554896E+3,	35.291399E-12
1.554900E+3,	12.451796E-12
1.554904E+3,	27.154922E-12
1.554908E+3,	0.000000E+0
1.554912E+3,	19.032341E-12
1.554916E+3,	20.951603E-12
1.554920E+3,	19.769215E-12
1.554924E+3,	0.000000E+0
1.554928E+3,	1.870746E-12
1.554932E+3,	13.032303E-12
