YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/05/2023 Time: 10:24:24,	
A_WL(nm),	A_I(mW)
1.554700E+3,	19.205845E-12
1.554704E+3,	19.007860E-12
1.554708E+3,	38.423206E-12
1.554712E+3,	25.986342E-12
1.554716E+3,	17.662363E-12
1.554720E+3,	25.322588E-12
1.554724E+3,	1.684266E-12
1.554728E+3,	15.489455E-12
1.554732E+3,	0.000000E+0
1.554736E+3,	23.404718E-12
1.554740E+3,	23.572229E-12
1.554744E+3,	23.949549E-12
1.554748E+3,	0.000000E+0
1.554752E+3,	15.311930E-12
1.554756E+3,	16.912948E-12
1.554760E+3,	33.297161E-12
1.554764E+3,	12.916280E-12
1.554768E+3,	9.298801E-12
1.554772E+3,	43.925491E-12
1.554776E+3,	27.664828E-12
1.554780E+3,	16.655259E-12
1.554784E+3,	30.987023E-12
1.554788E+3,	30.250143E-12
1.554792E+3,	19.045090E-12
1.554796E+3,	29.666200E-12
1.554800E+3,	26.674950E-12
1.554804E+3,	28.368628E-12
1.554808E+3,	38.721785E-12
1.554812E+3,	19.269923E-12
1.554816E+3,	43.637675E-12
1.554820E+3,	10.865084E-12
1.554824E+3,	19.904994E-12
1.554828E+3,	10.923467E-12
1.554832E+3,	20.869254E-12
1.554836E+3,	18.940711E-12
1.554840E+3,	35.013526E-12
1.554844E+3,	25.972527E-12
1.554848E+3,	17.311867E-12
1.554852E+3,	30.698217E-12
1.554856E+3,	35.248792E-12
1.554860E+3,	32.770679E-12
1.554864E+3,	27.971848E-12
1.554868E+3,	25.651649E-12
1.554872E+3,	28.432685E-12
1.554876E+3,	25.643175E-12
1.554880E+3,	15.742886E-12
1.554884E+3,	26.299589E-12
1.554888E+3,	30.456422E-12
1.554892E+3,	48.089943E-12
1.554896E+3,	36.634503E-12
1.554900E+3,	41.014595E-12
1.554904E+3,	46.774745E-12
1.554908E+3,	44.445581E-12
1.554912E+3,	12.642793E-12
1.554916E+3,	37.379811E-12
1.554920E+3,	51.270360E-12
1.554924E+3,	37.351022E-12
1.554928E+3,	17.301208E-12
1.554932E+3,	27.839385E-12
1.554936E+3,	27.380051E-12
1.554940E+3,	27.586986E-12
1.554944E+3,	16.913794E-12
1.554948E+3,	27.073169E-12
1.554952E+3,	35.155439E-12
1.554956E+3,	32.420563E-12
1.554960E+3,	49.337325E-12
1.554964E+3,	24.285645E-12
1.554968E+3,	38.875184E-12
1.554972E+3,	19.038522E-12
1.554976E+3,	44.206528E-12
1.554980E+3,	47.314347E-12
1.554984E+3,	31.048505E-12
1.554988E+3,	45.963913E-12
1.554992E+3,	31.634090E-12
1.554996E+3,	5.987452E-12
1.555000E+3,	26.861295E-12
1.555004E+3,	26.071027E-12
1.555008E+3,	42.210115E-12
1.555012E+3,	14.558955E-12
1.555016E+3,	41.898282E-12
1.555020E+3,	47.856178E-12
1.555024E+3,	25.024349E-12
1.555028E+3,	14.609414E-12
1.555032E+3,	24.454782E-12
1.555036E+3,	49.142791E-12
1.555040E+3,	26.936466E-12
1.555044E+3,	43.556682E-12
1.555048E+3,	31.465876E-12
1.555052E+3,	28.360381E-12
1.555056E+3,	30.444387E-12
1.555060E+3,	20.357233E-12
1.555064E+3,	54.712052E-12
1.555068E+3,	19.034721E-12
1.555072E+3,	19.984217E-12
1.555076E+3,	31.379869E-12
1.555080E+3,	32.673269E-12
1.555084E+3,	25.711120E-12
1.555088E+3,	41.422845E-12
1.555092E+3,	35.347664E-12
1.555096E+3,	57.093852E-12
1.555100E+3,	33.960409E-12
1.555104E+3,	45.579713E-12
1.555108E+3,	57.052483E-12
1.555112E+3,	32.696244E-12
1.555116E+3,	23.900501E-12
1.555120E+3,	30.928833E-12
1.555124E+3,	48.699049E-12
1.555128E+3,	25.944886E-12
1.555132E+3,	38.637125E-12
1.555136E+3,	44.437258E-12
1.555140E+3,	43.299032E-12
1.555144E+3,	49.427803E-12
1.555148E+3,	45.920194E-12
1.555152E+3,	29.155199E-12
1.555156E+3,	45.370221E-12
1.555160E+3,	38.897109E-12
1.555164E+3,	28.596397E-12
1.555168E+3,	43.532964E-12
1.555172E+3,	38.485287E-12
1.555176E+3,	41.404319E-12
1.555180E+3,	52.622195E-12
1.555184E+3,	40.584099E-12
1.555188E+3,	43.412508E-12
1.555192E+3,	48.783364E-12
1.555196E+3,	32.260083E-12
1.555200E+3,	33.026924E-12
1.555204E+3,	47.872870E-12
1.555208E+3,	47.757052E-12
1.555212E+3,	19.905233E-12
1.555216E+3,	32.152208E-12
1.555220E+3,	22.714404E-12
1.555224E+3,	42.462687E-12
1.555228E+3,	55.042486E-12
1.555232E+3,	31.677825E-12
1.555236E+3,	48.228661E-12
1.555240E+3,	53.227711E-12
1.555244E+3,	29.119322E-12
1.555248E+3,	41.925130E-12
1.555252E+3,	30.054906E-12
1.555256E+3,	36.756294E-12
1.555260E+3,	39.071666E-12
1.555264E+3,	49.882931E-12
1.555268E+3,	26.800029E-12
1.555272E+3,	40.192005E-12
1.555276E+3,	38.842509E-12
1.555280E+3,	45.537851E-12
1.555284E+3,	58.429637E-12
1.555288E+3,	53.274884E-12
1.555292E+3,	42.681853E-12
1.555296E+3,	44.287509E-12
1.555300E+3,	43.787170E-12
1.555304E+3,	47.223664E-12
1.555308E+3,	47.639640E-12
1.555312E+3,	33.765696E-12
1.555316E+3,	24.948211E-12
1.555320E+3,	48.184016E-12
1.555324E+3,	45.163160E-12
1.555328E+3,	40.309820E-12
1.555332E+3,	48.827294E-12
1.555336E+3,	55.198106E-12
1.555340E+3,	47.813646E-12
1.555344E+3,	30.542740E-12
1.555348E+3,	42.956607E-12
1.555352E+3,	43.462514E-12
1.555356E+3,	34.418513E-12
1.555360E+3,	49.711871E-12
1.555364E+3,	44.330520E-12
1.555368E+3,	50.352258E-12
1.555372E+3,	28.942759E-12
1.555376E+3,	13.350446E-12
1.555380E+3,	54.211610E-12
1.555384E+3,	50.656944E-12
1.555388E+3,	46.714301E-12
1.555392E+3,	47.293675E-12
1.555396E+3,	46.748282E-12
1.555400E+3,	44.270890E-12
1.555404E+3,	63.291899E-12
1.555408E+3,	71.234942E-12
1.555412E+3,	70.181526E-12
1.555416E+3,	52.014252E-12
1.555420E+3,	34.061500E-12
1.555424E+3,	46.821567E-12
1.555428E+3,	52.729078E-12
1.555432E+3,	39.251469E-12
1.555436E+3,	68.970698E-12
1.555440E+3,	63.087250E-12
1.555444E+3,	59.251882E-12
1.555448E+3,	41.509487E-12
1.555452E+3,	30.524835E-12
1.555456E+3,	50.512204E-12
1.555460E+3,	23.265301E-12
1.555464E+3,	40.326427E-12
1.555468E+3,	59.207459E-12
1.555472E+3,	37.917104E-12
1.555476E+3,	60.068565E-12
1.555480E+3,	49.858405E-12
1.555484E+3,	50.587636E-12
1.555488E+3,	40.487247E-12
1.555492E+3,	71.759821E-12
1.555496E+3,	47.203276E-12
1.555500E+3,	62.966681E-12
1.555504E+3,	45.128329E-12
1.555508E+3,	40.331648E-12
1.555512E+3,	54.919547E-12
1.555516E+3,	60.246329E-12
1.555520E+3,	49.357050E-12
1.555524E+3,	59.763479E-12
1.555528E+3,	59.595152E-12
1.555532E+3,	61.252863E-12
1.555536E+3,	52.227588E-12
1.555540E+3,	44.755724E-12
1.555544E+3,	58.322995E-12
1.555548E+3,	57.466402E-12
1.555552E+3,	56.197356E-12
1.555556E+3,	46.571907E-12
1.555560E+3,	49.635994E-12
1.555564E+3,	81.646393E-12
1.555568E+3,	55.886241E-12
1.555572E+3,	53.599135E-12
1.555576E+3,	56.277727E-12
1.555580E+3,	77.836327E-12
1.555584E+3,	58.805011E-12
1.555588E+3,	68.360658E-12
1.555592E+3,	47.958817E-12
1.555596E+3,	63.702598E-12
1.555600E+3,	36.027975E-12
1.555604E+3,	44.924229E-12
1.555608E+3,	35.009696E-12
1.555612E+3,	48.332257E-12
1.555616E+3,	45.057073E-12
1.555620E+3,	55.102117E-12
1.555624E+3,	49.911245E-12
1.555628E+3,	63.341974E-12
1.555632E+3,	53.347967E-12
1.555636E+3,	56.953221E-12
1.555640E+3,	44.308455E-12
1.555644E+3,	59.655040E-12
1.555648E+3,	70.376437E-12
1.555652E+3,	66.401052E-12
1.555656E+3,	27.742893E-12
1.555660E+3,	44.505860E-12
1.555664E+3,	61.731353E-12
1.555668E+3,	61.603809E-12
1.555672E+3,	65.172366E-12
1.555676E+3,	65.082838E-12
1.555680E+3,	62.897381E-12
1.555684E+3,	26.968786E-12
1.555688E+3,	56.520623E-12
1.555692E+3,	55.731774E-12
1.555696E+3,	39.716163E-12
1.555700E+3,	54.640850E-12
1.555704E+3,	53.902515E-12
1.555708E+3,	74.886394E-12
1.555712E+3,	54.691736E-12
1.555716E+3,	54.735457E-12
1.555720E+3,	55.076422E-12
1.555724E+3,	60.738242E-12
1.555728E+3,	62.152633E-12
1.555732E+3,	58.516392E-12
1.555736E+3,	54.321250E-12
1.555740E+3,	72.833323E-12
1.555744E+3,	70.101312E-12
1.555748E+3,	48.234555E-12
1.555752E+3,	69.416260E-12
1.555756E+3,	59.144634E-12
1.555760E+3,	52.465428E-12
1.555764E+3,	79.397973E-12
1.555768E+3,	55.851103E-12
1.555772E+3,	67.645830E-12
1.555776E+3,	42.550956E-12
1.555780E+3,	38.841904E-12
1.555784E+3,	69.594012E-12
1.555788E+3,	53.814181E-12
1.555792E+3,	79.716434E-12
1.555796E+3,	69.444150E-12
1.555800E+3,	66.076676E-12
1.555804E+3,	71.080309E-12
1.555808E+3,	47.644158E-12
1.555812E+3,	56.126285E-12
1.555816E+3,	59.485294E-12
1.555820E+3,	50.773441E-12
1.555824E+3,	67.780641E-12
1.555828E+3,	54.424525E-12
1.555832E+3,	49.625152E-12
1.555836E+3,	44.311047E-12
1.555840E+3,	66.521828E-12
1.555844E+3,	73.715075E-12
1.555848E+3,	68.161197E-12
1.555852E+3,	58.706747E-12
1.555856E+3,	64.497797E-12
1.555860E+3,	64.078670E-12
1.555864E+3,	58.597274E-12
1.555868E+3,	57.638503E-12
1.555872E+3,	59.451350E-12
1.555876E+3,	61.285002E-12
1.555880E+3,	67.087691E-12
1.555884E+3,	70.848638E-12
1.555888E+3,	80.780361E-12
1.555892E+3,	79.803095E-12
1.555896E+3,	73.679211E-12
1.555900E+3,	74.653987E-12
1.555904E+3,	72.123321E-12
1.555908E+3,	89.792439E-12
1.555912E+3,	93.402292E-12
1.555916E+3,	60.316119E-12
1.555920E+3,	86.451595E-12
1.555924E+3,	63.763697E-12
1.555928E+3,	63.407400E-12
1.555932E+3,	72.627442E-12
1.555936E+3,	77.621728E-12
1.555940E+3,	92.895052E-12
1.555944E+3,	71.350123E-12
1.555948E+3,	91.006201E-12
1.555952E+3,	64.583827E-12
1.555956E+3,	85.415769E-12
1.555960E+3,	51.039360E-12
1.555964E+3,	81.131280E-12
1.555968E+3,	94.622076E-12
1.555972E+3,	77.857830E-12
1.555976E+3,	102.013223E-12
1.555980E+3,	90.699743E-12
1.555984E+3,	68.247703E-12
