YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/05/2023 Time: 14:46:34,	
A_WL(nm),	A_I(mW)
1.554700E+3,	0.000000E+0
1.554704E+3,	0.000000E+0
1.554708E+3,	0.000000E+0
1.554712E+3,	0.000000E+0
1.554716E+3,	227.424762E-15
1.554720E+3,	0.000000E+0
1.554724E+3,	0.000000E+0
1.554728E+3,	0.000000E+0
1.554732E+3,	0.000000E+0
1.554736E+3,	1.572978E-12
1.554740E+3,	0.000000E+0
1.554744E+3,	0.000000E+0
1.554748E+3,	0.000000E+0
1.554752E+3,	3.714642E-12
1.554756E+3,	0.000000E+0
1.554760E+3,	0.000000E+0
1.554764E+3,	0.000000E+0
1.554768E+3,	0.000000E+0
1.554772E+3,	4.230025E-12
1.554776E+3,	1.400317E-12
1.554780E+3,	8.999234E-12
1.554784E+3,	0.000000E+0
1.554788E+3,	4.175137E-12
1.554792E+3,	0.000000E+0
1.554796E+3,	0.000000E+0
1.554800E+3,	0.000000E+0
1.554804E+3,	6.577218E-12
1.554808E+3,	6.446872E-12
1.554812E+3,	0.000000E+0
1.554816E+3,	1.951422E-12
1.554820E+3,	0.000000E+0
1.554824E+3,	0.000000E+0
1.554828E+3,	13.682556E-12
1.554832E+3,	7.104156E-12
1.554836E+3,	0.000000E+0
1.554840E+3,	2.574341E-12
1.554844E+3,	10.382631E-12
1.554848E+3,	8.915690E-12
1.554852E+3,	9.001612E-12
1.554856E+3,	10.136122E-12
1.554860E+3,	3.747722E-12
1.554864E+3,	13.412322E-12
1.554868E+3,	14.944831E-12
1.554872E+3,	12.373980E-12
1.554876E+3,	0.000000E+0
1.554880E+3,	0.000000E+0
1.554884E+3,	19.695317E-12
1.554888E+3,	0.000000E+0
1.554892E+3,	7.447360E-12
1.554896E+3,	3.058317E-12
1.554900E+3,	0.000000E+0
1.554904E+3,	0.000000E+0
1.554908E+3,	0.000000E+0
1.554912E+3,	0.000000E+0
1.554916E+3,	0.000000E+0
1.554920E+3,	20.824647E-12
1.554924E+3,	0.000000E+0
1.554928E+3,	0.000000E+0
1.554932E+3,	0.000000E+0
1.554936E+3,	8.809033E-12
1.554940E+3,	0.000000E+0
1.554944E+3,	4.067966E-12
1.554948E+3,	8.242056E-12
1.554952E+3,	0.000000E+0
1.554956E+3,	20.410672E-12
1.554960E+3,	0.000000E+0
1.554964E+3,	0.000000E+0
1.554968E+3,	0.000000E+0
1.554972E+3,	0.000000E+0
1.554976E+3,	0.000000E+0
1.554980E+3,	0.000000E+0
1.554984E+3,	3.886755E-12
1.554988E+3,	13.986745E-12
1.554992E+3,	1.998804E-12
1.554996E+3,	0.000000E+0
1.555000E+3,	0.000000E+0
1.555004E+3,	0.000000E+0
1.555008E+3,	0.000000E+0
1.555012E+3,	7.920552E-12
1.555016E+3,	6.865525E-12
1.555020E+3,	0.000000E+0
1.555024E+3,	0.000000E+0
1.555028E+3,	4.655846E-12
1.555032E+3,	0.000000E+0
1.555036E+3,	4.517357E-12
1.555040E+3,	0.000000E+0
1.555044E+3,	0.000000E+0
1.555048E+3,	0.000000E+0
1.555052E+3,	0.000000E+0
1.555056E+3,	19.867214E-12
1.555060E+3,	8.242666E-12
1.555064E+3,	34.984201E-12
1.555068E+3,	0.000000E+0
1.555072E+3,	10.467197E-12
1.555076E+3,	0.000000E+0
1.555080E+3,	3.226752E-12
1.555084E+3,	0.000000E+0
1.555088E+3,	7.184654E-12
1.555092E+3,	3.274625E-12
1.555096E+3,	0.000000E+0
1.555100E+3,	12.223191E-12
1.555104E+3,	8.543047E-12
1.555108E+3,	0.000000E+0
1.555112E+3,	2.634459E-12
1.555116E+3,	0.000000E+0
1.555120E+3,	0.000000E+0
1.555124E+3,	0.000000E+0
1.555128E+3,	228.001306E-15
1.555132E+3,	0.000000E+0
1.555136E+3,	0.000000E+0
1.555140E+3,	24.205351E-12
1.555144E+3,	3.079647E-12
1.555148E+3,	0.000000E+0
1.555152E+3,	0.000000E+0
1.555156E+3,	0.000000E+0
1.555160E+3,	9.203180E-12
1.555164E+3,	2.194026E-12
1.555168E+3,	0.000000E+0
1.555172E+3,	0.000000E+0
1.555176E+3,	4.912647E-12
1.555180E+3,	0.000000E+0
1.555184E+3,	0.000000E+0
1.555188E+3,	0.000000E+0
1.555192E+3,	5.750816E-12
1.555196E+3,	5.256452E-12
1.555200E+3,	0.000000E+0
1.555204E+3,	0.000000E+0
1.555208E+3,	850.939242E-15
1.555212E+3,	0.000000E+0
1.555216E+3,	0.000000E+0
1.555220E+3,	4.409742E-12
1.555224E+3,	0.000000E+0
1.555228E+3,	0.000000E+0
1.555232E+3,	0.000000E+0
1.555236E+3,	26.339789E-12
1.555240E+3,	20.861060E-12
1.555244E+3,	0.000000E+0
1.555248E+3,	0.000000E+0
1.555252E+3,	0.000000E+0
1.555256E+3,	848.276771E-15
1.555260E+3,	16.435722E-12
1.555264E+3,	0.000000E+0
1.555268E+3,	0.000000E+0
1.555272E+3,	0.000000E+0
1.555276E+3,	9.572200E-12
1.555280E+3,	0.000000E+0
1.555284E+3,	5.455965E-12
1.555288E+3,	8.893175E-12
1.555292E+3,	11.023294E-12
1.555296E+3,	0.000000E+0
1.555300E+3,	6.800680E-12
1.555304E+3,	0.000000E+0
1.555308E+3,	209.534357E-15
1.555312E+3,	0.000000E+0
1.555316E+3,	11.514484E-12
1.555320E+3,	0.000000E+0
1.555324E+3,	1.442523E-12
1.555328E+3,	6.679971E-12
1.555332E+3,	0.000000E+0
1.555336E+3,	0.000000E+0
1.555340E+3,	0.000000E+0
1.555344E+3,	0.000000E+0
1.555348E+3,	0.000000E+0
1.555352E+3,	3.049785E-12
1.555356E+3,	16.303286E-12
1.555360E+3,	0.000000E+0
1.555364E+3,	0.000000E+0
1.555368E+3,	0.000000E+0
1.555372E+3,	18.751960E-12
1.555376E+3,	0.000000E+0
1.555380E+3,	0.000000E+0
1.555384E+3,	0.000000E+0
1.555388E+3,	3.571595E-12
1.555392E+3,	0.000000E+0
1.555396E+3,	0.000000E+0
1.555400E+3,	10.974840E-12
1.555404E+3,	10.516099E-12
1.555408E+3,	6.703795E-12
1.555412E+3,	14.581918E-12
1.555416E+3,	10.325806E-12
1.555420E+3,	0.000000E+0
1.555424E+3,	5.163590E-12
1.555428E+3,	3.929798E-12
1.555432E+3,	0.000000E+0
1.555436E+3,	3.588390E-12
1.555440E+3,	7.705949E-12
1.555444E+3,	3.499841E-12
1.555448E+3,	0.000000E+0
1.555452E+3,	19.881528E-12
1.555456E+3,	0.000000E+0
1.555460E+3,	0.000000E+0
1.555464E+3,	131.584121E-15
1.555468E+3,	15.304082E-12
1.555472E+3,	0.000000E+0
1.555476E+3,	0.000000E+0
1.555480E+3,	7.037544E-12
1.555484E+3,	3.238873E-12
1.555488E+3,	18.031527E-12
1.555492E+3,	1.659431E-12
1.555496E+3,	0.000000E+0
1.555500E+3,	0.000000E+0
1.555504E+3,	0.000000E+0
1.555508E+3,	0.000000E+0
1.555512E+3,	0.000000E+0
1.555516E+3,	0.000000E+0
1.555520E+3,	19.828674E-12
1.555524E+3,	0.000000E+0
1.555528E+3,	5.290980E-12
1.555532E+3,	0.000000E+0
1.555536E+3,	6.376293E-12
1.555540E+3,	0.000000E+0
1.555544E+3,	0.000000E+0
1.555548E+3,	1.874772E-12
1.555552E+3,	11.029169E-12
1.555556E+3,	0.000000E+0
1.555560E+3,	0.000000E+0
1.555564E+3,	14.165097E-12
1.555568E+3,	0.000000E+0
1.555572E+3,	0.000000E+0
1.555576E+3,	0.000000E+0
1.555580E+3,	0.000000E+0
1.555584E+3,	22.286986E-12
1.555588E+3,	0.000000E+0
1.555592E+3,	4.214085E-12
1.555596E+3,	0.000000E+0
1.555600E+3,	11.769407E-12
1.555604E+3,	11.193305E-12
1.555608E+3,	7.285951E-12
1.555612E+3,	0.000000E+0
1.555616E+3,	0.000000E+0
1.555620E+3,	0.000000E+0
1.555624E+3,	0.000000E+0
1.555628E+3,	0.000000E+0
1.555632E+3,	7.847803E-12
1.555636E+3,	0.000000E+0
1.555640E+3,	0.000000E+0
1.555644E+3,	17.847712E-12
