YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/05/2023 Time: 10:22:59,	
A_WL(nm),	A_I(mW)
1.554700E+3,	2.807051E-12
1.554704E+3,	8.550203E-12
1.554708E+3,	20.015924E-12
1.554712E+3,	26.275379E-12
1.554716E+3,	20.812722E-12
1.554720E+3,	0.000000E+0
1.554724E+3,	1.647041E-12
1.554728E+3,	25.628034E-12
1.554732E+3,	20.389540E-12
1.554736E+3,	12.274614E-12
1.554740E+3,	9.445558E-12
1.554744E+3,	9.736585E-12
1.554748E+3,	8.187766E-12
1.554752E+3,	7.604700E-12
1.554756E+3,	0.000000E+0
1.554760E+3,	25.336069E-12
1.554764E+3,	6.120279E-12
1.554768E+3,	19.146929E-12
1.554772E+3,	11.837415E-12
1.554776E+3,	28.318987E-12
1.554780E+3,	24.973897E-12
1.554784E+3,	30.707778E-12
1.554788E+3,	24.217889E-12
1.554792E+3,	2.099599E-12
1.554796E+3,	20.454793E-12
1.554800E+3,	38.488619E-12
1.554804E+3,	18.874217E-12
1.554808E+3,	34.887862E-12
1.554812E+3,	4.943678E-12
1.554816E+3,	21.525895E-12
1.554820E+3,	3.101316E-12
1.554824E+3,	28.160856E-12
1.554828E+3,	23.979642E-12
1.554832E+3,	33.962680E-12
1.554836E+3,	33.055128E-12
1.554840E+3,	20.497735E-12
1.554844E+3,	24.966772E-12
1.554848E+3,	14.443606E-12
1.554852E+3,	12.493050E-12
1.554856E+3,	12.287018E-12
1.554860E+3,	25.525525E-12
1.554864E+3,	6.138235E-12
1.554868E+3,	21.438024E-12
1.554872E+3,	19.255268E-12
1.554876E+3,	25.382370E-12
1.554880E+3,	17.390370E-12
1.554884E+3,	27.345221E-12
1.554888E+3,	40.057402E-12
1.554892E+3,	24.581305E-12
1.554896E+3,	27.717519E-12
1.554900E+3,	26.457388E-12
1.554904E+3,	6.690812E-12
1.554908E+3,	12.538283E-12
1.554912E+3,	34.146032E-12
1.554916E+3,	16.930229E-12
1.554920E+3,	8.597328E-12
1.554924E+3,	6.009213E-12
1.554928E+3,	9.307368E-12
1.554932E+3,	18.109233E-12
1.554936E+3,	28.815825E-12
1.554940E+3,	10.015449E-12
1.554944E+3,	18.980915E-12
1.554948E+3,	26.185682E-12
1.554952E+3,	37.881489E-12
1.554956E+3,	28.860716E-12
1.554960E+3,	9.804267E-12
1.554964E+3,	18.722656E-12
1.554968E+3,	23.269336E-12
1.554972E+3,	32.756049E-12
1.554976E+3,	8.408116E-12
1.554980E+3,	11.427060E-12
1.554984E+3,	47.975658E-12
1.554988E+3,	41.587041E-12
1.554992E+3,	24.909725E-12
1.554996E+3,	34.716116E-12
1.555000E+3,	18.516058E-12
1.555004E+3,	21.093550E-12
1.555008E+3,	35.055485E-12
1.555012E+3,	46.419511E-12
1.555016E+3,	35.770665E-12
1.555020E+3,	19.923678E-12
1.555024E+3,	28.319700E-12
1.555028E+3,	37.456324E-12
1.555032E+3,	12.856641E-12
1.555036E+3,	16.426603E-12
1.555040E+3,	24.313465E-12
1.555044E+3,	18.525187E-12
1.555048E+3,	51.231199E-12
1.555052E+3,	20.983138E-12
1.555056E+3,	19.960657E-12
1.555060E+3,	16.198101E-12
1.555064E+3,	35.110033E-12
1.555068E+3,	21.381334E-12
1.555072E+3,	15.154635E-12
1.555076E+3,	8.942932E-12
1.555080E+3,	24.814783E-12
1.555084E+3,	17.244240E-12
1.555088E+3,	37.394271E-12
1.555092E+3,	35.565846E-12
1.555096E+3,	15.606564E-12
1.555100E+3,	13.320107E-12
1.555104E+3,	27.935902E-12
1.555108E+3,	21.078926E-12
1.555112E+3,	21.279311E-12
1.555116E+3,	9.054956E-12
1.555120E+3,	12.046605E-12
1.555124E+3,	28.178419E-12
1.555128E+3,	30.612059E-12
1.555132E+3,	45.990901E-12
1.555136E+3,	37.085444E-12
1.555140E+3,	27.886354E-12
1.555144E+3,	29.153499E-12
1.555148E+3,	30.481976E-12
1.555152E+3,	40.985264E-12
1.555156E+3,	21.038348E-12
1.555160E+3,	36.515846E-12
1.555164E+3,	21.392877E-12
1.555168E+3,	35.320937E-12
1.555172E+3,	29.689587E-12
1.555176E+3,	50.457209E-12
1.555180E+3,	45.903256E-12
1.555184E+3,	30.188412E-12
1.555188E+3,	38.064500E-12
1.555192E+3,	54.677172E-12
1.555196E+3,	35.936837E-12
1.555200E+3,	57.094704E-12
1.555204E+3,	30.142304E-12
1.555208E+3,	40.836129E-12
1.555212E+3,	17.202431E-12
1.555216E+3,	33.945936E-12
1.555220E+3,	35.966729E-12
1.555224E+3,	25.547030E-12
1.555228E+3,	35.800640E-12
1.555232E+3,	36.685239E-12
1.555236E+3,	24.624435E-12
1.555240E+3,	34.074797E-12
1.555244E+3,	22.341280E-12
1.555248E+3,	20.794873E-12
1.555252E+3,	19.276071E-12
1.555256E+3,	34.814379E-12
1.555260E+3,	43.880641E-12
1.555264E+3,	16.892696E-12
1.555268E+3,	31.912050E-12
1.555272E+3,	21.837124E-12
1.555276E+3,	35.352488E-12
1.555280E+3,	32.633301E-12
1.555284E+3,	22.122307E-12
1.555288E+3,	39.136692E-12
1.555292E+3,	49.649933E-12
1.555296E+3,	62.971982E-12
1.555300E+3,	24.251435E-12
1.555304E+3,	34.411509E-12
1.555308E+3,	44.094484E-12
1.555312E+3,	36.785411E-12
1.555316E+3,	28.703079E-12
1.555320E+3,	32.216788E-12
1.555324E+3,	30.682270E-12
1.555328E+3,	28.385503E-12
1.555332E+3,	60.328223E-12
1.555336E+3,	47.418048E-12
1.555340E+3,	34.504974E-12
1.555344E+3,	65.822049E-12
1.555348E+3,	45.104108E-12
1.555352E+3,	49.222750E-12
1.555356E+3,	58.422125E-12
1.555360E+3,	49.286984E-12
1.555364E+3,	29.176818E-12
1.555368E+3,	36.178677E-12
1.555372E+3,	67.013392E-12
1.555376E+3,	35.791386E-12
1.555380E+3,	44.563240E-12
1.555384E+3,	28.919155E-12
1.555388E+3,	15.016885E-12
1.555392E+3,	25.258738E-12
1.555396E+3,	36.309345E-12
1.555400E+3,	29.870133E-12
1.555404E+3,	34.846459E-12
1.555408E+3,	40.004762E-12
1.555412E+3,	44.084185E-12
1.555416E+3,	34.213962E-12
1.555420E+3,	29.557327E-12
1.555424E+3,	32.285994E-12
1.555428E+3,	43.761603E-12
1.555432E+3,	29.863239E-12
1.555436E+3,	53.810014E-12
1.555440E+3,	20.696468E-12
1.555444E+3,	47.091061E-12
1.555448E+3,	41.771200E-12
1.555452E+3,	33.041181E-12
1.555456E+3,	48.282140E-12
1.555460E+3,	45.839563E-12
1.555464E+3,	35.703927E-12
1.555468E+3,	29.556308E-12
1.555472E+3,	42.261465E-12
1.555476E+3,	31.749764E-12
1.555480E+3,	36.053501E-12
1.555484E+3,	29.405955E-12
1.555488E+3,	35.623232E-12
1.555492E+3,	53.008631E-12
1.555496E+3,	29.458755E-12
1.555500E+3,	37.204950E-12
1.555504E+3,	26.961380E-12
1.555508E+3,	26.192614E-12
1.555512E+3,	65.748252E-12
1.555516E+3,	32.077076E-12
1.555520E+3,	30.056138E-12
1.555524E+3,	70.105913E-12
1.555528E+3,	50.992042E-12
1.555532E+3,	43.720191E-12
1.555536E+3,	15.459994E-12
1.555540E+3,	45.522699E-12
1.555544E+3,	49.172220E-12
1.555548E+3,	30.937357E-12
1.555552E+3,	53.828495E-12
1.555556E+3,	38.657326E-12
1.555560E+3,	47.988586E-12
1.555564E+3,	49.746488E-12
1.555568E+3,	32.652466E-12
1.555572E+3,	45.888715E-12
1.555576E+3,	31.935758E-12
1.555580E+3,	42.809247E-12
1.555584E+3,	41.213377E-12
1.555588E+3,	39.926480E-12
1.555592E+3,	66.633335E-12
1.555596E+3,	65.931473E-12
1.555600E+3,	47.310737E-12
1.555604E+3,	57.783417E-12
1.555608E+3,	63.300801E-12
1.555612E+3,	50.108584E-12
1.555616E+3,	59.056158E-12
1.555620E+3,	44.213183E-12
1.555624E+3,	38.445627E-12
1.555628E+3,	64.015716E-12
1.555632E+3,	56.080419E-12
1.555636E+3,	52.434321E-12
1.555640E+3,	64.591958E-12
1.555644E+3,	65.363239E-12
1.555648E+3,	42.984456E-12
1.555652E+3,	57.063791E-12
1.555656E+3,	40.761922E-12
1.555660E+3,	45.797515E-12
1.555664E+3,	43.597105E-12
1.555668E+3,	50.939502E-12
1.555672E+3,	52.124759E-12
1.555676E+3,	65.864982E-12
1.555680E+3,	32.079412E-12
1.555684E+3,	25.502402E-12
1.555688E+3,	61.255350E-12
1.555692E+3,	37.119326E-12
1.555696E+3,	36.081508E-12
1.555700E+3,	49.957882E-12
1.555704E+3,	47.240041E-12
1.555708E+3,	63.612350E-12
1.555712E+3,	45.345874E-12
1.555716E+3,	49.506453E-12
1.555720E+3,	54.833018E-12
1.555724E+3,	64.048042E-12
1.555728E+3,	54.535144E-12
1.555732E+3,	61.231984E-12
1.555736E+3,	54.115234E-12
1.555740E+3,	66.322675E-12
1.555744E+3,	80.628578E-12
1.555748E+3,	55.650968E-12
1.555752E+3,	40.368679E-12
1.555756E+3,	68.937833E-12
1.555760E+3,	66.710094E-12
1.555764E+3,	58.623529E-12
1.555768E+3,	79.948041E-12
1.555772E+3,	65.645296E-12
1.555776E+3,	69.076320E-12
1.555780E+3,	56.619138E-12
1.555784E+3,	91.691673E-12
1.555788E+3,	68.106165E-12
1.555792E+3,	62.051589E-12
1.555796E+3,	68.583878E-12
1.555800E+3,	41.066215E-12
1.555804E+3,	59.696155E-12
1.555808E+3,	72.052666E-12
1.555812E+3,	57.046089E-12
1.555816E+3,	37.519540E-12
1.555820E+3,	58.224812E-12
1.555824E+3,	41.524522E-12
1.555828E+3,	48.486028E-12
1.555832E+3,	66.788171E-12
1.555836E+3,	64.258227E-12
1.555840E+3,	39.796849E-12
1.555844E+3,	58.285928E-12
1.555848E+3,	54.383445E-12
1.555852E+3,	73.962103E-12
1.555856E+3,	53.365494E-12
1.555860E+3,	53.965216E-12
1.555864E+3,	53.318157E-12
1.555868E+3,	76.379732E-12
1.555872E+3,	66.465586E-12
1.555876E+3,	51.791327E-12
1.555880E+3,	61.719559E-12
1.555884E+3,	51.053343E-12
