YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/05/2023 Time: 14:53:10,	
A_WL(nm),	A_I(mW)
1.554700E+3,	696.608585E-15
1.554704E+3,	1.030806E-12
1.554708E+3,	4.326028E-12
1.554712E+3,	0.000000E+0
1.554716E+3,	0.000000E+0
1.554720E+3,	7.955766E-12
1.554724E+3,	9.052908E-12
1.554728E+3,	22.641443E-12
1.554732E+3,	11.895104E-12
1.554736E+3,	18.864483E-12
1.554740E+3,	0.000000E+0
1.554744E+3,	11.249150E-12
1.554748E+3,	8.026008E-12
1.554752E+3,	0.000000E+0
1.554756E+3,	1.012668E-12
1.554760E+3,	24.171592E-12
1.554764E+3,	8.878983E-12
1.554768E+3,	0.000000E+0
1.554772E+3,	1.254678E-12
1.554776E+3,	4.177469E-12
1.554780E+3,	16.433895E-12
1.554784E+3,	0.000000E+0
1.554788E+3,	7.083274E-12
1.554792E+3,	17.194360E-12
1.554796E+3,	2.502561E-12
1.554800E+3,	2.267351E-12
1.554804E+3,	0.000000E+0
1.554808E+3,	0.000000E+0
1.554812E+3,	19.037815E-12
1.554816E+3,	9.911676E-12
1.554820E+3,	10.174325E-12
1.554824E+3,	15.015730E-12
1.554828E+3,	5.713422E-12
1.554832E+3,	7.184893E-12
1.554836E+3,	18.595203E-12
1.554840E+3,	11.461797E-12
1.554844E+3,	0.000000E+0
1.554848E+3,	16.571932E-12
1.554852E+3,	23.568101E-12
1.554856E+3,	5.557650E-12
1.554860E+3,	0.000000E+0
1.554864E+3,	6.668846E-12
1.554868E+3,	3.211629E-12
1.554872E+3,	11.314304E-12
1.554876E+3,	14.222562E-12
1.554880E+3,	1.870315E-12
1.554884E+3,	8.665983E-12
1.554888E+3,	17.350220E-12
1.554892E+3,	8.904371E-12
1.554896E+3,	6.639432E-12
1.554900E+3,	0.000000E+0
1.554904E+3,	9.862890E-12
1.554908E+3,	0.000000E+0
1.554912E+3,	0.000000E+0
1.554916E+3,	13.665850E-12
1.554920E+3,	0.000000E+0
1.554924E+3,	7.235276E-12
1.554928E+3,	0.000000E+0
1.554932E+3,	2.057083E-12
1.554936E+3,	8.616129E-12
1.554940E+3,	10.576389E-12
1.554944E+3,	1.571349E-12
1.554948E+3,	1.666159E-12
1.554952E+3,	5.938633E-12
1.554956E+3,	0.000000E+0
1.554960E+3,	0.000000E+0
1.554964E+3,	3.982937E-12
1.554968E+3,	2.636429E-12
1.554972E+3,	0.000000E+0
1.554976E+3,	0.000000E+0
1.554980E+3,	0.000000E+0
1.554984E+3,	0.000000E+0
1.554988E+3,	12.207258E-12
1.554992E+3,	0.000000E+0
1.554996E+3,	6.923654E-12
1.555000E+3,	8.498075E-12
1.555004E+3,	4.083165E-12
1.555008E+3,	1.927534E-12
1.555012E+3,	7.176967E-12
1.555016E+3,	692.240385E-15
1.555020E+3,	33.248471E-12
1.555024E+3,	6.850663E-12
1.555028E+3,	17.181935E-12
1.555032E+3,	0.000000E+0
1.555036E+3,	1.797453E-12
1.555040E+3,	14.122807E-12
1.555044E+3,	17.491049E-12
1.555048E+3,	23.186002E-12
1.555052E+3,	20.779619E-12
1.555056E+3,	15.562172E-12
1.555060E+3,	15.134901E-12
1.555064E+3,	9.692072E-12
1.555068E+3,	32.012200E-12
1.555072E+3,	0.000000E+0
1.555076E+3,	8.683751E-12
1.555080E+3,	8.909506E-12
1.555084E+3,	9.799071E-12
1.555088E+3,	3.915283E-12
1.555092E+3,	0.000000E+0
1.555096E+3,	0.000000E+0
1.555100E+3,	0.000000E+0
1.555104E+3,	9.907768E-12
1.555108E+3,	0.000000E+0
1.555112E+3,	623.007708E-15
1.555116E+3,	19.054266E-12
1.555120E+3,	13.686676E-12
1.555124E+3,	0.000000E+0
1.555128E+3,	0.000000E+0
1.555132E+3,	0.000000E+0
1.555136E+3,	10.097224E-12
1.555140E+3,	9.411736E-12
1.555144E+3,	2.153224E-12
1.555148E+3,	5.695220E-12
1.555152E+3,	14.929031E-12
1.555156E+3,	4.616265E-12
1.555160E+3,	1.222685E-12
1.555164E+3,	11.029617E-12
1.555168E+3,	8.779337E-12
1.555172E+3,	3.198887E-12
1.555176E+3,	19.040984E-12
1.555180E+3,	10.170275E-12
1.555184E+3,	0.000000E+0
1.555188E+3,	1.500489E-12
1.555192E+3,	12.783549E-12
1.555196E+3,	6.610418E-12
1.555200E+3,	13.053323E-12
1.555204E+3,	12.720307E-12
1.555208E+3,	1.517806E-12
1.555212E+3,	0.000000E+0
1.555216E+3,	1.573883E-12
1.555220E+3,	0.000000E+0
1.555224E+3,	10.744794E-12
1.555228E+3,	0.000000E+0
1.555232E+3,	8.146646E-12
1.555236E+3,	8.428363E-12
1.555240E+3,	13.689283E-12
1.555244E+3,	0.000000E+0
1.555248E+3,	21.499225E-12
1.555252E+3,	1.518155E-12
1.555256E+3,	0.000000E+0
1.555260E+3,	0.000000E+0
1.555264E+3,	9.380895E-12
1.555268E+3,	7.819211E-12
1.555272E+3,	646.185294E-15
1.555276E+3,	26.173324E-12
1.555280E+3,	24.511110E-12
1.555284E+3,	15.667183E-12
1.555288E+3,	23.482915E-12
1.555292E+3,	3.985516E-12
1.555296E+3,	9.084228E-12
1.555300E+3,	19.307218E-12
1.555304E+3,	8.000985E-12
1.555308E+3,	1.090641E-12
1.555312E+3,	2.577979E-12
1.555316E+3,	2.864595E-12
1.555320E+3,	13.663145E-12
1.555324E+3,	13.196120E-12
1.555328E+3,	4.630075E-12
1.555332E+3,	0.000000E+0
1.555336E+3,	13.905994E-12
1.555340E+3,	0.000000E+0
1.555344E+3,	13.542569E-12
1.555348E+3,	17.036916E-12
1.555352E+3,	132.510161E-15
1.555356E+3,	0.000000E+0
1.555360E+3,	10.181991E-12
1.555364E+3,	10.527174E-12
1.555368E+3,	21.588821E-12
1.555372E+3,	934.866205E-15
1.555376E+3,	1.071475E-12
1.555380E+3,	8.471801E-12
1.555384E+3,	16.207479E-12
1.555388E+3,	28.310122E-12
1.555392E+3,	28.622031E-12
1.555396E+3,	5.240467E-12
1.555400E+3,	8.554008E-12
1.555404E+3,	19.698281E-12
1.555408E+3,	5.027568E-12
1.555412E+3,	23.462745E-12
1.555416E+3,	19.002545E-12
1.555420E+3,	38.702562E-12
1.555424E+3,	37.544597E-12
1.555428E+3,	26.115356E-12
1.555432E+3,	31.635145E-12
1.555436E+3,	9.903322E-12
1.555440E+3,	31.319548E-12
1.555444E+3,	31.431711E-12
1.555448E+3,	9.269342E-12
1.555452E+3,	18.262410E-12
1.555456E+3,	4.793022E-12
1.555460E+3,	19.710687E-12
1.555464E+3,	15.324910E-12
1.555468E+3,	698.424048E-15
1.555472E+3,	0.000000E+0
1.555476E+3,	1.470259E-12
1.555480E+3,	48.427671E-12
1.555484E+3,	17.228379E-12
1.555488E+3,	2.415399E-12
1.555492E+3,	32.803913E-12
1.555496E+3,	11.228249E-12
1.555500E+3,	4.009727E-12
1.555504E+3,	25.199582E-12
1.555508E+3,	7.355761E-12
