YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 11/05/2023 Time: 10:32:29,	
A_WL(nm),	A_I(mW)
1.554700E+3,	32.336958E-12
1.554704E+3,	15.463288E-12
1.554708E+3,	6.248321E-12
1.554712E+3,	28.760351E-12
1.554716E+3,	33.430584E-12
1.554720E+3,	11.318756E-12
1.554724E+3,	10.404329E-12
1.554728E+3,	24.525925E-12
1.554732E+3,	27.929197E-12
1.554736E+3,	48.782717E-12
1.554740E+3,	40.853912E-12
1.554744E+3,	18.651233E-12
1.554748E+3,	10.837310E-12
1.554752E+3,	23.940920E-12
1.554756E+3,	23.605827E-12
1.554760E+3,	8.582309E-12
1.554764E+3,	25.560557E-12
1.554768E+3,	36.674610E-12
1.554772E+3,	32.523128E-12
1.554776E+3,	32.072943E-12
1.554780E+3,	24.455325E-12
1.554784E+3,	0.000000E+0
1.554788E+3,	1.161878E-12
1.554792E+3,	17.035932E-12
1.554796E+3,	24.954899E-12
1.554800E+3,	7.496184E-12
1.554804E+3,	3.184257E-12
1.554808E+3,	17.860821E-12
1.554812E+3,	43.183671E-12
1.554816E+3,	27.279554E-12
1.554820E+3,	19.296714E-12
1.554824E+3,	47.887865E-12
1.554828E+3,	26.971642E-12
1.554832E+3,	3.557492E-12
1.554836E+3,	40.716205E-12
1.554840E+3,	34.253574E-12
1.554844E+3,	0.000000E+0
1.554848E+3,	18.383051E-12
1.554852E+3,	29.717258E-12
1.554856E+3,	41.899656E-12
1.554860E+3,	19.202558E-12
1.554864E+3,	34.408539E-12
1.554868E+3,	21.554276E-12
1.554872E+3,	7.529307E-12
1.554876E+3,	11.978786E-12
1.554880E+3,	27.254866E-12
1.554884E+3,	23.071725E-12
1.554888E+3,	11.670909E-12
1.554892E+3,	18.461802E-12
1.554896E+3,	15.975188E-12
1.554900E+3,	30.364869E-12
1.554904E+3,	28.926399E-12
1.554908E+3,	20.645377E-12
1.554912E+3,	9.969108E-12
1.554916E+3,	20.122755E-12
1.554920E+3,	0.000000E+0
1.554924E+3,	27.372940E-12
1.554928E+3,	0.000000E+0
1.554932E+3,	18.089987E-12
1.554936E+3,	46.108582E-12
1.554940E+3,	21.876009E-12
1.554944E+3,	33.734780E-12
1.554948E+3,	23.746540E-12
1.554952E+3,	18.927428E-12
1.554956E+3,	33.175645E-12
1.554960E+3,	33.157006E-12
1.554964E+3,	29.575136E-12
1.554968E+3,	15.443112E-12
1.554972E+3,	27.043765E-12
1.554976E+3,	11.665025E-12
1.554980E+3,	18.318842E-12
1.554984E+3,	2.212642E-12
1.554988E+3,	22.853055E-12
1.554992E+3,	30.780626E-12
1.554996E+3,	39.866039E-12
1.555000E+3,	15.558264E-12
1.555004E+3,	26.453439E-12
1.555008E+3,	5.286024E-12
1.555012E+3,	15.281831E-12
1.555016E+3,	14.019065E-12
1.555020E+3,	40.649536E-12
1.555024E+3,	30.931304E-12
1.555028E+3,	23.929490E-12
1.555032E+3,	26.440884E-12
1.555036E+3,	25.378030E-12
1.555040E+3,	17.071850E-12
1.555044E+3,	25.272040E-12
1.555048E+3,	48.592960E-12
1.555052E+3,	30.768572E-12
1.555056E+3,	15.171076E-12
1.555060E+3,	38.905721E-12
1.555064E+3,	18.986639E-12
1.555068E+3,	15.298864E-12
1.555072E+3,	25.489889E-12
1.555076E+3,	29.393802E-12
1.555080E+3,	47.466453E-12
1.555084E+3,	31.860800E-12
1.555088E+3,	19.081859E-12
1.555092E+3,	13.431788E-12
1.555096E+3,	28.338850E-12
1.555100E+3,	23.282789E-12
1.555104E+3,	33.507645E-12
1.555108E+3,	43.074778E-12
1.555112E+3,	41.692098E-12
1.555116E+3,	40.553388E-12
1.555120E+3,	27.190348E-12
1.555124E+3,	4.999675E-12
1.555128E+3,	41.718033E-12
1.555132E+3,	36.084462E-12
1.555136E+3,	60.699177E-12
1.555140E+3,	23.716218E-12
1.555144E+3,	11.207626E-12
1.555148E+3,	15.437331E-12
1.555152E+3,	23.044482E-12
1.555156E+3,	30.153718E-12
1.555160E+3,	30.694841E-12
1.555164E+3,	44.381026E-12
1.555168E+3,	19.130405E-12
1.555172E+3,	47.994677E-12
1.555176E+3,	68.084340E-12
1.555180E+3,	17.693299E-12
1.555184E+3,	21.705996E-12
1.555188E+3,	25.828982E-12
1.555192E+3,	23.456460E-12
1.555196E+3,	40.239067E-12
1.555200E+3,	20.425505E-12
1.555204E+3,	28.675264E-12
1.555208E+3,	10.468927E-12
1.555212E+3,	34.163367E-12
1.555216E+3,	21.598988E-12
1.555220E+3,	32.634732E-12
1.555224E+3,	17.716045E-12
1.555228E+3,	43.416210E-12
1.555232E+3,	30.889070E-12
1.555236E+3,	48.174379E-12
1.555240E+3,	21.954679E-12
1.555244E+3,	48.753500E-12
1.555248E+3,	38.809650E-12
1.555252E+3,	23.938984E-12
1.555256E+3,	37.923562E-12
1.555260E+3,	50.527371E-12
1.555264E+3,	25.650763E-12
1.555268E+3,	31.675219E-12
1.555272E+3,	45.971325E-12
1.555276E+3,	33.920898E-12
1.555280E+3,	48.055016E-12
1.555284E+3,	50.688418E-12
1.555288E+3,	30.461649E-12
1.555292E+3,	47.063466E-12
1.555296E+3,	26.751887E-12
1.555300E+3,	22.710861E-12
1.555304E+3,	57.654796E-12
1.555308E+3,	42.757655E-12
1.555312E+3,	15.711063E-12
1.555316E+3,	50.588003E-12
1.555320E+3,	29.995960E-12
1.555324E+3,	44.782636E-12
1.555328E+3,	48.632414E-12
1.555332E+3,	48.027094E-12
1.555336E+3,	30.040104E-12
1.555340E+3,	41.388152E-12
1.555344E+3,	17.111002E-12
1.555348E+3,	40.108016E-12
1.555352E+3,	41.126257E-12
1.555356E+3,	45.457287E-12
1.555360E+3,	54.179909E-12
1.555364E+3,	39.182995E-12
1.555368E+3,	44.924443E-12
1.555372E+3,	49.446089E-12
1.555376E+3,	41.873665E-12
1.555380E+3,	43.835607E-12
1.555384E+3,	62.074075E-12
1.555388E+3,	53.565233E-12
1.555392E+3,	48.013466E-12
1.555396E+3,	35.923040E-12
1.555400E+3,	29.815780E-12
1.555404E+3,	48.069537E-12
1.555408E+3,	15.362883E-12
1.555412E+3,	35.093911E-12
1.555416E+3,	48.017405E-12
1.555420E+3,	26.707416E-12
1.555424E+3,	35.155079E-12
1.555428E+3,	41.287947E-12
1.555432E+3,	48.736858E-12
1.555436E+3,	61.727094E-12
1.555440E+3,	35.564240E-12
1.555444E+3,	47.013087E-12
1.555448E+3,	43.519312E-12
1.555452E+3,	40.550248E-12
1.555456E+3,	39.047090E-12
1.555460E+3,	40.141633E-12
1.555464E+3,	39.564514E-12
1.555468E+3,	57.964287E-12
1.555472E+3,	18.995695E-12
1.555476E+3,	32.333092E-12
1.555480E+3,	46.558431E-12
1.555484E+3,	24.999494E-12
1.555488E+3,	33.614231E-12
1.555492E+3,	51.369752E-12
1.555496E+3,	58.113866E-12
1.555500E+3,	57.642689E-12
1.555504E+3,	36.025908E-12
1.555508E+3,	49.524135E-12
1.555512E+3,	38.527107E-12
1.555516E+3,	51.209050E-12
1.555520E+3,	46.278774E-12
1.555524E+3,	38.059546E-12
1.555528E+3,	41.874845E-12
1.555532E+3,	46.149201E-12
1.555536E+3,	49.337643E-12
1.555540E+3,	39.957691E-12
1.555544E+3,	58.595291E-12
1.555548E+3,	38.255378E-12
1.555552E+3,	39.011521E-12
1.555556E+3,	56.681509E-12
1.555560E+3,	49.833146E-12
1.555564E+3,	29.134366E-12
1.555568E+3,	50.246388E-12
1.555572E+3,	62.538344E-12
1.555576E+3,	52.409741E-12
1.555580E+3,	41.431277E-12
1.555584E+3,	49.588440E-12
1.555588E+3,	50.201834E-12
1.555592E+3,	50.987705E-12
1.555596E+3,	23.634120E-12
1.555600E+3,	44.944031E-12
1.555604E+3,	42.174799E-12
1.555608E+3,	44.714387E-12
1.555612E+3,	60.542297E-12
1.555616E+3,	40.125817E-12
1.555620E+3,	51.938606E-12
1.555624E+3,	39.171338E-12
1.555628E+3,	35.914865E-12
1.555632E+3,	59.833093E-12
1.555636E+3,	53.013886E-12
1.555640E+3,	61.984367E-12
1.555644E+3,	75.123529E-12
1.555648E+3,	58.854719E-12
1.555652E+3,	34.347283E-12
1.555656E+3,	44.666200E-12
1.555660E+3,	33.976291E-12
1.555664E+3,	47.811832E-12
1.555668E+3,	42.609012E-12
1.555672E+3,	58.049771E-12
1.555676E+3,	54.494668E-12
1.555680E+3,	56.807678E-12
1.555684E+3,	55.934529E-12
1.555688E+3,	60.684503E-12
1.555692E+3,	64.276253E-12
1.555696E+3,	56.159911E-12
1.555700E+3,	55.319594E-12
1.555704E+3,	50.736367E-12
1.555708E+3,	57.538876E-12
1.555712E+3,	76.501150E-12
1.555716E+3,	65.536977E-12
1.555720E+3,	76.562427E-12
1.555724E+3,	68.346433E-12
1.555728E+3,	85.896900E-12
1.555732E+3,	52.907513E-12
1.555736E+3,	59.518596E-12
1.555740E+3,	79.719588E-12
1.555744E+3,	77.025598E-12
1.555748E+3,	70.924123E-12
1.555752E+3,	68.189791E-12
1.555756E+3,	61.549765E-12
1.555760E+3,	82.745919E-12
1.555764E+3,	71.127778E-12
1.555768E+3,	67.755911E-12
1.555772E+3,	47.245410E-12
1.555776E+3,	42.543805E-12
1.555780E+3,	67.062804E-12
1.555784E+3,	49.997409E-12
1.555788E+3,	65.330545E-12
1.555792E+3,	59.045262E-12
1.555796E+3,	43.693767E-12
1.555800E+3,	81.037242E-12
1.555804E+3,	59.215650E-12
1.555808E+3,	64.907212E-12
1.555812E+3,	62.918647E-12
1.555816E+3,	67.202786E-12
1.555820E+3,	51.902340E-12
1.555824E+3,	50.302202E-12
1.555828E+3,	61.766891E-12
1.555832E+3,	47.345372E-12
1.555836E+3,	50.235546E-12
1.555840E+3,	63.026853E-12
1.555844E+3,	53.441563E-12
1.555848E+3,	41.095670E-12
1.555852E+3,	68.686693E-12
1.555856E+3,	69.867398E-12
1.555860E+3,	59.602313E-12
1.555864E+3,	91.330051E-12
1.555868E+3,	57.910491E-12
1.555872E+3,	51.006730E-12
1.555876E+3,	80.788279E-12
1.555880E+3,	87.467791E-12
1.555884E+3,	86.267099E-12
1.555888E+3,	47.618895E-12
1.555892E+3,	84.531658E-12
1.555896E+3,	59.086056E-12
1.555900E+3,	66.996666E-12
1.555904E+3,	89.527116E-12
1.555908E+3,	100.443100E-12
1.555912E+3,	59.455904E-12
1.555916E+3,	60.197746E-12
1.555920E+3,	87.962313E-12
1.555924E+3,	73.016995E-12
1.555928E+3,	73.247651E-12
1.555932E+3,	68.193344E-12
1.555936E+3,	77.343275E-12
1.555940E+3,	62.359181E-12
1.555944E+3,	68.434094E-12
1.555948E+3,	99.195368E-12
1.555952E+3,	96.675914E-12
1.555956E+3,	88.078690E-12
1.555960E+3,	72.878844E-12
1.555964E+3,	69.954886E-12
1.555968E+3,	43.729908E-12
1.555972E+3,	70.722106E-12
1.555976E+3,	112.806481E-12
1.555980E+3,	72.249311E-12
