YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 22/05/2023 Time: 16:23:03,	
A_WL(nm),	A_I(mW)
1.555200E+3,	8.138476E-12
1.555204E+3,	15.150188E-12
1.555208E+3,	0.000000E+0
1.555212E+3,	10.348750E-12
1.555216E+3,	6.672455E-12
1.555220E+3,	1.155338E-12
1.555224E+3,	3.882374E-12
1.555228E+3,	5.823552E-12
1.555232E+3,	2.918870E-12
1.555236E+3,	18.986462E-12
1.555240E+3,	0.000000E+0
1.555244E+3,	0.000000E+0
1.555248E+3,	3.510698E-12
1.555252E+3,	1.476211E-12
1.555256E+3,	0.000000E+0
1.555260E+3,	0.000000E+0
1.555264E+3,	757.327680E-15
1.555268E+3,	0.000000E+0
1.555272E+3,	4.157499E-12
1.555276E+3,	989.977463E-15
1.555280E+3,	9.739162E-12
1.555284E+3,	3.181698E-12
1.555288E+3,	0.000000E+0
1.555292E+3,	7.908062E-12
1.555296E+3,	0.000000E+0
1.555300E+3,	5.403733E-12
1.555304E+3,	0.000000E+0
1.555308E+3,	496.029507E-15
1.555312E+3,	13.995883E-12
1.555316E+3,	2.232214E-12
1.555320E+3,	8.328852E-12
1.555324E+3,	12.722801E-12
1.555328E+3,	0.000000E+0
1.555332E+3,	0.000000E+0
1.555336E+3,	4.335071E-12
1.555340E+3,	14.739941E-12
1.555344E+3,	8.582608E-12
1.555348E+3,	3.515076E-12
1.555352E+3,	0.000000E+0
1.555356E+3,	1.196954E-12
1.555360E+3,	15.428291E-12
1.555364E+3,	0.000000E+0
1.555368E+3,	11.314995E-12
1.555372E+3,	5.507274E-12
1.555376E+3,	0.000000E+0
1.555380E+3,	0.000000E+0
1.555384E+3,	0.000000E+0
1.555388E+3,	5.935439E-12
1.555392E+3,	12.664722E-12
1.555396E+3,	0.000000E+0
1.555400E+3,	0.000000E+0
1.555404E+3,	1.215640E-12
1.555408E+3,	15.910797E-12
1.555412E+3,	4.096092E-12
1.555416E+3,	12.438973E-12
1.555420E+3,	0.000000E+0
1.555424E+3,	0.000000E+0
1.555428E+3,	4.880187E-12
1.555432E+3,	0.000000E+0
1.555436E+3,	10.041631E-12
1.555440E+3,	17.000666E-12
1.555444E+3,	3.038846E-12
1.555448E+3,	3.546128E-12
1.555452E+3,	7.236592E-12
1.555456E+3,	17.059208E-12
1.555460E+3,	0.000000E+0
1.555464E+3,	16.205955E-12
1.555468E+3,	12.174562E-12
1.555472E+3,	0.000000E+0
1.555476E+3,	6.021896E-12
1.555480E+3,	9.883908E-12
1.555484E+3,	8.230243E-12
1.555488E+3,	11.537843E-12
1.555492E+3,	0.000000E+0
1.555496E+3,	6.021896E-12
1.555500E+3,	814.656494E-15
1.555504E+3,	0.000000E+0
1.555508E+3,	12.056075E-12
1.555512E+3,	0.000000E+0
1.555516E+3,	0.000000E+0
1.555520E+3,	0.000000E+0
1.555524E+3,	0.000000E+0
1.555528E+3,	0.000000E+0
1.555532E+3,	0.000000E+0
1.555536E+3,	16.921347E-12
1.555540E+3,	0.000000E+0
1.555544E+3,	3.165493E-12
1.555548E+3,	0.000000E+0
1.555552E+3,	0.000000E+0
1.555556E+3,	3.260011E-12
1.555560E+3,	0.000000E+0
1.555564E+3,	5.408543E-12
1.555568E+3,	0.000000E+0
1.555572E+3,	30.098308E-12
1.555576E+3,	0.000000E+0
1.555580E+3,	0.000000E+0
1.555584E+3,	0.000000E+0
1.555588E+3,	0.000000E+0
1.555592E+3,	0.000000E+0
1.555596E+3,	10.769309E-12
1.555600E+3,	6.978621E-12
1.555604E+3,	0.000000E+0
1.555608E+3,	0.000000E+0
1.555612E+3,	10.600796E-12
1.555616E+3,	13.994276E-12
1.555620E+3,	0.000000E+0
1.555624E+3,	12.932218E-12
1.555628E+3,	4.227419E-12
1.555632E+3,	11.890275E-12
1.555636E+3,	3.356326E-12
1.555640E+3,	13.756889E-12
1.555644E+3,	19.380001E-12
1.555648E+3,	0.000000E+0
1.555652E+3,	0.000000E+0
1.555656E+3,	9.454533E-12
1.555660E+3,	4.129639E-12
1.555664E+3,	20.346416E-12
1.555668E+3,	14.583718E-12
1.555672E+3,	0.000000E+0
1.555676E+3,	0.000000E+0
1.555680E+3,	3.885432E-12
1.555684E+3,	22.145585E-12
1.555688E+3,	8.521909E-12
1.555692E+3,	0.000000E+0
1.555696E+3,	5.556944E-12
1.555700E+3,	21.477497E-12
1.555704E+3,	6.513642E-12
1.555708E+3,	8.158843E-12
1.555712E+3,	20.241719E-12
1.555716E+3,	0.000000E+0
1.555720E+3,	2.483093E-12
1.555724E+3,	8.283787E-12
1.555728E+3,	26.857463E-12
1.555732E+3,	20.312780E-12
1.555736E+3,	23.655912E-12
1.555740E+3,	14.318878E-12
1.555744E+3,	7.786493E-12
1.555748E+3,	12.629558E-12
1.555752E+3,	21.337549E-12
1.555756E+3,	212.343195E-15
1.555760E+3,	13.582239E-12
1.555764E+3,	8.096989E-12
1.555768E+3,	11.037562E-12
1.555772E+3,	5.761376E-12
1.555776E+3,	0.000000E+0
1.555780E+3,	5.997508E-12
1.555784E+3,	6.182861E-12
1.555788E+3,	11.531016E-12
1.555792E+3,	0.000000E+0
1.555796E+3,	0.000000E+0
1.555800E+3,	5.275544E-12
1.555804E+3,	17.099529E-12
1.555808E+3,	0.000000E+0
1.555812E+3,	1.147013E-12
1.555816E+3,	5.235478E-12
1.555820E+3,	0.000000E+0
1.555824E+3,	5.925374E-12
1.555828E+3,	9.134854E-12
1.555832E+3,	5.098717E-12
1.555836E+3,	0.000000E+0
1.555840E+3,	18.251111E-12
1.555844E+3,	10.158848E-12
1.555848E+3,	1.134948E-12
1.555852E+3,	5.183904E-12
1.555856E+3,	4.710083E-12
1.555860E+3,	2.399980E-12
1.555864E+3,	0.000000E+0
1.555868E+3,	7.544646E-12
1.555872E+3,	0.000000E+0
1.555876E+3,	0.000000E+0
1.555880E+3,	0.000000E+0
1.555884E+3,	0.000000E+0
1.555888E+3,	10.196287E-12
1.555892E+3,	9.823771E-12
1.555896E+3,	13.167290E-12
1.555900E+3,	4.391507E-12
1.555904E+3,	17.757224E-12
1.555908E+3,	2.673158E-12
1.555912E+3,	18.306001E-12
1.555916E+3,	22.652910E-12
1.555920E+3,	15.704112E-12
1.555924E+3,	25.383621E-12
1.555928E+3,	17.311979E-12
1.555932E+3,	20.343716E-12
1.555936E+3,	35.570785E-12
1.555940E+3,	13.752308E-12
1.555944E+3,	24.292695E-12
1.555948E+3,	27.850659E-12
1.555952E+3,	21.015163E-12
1.555956E+3,	28.701814E-12
1.555960E+3,	23.593859E-12
1.555964E+3,	18.633380E-12
1.555968E+3,	31.221621E-12
1.555972E+3,	34.916905E-12
1.555976E+3,	48.029562E-12
1.555980E+3,	30.414611E-12
1.555984E+3,	26.000382E-12
1.555988E+3,	34.407553E-12
1.555992E+3,	34.984711E-12
1.555996E+3,	32.828481E-12
1.556000E+3,	48.001014E-12
1.556004E+3,	18.386405E-12
1.556008E+3,	31.458704E-12
1.556012E+3,	34.685575E-12
1.556016E+3,	32.862580E-12
1.556020E+3,	22.604108E-12
1.556024E+3,	26.459965E-12
1.556028E+3,	30.366718E-12
1.556032E+3,	24.906227E-12
1.556036E+3,	22.698884E-12
