YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 22/05/2023 Time: 16:23:34,	
A_WL(nm),	A_I(mW)
1.555200E+3,	18.608819E-12
1.555204E+3,	8.392370E-12
1.555208E+3,	0.000000E+0
1.555212E+3,	0.000000E+0
1.555216E+3,	0.000000E+0
1.555220E+3,	2.785414E-12
1.555224E+3,	0.000000E+0
1.555228E+3,	3.335795E-12
1.555232E+3,	17.008054E-12
1.555236E+3,	8.943075E-12
1.555240E+3,	9.775203E-12
1.555244E+3,	0.000000E+0
1.555248E+3,	0.000000E+0
1.555252E+3,	5.574783E-12
1.555256E+3,	0.000000E+0
1.555260E+3,	12.204929E-12
1.555264E+3,	10.242862E-12
1.555268E+3,	0.000000E+0
1.555272E+3,	0.000000E+0
1.555276E+3,	1.009636E-12
1.555280E+3,	0.000000E+0
1.555284E+3,	1.375363E-12
1.555288E+3,	69.907960E-15
1.555292E+3,	164.023339E-15
1.555296E+3,	0.000000E+0
1.555300E+3,	6.048922E-12
1.555304E+3,	0.000000E+0
1.555308E+3,	0.000000E+0
1.555312E+3,	5.839879E-12
1.555316E+3,	0.000000E+0
1.555320E+3,	0.000000E+0
1.555324E+3,	15.272746E-12
1.555328E+3,	2.769271E-12
1.555332E+3,	0.000000E+0
1.555336E+3,	2.728513E-12
1.555340E+3,	16.027727E-12
1.555344E+3,	398.696371E-15
1.555348E+3,	0.000000E+0
1.555352E+3,	0.000000E+0
1.555356E+3,	2.430177E-12
1.555360E+3,	0.000000E+0
1.555364E+3,	0.000000E+0
1.555368E+3,	1.626713E-12
1.555372E+3,	5.711981E-12
1.555376E+3,	0.000000E+0
1.555380E+3,	8.876577E-12
1.555384E+3,	0.000000E+0
1.555388E+3,	894.291929E-15
1.555392E+3,	837.210617E-15
1.555396E+3,	0.000000E+0
1.555400E+3,	0.000000E+0
1.555404E+3,	7.957256E-12
1.555408E+3,	11.897466E-12
1.555412E+3,	9.364150E-12
1.555416E+3,	0.000000E+0
1.555420E+3,	2.519088E-12
1.555424E+3,	0.000000E+0
1.555428E+3,	2.038727E-12
1.555432E+3,	0.000000E+0
1.555436E+3,	10.259089E-12
1.555440E+3,	4.777372E-12
1.555444E+3,	6.160712E-12
1.555448E+3,	16.305511E-12
1.555452E+3,	9.869468E-12
1.555456E+3,	4.768023E-12
1.555460E+3,	0.000000E+0
