YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 25/05/2023 Time: 14:16:25,	
A_WL(nm),	A_I(mW)
1.557000E+3,	435.136335E-12
1.557004E+3,	423.391870E-12
1.557008E+3,	444.064669E-12
1.557012E+3,	421.946954E-12
1.557016E+3,	443.184670E-12
1.557020E+3,	446.160856E-12
1.557024E+3,	443.420028E-12
1.557028E+3,	483.972011E-12
1.557032E+3,	447.675310E-12
1.557036E+3,	444.163450E-12
1.557040E+3,	446.107589E-12
1.557044E+3,	465.585659E-12
1.557048E+3,	476.597168E-12
1.557052E+3,	487.987502E-12
1.557056E+3,	485.497282E-12
1.557060E+3,	492.782156E-12
1.557064E+3,	495.212337E-12
1.557068E+3,	500.574217E-12
1.557072E+3,	519.232060E-12
1.557076E+3,	525.023340E-12
1.557080E+3,	530.679325E-12
1.557084E+3,	547.084475E-12
1.557088E+3,	532.346499E-12
1.557092E+3,	576.686016E-12
1.557096E+3,	569.695600E-12
1.557100E+3,	587.691130E-12
1.557104E+3,	599.977364E-12
1.557108E+3,	612.001530E-12
1.557112E+3,	618.087396E-12
1.557116E+3,	632.063935E-12
1.557120E+3,	642.711445E-12
1.557124E+3,	638.794654E-12
1.557128E+3,	651.250495E-12
1.557132E+3,	648.457135E-12
1.557136E+3,	664.828357E-12
1.557140E+3,	693.271034E-12
1.557144E+3,	681.401609E-12
1.557148E+3,	701.590172E-12
1.557152E+3,	712.508479E-12
1.557156E+3,	699.811739E-12
1.557160E+3,	716.808340E-12
1.557164E+3,	725.801127E-12
1.557168E+3,	734.318046E-12
1.557172E+3,	728.481948E-12
1.557176E+3,	752.501594E-12
1.557180E+3,	746.753619E-12
1.557184E+3,	763.540133E-12
1.557188E+3,	768.362521E-12
1.557192E+3,	771.523247E-12
1.557196E+3,	768.216139E-12
1.557200E+3,	783.028361E-12
1.557204E+3,	771.225549E-12
1.557208E+3,	777.330056E-12
1.557212E+3,	779.654023E-12
1.557216E+3,	792.943916E-12
1.557220E+3,	794.802333E-12
1.557224E+3,	800.967342E-12
1.557228E+3,	812.819055E-12
1.557232E+3,	804.091536E-12
1.557236E+3,	808.322309E-12
1.557240E+3,	806.818309E-12
1.557244E+3,	795.580642E-12
1.557248E+3,	807.199499E-12
1.557252E+3,	814.605713E-12
1.557256E+3,	824.012443E-12
1.557260E+3,	804.249206E-12
1.557264E+3,	814.701549E-12
1.557268E+3,	811.461118E-12
1.557272E+3,	819.692040E-12
1.557276E+3,	830.312915E-12
1.557280E+3,	815.625170E-12
1.557284E+3,	816.357888E-12
1.557288E+3,	824.150910E-12
1.557292E+3,	820.686112E-12
1.557296E+3,	821.422612E-12
1.557300E+3,	845.415032E-12
1.557304E+3,	826.889785E-12
1.557308E+3,	830.137332E-12
1.557312E+3,	848.961435E-12
1.557316E+3,	828.223869E-12
1.557320E+3,	840.747116E-12
1.557324E+3,	852.894774E-12
1.557328E+3,	851.577101E-12
1.557332E+3,	869.964843E-12
1.557336E+3,	858.512337E-12
1.557340E+3,	872.304089E-12
1.557344E+3,	904.171329E-12
1.557348E+3,	893.708008E-12
1.557352E+3,	912.521442E-12
1.557356E+3,	923.209203E-12
1.557360E+3,	943.769381E-12
1.557364E+3,	955.482797E-12
1.557368E+3,	976.326960E-12
1.557372E+3,	1.020569E-9
1.557376E+3,	1.026791E-9
1.557380E+3,	1.073741E-9
1.557384E+3,	1.089669E-9
1.557388E+3,	1.085334E-9
1.557392E+3,	1.126037E-9
1.557396E+3,	1.166184E-9
1.557400E+3,	1.176572E-9
1.557404E+3,	1.203712E-9
1.557408E+3,	1.254386E-9
1.557412E+3,	1.252697E-9
1.557416E+3,	1.305033E-9
1.557420E+3,	1.335551E-9
1.557424E+3,	1.392887E-9
1.557428E+3,	1.403855E-9
1.557432E+3,	1.436599E-9
1.557436E+3,	1.475420E-9
1.557440E+3,	1.497709E-9
1.557444E+3,	1.520227E-9
1.557448E+3,	1.576230E-9
1.557452E+3,	1.604585E-9
1.557456E+3,	1.651246E-9
1.557460E+3,	1.671588E-9
1.557464E+3,	1.693662E-9
1.557468E+3,	1.720340E-9
1.557472E+3,	1.765324E-9
1.557476E+3,	1.810077E-9
1.557480E+3,	1.831089E-9
1.557484E+3,	1.870552E-9
1.557488E+3,	1.893680E-9
1.557492E+3,	1.919881E-9
1.557496E+3,	1.946052E-9
1.557500E+3,	1.977078E-9
1.557504E+3,	2.017019E-9
1.557508E+3,	2.023833E-9
1.557512E+3,	2.051000E-9
1.557516E+3,	2.070709E-9
1.557520E+3,	2.098444E-9
1.557524E+3,	2.139963E-9
1.557528E+3,	2.155804E-9
1.557532E+3,	2.176526E-9
1.557536E+3,	2.205022E-9
1.557540E+3,	2.228344E-9
1.557544E+3,	2.237341E-9
1.557548E+3,	2.268710E-9
1.557552E+3,	2.291259E-9
1.557556E+3,	2.310485E-9
1.557560E+3,	2.339409E-9
1.557564E+3,	2.349587E-9
1.557568E+3,	2.381102E-9
1.557572E+3,	2.396498E-9
1.557576E+3,	2.417091E-9
1.557580E+3,	2.438387E-9
1.557584E+3,	2.452706E-9
1.557588E+3,	2.471137E-9
1.557592E+3,	2.497928E-9
1.557596E+3,	2.522453E-9
1.557600E+3,	2.537674E-9
1.557604E+3,	2.550903E-9
1.557608E+3,	2.578842E-9
1.557612E+3,	2.581382E-9
1.557616E+3,	2.625415E-9
1.557620E+3,	2.656735E-9
1.557624E+3,	2.681980E-9
1.557628E+3,	2.705616E-9
1.557632E+3,	2.748587E-9
1.557636E+3,	2.799687E-9
1.557640E+3,	2.793122E-9
1.557644E+3,	2.864193E-9
1.557648E+3,	2.889500E-9
1.557652E+3,	2.923408E-9
1.557656E+3,	2.981866E-9
1.557660E+3,	3.046073E-9
1.557664E+3,	3.102284E-9
1.557668E+3,	3.156284E-9
1.557672E+3,	3.244506E-9
1.557676E+3,	3.339944E-9
1.557680E+3,	3.403764E-9
1.557684E+3,	3.467195E-9
1.557688E+3,	3.571301E-9
1.557692E+3,	3.667602E-9
1.557696E+3,	3.747951E-9
1.557700E+3,	3.883062E-9
1.557704E+3,	4.018649E-9
1.557708E+3,	4.102194E-9
1.557712E+3,	4.242549E-9
1.557716E+3,	4.424348E-9
1.557720E+3,	4.541864E-9
1.557724E+3,	4.669981E-9
1.557728E+3,	4.837470E-9
1.557732E+3,	4.962554E-9
1.557736E+3,	5.097998E-9
1.557740E+3,	5.260439E-9
1.557744E+3,	5.450440E-9
1.557748E+3,	5.619058E-9
1.557752E+3,	5.784135E-9
1.557756E+3,	6.011135E-9
1.557760E+3,	6.188302E-9
1.557764E+3,	6.339757E-9
1.557768E+3,	6.503262E-9
1.557772E+3,	6.674563E-9
1.557776E+3,	6.825648E-9
1.557780E+3,	6.972107E-9
1.557784E+3,	7.122040E-9
1.557788E+3,	7.324565E-9
1.557792E+3,	7.447927E-9
1.557796E+3,	7.582792E-9
1.557800E+3,	7.747186E-9
1.557804E+3,	7.880627E-9
1.557808E+3,	8.011140E-9
1.557812E+3,	8.148217E-9
1.557816E+3,	8.264501E-9
1.557820E+3,	8.365464E-9
1.557824E+3,	8.451224E-9
1.557828E+3,	8.582308E-9
1.557832E+3,	8.671698E-9
1.557836E+3,	8.760455E-9
1.557840E+3,	8.824012E-9
1.557844E+3,	8.888165E-9
1.557848E+3,	8.966907E-9
1.557852E+3,	8.991252E-9
1.557856E+3,	9.077178E-9
1.557860E+3,	9.147774E-9
1.557864E+3,	9.174791E-9
1.557868E+3,	9.220203E-9
1.557872E+3,	9.257104E-9
1.557876E+3,	9.318554E-9
1.557880E+3,	9.351493E-9
1.557884E+3,	9.392515E-9
1.557888E+3,	9.424803E-9
1.557892E+3,	9.426622E-9
1.557896E+3,	9.448113E-9
1.557900E+3,	9.449614E-9
1.557904E+3,	9.459035E-9
1.557908E+3,	9.475490E-9
1.557912E+3,	9.475378E-9
1.557916E+3,	9.464309E-9
1.557920E+3,	9.472770E-9
1.557924E+3,	9.482351E-9
1.557928E+3,	9.506179E-9
1.557932E+3,	9.535046E-9
1.557936E+3,	9.535990E-9
1.557940E+3,	9.559557E-9
1.557944E+3,	9.579604E-9
1.557948E+3,	9.581924E-9
1.557952E+3,	9.589566E-9
1.557956E+3,	9.623870E-9
1.557960E+3,	9.670870E-9
1.557964E+3,	9.725610E-9
1.557968E+3,	9.770494E-9
1.557972E+3,	9.773123E-9
1.557976E+3,	9.800887E-9
1.557980E+3,	9.819904E-9
1.557984E+3,	9.870571E-9
1.557988E+3,	9.916920E-9
1.557992E+3,	9.979514E-9
1.557996E+3,	10.137775E-9
1.558000E+3,	10.278069E-9
1.558004E+3,	10.405055E-9
1.558008E+3,	10.527026E-9
1.558012E+3,	10.663324E-9
1.558016E+3,	10.815159E-9
1.558020E+3,	10.937481E-9
1.558024E+3,	11.137722E-9
1.558028E+3,	11.314841E-9
1.558032E+3,	11.516282E-9
1.558036E+3,	11.767117E-9
1.558040E+3,	12.090950E-9
1.558044E+3,	12.421834E-9
1.558048E+3,	12.749616E-9
1.558052E+3,	13.158828E-9
1.558056E+3,	13.568885E-9
1.558060E+3,	13.899256E-9
1.558064E+3,	14.431384E-9
1.558068E+3,	14.880353E-9
1.558072E+3,	15.294690E-9
1.558076E+3,	15.795693E-9
1.558080E+3,	16.409207E-9
1.558084E+3,	17.033983E-9
1.558088E+3,	17.646835E-9
1.558092E+3,	18.474124E-9
