YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 25/05/2023 Time: 14:17:04,	
A_WL(nm),	A_I(mW)
1.557000E+3,	416.795723E-12
1.557004E+3,	434.521963E-12
1.557008E+3,	423.660060E-12
1.557012E+3,	430.016525E-12
1.557016E+3,	438.362421E-12
1.557020E+3,	423.641706E-12
1.557024E+3,	448.460147E-12
1.557028E+3,	442.911516E-12
1.557032E+3,	445.625342E-12
1.557036E+3,	426.858632E-12
1.557040E+3,	438.065565E-12
1.557044E+3,	452.959947E-12
1.557048E+3,	466.494843E-12
1.557052E+3,	465.554346E-12
1.557056E+3,	471.359819E-12
1.557060E+3,	454.303280E-12
1.557064E+3,	449.058786E-12
1.557068E+3,	457.228250E-12
1.557072E+3,	461.344764E-12
1.557076E+3,	466.886214E-12
1.557080E+3,	465.116584E-12
1.557084E+3,	460.501245E-12
1.557088E+3,	481.716844E-12
1.557092E+3,	471.470156E-12
1.557096E+3,	468.317623E-12
1.557100E+3,	482.752844E-12
1.557104E+3,	461.276716E-12
1.557108E+3,	482.220347E-12
1.557112E+3,	483.803806E-12
1.557116E+3,	475.113955E-12
1.557120E+3,	474.531991E-12
1.557124E+3,	478.762623E-12
1.557128E+3,	455.226412E-12
1.557132E+3,	460.221525E-12
1.557136E+3,	464.533083E-12
1.557140E+3,	473.913025E-12
1.557144E+3,	469.815381E-12
1.557148E+3,	469.226915E-12
1.557152E+3,	457.731990E-12
1.557156E+3,	462.116355E-12
1.557160E+3,	463.573440E-12
1.557164E+3,	473.632589E-12
1.557168E+3,	473.414298E-12
1.557172E+3,	471.159324E-12
1.557176E+3,	452.342150E-12
1.557180E+3,	473.071000E-12
1.557184E+3,	470.113664E-12
1.557188E+3,	491.454477E-12
1.557192E+3,	485.755627E-12
1.557196E+3,	496.031848E-12
1.557200E+3,	503.279080E-12
1.557204E+3,	498.765767E-12
1.557208E+3,	493.909412E-12
1.557212E+3,	510.741590E-12
1.557216E+3,	502.282160E-12
1.557220E+3,	523.726190E-12
1.557224E+3,	520.073766E-12
1.557228E+3,	527.175866E-12
1.557232E+3,	546.959933E-12
1.557236E+3,	549.068878E-12
1.557240E+3,	551.072395E-12
1.557244E+3,	581.371387E-12
1.557248E+3,	591.404836E-12
1.557252E+3,	604.844910E-12
1.557256E+3,	611.578857E-12
1.557260E+3,	618.579608E-12
1.557264E+3,	633.949491E-12
1.557268E+3,	659.632867E-12
1.557272E+3,	648.878205E-12
1.557276E+3,	664.331617E-12
1.557280E+3,	688.483914E-12
1.557284E+3,	689.240350E-12
1.557288E+3,	704.202334E-12
1.557292E+3,	713.542396E-12
1.557296E+3,	719.798379E-12
1.557300E+3,	737.653667E-12
1.557304E+3,	749.666063E-12
1.557308E+3,	773.821566E-12
1.557312E+3,	787.642101E-12
1.557316E+3,	783.867037E-12
1.557320E+3,	810.034403E-12
1.557324E+3,	815.537796E-12
1.557328E+3,	817.645239E-12
1.557332E+3,	826.360793E-12
1.557336E+3,	861.105951E-12
1.557340E+3,	868.369981E-12
1.557344E+3,	854.661821E-12
1.557348E+3,	852.193702E-12
1.557352E+3,	874.014726E-12
1.557356E+3,	866.099108E-12
1.557360E+3,	878.898260E-12
1.557364E+3,	886.253922E-12
1.557368E+3,	886.973279E-12
1.557372E+3,	907.105908E-12
1.557376E+3,	895.782018E-12
1.557380E+3,	885.713074E-12
1.557384E+3,	890.721257E-12
1.557388E+3,	900.765450E-12
1.557392E+3,	879.030988E-12
1.557396E+3,	907.171823E-12
1.557400E+3,	878.244498E-12
1.557404E+3,	877.341823E-12
1.557408E+3,	885.831888E-12
1.557412E+3,	875.971974E-12
1.557416E+3,	880.916743E-12
1.557420E+3,	877.896201E-12
1.557424E+3,	871.851141E-12
1.557428E+3,	863.990089E-12
1.557432E+3,	866.343788E-12
1.557436E+3,	852.043021E-12
1.557440E+3,	852.698836E-12
1.557444E+3,	845.804321E-12
1.557448E+3,	844.742642E-12
1.557452E+3,	854.869060E-12
1.557456E+3,	836.381329E-12
1.557460E+3,	847.162300E-12
1.557464E+3,	832.795581E-12
1.557468E+3,	840.064496E-12
1.557472E+3,	821.300217E-12
1.557476E+3,	829.317451E-12
1.557480E+3,	818.696173E-12
1.557484E+3,	817.368209E-12
1.557488E+3,	829.770367E-12
1.557492E+3,	831.497632E-12
1.557496E+3,	834.428119E-12
1.557500E+3,	830.520161E-12
1.557504E+3,	834.767197E-12
1.557508E+3,	859.554133E-12
1.557512E+3,	852.846137E-12
1.557516E+3,	872.188073E-12
1.557520E+3,	875.558457E-12
1.557524E+3,	877.438618E-12
1.557528E+3,	896.954165E-12
1.557532E+3,	931.663187E-12
1.557536E+3,	916.814883E-12
1.557540E+3,	929.766929E-12
1.557544E+3,	963.291711E-12
1.557548E+3,	976.583526E-12
1.557552E+3,	992.928703E-12
1.557556E+3,	1.015403E-9
1.557560E+3,	1.028430E-9
1.557564E+3,	1.069145E-9
1.557568E+3,	1.075765E-9
1.557572E+3,	1.108095E-9
1.557576E+3,	1.139327E-9
1.557580E+3,	1.173300E-9
1.557584E+3,	1.195576E-9
1.557588E+3,	1.235001E-9
1.557592E+3,	1.274648E-9
1.557596E+3,	1.296585E-9
1.557600E+3,	1.316531E-9
1.557604E+3,	1.358381E-9
1.557608E+3,	1.397097E-9
1.557612E+3,	1.417703E-9
1.557616E+3,	1.476962E-9
1.557620E+3,	1.516060E-9
1.557624E+3,	1.543015E-9
1.557628E+3,	1.586684E-9
1.557632E+3,	1.610014E-9
1.557636E+3,	1.663252E-9
1.557640E+3,	1.700043E-9
1.557644E+3,	1.738769E-9
1.557648E+3,	1.764728E-9
1.557652E+3,	1.830102E-9
1.557656E+3,	1.873315E-9
1.557660E+3,	1.912882E-9
1.557664E+3,	1.969648E-9
1.557668E+3,	1.991616E-9
1.557672E+3,	2.030335E-9
1.557676E+3,	2.078566E-9
1.557680E+3,	2.120948E-9
1.557684E+3,	2.162269E-9
1.557688E+3,	2.225717E-9
1.557692E+3,	2.275333E-9
1.557696E+3,	2.333357E-9
1.557700E+3,	2.387244E-9
1.557704E+3,	2.448061E-9
1.557708E+3,	2.464255E-9
1.557712E+3,	2.549853E-9
1.557716E+3,	2.607733E-9
1.557720E+3,	2.674991E-9
1.557724E+3,	2.755006E-9
1.557728E+3,	2.822071E-9
1.557732E+3,	2.910402E-9
1.557736E+3,	2.965307E-9
1.557740E+3,	3.057579E-9
1.557744E+3,	3.137796E-9
1.557748E+3,	3.243054E-9
1.557752E+3,	3.312627E-9
1.557756E+3,	3.430374E-9
1.557760E+3,	3.563625E-9
1.557764E+3,	3.626948E-9
1.557768E+3,	3.748555E-9
1.557772E+3,	3.887296E-9
1.557776E+3,	4.019132E-9
1.557780E+3,	4.146741E-9
1.557784E+3,	4.293602E-9
1.557788E+3,	4.459701E-9
1.557792E+3,	4.609893E-9
1.557796E+3,	4.758000E-9
1.557800E+3,	4.948135E-9
1.557804E+3,	5.147366E-9
1.557808E+3,	5.300189E-9
1.557812E+3,	5.504479E-9
1.557816E+3,	5.749167E-9
1.557820E+3,	5.957620E-9
1.557824E+3,	6.163503E-9
1.557828E+3,	6.424640E-9
1.557832E+3,	6.661662E-9
1.557836E+3,	6.854429E-9
1.557840E+3,	7.097691E-9
1.557844E+3,	7.410639E-9
1.557848E+3,	7.738840E-9
1.557852E+3,	7.983240E-9
1.557856E+3,	8.372749E-9
1.557860E+3,	8.683919E-9
1.557864E+3,	8.959725E-9
1.557868E+3,	9.275053E-9
1.557872E+3,	9.638188E-9
1.557876E+3,	9.996914E-9
1.557880E+3,	10.325377E-9
1.557884E+3,	10.764207E-9
1.557888E+3,	11.133001E-9
1.557892E+3,	11.480669E-9
1.557896E+3,	11.856333E-9
1.557900E+3,	12.289588E-9
1.557904E+3,	12.705076E-9
1.557908E+3,	13.018544E-9
1.557912E+3,	13.458905E-9
1.557916E+3,	13.892661E-9
1.557920E+3,	14.263888E-9
1.557924E+3,	14.614770E-9
1.557928E+3,	15.065324E-9
1.557932E+3,	15.483787E-9
1.557936E+3,	15.785904E-9
1.557940E+3,	16.204543E-9
1.557944E+3,	16.568800E-9
1.557948E+3,	16.874548E-9
1.557952E+3,	17.175231E-9
1.557956E+3,	17.555677E-9
1.557960E+3,	17.838857E-9
1.557964E+3,	18.050536E-9
1.557968E+3,	18.306693E-9
1.557972E+3,	18.579375E-9
1.557976E+3,	18.786136E-9
1.557980E+3,	19.063161E-9
1.557984E+3,	19.258952E-9
1.557988E+3,	19.407469E-9
1.557992E+3,	19.496477E-9
1.557996E+3,	19.603712E-9
1.558000E+3,	19.702779E-9
1.558004E+3,	19.785007E-9
1.558008E+3,	19.883230E-9
1.558012E+3,	20.008279E-9
1.558016E+3,	20.116167E-9
1.558020E+3,	20.172502E-9
1.558024E+3,	20.252053E-9
1.558028E+3,	20.290975E-9
1.558032E+3,	20.340526E-9
1.558036E+3,	20.380028E-9
1.558040E+3,	20.408481E-9
1.558044E+3,	20.415530E-9
1.558048E+3,	20.444292E-9
1.558052E+3,	20.468160E-9
1.558056E+3,	20.533925E-9
1.558060E+3,	20.622218E-9
1.558064E+3,	20.736220E-9
1.558068E+3,	20.871468E-9
1.558072E+3,	20.963397E-9
1.558076E+3,	21.083124E-9
1.558080E+3,	21.217516E-9
1.558084E+3,	21.402228E-9
1.558088E+3,	21.510296E-9
1.558092E+3,	21.616984E-9
1.558096E+3,	21.738302E-9
1.558100E+3,	21.787137E-9
1.558104E+3,	21.844594E-9
1.558108E+3,	21.950871E-9
1.558112E+3,	22.078673E-9
1.558116E+3,	22.212427E-9
1.558120E+3,	22.362525E-9
1.558124E+3,	22.554522E-9
1.558128E+3,	22.691360E-9
1.558132E+3,	22.868734E-9
1.558136E+3,	23.064664E-9
1.558140E+3,	23.270476E-9
1.558144E+3,	23.483226E-9
1.558148E+3,	23.733797E-9
1.558152E+3,	23.971419E-9
1.558156E+3,	24.113601E-9
1.558160E+3,	24.309375E-9
1.558164E+3,	24.421035E-9
1.558168E+3,	24.559349E-9
1.558172E+3,	24.763505E-9
1.558176E+3,	25.051441E-9
1.558180E+3,	25.300133E-9
1.558184E+3,	25.544734E-9
1.558188E+3,	25.904588E-9
1.558192E+3,	26.292797E-9
1.558196E+3,	26.627393E-9
1.558200E+3,	27.007219E-9
1.558204E+3,	27.526273E-9
1.558208E+3,	28.048217E-9
1.558212E+3,	28.517491E-9
1.558216E+3,	29.068478E-9
1.558220E+3,	29.540061E-9
1.558224E+3,	29.934325E-9
1.558228E+3,	30.420573E-9
1.558232E+3,	31.047368E-9
1.558236E+3,	31.587018E-9
1.558240E+3,	32.112123E-9
1.558244E+3,	32.685598E-9
1.558248E+3,	33.259215E-9
1.558252E+3,	33.806515E-9
1.558256E+3,	34.622979E-9
1.558260E+3,	35.299316E-9
1.558264E+3,	35.745440E-9
1.558268E+3,	36.274134E-9
1.558272E+3,	37.025188E-9
1.558276E+3,	37.635822E-9
1.558280E+3,	38.214735E-9
1.558284E+3,	39.018712E-9
1.558288E+3,	39.604811E-9
1.558292E+3,	40.111665E-9
1.558296E+3,	40.717225E-9
1.558300E+3,	41.272745E-9
1.558304E+3,	41.653377E-9
1.558308E+3,	42.006697E-9
1.558312E+3,	42.477391E-9
1.558316E+3,	42.876610E-9
1.558320E+3,	43.047968E-9
1.558324E+3,	43.120421E-9
1.558328E+3,	43.116659E-9
1.558332E+3,	43.179338E-9
1.558336E+3,	43.367769E-9
1.558340E+3,	43.727027E-9
1.558344E+3,	44.065185E-9
1.558348E+3,	44.294430E-9
1.558352E+3,	44.502307E-9
1.558356E+3,	44.661408E-9
1.558360E+3,	44.961587E-9
1.558364E+3,	45.343863E-9
1.558368E+3,	45.837584E-9
1.558372E+3,	46.338965E-9
1.558376E+3,	46.814815E-9
1.558380E+3,	47.435680E-9
1.558384E+3,	48.088670E-9
1.558388E+3,	48.561034E-9
1.558392E+3,	49.153926E-9
1.558396E+3,	50.039974E-9
1.558400E+3,	50.902276E-9
1.558404E+3,	51.751901E-9
1.558408E+3,	53.136953E-9
1.558412E+3,	54.573597E-9
1.558416E+3,	55.888848E-9
1.558420E+3,	57.475267E-9
1.558424E+3,	59.082090E-9
1.558428E+3,	60.551693E-9
1.558432E+3,	62.136035E-9
1.558436E+3,	63.985401E-9
1.558440E+3,	65.879918E-9
1.558444E+3,	67.776166E-9
1.558448E+3,	70.091940E-9
1.558452E+3,	72.383679E-9
1.558456E+3,	74.309849E-9
1.558460E+3,	76.471180E-9
1.558464E+3,	79.094833E-9
1.558468E+3,	81.535346E-9
1.558472E+3,	83.477486E-9
1.558476E+3,	86.124783E-9
1.558480E+3,	88.560697E-9
1.558484E+3,	90.738640E-9
1.558488E+3,	93.425570E-9
1.558492E+3,	96.625972E-9
1.558496E+3,	99.646530E-9
1.558500E+3,	101.809944E-9
1.558504E+3,	104.397865E-9
1.558508E+3,	106.714343E-9
1.558512E+3,	108.500893E-9
1.558516E+3,	110.871158E-9
1.558520E+3,	113.041779E-9
1.558524E+3,	114.828502E-9
1.558528E+3,	116.762764E-9
1.558532E+3,	118.599202E-9
1.558536E+3,	120.232345E-9
1.558540E+3,	121.714540E-9
1.558544E+3,	123.444808E-9
1.558548E+3,	124.859367E-9
1.558552E+3,	125.802039E-9
1.558556E+3,	126.675830E-9
1.558560E+3,	127.855262E-9
1.558564E+3,	128.904395E-9
1.558568E+3,	129.732129E-9
1.558572E+3,	130.635834E-9
1.558576E+3,	131.187230E-9
1.558580E+3,	131.446182E-9
1.558584E+3,	131.701354E-9
1.558588E+3,	132.136388E-9
