YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 22/05/2023 Time: 15:22:00,	
A_WL(nm),	A_I(mW)
1.555200E+3,	8.907931E-12
1.555204E+3,	0.000000E+0
1.555208E+3,	0.000000E+0
1.555212E+3,	0.000000E+0
1.555216E+3,	0.000000E+0
1.555220E+3,	6.284938E-12
1.555224E+3,	9.049988E-12
1.555228E+3,	0.000000E+0
1.555232E+3,	0.000000E+0
1.555236E+3,	9.479353E-12
1.555240E+3,	0.000000E+0
1.555244E+3,	63.864502E-15
1.555248E+3,	0.000000E+0
1.555252E+3,	11.964954E-12
1.555256E+3,	2.758511E-12
1.555260E+3,	4.625481E-12
1.555264E+3,	13.974190E-12
1.555268E+3,	9.070547E-12
1.555272E+3,	0.000000E+0
1.555276E+3,	5.130595E-12
1.555280E+3,	1.853133E-12
1.555284E+3,	10.146739E-12
1.555288E+3,	4.192295E-12
1.555292E+3,	7.890803E-12
1.555296E+3,	2.395947E-12
1.555300E+3,	13.278448E-12
1.555304E+3,	12.072658E-12
1.555308E+3,	1.273384E-12
1.555312E+3,	16.930244E-12
1.555316E+3,	0.000000E+0
1.555320E+3,	0.000000E+0
1.555324E+3,	8.187581E-12
1.555328E+3,	6.651770E-12
1.555332E+3,	0.000000E+0
1.555336E+3,	16.116152E-12
1.555340E+3,	699.317613E-15
1.555344E+3,	2.732753E-12
1.555348E+3,	0.000000E+0
1.555352E+3,	14.302479E-12
1.555356E+3,	6.666620E-12
1.555360E+3,	6.853671E-12
1.555364E+3,	0.000000E+0
1.555368E+3,	1.852228E-12
1.555372E+3,	2.555874E-12
1.555376E+3,	0.000000E+0
1.555380E+3,	17.311785E-12
1.555384E+3,	1.303964E-12
1.555388E+3,	0.000000E+0
1.555392E+3,	0.000000E+0
1.555396E+3,	1.439519E-12
1.555400E+3,	12.256915E-12
1.555404E+3,	5.939264E-12
1.555408E+3,	0.000000E+0
1.555412E+3,	0.000000E+0
1.555416E+3,	0.000000E+0
1.555420E+3,	8.048198E-12
1.555424E+3,	0.000000E+0
1.555428E+3,	12.183875E-12
1.555432E+3,	317.969644E-15
1.555436E+3,	3.485744E-12
1.555440E+3,	0.000000E+0
1.555444E+3,	0.000000E+0
1.555448E+3,	18.741325E-12
1.555452E+3,	6.478988E-12
1.555456E+3,	3.305297E-12
1.555460E+3,	13.274647E-12
1.555464E+3,	17.600280E-12
1.555468E+3,	7.039238E-12
1.555472E+3,	0.000000E+0
1.555476E+3,	2.230423E-12
1.555480E+3,	7.386005E-12
1.555484E+3,	11.064795E-12
1.555488E+3,	10.607183E-12
1.555492E+3,	5.330730E-12
1.555496E+3,	17.518510E-12
1.555500E+3,	341.991438E-15
1.555504E+3,	10.680058E-12
1.555508E+3,	454.204765E-15
1.555512E+3,	3.996502E-12
1.555516E+3,	1.109776E-12
1.555520E+3,	0.000000E+0
1.555524E+3,	4.821223E-12
1.555528E+3,	3.395588E-12
1.555532E+3,	0.000000E+0
1.555536E+3,	31.432671E-12
1.555540E+3,	0.000000E+0
1.555544E+3,	2.941322E-12
1.555548E+3,	9.807679E-12
1.555552E+3,	24.495254E-12
1.555556E+3,	0.000000E+0
1.555560E+3,	0.000000E+0
1.555564E+3,	6.489024E-12
1.555568E+3,	8.638507E-12
1.555572E+3,	0.000000E+0
1.555576E+3,	7.586277E-12
1.555580E+3,	0.000000E+0
1.555584E+3,	18.931570E-12
1.555588E+3,	16.726219E-12
1.555592E+3,	1.878422E-12
1.555596E+3,	0.000000E+0
1.555600E+3,	5.907833E-12
1.555604E+3,	17.442069E-12
1.555608E+3,	0.000000E+0
1.555612E+3,	0.000000E+0
1.555616E+3,	10.046278E-12
1.555620E+3,	9.739305E-12
1.555624E+3,	0.000000E+0
1.555628E+3,	6.406001E-12
1.555632E+3,	478.339980E-15
1.555636E+3,	16.690811E-12
1.555640E+3,	3.825672E-12
1.555644E+3,	884.972818E-15
1.555648E+3,	13.786426E-12
1.555652E+3,	9.363213E-12
1.555656E+3,	23.161578E-12
1.555660E+3,	4.875870E-12
1.555664E+3,	7.755293E-12
1.555668E+3,	0.000000E+0
1.555672E+3,	2.278000E-12
1.555676E+3,	1.452075E-12
1.555680E+3,	0.000000E+0
1.555684E+3,	5.099071E-12
1.555688E+3,	7.635375E-12
1.555692E+3,	9.677138E-12
1.555696E+3,	0.000000E+0
1.555700E+3,	11.314634E-12
1.555704E+3,	0.000000E+0
1.555708E+3,	0.000000E+0
1.555712E+3,	7.384194E-12
1.555716E+3,	4.489746E-12
1.555720E+3,	4.156225E-12
1.555724E+3,	14.276309E-12
1.555728E+3,	0.000000E+0
1.555732E+3,	6.945978E-12
1.555736E+3,	0.000000E+0
1.555740E+3,	6.741624E-12
1.555744E+3,	12.330162E-12
1.555748E+3,	4.715519E-12
1.555752E+3,	928.148483E-15
1.555756E+3,	4.459771E-12
1.555760E+3,	1.681925E-12
1.555764E+3,	0.000000E+0
1.555768E+3,	0.000000E+0
1.555772E+3,	0.000000E+0
1.555776E+3,	0.000000E+0
1.555780E+3,	5.696660E-12
1.555784E+3,	13.368601E-12
1.555788E+3,	8.641086E-12
1.555792E+3,	1.256057E-12
1.555796E+3,	11.467315E-12
1.555800E+3,	11.075916E-12
1.555804E+3,	15.110497E-12
1.555808E+3,	14.488989E-12
1.555812E+3,	16.762970E-12
1.555816E+3,	14.259217E-12
1.555820E+3,	1.551153E-12
1.555824E+3,	4.866734E-12
1.555828E+3,	12.140962E-12
1.555832E+3,	21.698330E-12
1.555836E+3,	0.000000E+0
1.555840E+3,	21.557769E-12
1.555844E+3,	6.994848E-12
1.555848E+3,	0.000000E+0
1.555852E+3,	0.000000E+0
1.555856E+3,	1.071092E-12
1.555860E+3,	19.020801E-12
1.555864E+3,	4.108491E-12
1.555868E+3,	12.963288E-12
1.555872E+3,	0.000000E+0
1.555876E+3,	0.000000E+0
1.555880E+3,	10.643455E-12
1.555884E+3,	0.000000E+0
1.555888E+3,	7.387158E-12
1.555892E+3,	12.649227E-12
1.555896E+3,	11.231149E-12
1.555900E+3,	13.158016E-12
1.555904E+3,	0.000000E+0
1.555908E+3,	0.000000E+0
1.555912E+3,	299.773921E-15
1.555916E+3,	0.000000E+0
1.555920E+3,	15.192749E-12
1.555924E+3,	6.331647E-12
1.555928E+3,	9.708834E-12
1.555932E+3,	6.027026E-12
1.555936E+3,	0.000000E+0
1.555940E+3,	12.792767E-12
1.555944E+3,	0.000000E+0
1.555948E+3,	17.707336E-12
1.555952E+3,	3.062291E-12
1.555956E+3,	165.770442E-15
1.555960E+3,	0.000000E+0
1.555964E+3,	26.010497E-12
1.555968E+3,	14.013534E-12
1.555972E+3,	13.480239E-12
1.555976E+3,	6.513342E-12
1.555980E+3,	16.941325E-12
1.555984E+3,	9.131572E-12
1.555988E+3,	0.000000E+0
1.555992E+3,	0.000000E+0
1.555996E+3,	6.660239E-12
1.556000E+3,	15.912570E-12
1.556004E+3,	5.343008E-12
1.556008E+3,	0.000000E+0
1.556012E+3,	3.822718E-12
1.556016E+3,	10.252291E-12
1.556020E+3,	0.000000E+0
1.556024E+3,	153.457405E-15
1.556028E+3,	0.000000E+0
1.556032E+3,	11.742583E-12
1.556036E+3,	0.000000E+0
1.556040E+3,	22.731282E-12
1.556044E+3,	0.000000E+0
1.556048E+3,	4.251362E-12
1.556052E+3,	4.526218E-12
1.556056E+3,	0.000000E+0
1.556060E+3,	9.518111E-12
1.556064E+3,	3.822745E-12
1.556068E+3,	12.880606E-12
1.556072E+3,	0.000000E+0
1.556076E+3,	3.829568E-12
1.556080E+3,	12.359200E-12
1.556084E+3,	17.830040E-12
1.556088E+3,	19.375778E-12
1.556092E+3,	9.231631E-12
1.556096E+3,	2.879039E-12
1.556100E+3,	9.948061E-12
1.556104E+3,	16.450975E-12
1.556108E+3,	9.802917E-12
1.556112E+3,	27.539306E-12
1.556116E+3,	26.916031E-12
1.556120E+3,	15.932476E-12
1.556124E+3,	14.954393E-12
1.556128E+3,	16.166138E-12
1.556132E+3,	11.338105E-12
1.556136E+3,	11.139397E-12
1.556140E+3,	14.305926E-12
1.556144E+3,	28.822302E-12
1.556148E+3,	22.696032E-12
1.556152E+3,	23.048611E-12
1.556156E+3,	19.461950E-12
1.556160E+3,	14.895291E-12
1.556164E+3,	810.392012E-15
1.556168E+3,	31.907524E-12
1.556172E+3,	39.153608E-12
1.556176E+3,	13.361977E-12
1.556180E+3,	13.596690E-12
1.556184E+3,	14.483718E-12
1.556188E+3,	26.433493E-12
1.556192E+3,	17.149143E-12
1.556196E+3,	19.342343E-12
1.556200E+3,	22.567416E-12
1.556204E+3,	29.572993E-12
1.556208E+3,	12.269491E-12
1.556212E+3,	6.746410E-12
1.556216E+3,	9.552900E-12
1.556220E+3,	17.923589E-12
1.556224E+3,	1.106440E-12
1.556228E+3,	8.701493E-12
1.556232E+3,	14.218157E-12
1.556236E+3,	7.044663E-12
1.556240E+3,	16.686191E-12
1.556244E+3,	14.155095E-12
1.556248E+3,	13.652620E-12
1.556252E+3,	23.469687E-12
1.556256E+3,	0.000000E+0
1.556260E+3,	5.986547E-12
1.556264E+3,	14.956834E-12
1.556268E+3,	13.360407E-12
1.556272E+3,	14.238086E-12
1.556276E+3,	9.353555E-12
1.556280E+3,	21.867326E-12
1.556284E+3,	5.235041E-12
1.556288E+3,	0.000000E+0
1.556292E+3,	8.323121E-12
1.556296E+3,	13.342493E-12
1.556300E+3,	10.479841E-12
1.556304E+3,	0.000000E+0
1.556308E+3,	7.824679E-12
1.556312E+3,	6.048656E-12
1.556316E+3,	0.000000E+0
1.556320E+3,	0.000000E+0
1.556324E+3,	8.182221E-12
1.556328E+3,	10.700737E-12
1.556332E+3,	13.482428E-12
1.556336E+3,	2.662143E-12
1.556340E+3,	10.952049E-12
1.556344E+3,	11.363316E-12
1.556348E+3,	7.802258E-12
1.556352E+3,	8.209985E-12
1.556356E+3,	0.000000E+0
1.556360E+3,	25.649133E-12
1.556364E+3,	10.568544E-12
1.556368E+3,	9.994086E-12
1.556372E+3,	5.639785E-12
1.556376E+3,	2.715010E-12
1.556380E+3,	18.881022E-12
1.556384E+3,	0.000000E+0
1.556388E+3,	16.982087E-12
1.556392E+3,	3.699257E-12
1.556396E+3,	21.315879E-12
1.556400E+3,	8.133574E-12
1.556404E+3,	12.581191E-12
1.556408E+3,	15.442614E-12
1.556412E+3,	16.890686E-12
1.556416E+3,	21.470190E-12
1.556420E+3,	10.105112E-12
1.556424E+3,	7.943361E-12
1.556428E+3,	17.405139E-12
1.556432E+3,	15.292377E-12
1.556436E+3,	29.241666E-12
1.556440E+3,	10.599748E-12
1.556444E+3,	31.856989E-12
1.556448E+3,	30.743461E-12
1.556452E+3,	23.373418E-12
1.556456E+3,	30.062933E-12
1.556460E+3,	22.032726E-12
1.556464E+3,	24.955231E-12
1.556468E+3,	36.025607E-12
1.556472E+3,	19.595016E-12
1.556476E+3,	36.007671E-12
1.556480E+3,	38.725998E-12
1.556484E+3,	14.924764E-12
1.556488E+3,	34.413327E-12
1.556492E+3,	25.311070E-12
1.556496E+3,	21.014310E-12
1.556500E+3,	42.251550E-12
1.556504E+3,	26.750472E-12
1.556508E+3,	36.468917E-12
1.556512E+3,	27.455420E-12
1.556516E+3,	17.202518E-12
1.556520E+3,	18.492665E-12
1.556524E+3,	27.867623E-12
1.556528E+3,	24.331212E-12
1.556532E+3,	32.311177E-12
1.556536E+3,	15.469902E-12
1.556540E+3,	30.915155E-12
1.556544E+3,	10.630963E-12
1.556548E+3,	24.745307E-12
1.556552E+3,	21.034048E-12
1.556556E+3,	33.095538E-12
1.556560E+3,	19.841730E-12
1.556564E+3,	23.379367E-12
1.556568E+3,	0.000000E+0
1.556572E+3,	15.183189E-12
1.556576E+3,	18.642330E-12
1.556580E+3,	20.025618E-12
1.556584E+3,	11.513433E-12
1.556588E+3,	6.994789E-12
1.556592E+3,	14.199425E-12
1.556596E+3,	23.032475E-12
1.556600E+3,	13.702376E-12
1.556604E+3,	3.293805E-12
1.556608E+3,	3.483254E-12
1.556612E+3,	4.378208E-12
1.556616E+3,	2.017768E-12
1.556620E+3,	0.000000E+0
1.556624E+3,	10.180968E-12
1.556628E+3,	17.397366E-12
1.556632E+3,	437.513399E-15
1.556636E+3,	2.393252E-12
1.556640E+3,	12.848209E-12
1.556644E+3,	13.358184E-12
1.556648E+3,	4.909238E-12
1.556652E+3,	10.318693E-12
1.556656E+3,	18.879171E-12
1.556660E+3,	5.209857E-12
1.556664E+3,	11.008753E-12
1.556668E+3,	9.338440E-12
1.556672E+3,	11.024978E-12
1.556676E+3,	10.374366E-12
1.556680E+3,	5.456489E-12
1.556684E+3,	11.963709E-12
1.556688E+3,	2.152583E-12
1.556692E+3,	20.207940E-12
1.556696E+3,	26.565124E-12
1.556700E+3,	19.801719E-12
1.556704E+3,	2.440478E-12
1.556708E+3,	21.909130E-12
1.556712E+3,	9.340589E-12
1.556716E+3,	17.171054E-12
1.556720E+3,	26.738536E-12
1.556724E+3,	3.008850E-12
1.556728E+3,	26.800353E-12
1.556732E+3,	29.529304E-12
1.556736E+3,	26.335683E-12
1.556740E+3,	21.761026E-12
1.556744E+3,	29.340388E-12
1.556748E+3,	27.343309E-12
1.556752E+3,	23.506125E-12
1.556756E+3,	35.421789E-12
1.556760E+3,	36.485715E-12
1.556764E+3,	44.075153E-12
1.556768E+3,	43.653002E-12
1.556772E+3,	35.568093E-12
1.556776E+3,	47.199678E-12
1.556780E+3,	36.632132E-12
1.556784E+3,	59.224046E-12
1.556788E+3,	43.617345E-12
1.556792E+3,	39.122786E-12
1.556796E+3,	50.808769E-12
1.556800E+3,	36.916202E-12
1.556804E+3,	37.123334E-12
1.556808E+3,	37.936948E-12
1.556812E+3,	44.450876E-12
1.556816E+3,	41.373527E-12
1.556820E+3,	41.450064E-12
1.556824E+3,	35.833234E-12
1.556828E+3,	44.151940E-12
1.556832E+3,	38.061224E-12
1.556836E+3,	41.886011E-12
1.556840E+3,	35.964817E-12
1.556844E+3,	54.719522E-12
1.556848E+3,	26.865884E-12
1.556852E+3,	37.196057E-12
1.556856E+3,	36.092991E-12
1.556860E+3,	39.937012E-12
1.556864E+3,	25.425324E-12
1.556868E+3,	23.649964E-12
1.556872E+3,	22.080867E-12
1.556876E+3,	31.158864E-12
1.556880E+3,	14.001071E-12
1.556884E+3,	19.493378E-12
1.556888E+3,	23.569082E-12
1.556892E+3,	30.755125E-12
1.556896E+3,	30.388982E-12
1.556900E+3,	18.831045E-12
1.556904E+3,	12.151301E-12
1.556908E+3,	10.563952E-12
1.556912E+3,	0.000000E+0
1.556916E+3,	7.679904E-12
1.556920E+3,	0.000000E+0
1.556924E+3,	7.704688E-12
1.556928E+3,	22.603465E-12
1.556932E+3,	2.960336E-12
1.556936E+3,	4.856225E-12
1.556940E+3,	9.623066E-12
1.556944E+3,	0.000000E+0
1.556948E+3,	23.725254E-12
1.556952E+3,	2.067643E-12
1.556956E+3,	14.307395E-12
1.556960E+3,	3.086152E-12
1.556964E+3,	14.056323E-15
1.556968E+3,	0.000000E+0
1.556972E+3,	804.635128E-15
1.556976E+3,	6.334476E-12
1.556980E+3,	17.886982E-12
1.556984E+3,	6.314814E-12
1.556988E+3,	14.739079E-12
1.556992E+3,	8.444354E-12
1.556996E+3,	16.470093E-12
1.557000E+3,	5.745630E-12
1.557004E+3,	13.146609E-12
1.557008E+3,	24.514635E-12
1.557012E+3,	18.738622E-12
1.557016E+3,	28.600147E-12
1.557020E+3,	26.141850E-12
1.557024E+3,	17.182919E-12
1.557028E+3,	28.355524E-12
1.557032E+3,	38.832896E-12
1.557036E+3,	37.775077E-12
1.557040E+3,	29.154784E-12
1.557044E+3,	34.683774E-12
1.557048E+3,	38.717172E-12
1.557052E+3,	46.225504E-12
1.557056E+3,	38.707777E-12
1.557060E+3,	35.016667E-12
1.557064E+3,	45.310722E-12
1.557068E+3,	59.559096E-12
1.557072E+3,	53.927191E-12
1.557076E+3,	51.960838E-12
1.557080E+3,	48.946082E-12
1.557084E+3,	72.667163E-12
1.557088E+3,	57.357991E-12
1.557092E+3,	52.355710E-12
1.557096E+3,	60.737363E-12
1.557100E+3,	52.966050E-12
1.557104E+3,	59.082949E-12
1.557108E+3,	81.486077E-12
1.557112E+3,	60.026565E-12
1.557116E+3,	50.330208E-12
1.557120E+3,	58.081993E-12
1.557124E+3,	59.796054E-12
1.557128E+3,	61.694083E-12
1.557132E+3,	64.860216E-12
1.557136E+3,	54.803047E-12
1.557140E+3,	67.073855E-12
1.557144E+3,	53.874946E-12
1.557148E+3,	47.258088E-12
1.557152E+3,	31.943380E-12
1.557156E+3,	51.470475E-12
1.557160E+3,	47.955984E-12
1.557164E+3,	37.430849E-12
1.557168E+3,	49.168266E-12
1.557172E+3,	35.873106E-12
1.557176E+3,	32.333053E-12
1.557180E+3,	31.632946E-12
1.557184E+3,	22.484577E-12
1.557188E+3,	52.734369E-12
1.557192E+3,	21.923559E-12
1.557196E+3,	16.028322E-12
1.557200E+3,	13.004394E-12
1.557204E+3,	36.444569E-12
1.557208E+3,	20.380529E-12
1.557212E+3,	35.151297E-12
1.557216E+3,	13.658034E-12
1.557220E+3,	12.036904E-12
1.557224E+3,	10.466371E-12
1.557228E+3,	0.000000E+0
1.557232E+3,	0.000000E+0
1.557236E+3,	5.085357E-12
1.557240E+3,	12.027993E-12
1.557244E+3,	19.302447E-12
1.557248E+3,	1.913040E-12
1.557252E+3,	11.005124E-12
1.557256E+3,	0.000000E+0
1.557260E+3,	0.000000E+0
1.557264E+3,	2.950564E-12
1.557268E+3,	21.769031E-12
1.557272E+3,	0.000000E+0
1.557276E+3,	0.000000E+0
1.557280E+3,	0.000000E+0
1.557284E+3,	12.427650E-12
1.557288E+3,	15.106193E-12
1.557292E+3,	0.000000E+0
