YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 22/05/2023 Time: 15:22:47,	
A_WL(nm),	A_I(mW)
1.555200E+3,	0.000000E+0
1.555204E+3,	173.350725E-15
1.555208E+3,	7.571839E-12
1.555212E+3,	0.000000E+0
1.555216E+3,	0.000000E+0
1.555220E+3,	0.000000E+0
1.555224E+3,	1.452108E-12
1.555228E+3,	334.573482E-15
1.555232E+3,	0.000000E+0
1.555236E+3,	14.650393E-12
1.555240E+3,	7.497305E-12
1.555244E+3,	6.839407E-12
1.555248E+3,	0.000000E+0
1.555252E+3,	117.372719E-15
1.555256E+3,	0.000000E+0
1.555260E+3,	8.312818E-12
1.555264E+3,	0.000000E+0
1.555268E+3,	6.267317E-12
1.555272E+3,	2.545331E-12
1.555276E+3,	2.842219E-12
1.555280E+3,	9.759298E-12
1.555284E+3,	0.000000E+0
1.555288E+3,	0.000000E+0
1.555292E+3,	6.062459E-12
1.555296E+3,	0.000000E+0
1.555300E+3,	184.157914E-15
1.555304E+3,	0.000000E+0
1.555308E+3,	0.000000E+0
1.555312E+3,	0.000000E+0
1.555316E+3,	0.000000E+0
1.555320E+3,	9.721381E-12
1.555324E+3,	0.000000E+0
1.555328E+3,	0.000000E+0
1.555332E+3,	0.000000E+0
1.555336E+3,	9.910156E-12
1.555340E+3,	16.486677E-12
1.555344E+3,	11.410038E-12
1.555348E+3,	0.000000E+0
1.555352E+3,	11.458395E-12
1.555356E+3,	11.879797E-12
1.555360E+3,	0.000000E+0
1.555364E+3,	13.262922E-12
1.555368E+3,	10.030450E-12
1.555372E+3,	11.357206E-12
1.555376E+3,	5.036963E-12
1.555380E+3,	0.000000E+0
1.555384E+3,	0.000000E+0
1.555388E+3,	547.340026E-15
1.555392E+3,	6.302012E-12
1.555396E+3,	0.000000E+0
1.555400E+3,	874.406363E-15
1.555404E+3,	0.000000E+0
1.555408E+3,	0.000000E+0
1.555412E+3,	3.174692E-12
1.555416E+3,	547.339840E-15
1.555420E+3,	1.138645E-12
1.555424E+3,	3.304947E-12
1.555428E+3,	5.359648E-12
1.555432E+3,	0.000000E+0
1.555436E+3,	9.766867E-12
1.555440E+3,	3.364330E-12
1.555444E+3,	0.000000E+0
1.555448E+3,	10.791680E-12
1.555452E+3,	10.579250E-12
1.555456E+3,	6.681989E-12
1.555460E+3,	0.000000E+0
1.555464E+3,	0.000000E+0
1.555468E+3,	0.000000E+0
1.555472E+3,	4.723178E-12
1.555476E+3,	0.000000E+0
1.555480E+3,	0.000000E+0
1.555484E+3,	5.620687E-12
1.555488E+3,	4.904255E-12
1.555492E+3,	12.205276E-12
1.555496E+3,	10.646534E-12
1.555500E+3,	2.491786E-12
1.555504E+3,	3.517425E-12
1.555508E+3,	0.000000E+0
1.555512E+3,	12.624387E-12
1.555516E+3,	0.000000E+0
1.555520E+3,	0.000000E+0
1.555524E+3,	12.007534E-12
1.555528E+3,	4.184084E-12
1.555532E+3,	271.118987E-15
1.555536E+3,	30.843415E-12
1.555540E+3,	0.000000E+0
1.555544E+3,	16.469244E-12
1.555548E+3,	6.505940E-12
1.555552E+3,	9.641306E-12
1.555556E+3,	12.145740E-12
1.555560E+3,	13.751846E-12
1.555564E+3,	13.481362E-12
1.555568E+3,	2.979720E-12
