YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 22/05/2023 Time: 14:50:57,	
A_WL(nm),	A_I(mW)
1.555200E+3,	44.212730E-12
1.555204E+3,	58.158593E-12
1.555208E+3,	54.832877E-12
1.555212E+3,	48.339205E-12
1.555216E+3,	32.293205E-12
1.555220E+3,	24.783129E-12
1.555224E+3,	58.513272E-12
1.555228E+3,	54.199265E-12
1.555232E+3,	25.443382E-12
1.555236E+3,	28.887137E-12
1.555240E+3,	44.471661E-12
1.555244E+3,	44.959503E-12
1.555248E+3,	47.396093E-12
1.555252E+3,	59.451036E-12
1.555256E+3,	44.376318E-12
1.555260E+3,	50.704992E-12
1.555264E+3,	20.390028E-12
1.555268E+3,	31.742712E-12
1.555272E+3,	56.631501E-12
1.555276E+3,	41.333970E-12
1.555280E+3,	46.770029E-12
1.555284E+3,	46.409764E-12
1.555288E+3,	52.628236E-12
1.555292E+3,	50.296955E-12
1.555296E+3,	38.332140E-12
1.555300E+3,	52.292706E-12
1.555304E+3,	45.712463E-12
1.555308E+3,	57.303644E-12
1.555312E+3,	51.978035E-12
1.555316E+3,	57.598990E-12
1.555320E+3,	52.167060E-12
1.555324E+3,	45.188005E-12
1.555328E+3,	59.373277E-12
1.555332E+3,	60.655302E-12
1.555336E+3,	55.160569E-12
1.555340E+3,	56.195980E-12
1.555344E+3,	65.362896E-12
1.555348E+3,	56.756951E-12
1.555352E+3,	60.504539E-12
1.555356E+3,	68.451664E-12
1.555360E+3,	48.519327E-12
1.555364E+3,	68.925482E-12
1.555368E+3,	64.269139E-12
1.555372E+3,	53.251838E-12
1.555376E+3,	48.776142E-12
1.555380E+3,	60.445190E-12
1.555384E+3,	53.400227E-12
1.555388E+3,	51.498542E-12
1.555392E+3,	58.823644E-12
1.555396E+3,	53.378198E-12
1.555400E+3,	79.038816E-12
1.555404E+3,	57.244380E-12
1.555408E+3,	80.950319E-12
1.555412E+3,	69.524862E-12
1.555416E+3,	71.906289E-12
1.555420E+3,	71.645046E-12
1.555424E+3,	74.193737E-12
1.555428E+3,	62.173537E-12
1.555432E+3,	68.110518E-12
1.555436E+3,	70.352585E-12
1.555440E+3,	70.196056E-12
1.555444E+3,	78.029826E-12
1.555448E+3,	62.144404E-12
1.555452E+3,	82.035084E-12
1.555456E+3,	69.422805E-12
1.555460E+3,	63.065784E-12
1.555464E+3,	61.421722E-12
1.555468E+3,	66.981023E-12
1.555472E+3,	68.458616E-12
1.555476E+3,	72.818243E-12
1.555480E+3,	58.988777E-12
1.555484E+3,	80.895268E-12
1.555488E+3,	59.270940E-12
1.555492E+3,	57.442018E-12
1.555496E+3,	48.996829E-12
1.555500E+3,	61.650963E-12
1.555504E+3,	76.506592E-12
1.555508E+3,	56.180508E-12
1.555512E+3,	53.533539E-12
1.555516E+3,	64.800826E-12
1.555520E+3,	71.102441E-12
1.555524E+3,	52.122061E-12
1.555528E+3,	62.256227E-12
1.555532E+3,	83.251291E-12
1.555536E+3,	57.596431E-12
1.555540E+3,	63.486470E-12
1.555544E+3,	62.424577E-12
1.555548E+3,	71.065790E-12
1.555552E+3,	67.173690E-12
1.555556E+3,	66.285723E-12
1.555560E+3,	69.365524E-12
1.555564E+3,	63.563398E-12
1.555568E+3,	75.601665E-12
1.555572E+3,	76.648202E-12
1.555576E+3,	58.294089E-12
1.555580E+3,	68.431254E-12
1.555584E+3,	77.022416E-12
1.555588E+3,	77.049624E-12
1.555592E+3,	90.167404E-12
1.555596E+3,	92.328034E-12
1.555600E+3,	67.418461E-12
1.555604E+3,	91.668414E-12
1.555608E+3,	86.405706E-12
1.555612E+3,	77.019442E-12
1.555616E+3,	75.439991E-12
1.555620E+3,	88.071979E-12
1.555624E+3,	87.008524E-12
1.555628E+3,	82.542447E-12
1.555632E+3,	91.889919E-12
1.555636E+3,	100.708165E-12
1.555640E+3,	92.976260E-12
1.555644E+3,	95.624488E-12
1.555648E+3,	89.167796E-12
1.555652E+3,	93.235614E-12
1.555656E+3,	89.571986E-12
1.555660E+3,	97.990449E-12
1.555664E+3,	102.385865E-12
1.555668E+3,	97.491877E-12
1.555672E+3,	89.655025E-12
1.555676E+3,	95.184100E-12
1.555680E+3,	103.627990E-12
1.555684E+3,	103.587164E-12
1.555688E+3,	102.493419E-12
1.555692E+3,	96.684731E-12
1.555696E+3,	90.489882E-12
1.555700E+3,	90.922005E-12
1.555704E+3,	98.185111E-12
1.555708E+3,	95.045045E-12
1.555712E+3,	105.662202E-12
1.555716E+3,	90.173034E-12
1.555720E+3,	83.193222E-12
1.555724E+3,	104.056519E-12
1.555728E+3,	112.227649E-12
1.555732E+3,	91.130828E-12
1.555736E+3,	111.711081E-12
1.555740E+3,	91.303204E-12
1.555744E+3,	100.598578E-12
1.555748E+3,	90.765025E-12
1.555752E+3,	116.368282E-12
1.555756E+3,	118.614961E-12
1.555760E+3,	114.407718E-12
1.555764E+3,	101.673935E-12
1.555768E+3,	109.099729E-12
1.555772E+3,	109.035425E-12
1.555776E+3,	92.059754E-12
1.555780E+3,	99.387783E-12
1.555784E+3,	103.174600E-12
1.555788E+3,	92.093262E-12
1.555792E+3,	101.367854E-12
1.555796E+3,	110.802770E-12
1.555800E+3,	92.078983E-12
1.555804E+3,	96.052379E-12
1.555808E+3,	97.851915E-12
1.555812E+3,	102.440742E-12
1.555816E+3,	102.054912E-12
1.555820E+3,	112.682183E-12
1.555824E+3,	105.763666E-12
1.555828E+3,	104.533992E-12
1.555832E+3,	103.143682E-12
1.555836E+3,	111.061094E-12
1.555840E+3,	118.434425E-12
1.555844E+3,	125.645005E-12
1.555848E+3,	120.260836E-12
1.555852E+3,	117.195450E-12
1.555856E+3,	127.792705E-12
1.555860E+3,	113.524345E-12
1.555864E+3,	127.818129E-12
1.555868E+3,	114.289977E-12
1.555872E+3,	126.761689E-12
1.555876E+3,	120.168676E-12
1.555880E+3,	114.524274E-12
1.555884E+3,	119.318759E-12
