YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 22/05/2023 Time: 14:51:33,	
A_WL(nm),	A_I(mW)
1.555200E+3,	43.636636E-12
1.555204E+3,	44.764291E-12
1.555208E+3,	40.924834E-12
1.555212E+3,	46.817773E-12
1.555216E+3,	37.146900E-12
1.555220E+3,	37.092224E-12
1.555224E+3,	36.382347E-12
1.555228E+3,	50.552748E-12
1.555232E+3,	40.167919E-12
1.555236E+3,	21.399303E-12
1.555240E+3,	35.451743E-12
1.555244E+3,	36.170696E-12
1.555248E+3,	37.372001E-12
1.555252E+3,	33.306415E-12
1.555256E+3,	35.373076E-12
1.555260E+3,	46.172467E-12
1.555264E+3,	36.674403E-12
1.555268E+3,	30.474580E-12
1.555272E+3,	40.106516E-12
1.555276E+3,	28.538800E-12
1.555280E+3,	25.537678E-12
1.555284E+3,	27.639777E-12
1.555288E+3,	43.003672E-12
1.555292E+3,	45.150484E-12
1.555296E+3,	31.081675E-12
1.555300E+3,	44.529589E-12
1.555304E+3,	30.592767E-12
1.555308E+3,	28.120945E-12
1.555312E+3,	35.439461E-12
1.555316E+3,	36.089910E-12
1.555320E+3,	36.751391E-12
1.555324E+3,	46.792596E-12
1.555328E+3,	16.559021E-12
1.555332E+3,	19.633024E-12
1.555336E+3,	34.373919E-12
1.555340E+3,	27.643686E-12
1.555344E+3,	35.249271E-12
1.555348E+3,	37.417103E-12
1.555352E+3,	17.524632E-12
1.555356E+3,	49.420773E-12
1.555360E+3,	31.974556E-12
1.555364E+3,	40.539586E-12
1.555368E+3,	55.984695E-12
1.555372E+3,	30.190323E-12
1.555376E+3,	36.677468E-12
1.555380E+3,	32.513210E-12
1.555384E+3,	57.825677E-12
1.555388E+3,	47.161390E-12
1.555392E+3,	44.865753E-12
1.555396E+3,	48.930753E-12
1.555400E+3,	51.169792E-12
1.555404E+3,	46.918410E-12
1.555408E+3,	59.453995E-12
1.555412E+3,	35.765703E-12
1.555416E+3,	45.021431E-12
1.555420E+3,	64.745045E-12
1.555424E+3,	71.977261E-12
1.555428E+3,	41.476534E-12
1.555432E+3,	52.064067E-12
1.555436E+3,	53.369250E-12
1.555440E+3,	56.075593E-12
1.555444E+3,	54.794406E-12
1.555448E+3,	55.762066E-12
1.555452E+3,	61.266196E-12
1.555456E+3,	51.058045E-12
1.555460E+3,	56.094239E-12
1.555464E+3,	55.700100E-12
1.555468E+3,	45.230010E-12
1.555472E+3,	59.070193E-12
1.555476E+3,	49.015531E-12
1.555480E+3,	25.160302E-12
