YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 01/06/2023 Time: 14:37:33,	
A_WL(nm),	A_I(mW)
1.557650E+3,	21.292062E-12
1.557654E+3,	12.968586E-12
1.557658E+3,	2.832616E-12
1.557662E+3,	0.000000E+0
1.557666E+3,	0.000000E+0
1.557670E+3,	4.570973E-12
1.557674E+3,	6.425412E-12
1.557678E+3,	4.870569E-12
1.557682E+3,	6.118984E-12
1.557686E+3,	0.000000E+0
1.557690E+3,	10.143124E-12
1.557694E+3,	0.000000E+0
1.557698E+3,	0.000000E+0
1.557702E+3,	24.365603E-12
1.557706E+3,	0.000000E+0
1.557710E+3,	0.000000E+0
1.557714E+3,	0.000000E+0
1.557718E+3,	0.000000E+0
1.557722E+3,	12.403492E-12
1.557726E+3,	1.269464E-12
1.557730E+3,	0.000000E+0
1.557734E+3,	0.000000E+0
1.557738E+3,	0.000000E+0
1.557742E+3,	15.681028E-12
1.557746E+3,	0.000000E+0
1.557750E+3,	0.000000E+0
1.557754E+3,	0.000000E+0
1.557758E+3,	0.000000E+0
1.557762E+3,	0.000000E+0
1.557766E+3,	11.368395E-12
1.557770E+3,	0.000000E+0
1.557774E+3,	10.107779E-12
1.557778E+3,	2.060324E-12
1.557782E+3,	0.000000E+0
1.557786E+3,	12.543193E-12
1.557790E+3,	2.156985E-12
1.557794E+3,	1.297162E-12
1.557798E+3,	0.000000E+0
1.557802E+3,	6.961374E-12
1.557806E+3,	0.000000E+0
1.557810E+3,	0.000000E+0
1.557814E+3,	1.786120E-12
1.557818E+3,	0.000000E+0
1.557822E+3,	65.662141E-15
1.557826E+3,	0.000000E+0
1.557830E+3,	0.000000E+0
1.557834E+3,	0.000000E+0
1.557838E+3,	0.000000E+0
1.557842E+3,	8.949568E-12
1.557846E+3,	1.647845E-12
1.557850E+3,	3.608553E-12
1.557854E+3,	0.000000E+0
1.557858E+3,	0.000000E+0
1.557862E+3,	367.199296E-15
1.557866E+3,	0.000000E+0
1.557870E+3,	0.000000E+0
1.557874E+3,	7.942921E-12
1.557878E+3,	9.316974E-12
1.557882E+3,	0.000000E+0
1.557886E+3,	16.569011E-12
1.557890E+3,	7.942923E-12
1.557894E+3,	0.000000E+0
1.557898E+3,	9.879999E-12
1.557902E+3,	254.128200E-15
1.557906E+3,	0.000000E+0
1.557910E+3,	1.933558E-12
1.557914E+3,	3.905113E-12
1.557918E+3,	1.057912E-12
1.557922E+3,	0.000000E+0
1.557926E+3,	3.952723E-12
1.557930E+3,	0.000000E+0
1.557934E+3,	9.959345E-12
1.557938E+3,	8.931433E-12
1.557942E+3,	0.000000E+0
1.557946E+3,	0.000000E+0
1.557950E+3,	0.000000E+0
1.557954E+3,	0.000000E+0
1.557958E+3,	11.337647E-12
1.557962E+3,	518.078720E-15
1.557966E+3,	3.408894E-12
1.557970E+3,	0.000000E+0
1.557974E+3,	7.699708E-12
1.557978E+3,	0.000000E+0
1.557982E+3,	0.000000E+0
1.557986E+3,	4.165852E-12
1.557990E+3,	0.000000E+0
1.557994E+3,	0.000000E+0
1.557998E+3,	0.000000E+0
1.558002E+3,	838.519214E-15
1.558006E+3,	0.000000E+0
1.558010E+3,	0.000000E+0
1.558014E+3,	0.000000E+0
1.558018E+3,	0.000000E+0
1.558022E+3,	0.000000E+0
1.558026E+3,	0.000000E+0
1.558030E+3,	10.246740E-12
1.558034E+3,	18.547540E-12
1.558038E+3,	17.219654E-12
1.558042E+3,	1.366618E-12
1.558046E+3,	0.000000E+0
1.558050E+3,	15.242986E-12
1.558054E+3,	16.128293E-12
1.558058E+3,	19.715867E-12
1.558062E+3,	3.643620E-12
1.558066E+3,	0.000000E+0
1.558070E+3,	12.021761E-12
1.558074E+3,	0.000000E+0
1.558078E+3,	5.241776E-12
1.558082E+3,	7.665539E-12
1.558086E+3,	10.858299E-12
1.558090E+3,	5.988880E-12
1.558094E+3,	3.002625E-12
1.558098E+3,	5.384948E-12
1.558102E+3,	0.000000E+0
1.558106E+3,	0.000000E+0
1.558110E+3,	0.000000E+0
1.558114E+3,	22.078214E-12
1.558118E+3,	3.123169E-12
1.558122E+3,	0.000000E+0
1.558126E+3,	0.000000E+0
1.558130E+3,	2.327517E-12
1.558134E+3,	4.289933E-12
1.558138E+3,	12.800837E-12
1.558142E+3,	0.000000E+0
1.558146E+3,	0.000000E+0
1.558150E+3,	0.000000E+0
1.558154E+3,	0.000000E+0
1.558158E+3,	151.208786E-15
1.558162E+3,	0.000000E+0
1.558166E+3,	0.000000E+0
1.558170E+3,	11.864357E-12
1.558174E+3,	1.097468E-12
1.558178E+3,	0.000000E+0
1.558182E+3,	4.066449E-12
1.558186E+3,	0.000000E+0
1.558190E+3,	0.000000E+0
1.558194E+3,	0.000000E+0
1.558198E+3,	8.063800E-12
1.558202E+3,	0.000000E+0
1.558206E+3,	0.000000E+0
1.558210E+3,	8.671006E-12
1.558214E+3,	0.000000E+0
1.558218E+3,	0.000000E+0
1.558222E+3,	0.000000E+0
1.558226E+3,	11.114804E-12
1.558230E+3,	0.000000E+0
1.558234E+3,	0.000000E+0
1.558238E+3,	0.000000E+0
1.558242E+3,	9.157031E-15
1.558246E+3,	5.973808E-12
1.558250E+3,	0.000000E+0
1.558254E+3,	0.000000E+0
1.558258E+3,	0.000000E+0
1.558262E+3,	10.600743E-12
1.558266E+3,	3.991086E-12
1.558270E+3,	17.315007E-12
1.558274E+3,	0.000000E+0
1.558278E+3,	0.000000E+0
1.558282E+3,	2.727854E-12
1.558286E+3,	16.790343E-12
1.558290E+3,	8.977078E-12
1.558294E+3,	3.606623E-12
1.558298E+3,	0.000000E+0
1.558302E+3,	0.000000E+0
1.558306E+3,	0.000000E+0
1.558310E+3,	0.000000E+0
1.558314E+3,	0.000000E+0
1.558318E+3,	9.432364E-12
1.558322E+3,	10.323355E-12
1.558326E+3,	0.000000E+0
1.558330E+3,	20.932828E-12
