YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 01/06/2023 Time: 13:39:45,	
A_WL(nm),	A_I(mW)
1.557650E+3,	0.000000E+0
1.557654E+3,	7.667053E-12
1.557658E+3,	0.000000E+0
1.557662E+3,	0.000000E+0
1.557666E+3,	7.600270E-12
1.557670E+3,	13.775006E-12
1.557674E+3,	6.273159E-12
1.557678E+3,	28.834035E-12
1.557682E+3,	13.441897E-12
1.557686E+3,	29.121718E-12
1.557690E+3,	0.000000E+0
1.557694E+3,	9.496400E-12
1.557698E+3,	3.805591E-12
1.557702E+3,	9.136293E-12
1.557706E+3,	10.011329E-12
1.557710E+3,	7.398387E-12
1.557714E+3,	26.484627E-12
1.557718E+3,	12.112445E-12
1.557722E+3,	10.641493E-12
1.557726E+3,	16.630208E-12
1.557730E+3,	32.934865E-12
1.557734E+3,	23.258458E-12
1.557738E+3,	36.212134E-12
1.557742E+3,	16.369474E-12
1.557746E+3,	42.806806E-12
1.557750E+3,	53.217176E-12
1.557754E+3,	39.980693E-12
1.557758E+3,	54.431547E-12
1.557762E+3,	53.113507E-12
1.557766E+3,	50.545216E-12
1.557770E+3,	56.425684E-12
1.557774E+3,	45.011164E-12
1.557778E+3,	35.993305E-12
1.557782E+3,	65.683426E-12
1.557786E+3,	47.667709E-12
1.557790E+3,	73.815388E-12
1.557794E+3,	43.624714E-12
1.557798E+3,	41.261867E-12
1.557802E+3,	53.188054E-12
1.557806E+3,	50.983688E-12
1.557810E+3,	52.951055E-12
1.557814E+3,	48.534392E-12
1.557818E+3,	44.106815E-12
1.557822E+3,	85.157390E-12
1.557826E+3,	73.275261E-12
1.557830E+3,	79.792003E-12
1.557834E+3,	87.514173E-12
1.557838E+3,	107.783570E-12
1.557842E+3,	112.875540E-12
1.557846E+3,	116.350178E-12
1.557850E+3,	107.270266E-12
1.557854E+3,	132.898154E-12
1.557858E+3,	107.116089E-12
1.557862E+3,	118.988469E-12
1.557866E+3,	123.543029E-12
1.557870E+3,	123.662084E-12
1.557874E+3,	113.636459E-12
1.557878E+3,	139.108165E-12
1.557882E+3,	100.762309E-12
1.557886E+3,	124.189721E-12
1.557890E+3,	104.501766E-12
1.557894E+3,	131.731721E-12
1.557898E+3,	136.443948E-12
1.557902E+3,	134.667605E-12
1.557906E+3,	132.104660E-12
1.557910E+3,	146.466587E-12
1.557914E+3,	155.246428E-12
1.557918E+3,	181.636372E-12
1.557922E+3,	207.976935E-12
1.557926E+3,	214.815680E-12
1.557930E+3,	242.808886E-12
1.557934E+3,	258.332449E-12
1.557938E+3,	293.339230E-12
1.557942E+3,	296.735316E-12
1.557946E+3,	316.845680E-12
1.557950E+3,	296.168696E-12
1.557954E+3,	323.494435E-12
1.557958E+3,	327.377359E-12
1.557962E+3,	317.544843E-12
1.557966E+3,	323.883312E-12
1.557970E+3,	310.703047E-12
