YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 05/06/2023 Time: 14:00:29,	
A_WL(nm),	A_I(mW)
1.555350E+3,	3.400479E-12
1.555354E+3,	0.000000E+0
1.555358E+3,	1.497069E-12
1.555362E+3,	9.072714E-12
1.555366E+3,	766.646784E-15
1.555370E+3,	0.000000E+0
1.555374E+3,	0.000000E+0
1.555378E+3,	9.757183E-12
1.555382E+3,	0.000000E+0
1.555386E+3,	0.000000E+0
1.555390E+3,	7.870804E-12
1.555394E+3,	22.484040E-12
1.555398E+3,	0.000000E+0
1.555402E+3,	0.000000E+0
1.555406E+3,	4.235203E-12
1.555410E+3,	0.000000E+0
1.555414E+3,	0.000000E+0
1.555418E+3,	7.885829E-12
1.555422E+3,	7.847199E-12
1.555426E+3,	2.860707E-12
1.555430E+3,	0.000000E+0
1.555434E+3,	0.000000E+0
1.555438E+3,	17.058171E-12
1.555442E+3,	3.821407E-12
1.555446E+3,	0.000000E+0
1.555450E+3,	12.593957E-12
1.555454E+3,	0.000000E+0
1.555458E+3,	3.384134E-12
1.555462E+3,	3.891463E-12
1.555466E+3,	14.487663E-12
1.555470E+3,	0.000000E+0
1.555474E+3,	0.000000E+0
1.555478E+3,	14.240024E-12
1.555482E+3,	0.000000E+0
1.555486E+3,	3.871065E-12
1.555490E+3,	0.000000E+0
1.555494E+3,	0.000000E+0
1.555498E+3,	6.362836E-12
1.555502E+3,	0.000000E+0
1.555506E+3,	14.631353E-12
1.555510E+3,	0.000000E+0
1.555514E+3,	8.955764E-12
1.555518E+3,	0.000000E+0
1.555522E+3,	0.000000E+0
1.555526E+3,	7.309266E-12
1.555530E+3,	0.000000E+0
1.555534E+3,	5.716178E-12
1.555538E+3,	7.920305E-12
1.555542E+3,	0.000000E+0
1.555546E+3,	0.000000E+0
1.555550E+3,	2.138222E-12
1.555554E+3,	18.204176E-12
1.555558E+3,	0.000000E+0
1.555562E+3,	21.625545E-12
1.555566E+3,	0.000000E+0
1.555570E+3,	8.492427E-12
1.555574E+3,	1.599128E-12
1.555578E+3,	11.433001E-12
1.555582E+3,	424.103061E-15
1.555586E+3,	1.474787E-12
1.555590E+3,	6.530709E-12
1.555594E+3,	0.000000E+0
1.555598E+3,	0.000000E+0
1.555602E+3,	0.000000E+0
1.555606E+3,	0.000000E+0
1.555610E+3,	0.000000E+0
1.555614E+3,	0.000000E+0
1.555618E+3,	0.000000E+0
1.555622E+3,	0.000000E+0
1.555626E+3,	3.840604E-12
1.555630E+3,	0.000000E+0
