YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 05/06/2023 Time: 13:55:15,	
A_WL(nm),	A_I(mW)
1.555350E+3,	3.660550E-12
1.555354E+3,	16.288827E-12
1.555358E+3,	0.000000E+0
1.555362E+3,	3.163855E-12
1.555366E+3,	546.941887E-15
1.555370E+3,	0.000000E+0
1.555374E+3,	0.000000E+0
1.555378E+3,	0.000000E+0
1.555382E+3,	0.000000E+0
1.555386E+3,	28.195562E-12
1.555390E+3,	0.000000E+0
1.555394E+3,	11.947672E-12
1.555398E+3,	7.163156E-12
1.555402E+3,	7.351750E-12
1.555406E+3,	0.000000E+0
1.555410E+3,	8.191079E-12
1.555414E+3,	35.599653E-12
1.555418E+3,	0.000000E+0
1.555422E+3,	0.000000E+0
1.555426E+3,	7.501296E-12
1.555430E+3,	8.473372E-12
1.555434E+3,	10.086140E-12
1.555438E+3,	22.480946E-12
1.555442E+3,	0.000000E+0
1.555446E+3,	0.000000E+0
1.555450E+3,	0.000000E+0
1.555454E+3,	0.000000E+0
1.555458E+3,	0.000000E+0
1.555462E+3,	0.000000E+0
1.555466E+3,	0.000000E+0
1.555470E+3,	0.000000E+0
1.555474E+3,	0.000000E+0
1.555478E+3,	6.566416E-12
1.555482E+3,	5.787715E-12
1.555486E+3,	4.081266E-12
1.555490E+3,	9.260647E-12
1.555494E+3,	14.576011E-12
1.555498E+3,	0.000000E+0
1.555502E+3,	0.000000E+0
1.555506E+3,	0.000000E+0
1.555510E+3,	0.000000E+0
1.555514E+3,	0.000000E+0
1.555518E+3,	5.129542E-12
1.555522E+3,	0.000000E+0
1.555526E+3,	0.000000E+0
1.555530E+3,	9.150562E-12
1.555534E+3,	0.000000E+0
1.555538E+3,	0.000000E+0
1.555542E+3,	27.269654E-12
1.555546E+3,	0.000000E+0
1.555550E+3,	0.000000E+0
1.555554E+3,	2.009652E-12
1.555558E+3,	0.000000E+0
1.555562E+3,	0.000000E+0
1.555566E+3,	0.000000E+0
1.555570E+3,	13.540877E-12
1.555574E+3,	0.000000E+0
1.555578E+3,	772.230060E-15
1.555582E+3,	3.209770E-12
1.555586E+3,	3.475484E-12
1.555590E+3,	11.269126E-12
1.555594E+3,	0.000000E+0
1.555598E+3,	2.545376E-12
1.555602E+3,	21.185980E-12
1.555606E+3,	0.000000E+0
1.555610E+3,	0.000000E+0
1.555614E+3,	0.000000E+0
1.555618E+3,	9.213033E-12
1.555622E+3,	3.560996E-12
1.555626E+3,	4.435514E-12
1.555630E+3,	0.000000E+0
1.555634E+3,	10.300153E-12
1.555638E+3,	0.000000E+0
1.555642E+3,	1.509113E-12
1.555646E+3,	5.107475E-12
1.555650E+3,	18.088275E-12
1.555654E+3,	6.747415E-12
1.555658E+3,	9.232774E-12
1.555662E+3,	0.000000E+0
1.555666E+3,	0.000000E+0
1.555670E+3,	1.822590E-12
1.555674E+3,	0.000000E+0
1.555678E+3,	4.591398E-12
1.555682E+3,	8.859481E-12
1.555686E+3,	0.000000E+0
1.555690E+3,	7.380356E-12
1.555694E+3,	2.450595E-12
1.555698E+3,	6.932951E-12
1.555702E+3,	7.038487E-12
