YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 05/06/2023 Time: 13:55:43,	
A_WL(nm),	A_I(mW)
1.555350E+3,	12.796976E-12
1.555354E+3,	15.098206E-12
1.555358E+3,	3.671348E-12
1.555362E+3,	0.000000E+0
1.555366E+3,	4.316836E-12
1.555370E+3,	8.876029E-12
1.555374E+3,	0.000000E+0
1.555378E+3,	4.989504E-12
1.555382E+3,	0.000000E+0
1.555386E+3,	11.294913E-12
1.555390E+3,	0.000000E+0
1.555394E+3,	10.092890E-12
1.555398E+3,	10.242405E-12
1.555402E+3,	5.126577E-12
1.555406E+3,	6.430729E-12
1.555410E+3,	25.350845E-12
1.555414E+3,	0.000000E+0
1.555418E+3,	0.000000E+0
1.555422E+3,	0.000000E+0
1.555426E+3,	0.000000E+0
1.555430E+3,	1.122183E-12
1.555434E+3,	0.000000E+0
1.555438E+3,	9.053281E-12
1.555442E+3,	0.000000E+0
1.555446E+3,	0.000000E+0
1.555450E+3,	0.000000E+0
1.555454E+3,	0.000000E+0
1.555458E+3,	5.814331E-12
1.555462E+3,	18.102035E-12
1.555466E+3,	20.604901E-12
1.555470E+3,	3.422310E-12
1.555474E+3,	0.000000E+0
1.555478E+3,	1.987654E-12
1.555482E+3,	3.339645E-12
1.555486E+3,	14.117637E-12
1.555490E+3,	0.000000E+0
1.555494E+3,	14.199226E-12
1.555498E+3,	0.000000E+0
1.555502E+3,	25.973347E-12
1.555506E+3,	9.020625E-12
1.555510E+3,	0.000000E+0
1.555514E+3,	0.000000E+0
1.555518E+3,	6.770833E-12
1.555522E+3,	0.000000E+0
1.555526E+3,	0.000000E+0
1.555530E+3,	0.000000E+0
1.555534E+3,	6.945660E-12
1.555538E+3,	5.131302E-12
1.555542E+3,	9.154054E-12
1.555546E+3,	0.000000E+0
1.555550E+3,	11.158272E-12
1.555554E+3,	0.000000E+0
1.555558E+3,	1.422265E-12
1.555562E+3,	18.893544E-12
1.555566E+3,	12.244663E-12
1.555570E+3,	0.000000E+0
1.555574E+3,	8.003185E-12
1.555578E+3,	0.000000E+0
1.555582E+3,	1.267801E-12
1.555586E+3,	0.000000E+0
1.555590E+3,	0.000000E+0
1.555594E+3,	0.000000E+0
1.555598E+3,	9.609525E-12
1.555602E+3,	1.923852E-12
1.555606E+3,	0.000000E+0
1.555610E+3,	16.349262E-12
1.555614E+3,	0.000000E+0
1.555618E+3,	13.681475E-12
1.555622E+3,	0.000000E+0
1.555626E+3,	14.117035E-12
1.555630E+3,	6.061373E-12
1.555634E+3,	0.000000E+0
1.555638E+3,	7.205965E-12
1.555642E+3,	0.000000E+0
1.555646E+3,	0.000000E+0
1.555650E+3,	0.000000E+0
1.555654E+3,	11.757315E-12
1.555658E+3,	9.808555E-12
1.555662E+3,	0.000000E+0
1.555666E+3,	0.000000E+0
1.555670E+3,	0.000000E+0
