YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 05/06/2023 Time: 14:00:59,	
A_WL(nm),	A_I(mW)
1.555350E+3,	19.858359E-12
1.555354E+3,	0.000000E+0
1.555358E+3,	0.000000E+0
1.555362E+3,	0.000000E+0
1.555366E+3,	17.209632E-12
1.555370E+3,	15.154261E-12
1.555374E+3,	0.000000E+0
1.555378E+3,	0.000000E+0
1.555382E+3,	0.000000E+0
1.555386E+3,	3.494687E-12
1.555390E+3,	3.078421E-12
1.555394E+3,	2.598394E-12
1.555398E+3,	12.354322E-12
1.555402E+3,	0.000000E+0
1.555406E+3,	0.000000E+0
1.555410E+3,	10.429303E-12
1.555414E+3,	0.000000E+0
1.555418E+3,	18.460697E-12
1.555422E+3,	5.887751E-12
1.555426E+3,	8.954892E-12
1.555430E+3,	15.834219E-12
1.555434E+3,	14.060006E-12
1.555438E+3,	0.000000E+0
1.555442E+3,	0.000000E+0
1.555446E+3,	0.000000E+0
1.555450E+3,	0.000000E+0
1.555454E+3,	0.000000E+0
1.555458E+3,	0.000000E+0
1.555462E+3,	0.000000E+0
1.555466E+3,	0.000000E+0
1.555470E+3,	524.101761E-15
1.555474E+3,	2.046779E-12
1.555478E+3,	11.411509E-12
1.555482E+3,	576.258933E-15
1.555486E+3,	0.000000E+0
1.555490E+3,	0.000000E+0
1.555494E+3,	2.925959E-12
1.555498E+3,	0.000000E+0
1.555502E+3,	1.169048E-12
1.555506E+3,	4.017175E-12
1.555510E+3,	0.000000E+0
1.555514E+3,	0.000000E+0
1.555518E+3,	0.000000E+0
1.555522E+3,	0.000000E+0
1.555526E+3,	0.000000E+0
1.555530E+3,	0.000000E+0
1.555534E+3,	0.000000E+0
1.555538E+3,	7.702626E-12
1.555542E+3,	0.000000E+0
1.555546E+3,	0.000000E+0
1.555550E+3,	0.000000E+0
1.555554E+3,	0.000000E+0
1.555558E+3,	0.000000E+0
1.555562E+3,	0.000000E+0
1.555566E+3,	5.702707E-12
1.555570E+3,	0.000000E+0
1.555574E+3,	0.000000E+0
1.555578E+3,	0.000000E+0
1.555582E+3,	0.000000E+0
1.555586E+3,	20.075532E-12
1.555590E+3,	0.000000E+0
1.555594E+3,	544.801001E-15
1.555598E+3,	0.000000E+0
1.555602E+3,	5.819688E-12
1.555606E+3,	879.972253E-15
1.555610E+3,	0.000000E+0
1.555614E+3,	33.106045E-12
1.555618E+3,	11.735083E-12
1.555622E+3,	0.000000E+0
1.555626E+3,	0.000000E+0
1.555630E+3,	25.824782E-12
1.555634E+3,	0.000000E+0
1.555638E+3,	6.663219E-12
1.555642E+3,	0.000000E+0
1.555646E+3,	0.000000E+0
1.555650E+3,	0.000000E+0
1.555654E+3,	0.000000E+0
1.555658E+3,	1.232749E-12
1.555662E+3,	11.052051E-12
1.555666E+3,	17.011845E-12
1.555670E+3,	0.000000E+0
1.555674E+3,	0.000000E+0
1.555678E+3,	4.905105E-12
1.555682E+3,	0.000000E+0
1.555686E+3,	27.359684E-12
1.555690E+3,	9.753773E-12
1.555694E+3,	408.410490E-15
1.555698E+3,	0.000000E+0
1.555702E+3,	0.000000E+0
1.555706E+3,	0.000000E+0
1.555710E+3,	23.049766E-12
1.555714E+3,	12.619698E-12
1.555718E+3,	3.123052E-12
1.555722E+3,	3.368689E-12
1.555726E+3,	0.000000E+0
1.555730E+3,	20.065355E-12
1.555734E+3,	0.000000E+0
1.555738E+3,	0.000000E+0
1.555742E+3,	0.000000E+0
1.555746E+3,	0.000000E+0
1.555750E+3,	0.000000E+0
1.555754E+3,	0.000000E+0
1.555758E+3,	16.185521E-12
1.555762E+3,	1.092154E-12
1.555766E+3,	23.316725E-12
1.555770E+3,	0.000000E+0
1.555774E+3,	0.000000E+0
1.555778E+3,	0.000000E+0
1.555782E+3,	0.000000E+0
1.555786E+3,	0.000000E+0
1.555790E+3,	43.127970E-15
1.555794E+3,	0.000000E+0
1.555798E+3,	11.092807E-12
1.555802E+3,	15.945667E-12
1.555806E+3,	34.082996E-12
1.555810E+3,	13.665681E-12
1.555814E+3,	0.000000E+0
1.555818E+3,	0.000000E+0
1.555822E+3,	0.000000E+0
1.555826E+3,	5.855346E-12
1.555830E+3,	0.000000E+0
1.555834E+3,	0.000000E+0
1.555838E+3,	0.000000E+0
1.555842E+3,	8.209211E-12
1.555846E+3,	0.000000E+0
1.555850E+3,	601.977256E-15
1.555854E+3,	0.000000E+0
1.555858E+3,	0.000000E+0
1.555862E+3,	0.000000E+0
1.555866E+3,	0.000000E+0
1.555870E+3,	11.801365E-12
1.555874E+3,	0.000000E+0
1.555878E+3,	0.000000E+0
1.555882E+3,	3.696835E-12
1.555886E+3,	14.808548E-12
1.555890E+3,	13.478600E-12
1.555894E+3,	3.083344E-12
1.555898E+3,	0.000000E+0
1.555902E+3,	0.000000E+0
1.555906E+3,	7.687182E-12
1.555910E+3,	21.166939E-12
1.555914E+3,	0.000000E+0
1.555918E+3,	1.013047E-12
1.555922E+3,	0.000000E+0
1.555926E+3,	14.129427E-12
