YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 05/06/2023 Time: 11:41:34,	
A_WL(nm),	A_I(mW)
1.557750E+3,	8.839354E-12
1.557754E+3,	12.644799E-12
1.557758E+3,	20.076603E-12
1.557762E+3,	16.654743E-12
1.557766E+3,	0.000000E+0
1.557770E+3,	0.000000E+0
1.557774E+3,	0.000000E+0
1.557778E+3,	6.411935E-12
1.557782E+3,	0.000000E+0
1.557786E+3,	16.490912E-12
1.557790E+3,	0.000000E+0
1.557794E+3,	0.000000E+0
1.557798E+3,	0.000000E+0
1.557802E+3,	5.864736E-12
1.557806E+3,	0.000000E+0
1.557810E+3,	0.000000E+0
1.557814E+3,	0.000000E+0
1.557818E+3,	11.516957E-12
1.557822E+3,	10.914051E-12
1.557826E+3,	4.178982E-12
1.557830E+3,	0.000000E+0
1.557834E+3,	6.569212E-12
1.557838E+3,	3.843634E-12
1.557842E+3,	23.313244E-12
1.557846E+3,	11.799567E-12
1.557850E+3,	0.000000E+0
1.557854E+3,	0.000000E+0
1.557858E+3,	0.000000E+0
1.557862E+3,	8.768226E-12
1.557866E+3,	938.951030E-15
1.557870E+3,	8.440917E-12
1.557874E+3,	4.641154E-12
1.557878E+3,	0.000000E+0
1.557882E+3,	0.000000E+0
1.557886E+3,	0.000000E+0
1.557890E+3,	7.599831E-12
1.557894E+3,	0.000000E+0
1.557898E+3,	2.037556E-12
1.557902E+3,	0.000000E+0
1.557906E+3,	13.369852E-12
1.557910E+3,	0.000000E+0
1.557914E+3,	0.000000E+0
1.557918E+3,	9.163973E-12
1.557922E+3,	6.051107E-12
1.557926E+3,	0.000000E+0
1.557930E+3,	3.719382E-12
1.557934E+3,	11.067326E-12
1.557938E+3,	32.483270E-12
1.557942E+3,	25.389589E-12
1.557946E+3,	6.864874E-12
1.557950E+3,	431.946267E-15
1.557954E+3,	3.252325E-12
1.557958E+3,	9.483246E-12
1.557962E+3,	0.000000E+0
1.557966E+3,	0.000000E+0
1.557970E+3,	0.000000E+0
1.557974E+3,	12.335244E-12
1.557978E+3,	0.000000E+0
1.557982E+3,	0.000000E+0
1.557986E+3,	0.000000E+0
1.557990E+3,	0.000000E+0
1.557994E+3,	1.062546E-12
1.557998E+3,	0.000000E+0
1.558002E+3,	4.192295E-12
1.558006E+3,	2.227782E-12
1.558010E+3,	13.014341E-12
1.558014E+3,	0.000000E+0
1.558018E+3,	4.530838E-12
1.558022E+3,	0.000000E+0
1.558026E+3,	0.000000E+0
1.558030E+3,	0.000000E+0
1.558034E+3,	4.956949E-12
1.558038E+3,	4.015163E-12
1.558042E+3,	5.906493E-12
1.558046E+3,	7.932416E-12
1.558050E+3,	0.000000E+0
1.558054E+3,	0.000000E+0
1.558058E+3,	0.000000E+0
1.558062E+3,	0.000000E+0
1.558066E+3,	3.611135E-12
1.558070E+3,	0.000000E+0
1.558074E+3,	8.770856E-12
1.558078E+3,	0.000000E+0
1.558082E+3,	20.172780E-12
1.558086E+3,	0.000000E+0
1.558090E+3,	3.367152E-12
1.558094E+3,	14.211375E-12
1.558098E+3,	0.000000E+0
1.558102E+3,	0.000000E+0
1.558106E+3,	0.000000E+0
1.558110E+3,	0.000000E+0
1.558114E+3,	0.000000E+0
1.558118E+3,	3.254573E-12
