YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 05/06/2023 Time: 11:41:20,	
A_WL(nm),	A_I(mW)
1.557750E+3,	2.136483E-12
1.557754E+3,	0.000000E+0
1.557758E+3,	0.000000E+0
1.557762E+3,	5.271659E-12
1.557766E+3,	9.886376E-12
1.557770E+3,	0.000000E+0
1.557774E+3,	10.198103E-12
1.557778E+3,	0.000000E+0
1.557782E+3,	14.476667E-12
1.557786E+3,	0.000000E+0
1.557790E+3,	2.804206E-15
1.557794E+3,	0.000000E+0
1.557798E+3,	0.000000E+0
1.557802E+3,	4.828492E-12
1.557806E+3,	0.000000E+0
1.557810E+3,	0.000000E+0
1.557814E+3,	180.778097E-15
1.557818E+3,	0.000000E+0
1.557822E+3,	5.131657E-12
1.557826E+3,	4.464567E-12
1.557830E+3,	3.358915E-12
1.557834E+3,	0.000000E+0
1.557838E+3,	0.000000E+0
1.557842E+3,	0.000000E+0
1.557846E+3,	0.000000E+0
1.557850E+3,	0.000000E+0
1.557854E+3,	11.868738E-12
1.557858E+3,	0.000000E+0
1.557862E+3,	0.000000E+0
1.557866E+3,	0.000000E+0
1.557870E+3,	10.678523E-12
1.557874E+3,	8.146339E-12
1.557878E+3,	0.000000E+0
1.557882E+3,	0.000000E+0
1.557886E+3,	10.503612E-12
1.557890E+3,	0.000000E+0
1.557894E+3,	0.000000E+0
1.557898E+3,	0.000000E+0
1.557902E+3,	890.982155E-15
1.557906E+3,	0.000000E+0
1.557910E+3,	0.000000E+0
1.557914E+3,	3.935693E-12
1.557918E+3,	0.000000E+0
1.557922E+3,	0.000000E+0
1.557926E+3,	1.632883E-12
1.557930E+3,	0.000000E+0
1.557934E+3,	2.203487E-12
1.557938E+3,	0.000000E+0
1.557942E+3,	11.915353E-12
1.557946E+3,	0.000000E+0
1.557950E+3,	0.000000E+0
1.557954E+3,	12.252427E-12
1.557958E+3,	0.000000E+0
1.557962E+3,	0.000000E+0
1.557966E+3,	8.538101E-12
1.557970E+3,	11.484563E-12
1.557974E+3,	0.000000E+0
1.557978E+3,	18.924939E-12
1.557982E+3,	0.000000E+0
1.557986E+3,	0.000000E+0
1.557990E+3,	0.000000E+0
1.557994E+3,	0.000000E+0
1.557998E+3,	10.585742E-12
1.558002E+3,	5.195412E-12
1.558006E+3,	8.657148E-12
1.558010E+3,	13.895303E-12
1.558014E+3,	1.513218E-12
1.558018E+3,	5.572697E-12
1.558022E+3,	0.000000E+0
1.558026E+3,	6.792619E-12
1.558030E+3,	9.426408E-12
1.558034E+3,	1.186197E-12
1.558038E+3,	0.000000E+0
1.558042E+3,	10.374834E-12
1.558046E+3,	226.368110E-15
1.558050E+3,	4.420023E-12
1.558054E+3,	1.773421E-12
1.558058E+3,	684.000936E-15
1.558062E+3,	0.000000E+0
1.558066E+3,	7.208070E-12
1.558070E+3,	0.000000E+0
