YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 15/06/2023 Time: 11:17:48,	
A_WL(nm),	A_I(mW)
1.555200E+3,	4.505952E-12
1.555204E+3,	0.000000E+0
1.555208E+3,	19.631521E-12
1.555212E+3,	0.000000E+0
1.555216E+3,	0.000000E+0
1.555220E+3,	1.898874E-12
1.555224E+3,	0.000000E+0
1.555228E+3,	15.657670E-12
1.555232E+3,	21.871679E-12
1.555236E+3,	106.746222E-15
1.555240E+3,	0.000000E+0
1.555244E+3,	0.000000E+0
1.555248E+3,	27.118546E-12
1.555252E+3,	20.744585E-12
1.555256E+3,	17.936859E-12
1.555260E+3,	0.000000E+0
1.555264E+3,	5.578740E-12
1.555268E+3,	7.387006E-12
1.555272E+3,	13.772933E-12
1.555276E+3,	0.000000E+0
1.555280E+3,	366.302899E-15
1.555284E+3,	0.000000E+0
1.555288E+3,	0.000000E+0
1.555292E+3,	6.899719E-12
1.555296E+3,	0.000000E+0
1.555300E+3,	0.000000E+0
1.555304E+3,	8.714745E-12
1.555308E+3,	0.000000E+0
1.555312E+3,	0.000000E+0
1.555316E+3,	3.411374E-12
1.555320E+3,	0.000000E+0
1.555324E+3,	0.000000E+0
1.555328E+3,	12.210083E-12
1.555332E+3,	15.668490E-12
1.555336E+3,	16.981408E-12
1.555340E+3,	0.000000E+0
1.555344E+3,	6.818611E-12
1.555348E+3,	1.319416E-12
1.555352E+3,	3.084320E-12
1.555356E+3,	6.550291E-12
1.555360E+3,	0.000000E+0
1.555364E+3,	0.000000E+0
1.555368E+3,	8.438481E-12
1.555372E+3,	0.000000E+0
1.555376E+3,	3.150567E-12
1.555380E+3,	0.000000E+0
1.555384E+3,	0.000000E+0
1.555388E+3,	9.225385E-12
1.555392E+3,	0.000000E+0
1.555396E+3,	0.000000E+0
1.555400E+3,	0.000000E+0
1.555404E+3,	0.000000E+0
1.555408E+3,	0.000000E+0
1.555412E+3,	0.000000E+0
1.555416E+3,	0.000000E+0
1.555420E+3,	2.067301E-12
1.555424E+3,	0.000000E+0
1.555428E+3,	248.573184E-15
1.555432E+3,	20.238165E-12
1.555436E+3,	0.000000E+0
1.555440E+3,	0.000000E+0
1.555444E+3,	11.582930E-12
1.555448E+3,	0.000000E+0
1.555452E+3,	0.000000E+0
1.555456E+3,	1.435485E-12
1.555460E+3,	0.000000E+0
1.555464E+3,	0.000000E+0
1.555468E+3,	10.314124E-12
1.555472E+3,	10.796876E-12
1.555476E+3,	0.000000E+0
1.555480E+3,	0.000000E+0
1.555484E+3,	0.000000E+0
1.555488E+3,	0.000000E+0
1.555492E+3,	0.000000E+0
1.555496E+3,	0.000000E+0
1.555500E+3,	0.000000E+0
1.555504E+3,	7.146930E-12
1.555508E+3,	0.000000E+0
1.555512E+3,	6.164562E-12
1.555516E+3,	0.000000E+0
1.555520E+3,	36.582588E-12
1.555524E+3,	591.237525E-15
1.555528E+3,	0.000000E+0
1.555532E+3,	0.000000E+0
1.555536E+3,	0.000000E+0
1.555540E+3,	4.893922E-12
1.555544E+3,	0.000000E+0
1.555548E+3,	12.630635E-12
1.555552E+3,	13.760916E-12
1.555556E+3,	0.000000E+0
1.555560E+3,	6.824018E-12
1.555564E+3,	0.000000E+0
1.555568E+3,	10.449823E-12
1.555572E+3,	12.218389E-12
1.555576E+3,	2.374562E-12
1.555580E+3,	11.451793E-12
1.555584E+3,	0.000000E+0
1.555588E+3,	0.000000E+0
1.555592E+3,	3.794052E-12
1.555596E+3,	3.979023E-12
1.555600E+3,	0.000000E+0
1.555604E+3,	6.368119E-12
1.555608E+3,	12.092721E-12
1.555612E+3,	0.000000E+0
1.555616E+3,	0.000000E+0
1.555620E+3,	10.888492E-12
1.555624E+3,	8.333892E-12
1.555628E+3,	1.153106E-12
1.555632E+3,	14.908891E-12
1.555636E+3,	0.000000E+0
1.555640E+3,	5.118792E-12
1.555644E+3,	0.000000E+0
1.555648E+3,	0.000000E+0
1.555652E+3,	20.158756E-12
1.555656E+3,	9.521062E-12
1.555660E+3,	19.648398E-12
1.555664E+3,	0.000000E+0
1.555668E+3,	0.000000E+0
1.555672E+3,	2.257832E-12
1.555676E+3,	9.938592E-12
1.555680E+3,	0.000000E+0
1.555684E+3,	0.000000E+0
1.555688E+3,	0.000000E+0
1.555692E+3,	13.736149E-12
1.555696E+3,	0.000000E+0
1.555700E+3,	0.000000E+0
1.555704E+3,	0.000000E+0
1.555708E+3,	3.512858E-12
1.555712E+3,	0.000000E+0
1.555716E+3,	3.454244E-12
1.555720E+3,	7.371695E-12
1.555724E+3,	0.000000E+0
1.555728E+3,	13.709741E-12
1.555732E+3,	32.280311E-12
1.555736E+3,	2.577254E-12
1.555740E+3,	7.994836E-12
1.555744E+3,	9.191295E-12
1.555748E+3,	22.672704E-12
1.555752E+3,	0.000000E+0
1.555756E+3,	0.000000E+0
1.555760E+3,	6.140984E-12
1.555764E+3,	0.000000E+0
