YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 15/06/2023 Time: 11:07:50,	
A_WL(nm),	A_I(mW)
1.555200E+3,	0.000000E+0
1.555204E+3,	0.000000E+0
1.555208E+3,	0.000000E+0
1.555212E+3,	0.000000E+0
1.555216E+3,	0.000000E+0
1.555220E+3,	0.000000E+0
1.555224E+3,	0.000000E+0
1.555228E+3,	0.000000E+0
1.555232E+3,	0.000000E+0
1.555236E+3,	0.000000E+0
1.555240E+3,	4.255746E-12
1.555244E+3,	0.000000E+0
1.555248E+3,	1.229208E-12
1.555252E+3,	3.344093E-12
1.555256E+3,	1.752033E-12
1.555260E+3,	1.052670E-12
1.555264E+3,	0.000000E+0
1.555268E+3,	15.186354E-12
1.555272E+3,	0.000000E+0
1.555276E+3,	0.000000E+0
1.555280E+3,	0.000000E+0
1.555284E+3,	4.796723E-12
1.555288E+3,	15.423714E-12
1.555292E+3,	9.406450E-12
1.555296E+3,	20.071238E-12
1.555300E+3,	0.000000E+0
1.555304E+3,	0.000000E+0
1.555308E+3,	441.677802E-15
1.555312E+3,	15.852010E-12
1.555316E+3,	0.000000E+0
1.555320E+3,	0.000000E+0
1.555324E+3,	3.864766E-12
1.555328E+3,	0.000000E+0
1.555332E+3,	0.000000E+0
1.555336E+3,	3.349208E-12
1.555340E+3,	0.000000E+0
1.555344E+3,	0.000000E+0
1.555348E+3,	6.947732E-12
1.555352E+3,	5.578618E-12
1.555356E+3,	8.704141E-12
1.555360E+3,	4.492658E-12
1.555364E+3,	9.395494E-12
1.555368E+3,	13.419608E-12
1.555372E+3,	6.910362E-12
1.555376E+3,	0.000000E+0
1.555380E+3,	0.000000E+0
1.555384E+3,	0.000000E+0
1.555388E+3,	1.510683E-12
1.555392E+3,	4.786224E-12
1.555396E+3,	0.000000E+0
1.555400E+3,	0.000000E+0
1.555404E+3,	9.696691E-12
1.555408E+3,	538.828769E-15
1.555412E+3,	0.000000E+0
1.555416E+3,	19.542130E-12
1.555420E+3,	0.000000E+0
1.555424E+3,	0.000000E+0
1.555428E+3,	12.691635E-12
1.555432E+3,	2.497868E-12
1.555436E+3,	10.727083E-12
1.555440E+3,	6.274556E-12
1.555444E+3,	19.404953E-12
1.555448E+3,	7.679989E-12
1.555452E+3,	0.000000E+0
1.555456E+3,	0.000000E+0
1.555460E+3,	0.000000E+0
1.555464E+3,	1.174813E-12
1.555468E+3,	7.588269E-12
1.555472E+3,	0.000000E+0
1.555476E+3,	0.000000E+0
1.555480E+3,	6.298099E-12
1.555484E+3,	13.048120E-12
1.555488E+3,	0.000000E+0
1.555492E+3,	5.861537E-12
1.555496E+3,	0.000000E+0
1.555500E+3,	5.978207E-12
1.555504E+3,	8.759411E-12
1.555508E+3,	0.000000E+0
1.555512E+3,	0.000000E+0
1.555516E+3,	0.000000E+0
1.555520E+3,	3.874467E-12
1.555524E+3,	14.977477E-12
1.555528E+3,	0.000000E+0
1.555532E+3,	1.897678E-12
1.555536E+3,	18.614957E-12
1.555540E+3,	0.000000E+0
1.555544E+3,	5.653067E-12
1.555548E+3,	0.000000E+0
1.555552E+3,	0.000000E+0
1.555556E+3,	0.000000E+0
1.555560E+3,	1.367523E-12
1.555564E+3,	16.653702E-12
1.555568E+3,	0.000000E+0
1.555572E+3,	2.507364E-12
1.555576E+3,	7.976539E-12
1.555580E+3,	9.212511E-12
1.555584E+3,	16.779824E-12
1.555588E+3,	3.346106E-12
1.555592E+3,	2.878330E-12
1.555596E+3,	0.000000E+0
1.555600E+3,	0.000000E+0
1.555604E+3,	0.000000E+0
1.555608E+3,	0.000000E+0
1.555612E+3,	11.940478E-12
1.555616E+3,	16.223040E-12
1.555620E+3,	0.000000E+0
1.555624E+3,	0.000000E+0
1.555628E+3,	1.812218E-12
1.555632E+3,	3.269574E-12
1.555636E+3,	0.000000E+0
1.555640E+3,	9.356475E-12
1.555644E+3,	0.000000E+0
1.555648E+3,	0.000000E+0
1.555652E+3,	8.978862E-12
1.555656E+3,	9.287692E-12
1.555660E+3,	0.000000E+0
1.555664E+3,	0.000000E+0
1.555668E+3,	6.592060E-12
1.555672E+3,	21.944413E-12
1.555676E+3,	0.000000E+0
1.555680E+3,	0.000000E+0
1.555684E+3,	15.675693E-12
1.555688E+3,	0.000000E+0
1.555692E+3,	13.890018E-12
1.555696E+3,	11.677180E-12
1.555700E+3,	1.816009E-12
1.555704E+3,	3.974450E-12
1.555708E+3,	14.822810E-12
1.555712E+3,	3.660813E-12
1.555716E+3,	165.343298E-15
1.555720E+3,	3.367918E-12
1.555724E+3,	0.000000E+0
1.555728E+3,	0.000000E+0
1.555732E+3,	10.346238E-12
1.555736E+3,	4.585256E-12
1.555740E+3,	11.707111E-12
1.555744E+3,	5.719796E-12
1.555748E+3,	11.271254E-12
1.555752E+3,	0.000000E+0
1.555756E+3,	3.481089E-12
1.555760E+3,	3.449539E-12
1.555764E+3,	3.585340E-12
1.555768E+3,	0.000000E+0
1.555772E+3,	0.000000E+0
1.555776E+3,	0.000000E+0
1.555780E+3,	4.155462E-12
1.555784E+3,	0.000000E+0
1.555788E+3,	6.975212E-12
1.555792E+3,	0.000000E+0
1.555796E+3,	0.000000E+0
1.555800E+3,	5.703066E-12
1.555804E+3,	18.242631E-12
1.555808E+3,	0.000000E+0
1.555812E+3,	0.000000E+0
1.555816E+3,	0.000000E+0
1.555820E+3,	0.000000E+0
1.555824E+3,	0.000000E+0
1.555828E+3,	0.000000E+0
1.555832E+3,	7.980587E-12
1.555836E+3,	0.000000E+0
1.555840E+3,	2.227031E-12
1.555844E+3,	0.000000E+0
1.555848E+3,	207.909141E-15
1.555852E+3,	0.000000E+0
1.555856E+3,	594.913379E-15
1.555860E+3,	11.660682E-12
1.555864E+3,	2.172779E-12
1.555868E+3,	2.752418E-12
1.555872E+3,	11.063510E-12
1.555876E+3,	0.000000E+0
1.555880E+3,	0.000000E+0
1.555884E+3,	0.000000E+0
1.555888E+3,	0.000000E+0
1.555892E+3,	0.000000E+0
1.555896E+3,	4.839693E-12
1.555900E+3,	0.000000E+0
1.555904E+3,	24.102321E-12
1.555908E+3,	19.249967E-12
1.555912E+3,	2.321805E-12
1.555916E+3,	0.000000E+0
1.555920E+3,	0.000000E+0
1.555924E+3,	0.000000E+0
1.555928E+3,	9.034255E-12
1.555932E+3,	0.000000E+0
1.555936E+3,	0.000000E+0
1.555940E+3,	7.834264E-12
1.555944E+3,	709.480626E-15
1.555948E+3,	10.141126E-12
1.555952E+3,	0.000000E+0
1.555956E+3,	0.000000E+0
1.555960E+3,	0.000000E+0
1.555964E+3,	19.320449E-12
1.555968E+3,	0.000000E+0
1.555972E+3,	0.000000E+0
1.555976E+3,	10.008291E-12
1.555980E+3,	12.935768E-12
1.555984E+3,	9.238508E-12
1.555988E+3,	4.630169E-12
1.555992E+3,	0.000000E+0
1.555996E+3,	5.184039E-12
1.556000E+3,	0.000000E+0
1.556004E+3,	0.000000E+0
1.556008E+3,	4.590948E-12
1.556012E+3,	16.841951E-12
1.556016E+3,	1.535018E-12
1.556020E+3,	8.400628E-12
1.556024E+3,	15.177560E-12
1.556028E+3,	0.000000E+0
1.556032E+3,	6.693604E-12
1.556036E+3,	0.000000E+0
1.556040E+3,	0.000000E+0
1.556044E+3,	0.000000E+0
1.556048E+3,	125.713033E-15
1.556052E+3,	14.758039E-12
1.556056E+3,	29.217438E-12
1.556060E+3,	5.081544E-12
1.556064E+3,	0.000000E+0
1.556068E+3,	0.000000E+0
1.556072E+3,	8.906195E-12
1.556076E+3,	6.978220E-12
1.556080E+3,	14.541315E-12
1.556084E+3,	15.119653E-12
1.556088E+3,	0.000000E+0
1.556092E+3,	0.000000E+0
1.556096E+3,	9.217893E-12
1.556100E+3,	0.000000E+0
1.556104E+3,	17.221084E-12
1.556108E+3,	9.836695E-12
1.556112E+3,	798.504398E-15
1.556116E+3,	14.072883E-12
1.556120E+3,	8.402562E-12
1.556124E+3,	0.000000E+0
1.556128E+3,	0.000000E+0
1.556132E+3,	11.404613E-12
1.556136E+3,	16.340548E-12
1.556140E+3,	35.064866E-12
1.556144E+3,	17.703120E-12
1.556148E+3,	37.705710E-12
1.556152E+3,	36.198626E-12
1.556156E+3,	27.714178E-12
1.556160E+3,	10.259480E-12
1.556164E+3,	9.962169E-12
1.556168E+3,	31.208273E-12
1.556172E+3,	28.892283E-12
1.556176E+3,	25.622936E-12
1.556180E+3,	5.758331E-12
1.556184E+3,	18.187294E-12
1.556188E+3,	20.192236E-12
1.556192E+3,	953.943096E-15
1.556196E+3,	22.998801E-12
1.556200E+3,	2.476289E-12
1.556204E+3,	24.980816E-12
1.556208E+3,	55.898422E-12
1.556212E+3,	76.631571E-12
1.556216E+3,	87.350931E-12
1.556220E+3,	85.856474E-12
1.556224E+3,	90.475268E-12
1.556228E+3,	104.185230E-12
1.556232E+3,	87.015375E-12
1.556236E+3,	105.115355E-12
1.556240E+3,	67.836874E-12
1.556244E+3,	67.311274E-12
1.556248E+3,	63.090656E-12
1.556252E+3,	58.882886E-12
1.556256E+3,	40.073886E-12
1.556260E+3,	37.222323E-12
1.556264E+3,	10.404111E-12
1.556268E+3,	4.807210E-12
1.556272E+3,	40.935669E-12
1.556276E+3,	33.593781E-12
1.556280E+3,	18.730736E-12
1.556284E+3,	51.449388E-12
1.556288E+3,	86.069072E-12
1.556292E+3,	115.919454E-12
1.556296E+3,	103.567920E-12
1.556300E+3,	129.932872E-12
1.556304E+3,	147.612166E-12
1.556308E+3,	140.152416E-12
1.556312E+3,	134.588164E-12
1.556316E+3,	129.539468E-12
1.556320E+3,	127.377639E-12
1.556324E+3,	74.555447E-12
1.556328E+3,	81.237171E-12
1.556332E+3,	53.057187E-12
1.556336E+3,	48.566804E-12
1.556340E+3,	39.087995E-12
1.556344E+3,	77.202831E-12
1.556348E+3,	110.121884E-12
1.556352E+3,	135.227887E-12
1.556356E+3,	200.071568E-12
1.556360E+3,	294.192827E-12
1.556364E+3,	379.676731E-12
1.556368E+3,	401.489980E-12
1.556372E+3,	458.501368E-12
1.556376E+3,	489.829579E-12
1.556380E+3,	492.616007E-12
1.556384E+3,	503.675857E-12
1.556388E+3,	449.902020E-12
1.556392E+3,	378.942885E-12
1.556396E+3,	320.724718E-12
1.556400E+3,	250.090247E-12
1.556404E+3,	152.370813E-12
1.556408E+3,	97.516963E-12
1.556412E+3,	96.395094E-12
1.556416E+3,	135.176008E-12
1.556420E+3,	245.131823E-12
1.556424E+3,	401.825883E-12
1.556428E+3,	544.461431E-12
1.556432E+3,	777.925090E-12
1.556436E+3,	1.125967E-9
1.556440E+3,	1.388410E-9
1.556444E+3,	1.641678E-9
1.556448E+3,	1.933046E-9
1.556452E+3,	2.124440E-9
1.556456E+3,	2.214077E-9
1.556460E+3,	2.240217E-9
1.556464E+3,	2.192335E-9
1.556468E+3,	2.044567E-9
1.556472E+3,	1.845799E-9
1.556476E+3,	1.598541E-9
1.556480E+3,	1.314150E-9
1.556484E+3,	1.021807E-9
1.556488E+3,	853.774563E-12
1.556492E+3,	681.451734E-12
1.556496E+3,	648.849535E-12
1.556500E+3,	695.941188E-12
1.556504E+3,	896.727968E-12
1.556508E+3,	1.246473E-9
1.556512E+3,	1.685919E-9
1.556516E+3,	2.086402E-9
1.556520E+3,	2.625582E-9
1.556524E+3,	3.202349E-9
1.556528E+3,	3.707875E-9
1.556532E+3,	4.043984E-9
1.556536E+3,	4.337640E-9
1.556540E+3,	4.480212E-9
1.556544E+3,	4.475388E-9
1.556548E+3,	4.303538E-9
1.556552E+3,	3.942250E-9
1.556556E+3,	3.472022E-9
1.556560E+3,	3.082974E-9
1.556564E+3,	2.611990E-9
1.556568E+3,	2.064491E-9
1.556572E+3,	1.630088E-9
1.556576E+3,	1.373402E-9
1.556580E+3,	1.265080E-9
1.556584E+3,	1.344810E-9
1.556588E+3,	1.584146E-9
1.556592E+3,	1.971013E-9
1.556596E+3,	2.608761E-9
1.556600E+3,	3.317702E-9
1.556604E+3,	3.942611E-9
1.556608E+3,	4.589379E-9
1.556612E+3,	5.209157E-9
1.556616E+3,	5.670015E-9
1.556620E+3,	5.887960E-9
1.556624E+3,	5.925475E-9
1.556628E+3,	5.763215E-9
1.556632E+3,	5.445110E-9
1.556636E+3,	4.934187E-9
1.556640E+3,	4.229991E-9
1.556644E+3,	3.522946E-9
1.556648E+3,	2.953542E-9
1.556652E+3,	2.313926E-9
1.556656E+3,	1.656533E-9
1.556660E+3,	1.257212E-9
1.556664E+3,	1.086438E-9
1.556668E+3,	1.064516E-9
1.556672E+3,	1.236611E-9
1.556676E+3,	1.534343E-9
1.556680E+3,	1.962026E-9
1.556684E+3,	2.594546E-9
1.556688E+3,	3.227167E-9
1.556692E+3,	3.660307E-9
1.556696E+3,	4.084542E-9
1.556700E+3,	4.481904E-9
1.556704E+3,	4.679519E-9
1.556708E+3,	4.680799E-9
1.556712E+3,	4.455339E-9
1.556716E+3,	4.074042E-9
1.556720E+3,	3.653835E-9
1.556724E+3,	3.155562E-9
1.556728E+3,	2.439663E-9
1.556732E+3,	1.776570E-9
1.556736E+3,	1.327315E-9
1.556740E+3,	885.113393E-12
1.556744E+3,	516.910542E-12
1.556748E+3,	386.996516E-12
1.556752E+3,	360.560848E-12
1.556756E+3,	524.559587E-12
1.556760E+3,	801.648371E-12
1.556764E+3,	1.117434E-9
1.556768E+3,	1.517764E-9
1.556772E+3,	1.948020E-9
1.556776E+3,	2.297901E-9
1.556780E+3,	2.525831E-9
1.556784E+3,	2.709794E-9
1.556788E+3,	2.812688E-9
1.556792E+3,	2.759130E-9
1.556796E+3,	2.638702E-9
1.556800E+3,	2.375234E-9
1.556804E+3,	2.064971E-9
1.556808E+3,	1.789535E-9
1.556812E+3,	1.463826E-9
1.556816E+3,	1.117188E-9
1.556820E+3,	826.004485E-12
1.556824E+3,	661.985203E-12
1.556828E+3,	562.246118E-12
1.556832E+3,	548.905133E-12
1.556836E+3,	635.078229E-12
1.556840E+3,	789.028702E-12
1.556844E+3,	976.785360E-12
1.556848E+3,	1.237957E-9
1.556852E+3,	1.431384E-9
1.556856E+3,	1.575652E-9
1.556860E+3,	1.703130E-9
1.556864E+3,	1.697447E-9
1.556868E+3,	1.654606E-9
1.556872E+3,	1.550141E-9
1.556876E+3,	1.328586E-9
1.556880E+3,	1.071932E-9
1.556884E+3,	887.382586E-12
1.556888E+3,	700.380509E-12
1.556892E+3,	509.568286E-12
1.556896E+3,	439.741785E-12
1.556900E+3,	445.560404E-12
1.556904E+3,	572.478873E-12
1.556908E+3,	815.628821E-12
1.556912E+3,	1.066563E-9
1.556916E+3,	1.408774E-9
1.556920E+3,	1.883736E-9
1.556924E+3,	2.280523E-9
1.556928E+3,	2.545809E-9
1.556932E+3,	2.795588E-9
1.556936E+3,	3.001256E-9
1.556940E+3,	3.022650E-9
1.556944E+3,	2.932278E-9
1.556948E+3,	2.663031E-9
1.556952E+3,	2.319080E-9
1.556956E+3,	1.950036E-9
1.556960E+3,	1.564530E-9
1.556964E+3,	1.094910E-9
1.556968E+3,	752.126691E-12
1.556972E+3,	553.122483E-12
1.556976E+3,	458.582728E-12
1.556980E+3,	515.758310E-12
1.556984E+3,	772.033422E-12
1.556988E+3,	1.162738E-9
1.556992E+3,	1.802299E-9
1.556996E+3,	2.479569E-9
1.557000E+3,	3.091471E-9
1.557004E+3,	3.801568E-9
1.557008E+3,	4.503069E-9
1.557012E+3,	5.041953E-9
1.557016E+3,	5.288884E-9
1.557020E+3,	5.400385E-9
1.557024E+3,	5.290739E-9
1.557028E+3,	4.991128E-9
1.557032E+3,	4.565291E-9
1.557036E+3,	3.882797E-9
1.557040E+3,	3.194857E-9
1.557044E+3,	2.590589E-9
1.557048E+3,	1.869009E-9
1.557052E+3,	1.333720E-9
1.557056E+3,	997.249200E-12
1.557060E+3,	805.688726E-12
1.557064E+3,	871.681860E-12
1.557068E+3,	1.128167E-9
1.557072E+3,	1.532660E-9
1.557076E+3,	2.271756E-9
1.557080E+3,	3.085201E-9
1.557084E+3,	3.786944E-9
1.557088E+3,	4.550571E-9
1.557092E+3,	5.392218E-9
1.557096E+3,	5.965093E-9
1.557100E+3,	6.266933E-9
1.557104E+3,	6.386804E-9
1.557108E+3,	6.239697E-9
1.557112E+3,	5.842394E-9
1.557116E+3,	5.353756E-9
1.557120E+3,	4.572657E-9
1.557124E+3,	3.734434E-9
1.557128E+3,	3.079824E-9
1.557132E+3,	2.374260E-9
1.557136E+3,	1.660754E-9
1.557140E+3,	1.171649E-9
1.557144E+3,	976.651639E-12
1.557148E+3,	980.548904E-12
