YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 15/06/2023 Time: 11:45:45,	
A_WL(nm),	A_I(mW)
1.555200E+3,	0.000000E+0
1.555204E+3,	0.000000E+0
1.555208E+3,	0.000000E+0
1.555212E+3,	0.000000E+0
1.555216E+3,	0.000000E+0
1.555220E+3,	0.000000E+0
1.555224E+3,	0.000000E+0
1.555228E+3,	0.000000E+0
1.555232E+3,	0.000000E+0
1.555236E+3,	20.139649E-12
1.555240E+3,	8.281146E-12
1.555244E+3,	532.136588E-15
1.555248E+3,	5.738316E-12
1.555252E+3,	0.000000E+0
1.555256E+3,	0.000000E+0
1.555260E+3,	0.000000E+0
1.555264E+3,	0.000000E+0
1.555268E+3,	0.000000E+0
1.555272E+3,	10.092361E-12
1.555276E+3,	0.000000E+0
1.555280E+3,	0.000000E+0
1.555284E+3,	0.000000E+0
1.555288E+3,	0.000000E+0
1.555292E+3,	0.000000E+0
1.555296E+3,	5.882618E-12
1.555300E+3,	10.548606E-12
1.555304E+3,	9.123501E-12
1.555308E+3,	15.016820E-12
1.555312E+3,	0.000000E+0
1.555316E+3,	5.725676E-12
1.555320E+3,	15.482204E-12
1.555324E+3,	0.000000E+0
1.555328E+3,	7.646562E-12
1.555332E+3,	0.000000E+0
1.555336E+3,	0.000000E+0
1.555340E+3,	0.000000E+0
1.555344E+3,	0.000000E+0
1.555348E+3,	0.000000E+0
1.555352E+3,	7.647174E-12
1.555356E+3,	2.368573E-12
1.555360E+3,	13.419616E-12
1.555364E+3,	0.000000E+0
1.555368E+3,	3.377754E-12
1.555372E+3,	0.000000E+0
1.555376E+3,	1.634933E-12
1.555380E+3,	6.177139E-12
1.555384E+3,	18.134959E-12
1.555388E+3,	16.133496E-12
1.555392E+3,	0.000000E+0
1.555396E+3,	0.000000E+0
1.555400E+3,	4.611859E-12
1.555404E+3,	14.699279E-12
1.555408E+3,	9.746558E-12
1.555412E+3,	5.023209E-12
1.555416E+3,	27.275354E-12
1.555420E+3,	2.365014E-12
1.555424E+3,	0.000000E+0
1.555428E+3,	3.270546E-12
1.555432E+3,	0.000000E+0
1.555436E+3,	21.021175E-12
1.555440E+3,	3.433690E-12
1.555444E+3,	0.000000E+0
1.555448E+3,	1.682827E-12
1.555452E+3,	6.253060E-12
1.555456E+3,	6.451893E-12
1.555460E+3,	0.000000E+0
1.555464E+3,	1.206006E-12
1.555468E+3,	9.507973E-12
1.555472E+3,	5.691856E-12
1.555476E+3,	20.344029E-12
1.555480E+3,	5.917118E-12
1.555484E+3,	0.000000E+0
1.555488E+3,	0.000000E+0
1.555492E+3,	5.653207E-12
1.555496E+3,	26.111906E-12
1.555500E+3,	3.462478E-12
1.555504E+3,	0.000000E+0
1.555508E+3,	1.561630E-12
1.555512E+3,	0.000000E+0
1.555516E+3,	11.623535E-12
1.555520E+3,	24.412057E-12
1.555524E+3,	0.000000E+0
1.555528E+3,	0.000000E+0
1.555532E+3,	0.000000E+0
1.555536E+3,	0.000000E+0
1.555540E+3,	0.000000E+0
1.555544E+3,	0.000000E+0
1.555548E+3,	0.000000E+0
1.555552E+3,	0.000000E+0
1.555556E+3,	3.339130E-12
1.555560E+3,	0.000000E+0
1.555564E+3,	0.000000E+0
1.555568E+3,	6.799875E-12
1.555572E+3,	13.106250E-12
1.555576E+3,	0.000000E+0
1.555580E+3,	4.404458E-12
1.555584E+3,	8.354456E-12
1.555588E+3,	4.986470E-12
1.555592E+3,	33.129582E-12
1.555596E+3,	24.612387E-12
1.555600E+3,	0.000000E+0
1.555604E+3,	0.000000E+0
1.555608E+3,	15.894728E-12
1.555612E+3,	0.000000E+0
1.555616E+3,	5.380641E-12
1.555620E+3,	3.424036E-12
1.555624E+3,	9.960977E-12
1.555628E+3,	0.000000E+0
1.555632E+3,	0.000000E+0
1.555636E+3,	0.000000E+0
1.555640E+3,	0.000000E+0
1.555644E+3,	3.565252E-12
1.555648E+3,	17.961496E-12
1.555652E+3,	6.488041E-12
1.555656E+3,	6.723784E-12
1.555660E+3,	4.820290E-12
1.555664E+3,	3.138924E-12
1.555668E+3,	3.460652E-12
1.555672E+3,	20.828043E-12
1.555676E+3,	0.000000E+0
1.555680E+3,	4.268911E-12
1.555684E+3,	1.474736E-12
1.555688E+3,	20.062714E-12
1.555692E+3,	3.971494E-12
1.555696E+3,	16.491940E-12
1.555700E+3,	0.000000E+0
1.555704E+3,	0.000000E+0
1.555708E+3,	0.000000E+0
1.555712E+3,	0.000000E+0
1.555716E+3,	6.974657E-12
1.555720E+3,	0.000000E+0
1.555724E+3,	0.000000E+0
1.555728E+3,	15.314294E-12
1.555732E+3,	0.000000E+0
1.555736E+3,	4.054651E-12
1.555740E+3,	7.076715E-12
1.555744E+3,	10.511965E-12
1.555748E+3,	0.000000E+0
1.555752E+3,	0.000000E+0
1.555756E+3,	1.967449E-12
1.555760E+3,	0.000000E+0
1.555764E+3,	0.000000E+0
1.555768E+3,	3.781407E-12
1.555772E+3,	4.125585E-12
1.555776E+3,	0.000000E+0
1.555780E+3,	0.000000E+0
1.555784E+3,	0.000000E+0
1.555788E+3,	30.319673E-12
1.555792E+3,	9.602877E-12
1.555796E+3,	18.109203E-12
1.555800E+3,	20.052733E-12
1.555804E+3,	0.000000E+0
1.555808E+3,	0.000000E+0
1.555812E+3,	0.000000E+0
1.555816E+3,	5.578617E-12
1.555820E+3,	0.000000E+0
1.555824E+3,	5.381952E-12
1.555828E+3,	6.330498E-12
1.555832E+3,	0.000000E+0
1.555836E+3,	0.000000E+0
1.555840E+3,	0.000000E+0
1.555844E+3,	0.000000E+0
1.555848E+3,	0.000000E+0
1.555852E+3,	0.000000E+0
1.555856E+3,	13.840372E-12
1.555860E+3,	0.000000E+0
1.555864E+3,	0.000000E+0
1.555868E+3,	0.000000E+0
1.555872E+3,	0.000000E+0
1.555876E+3,	362.107337E-15
1.555880E+3,	0.000000E+0
1.555884E+3,	0.000000E+0
1.555888E+3,	6.565177E-12
1.555892E+3,	0.000000E+0
1.555896E+3,	0.000000E+0
1.555900E+3,	0.000000E+0
1.555904E+3,	10.834840E-12
1.555908E+3,	624.149512E-15
1.555912E+3,	12.839963E-12
1.555916E+3,	0.000000E+0
1.555920E+3,	0.000000E+0
1.555924E+3,	0.000000E+0
1.555928E+3,	0.000000E+0
1.555932E+3,	0.000000E+0
1.555936E+3,	15.450354E-12
1.555940E+3,	0.000000E+0
1.555944E+3,	0.000000E+0
1.555948E+3,	5.299737E-12
1.555952E+3,	0.000000E+0
1.555956E+3,	0.000000E+0
1.555960E+3,	0.000000E+0
1.555964E+3,	0.000000E+0
1.555968E+3,	0.000000E+0
1.555972E+3,	0.000000E+0
1.555976E+3,	0.000000E+0
1.555980E+3,	0.000000E+0
1.555984E+3,	0.000000E+0
1.555988E+3,	6.218418E-12
1.555992E+3,	4.032200E-12
1.555996E+3,	0.000000E+0
1.556000E+3,	0.000000E+0
1.556004E+3,	475.056234E-15
1.556008E+3,	0.000000E+0
1.556012E+3,	9.557430E-12
1.556016E+3,	10.701699E-12
1.556020E+3,	3.235817E-12
1.556024E+3,	20.539678E-12
1.556028E+3,	2.425254E-12
1.556032E+3,	0.000000E+0
1.556036E+3,	0.000000E+0
1.556040E+3,	1.358980E-12
1.556044E+3,	30.312939E-12
1.556048E+3,	3.217800E-12
1.556052E+3,	10.241915E-12
1.556056E+3,	3.231626E-12
1.556060E+3,	2.054505E-12
1.556064E+3,	0.000000E+0
1.556068E+3,	3.255326E-12
1.556072E+3,	10.152143E-12
1.556076E+3,	0.000000E+0
1.556080E+3,	0.000000E+0
1.556084E+3,	1.122289E-12
1.556088E+3,	0.000000E+0
1.556092E+3,	10.497773E-12
1.556096E+3,	17.023816E-12
1.556100E+3,	814.184714E-15
1.556104E+3,	9.657522E-12
1.556108E+3,	0.000000E+0
1.556112E+3,	11.033367E-12
1.556116E+3,	9.417430E-12
1.556120E+3,	2.636153E-12
1.556124E+3,	0.000000E+0
1.556128E+3,	0.000000E+0
1.556132E+3,	7.983555E-12
1.556136E+3,	10.149327E-12
1.556140E+3,	1.058614E-12
1.556144E+3,	20.087234E-12
1.556148E+3,	0.000000E+0
1.556152E+3,	18.776495E-12
1.556156E+3,	0.000000E+0
1.556160E+3,	0.000000E+0
1.556164E+3,	0.000000E+0
1.556168E+3,	7.103339E-12
1.556172E+3,	6.927610E-12
1.556176E+3,	20.703589E-12
1.556180E+3,	16.768413E-12
1.556184E+3,	20.521838E-12
1.556188E+3,	29.308811E-12
1.556192E+3,	15.980193E-12
1.556196E+3,	25.874556E-12
1.556200E+3,	30.840353E-12
1.556204E+3,	30.209634E-12
1.556208E+3,	28.197601E-12
1.556212E+3,	15.210744E-12
1.556216E+3,	19.020470E-12
1.556220E+3,	35.756809E-12
1.556224E+3,	17.748390E-12
1.556228E+3,	0.000000E+0
1.556232E+3,	17.483614E-12
1.556236E+3,	24.058868E-12
1.556240E+3,	20.395166E-12
1.556244E+3,	0.000000E+0
1.556248E+3,	13.405268E-12
1.556252E+3,	3.500854E-12
1.556256E+3,	41.315547E-12
1.556260E+3,	60.419227E-12
1.556264E+3,	97.414461E-12
1.556268E+3,	97.940053E-12
1.556272E+3,	129.646777E-12
1.556276E+3,	123.734021E-12
1.556280E+3,	155.174224E-12
1.556284E+3,	176.573682E-12
1.556288E+3,	155.421666E-12
1.556292E+3,	154.226771E-12
1.556296E+3,	145.345337E-12
1.556300E+3,	129.738910E-12
1.556304E+3,	75.953579E-12
1.556308E+3,	75.860878E-12
1.556312E+3,	49.284436E-12
1.556316E+3,	38.706254E-12
1.556320E+3,	48.770065E-12
1.556324E+3,	55.810985E-12
1.556328E+3,	76.394963E-12
1.556332E+3,	125.962423E-12
1.556336E+3,	135.122837E-12
1.556340E+3,	208.965040E-12
1.556344E+3,	265.142153E-12
1.556348E+3,	319.755797E-12
1.556352E+3,	373.618791E-12
1.556356E+3,	413.026760E-12
1.556360E+3,	449.529213E-12
1.556364E+3,	430.794613E-12
1.556368E+3,	441.672153E-12
1.556372E+3,	407.237312E-12
1.556376E+3,	358.372423E-12
1.556380E+3,	267.154170E-12
1.556384E+3,	244.207166E-12
1.556388E+3,	160.719433E-12
1.556392E+3,	118.438461E-12
1.556396E+3,	68.763312E-12
1.556400E+3,	65.856029E-12
1.556404E+3,	113.208536E-12
1.556408E+3,	186.607498E-12
1.556412E+3,	248.038233E-12
1.556416E+3,	359.329097E-12
1.556420E+3,	487.983939E-12
1.556424E+3,	640.793472E-12
1.556428E+3,	726.413204E-12
1.556432E+3,	842.653856E-12
1.556436E+3,	931.282256E-12
1.556440E+3,	974.802563E-12
1.556444E+3,	922.938895E-12
1.556448E+3,	863.100216E-12
1.556452E+3,	786.021072E-12
1.556456E+3,	708.188273E-12
1.556460E+3,	575.957617E-12
1.556464E+3,	407.979833E-12
1.556468E+3,	267.334280E-12
1.556472E+3,	197.407034E-12
1.556476E+3,	138.769046E-12
1.556480E+3,	133.556900E-12
1.556484E+3,	123.791016E-12
1.556488E+3,	224.210359E-12
1.556492E+3,	360.503719E-12
1.556496E+3,	508.281052E-12
1.556500E+3,	652.805913E-12
1.556504E+3,	837.588578E-12
1.556508E+3,	1.042906E-9
1.556512E+3,	1.181648E-9
1.556516E+3,	1.261927E-9
1.556520E+3,	1.311482E-9
1.556524E+3,	1.312363E-9
1.556528E+3,	1.244764E-9
1.556532E+3,	1.141051E-9
1.556536E+3,	931.961196E-12
1.556540E+3,	729.113146E-12
1.556544E+3,	549.942377E-12
1.556548E+3,	396.203215E-12
1.556552E+3,	238.207893E-12
1.556556E+3,	149.208163E-12
1.556560E+3,	141.813020E-12
1.556564E+3,	210.263493E-12
1.556568E+3,	321.720020E-12
1.556572E+3,	518.695973E-12
1.556576E+3,	678.538065E-12
1.556580E+3,	936.045216E-12
1.556584E+3,	1.163923E-9
1.556588E+3,	1.327152E-9
1.556592E+3,	1.492945E-9
1.556596E+3,	1.595562E-9
1.556600E+3,	1.612131E-9
1.556604E+3,	1.593634E-9
1.556608E+3,	1.465371E-9
1.556612E+3,	1.275757E-9
1.556616E+3,	1.053998E-9
1.556620E+3,	885.354166E-12
1.556624E+3,	627.770755E-12
1.556628E+3,	424.072613E-12
1.556632E+3,	289.393793E-12
1.556636E+3,	205.051054E-12
1.556640E+3,	181.951150E-12
1.556644E+3,	230.172622E-12
1.556648E+3,	335.183575E-12
1.556652E+3,	498.587840E-12
1.556656E+3,	762.995124E-12
1.556660E+3,	1.022623E-9
1.556664E+3,	1.231687E-9
1.556668E+3,	1.473429E-9
1.556672E+3,	1.662588E-9
1.556676E+3,	1.727754E-9
1.556680E+3,	1.768852E-9
1.556684E+3,	1.683171E-9
1.556688E+3,	1.514984E-9
1.556692E+3,	1.357077E-9
1.556696E+3,	1.131315E-9
1.556700E+3,	826.780445E-12
1.556704E+3,	580.275519E-12
1.556708E+3,	401.955001E-12
1.556712E+3,	252.873727E-12
1.556716E+3,	183.151937E-12
1.556720E+3,	190.364519E-12
1.556724E+3,	265.273738E-12
1.556728E+3,	443.715711E-12
1.556732E+3,	697.686756E-12
1.556736E+3,	883.096369E-12
1.556740E+3,	1.153005E-9
1.556744E+3,	1.434747E-9
1.556748E+3,	1.621499E-9
1.556752E+3,	1.755772E-9
1.556756E+3,	1.866445E-9
1.556760E+3,	1.895006E-9
1.556764E+3,	1.822637E-9
1.556768E+3,	1.715974E-9
1.556772E+3,	1.528293E-9
1.556776E+3,	1.273039E-9
1.556780E+3,	1.017382E-9
1.556784E+3,	777.601860E-12
1.556788E+3,	501.098765E-12
1.556792E+3,	314.214017E-12
1.556796E+3,	228.529526E-12
1.556800E+3,	188.541678E-12
1.556804E+3,	247.750668E-12
1.556808E+3,	368.326830E-12
1.556812E+3,	582.465887E-12
1.556816E+3,	888.311695E-12
1.556820E+3,	1.157984E-9
1.556824E+3,	1.403612E-9
1.556828E+3,	1.660095E-9
1.556832E+3,	1.918700E-9
1.556836E+3,	2.075765E-9
1.556840E+3,	2.116019E-9
1.556844E+3,	2.064717E-9
1.556848E+3,	1.936784E-9
1.556852E+3,	1.761536E-9
1.556856E+3,	1.514310E-9
1.556860E+3,	1.225170E-9
1.556864E+3,	915.435386E-12
1.556868E+3,	685.343339E-12
1.556872E+3,	472.177426E-12
1.556876E+3,	292.248239E-12
1.556880E+3,	217.364431E-12
1.556884E+3,	208.031814E-12
1.556888E+3,	288.785319E-12
1.556892E+3,	449.799943E-12
1.556896E+3,	684.827130E-12
1.556900E+3,	924.481974E-12
1.556904E+3,	1.229600E-9
1.556908E+3,	1.531000E-9
1.556912E+3,	1.754757E-9
1.556916E+3,	1.970000E-9
1.556920E+3,	2.093441E-9
1.556924E+3,	2.119586E-9
1.556928E+3,	2.083879E-9
1.556932E+3,	1.921641E-9
1.556936E+3,	1.662177E-9
1.556940E+3,	1.381378E-9
1.556944E+3,	1.120480E-9
1.556948E+3,	787.821060E-12
1.556952E+3,	521.787714E-12
1.556956E+3,	370.056394E-12
1.556960E+3,	213.118959E-12
1.556964E+3,	175.088781E-12
1.556968E+3,	240.338066E-12
1.556972E+3,	338.368204E-12
1.556976E+3,	503.635920E-12
1.556980E+3,	767.760268E-12
1.556984E+3,	1.034968E-9
1.556988E+3,	1.219621E-9
1.556992E+3,	1.436039E-9
1.556996E+3,	1.579005E-9
1.557000E+3,	1.653853E-9
1.557004E+3,	1.672885E-9
1.557008E+3,	1.617781E-9
1.557012E+3,	1.496694E-9
1.557016E+3,	1.318954E-9
1.557020E+3,	1.055117E-9
1.557024E+3,	823.785515E-12
1.557028E+3,	631.241678E-12
1.557032E+3,	439.657596E-12
1.557036E+3,	293.259279E-12
1.557040E+3,	185.321418E-12
1.557044E+3,	190.496032E-12
1.557048E+3,	251.738701E-12
1.557052E+3,	434.683058E-12
1.557056E+3,	601.998553E-12
1.557060E+3,	816.873891E-12
1.557064E+3,	1.124309E-9
1.557068E+3,	1.342976E-9
1.557072E+3,	1.547277E-9
1.557076E+3,	1.716760E-9
1.557080E+3,	1.813070E-9
1.557084E+3,	1.796944E-9
1.557088E+3,	1.722891E-9
1.557092E+3,	1.538425E-9
1.557096E+3,	1.307573E-9
1.557100E+3,	1.077459E-9
1.557104E+3,	840.570963E-12
1.557108E+3,	572.828751E-12
1.557112E+3,	371.622616E-12
1.557116E+3,	268.621916E-12
1.557120E+3,	191.764330E-12
1.557124E+3,	192.634808E-12
1.557128E+3,	267.813047E-12
1.557132E+3,	383.365363E-12
1.557136E+3,	636.031665E-12
1.557140E+3,	907.398229E-12
1.557144E+3,	1.068384E-9
1.557148E+3,	1.339507E-9
