YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 15/06/2023 Time: 11:46:49,	
A_WL(nm),	A_I(mW)
1.555200E+3,	0.000000E+0
1.555204E+3,	0.000000E+0
1.555208E+3,	17.487188E-12
1.555212E+3,	7.985171E-12
1.555216E+3,	6.350871E-12
1.555220E+3,	0.000000E+0
1.555224E+3,	15.919076E-12
1.555228E+3,	19.972468E-12
1.555232E+3,	0.000000E+0
1.555236E+3,	0.000000E+0
1.555240E+3,	0.000000E+0
1.555244E+3,	0.000000E+0
1.555248E+3,	10.112356E-12
1.555252E+3,	0.000000E+0
1.555256E+3,	0.000000E+0
1.555260E+3,	4.457943E-12
1.555264E+3,	6.498137E-12
1.555268E+3,	200.656269E-15
1.555272E+3,	1.003566E-12
1.555276E+3,	0.000000E+0
1.555280E+3,	6.594001E-12
1.555284E+3,	3.767935E-12
1.555288E+3,	1.713508E-12
1.555292E+3,	13.484864E-12
1.555296E+3,	8.953152E-12
1.555300E+3,	0.000000E+0
1.555304E+3,	0.000000E+0
1.555308E+3,	0.000000E+0
1.555312E+3,	0.000000E+0
1.555316E+3,	4.049016E-12
1.555320E+3,	0.000000E+0
1.555324E+3,	932.253938E-15
1.555328E+3,	0.000000E+0
1.555332E+3,	15.930075E-12
1.555336E+3,	9.941994E-12
1.555340E+3,	12.282380E-12
1.555344E+3,	5.076467E-12
1.555348E+3,	16.344819E-12
1.555352E+3,	0.000000E+0
1.555356E+3,	14.551038E-12
1.555360E+3,	5.114194E-12
1.555364E+3,	0.000000E+0
1.555368E+3,	3.590512E-12
1.555372E+3,	0.000000E+0
1.555376E+3,	7.473405E-12
1.555380E+3,	2.218798E-12
1.555384E+3,	4.520029E-12
1.555388E+3,	13.696297E-12
1.555392E+3,	0.000000E+0
1.555396E+3,	0.000000E+0
1.555400E+3,	200.841383E-15
1.555404E+3,	0.000000E+0
1.555408E+3,	18.834288E-12
1.555412E+3,	4.033892E-12
1.555416E+3,	0.000000E+0
1.555420E+3,	5.901143E-12
1.555424E+3,	1.832347E-12
1.555428E+3,	0.000000E+0
1.555432E+3,	0.000000E+0
1.555436E+3,	16.109325E-12
1.555440E+3,	0.000000E+0
1.555444E+3,	12.220028E-12
1.555448E+3,	0.000000E+0
1.555452E+3,	668.233918E-15
1.555456E+3,	9.214708E-12
1.555460E+3,	0.000000E+0
1.555464E+3,	0.000000E+0
1.555468E+3,	0.000000E+0
1.555472E+3,	0.000000E+0
1.555476E+3,	5.987509E-12
1.555480E+3,	0.000000E+0
1.555484E+3,	0.000000E+0
1.555488E+3,	0.000000E+0
1.555492E+3,	5.822307E-15
1.555496E+3,	9.475203E-12
1.555500E+3,	17.298402E-12
1.555504E+3,	8.056001E-12
1.555508E+3,	17.589361E-12
1.555512E+3,	14.620552E-12
1.555516E+3,	0.000000E+0
1.555520E+3,	0.000000E+0
1.555524E+3,	0.000000E+0
1.555528E+3,	0.000000E+0
1.555532E+3,	0.000000E+0
1.555536E+3,	0.000000E+0
1.555540E+3,	0.000000E+0
1.555544E+3,	2.568279E-12
1.555548E+3,	0.000000E+0
1.555552E+3,	0.000000E+0
1.555556E+3,	0.000000E+0
1.555560E+3,	4.255286E-12
1.555564E+3,	9.747369E-12
1.555568E+3,	0.000000E+0
1.555572E+3,	0.000000E+0
1.555576E+3,	0.000000E+0
1.555580E+3,	2.659113E-12
1.555584E+3,	0.000000E+0
1.555588E+3,	0.000000E+0
1.555592E+3,	8.378783E-12
1.555596E+3,	23.440187E-12
1.555600E+3,	0.000000E+0
1.555604E+3,	0.000000E+0
1.555608E+3,	7.175051E-12
1.555612E+3,	3.169536E-12
1.555616E+3,	0.000000E+0
1.555620E+3,	4.434192E-12
1.555624E+3,	0.000000E+0
1.555628E+3,	144.972259E-15
1.555632E+3,	0.000000E+0
1.555636E+3,	0.000000E+0
1.555640E+3,	0.000000E+0
1.555644E+3,	0.000000E+0
1.555648E+3,	0.000000E+0
1.555652E+3,	15.949325E-12
1.555656E+3,	7.164880E-12
1.555660E+3,	4.637726E-12
1.555664E+3,	0.000000E+0
1.555668E+3,	0.000000E+0
1.555672E+3,	0.000000E+0
1.555676E+3,	0.000000E+0
1.555680E+3,	0.000000E+0
1.555684E+3,	16.638891E-12
1.555688E+3,	5.350305E-12
1.555692E+3,	0.000000E+0
1.555696E+3,	7.060795E-12
1.555700E+3,	0.000000E+0
1.555704E+3,	0.000000E+0
1.555708E+3,	0.000000E+0
1.555712E+3,	0.000000E+0
1.555716E+3,	0.000000E+0
1.555720E+3,	0.000000E+0
1.555724E+3,	8.807456E-12
1.555728E+3,	3.229326E-12
1.555732E+3,	13.920133E-12
1.555736E+3,	13.011405E-12
1.555740E+3,	0.000000E+0
1.555744E+3,	0.000000E+0
1.555748E+3,	14.921690E-12
1.555752E+3,	0.000000E+0
1.555756E+3,	0.000000E+0
1.555760E+3,	6.282497E-12
1.555764E+3,	4.528534E-12
1.555768E+3,	0.000000E+0
1.555772E+3,	5.785590E-12
1.555776E+3,	6.495457E-12
1.555780E+3,	4.509802E-12
1.555784E+3,	1.945139E-12
1.555788E+3,	33.446738E-12
1.555792E+3,	0.000000E+0
1.555796E+3,	0.000000E+0
1.555800E+3,	0.000000E+0
1.555804E+3,	0.000000E+0
1.555808E+3,	6.478216E-12
1.555812E+3,	0.000000E+0
1.555816E+3,	7.301654E-12
1.555820E+3,	0.000000E+0
1.555824E+3,	1.569959E-12
1.555828E+3,	2.965596E-12
1.555832E+3,	7.966181E-12
1.555836E+3,	0.000000E+0
1.555840E+3,	6.518006E-12
1.555844E+3,	15.203197E-12
1.555848E+3,	15.683626E-12
1.555852E+3,	827.191107E-15
1.555856E+3,	0.000000E+0
1.555860E+3,	5.067301E-12
1.555864E+3,	7.540067E-12
1.555868E+3,	6.256254E-12
1.555872E+3,	21.332785E-12
1.555876E+3,	7.968018E-12
1.555880E+3,	0.000000E+0
1.555884E+3,	0.000000E+0
1.555888E+3,	446.839572E-15
1.555892E+3,	10.241162E-12
1.555896E+3,	0.000000E+0
1.555900E+3,	4.662883E-12
1.555904E+3,	6.596898E-12
1.555908E+3,	14.743488E-12
1.555912E+3,	12.913894E-12
1.555916E+3,	16.776368E-12
1.555920E+3,	0.000000E+0
1.555924E+3,	0.000000E+0
1.555928E+3,	6.970188E-12
1.555932E+3,	2.001476E-12
1.555936E+3,	0.000000E+0
1.555940E+3,	19.776343E-12
1.555944E+3,	3.352238E-12
1.555948E+3,	0.000000E+0
1.555952E+3,	3.233790E-12
1.555956E+3,	0.000000E+0
1.555960E+3,	0.000000E+0
1.555964E+3,	0.000000E+0
1.555968E+3,	0.000000E+0
1.555972E+3,	18.381672E-12
1.555976E+3,	7.654665E-12
1.555980E+3,	0.000000E+0
1.555984E+3,	0.000000E+0
1.555988E+3,	0.000000E+0
1.555992E+3,	2.275247E-12
1.555996E+3,	438.531509E-15
1.556000E+3,	5.622788E-12
1.556004E+3,	0.000000E+0
1.556008E+3,	0.000000E+0
1.556012E+3,	22.119401E-12
1.556016E+3,	5.153825E-12
1.556020E+3,	24.362529E-12
1.556024E+3,	19.287500E-12
1.556028E+3,	0.000000E+0
1.556032E+3,	2.884048E-12
1.556036E+3,	20.801821E-12
1.556040E+3,	17.806926E-12
1.556044E+3,	41.348491E-12
1.556048E+3,	21.778868E-12
1.556052E+3,	31.477539E-12
1.556056E+3,	14.706274E-12
1.556060E+3,	30.578628E-12
1.556064E+3,	25.418854E-12
1.556068E+3,	32.425109E-12
1.556072E+3,	8.520467E-12
1.556076E+3,	3.804089E-12
1.556080E+3,	17.723891E-12
1.556084E+3,	5.937126E-12
1.556088E+3,	16.393122E-12
1.556092E+3,	25.700293E-12
1.556096E+3,	28.693817E-12
1.556100E+3,	25.276651E-12
1.556104E+3,	39.003134E-12
1.556108E+3,	54.557505E-12
1.556112E+3,	43.035434E-12
1.556116E+3,	36.960949E-12
1.556120E+3,	39.228288E-12
1.556124E+3,	56.012484E-12
1.556128E+3,	65.899132E-12
1.556132E+3,	76.115981E-12
1.556136E+3,	80.525018E-12
1.556140E+3,	76.389428E-12
1.556144E+3,	71.888187E-12
1.556148E+3,	70.165571E-12
1.556152E+3,	43.610056E-12
1.556156E+3,	59.191901E-12
1.556160E+3,	37.253932E-12
1.556164E+3,	48.001568E-12
1.556168E+3,	35.483889E-12
1.556172E+3,	37.396167E-12
1.556176E+3,	51.567329E-12
1.556180E+3,	49.221436E-12
1.556184E+3,	73.100068E-12
1.556188E+3,	81.844641E-12
1.556192E+3,	93.361733E-12
1.556196E+3,	105.676238E-12
1.556200E+3,	143.141027E-12
1.556204E+3,	178.943844E-12
1.556208E+3,	196.933497E-12
1.556212E+3,	190.924358E-12
1.556216E+3,	198.951572E-12
1.556220E+3,	194.701024E-12
1.556224E+3,	178.793369E-12
1.556228E+3,	141.608820E-12
1.556232E+3,	141.355192E-12
1.556236E+3,	113.675181E-12
1.556240E+3,	91.018029E-12
1.556244E+3,	73.990621E-12
1.556248E+3,	55.520225E-12
1.556252E+3,	57.980261E-12
1.556256E+3,	82.850738E-12
1.556260E+3,	111.692329E-12
1.556264E+3,	113.149581E-12
1.556268E+3,	185.964050E-12
1.556272E+3,	196.899320E-12
1.556276E+3,	272.621043E-12
1.556280E+3,	308.992225E-12
1.556284E+3,	337.994089E-12
1.556288E+3,	369.077988E-12
1.556292E+3,	377.045650E-12
1.556296E+3,	395.528606E-12
1.556300E+3,	351.139278E-12
1.556304E+3,	305.982864E-12
1.556308E+3,	277.756527E-12
1.556312E+3,	223.995055E-12
1.556316E+3,	160.840520E-12
1.556320E+3,	106.192043E-12
1.556324E+3,	73.915482E-12
1.556328E+3,	59.311197E-12
1.556332E+3,	78.887763E-12
1.556336E+3,	161.760450E-12
1.556340E+3,	174.610817E-12
1.556344E+3,	291.765327E-12
1.556348E+3,	374.855661E-12
1.556352E+3,	468.159594E-12
1.556356E+3,	555.457871E-12
1.556360E+3,	621.564085E-12
1.556364E+3,	701.206864E-12
1.556368E+3,	719.742013E-12
1.556372E+3,	692.126781E-12
1.556376E+3,	619.611277E-12
1.556380E+3,	542.912837E-12
1.556384E+3,	489.930439E-12
1.556388E+3,	374.102692E-12
1.556392E+3,	277.810257E-12
1.556396E+3,	170.559377E-12
1.556400E+3,	126.637876E-12
1.556404E+3,	107.244205E-12
1.556408E+3,	125.028235E-12
1.556412E+3,	204.529377E-12
1.556416E+3,	279.668553E-12
1.556420E+3,	431.884714E-12
1.556424E+3,	604.573271E-12
1.556428E+3,	756.025989E-12
1.556432E+3,	902.979490E-12
1.556436E+3,	1.057677E-9
1.556440E+3,	1.163967E-9
1.556444E+3,	1.205453E-9
1.556448E+3,	1.224938E-9
1.556452E+3,	1.153174E-9
1.556456E+3,	1.079964E-9
1.556460E+3,	935.490273E-12
1.556464E+3,	733.633408E-12
1.556468E+3,	531.769698E-12
1.556472E+3,	392.369600E-12
1.556476E+3,	247.742362E-12
1.556480E+3,	176.570860E-12
1.556484E+3,	175.295658E-12
1.556488E+3,	206.013000E-12
1.556492E+3,	339.090550E-12
1.556496E+3,	520.335591E-12
1.556500E+3,	711.248871E-12
1.556504E+3,	937.563686E-12
1.556508E+3,	1.207952E-9
1.556512E+3,	1.452005E-9
1.556516E+3,	1.591225E-9
1.556520E+3,	1.752413E-9
1.556524E+3,	1.794532E-9
1.556528E+3,	1.780871E-9
1.556532E+3,	1.672373E-9
1.556536E+3,	1.495033E-9
1.556540E+3,	1.272244E-9
1.556544E+3,	1.056187E-9
1.556548E+3,	825.946568E-12
1.556552E+3,	563.598114E-12
1.556556E+3,	349.853277E-12
1.556560E+3,	245.770713E-12
1.556564E+3,	190.845044E-12
1.556568E+3,	257.186545E-12
1.556572E+3,	349.615982E-12
1.556576E+3,	510.480871E-12
1.556580E+3,	799.421428E-12
1.556584E+3,	1.109163E-9
1.556588E+3,	1.375276E-9
1.556592E+3,	1.634804E-9
1.556596E+3,	1.841416E-9
1.556600E+3,	2.008194E-9
1.556604E+3,	2.033623E-9
1.556608E+3,	1.996996E-9
1.556612E+3,	1.867135E-9
1.556616E+3,	1.671064E-9
1.556620E+3,	1.488065E-9
1.556624E+3,	1.107058E-9
1.556628E+3,	805.183510E-12
1.556632E+3,	608.995209E-12
1.556636E+3,	395.028793E-12
1.556640E+3,	251.943902E-12
1.556644E+3,	220.018478E-12
1.556648E+3,	229.161686E-12
1.556652E+3,	366.056590E-12
1.556656E+3,	590.961376E-12
1.556660E+3,	865.394464E-12
1.556664E+3,	1.119993E-9
1.556668E+3,	1.447141E-9
1.556672E+3,	1.714876E-9
1.556676E+3,	1.895161E-9
1.556680E+3,	2.044194E-9
1.556684E+3,	2.126226E-9
1.556688E+3,	2.100548E-9
1.556692E+3,	2.009333E-9
1.556696E+3,	1.825360E-9
1.556700E+3,	1.537883E-9
1.556704E+3,	1.256189E-9
1.556708E+3,	996.686348E-12
1.556712E+3,	663.221817E-12
1.556716E+3,	405.444110E-12
1.556720E+3,	288.130754E-12
1.556724E+3,	209.305230E-12
1.556728E+3,	207.040815E-12
1.556732E+3,	309.919868E-12
1.556736E+3,	465.904318E-12
1.556740E+3,	650.780836E-12
1.556744E+3,	947.660338E-12
1.556748E+3,	1.205151E-9
1.556752E+3,	1.421917E-9
1.556756E+3,	1.627778E-9
1.556760E+3,	1.801798E-9
1.556764E+3,	1.829089E-9
1.556768E+3,	1.847149E-9
1.556772E+3,	1.735511E-9
1.556776E+3,	1.565176E-9
1.556780E+3,	1.397188E-9
1.556784E+3,	1.184946E-9
1.556788E+3,	869.640195E-12
1.556792E+3,	618.474546E-12
1.556796E+3,	435.042509E-12
1.556800E+3,	268.464933E-12
1.556804E+3,	188.777616E-12
1.556808E+3,	179.454080E-12
1.556812E+3,	238.440402E-12
1.556816E+3,	390.668618E-12
1.556820E+3,	601.260071E-12
1.556824E+3,	809.787613E-12
1.556828E+3,	1.071988E-9
1.556832E+3,	1.361311E-9
1.556836E+3,	1.578994E-9
1.556840E+3,	1.729150E-9
1.556844E+3,	1.833790E-9
1.556848E+3,	1.832629E-9
1.556852E+3,	1.781651E-9
1.556856E+3,	1.658663E-9
1.556860E+3,	1.441787E-9
1.556864E+3,	1.189058E-9
1.556868E+3,	986.852015E-12
1.556872E+3,	776.751459E-12
1.556876E+3,	515.711585E-12
1.556880E+3,	329.846031E-12
1.556884E+3,	213.394988E-12
1.556888E+3,	196.888737E-12
1.556892E+3,	241.687639E-12
1.556896E+3,	323.103104E-12
1.556900E+3,	488.802834E-12
1.556904E+3,	732.321269E-12
1.556908E+3,	1.007659E-9
1.556912E+3,	1.200279E-9
1.556916E+3,	1.400349E-9
1.556920E+3,	1.583486E-9
1.556924E+3,	1.682859E-9
1.556928E+3,	1.730883E-9
1.556932E+3,	1.656368E-9
1.556936E+3,	1.532524E-9
1.556940E+3,	1.378332E-9
1.556944E+3,	1.158897E-9
1.556948E+3,	912.024823E-12
1.556952E+3,	616.930310E-12
1.556956E+3,	451.773387E-12
1.556960E+3,	287.709271E-12
1.556964E+3,	199.484470E-12
1.556968E+3,	170.264370E-12
1.556972E+3,	232.174966E-12
1.556976E+3,	338.829087E-12
1.556980E+3,	544.790392E-12
1.556984E+3,	791.339714E-12
1.556988E+3,	1.002091E-9
1.556992E+3,	1.276833E-9
1.556996E+3,	1.481186E-9
1.557000E+3,	1.603990E-9
1.557004E+3,	1.701474E-9
1.557008E+3,	1.720718E-9
1.557012E+3,	1.645880E-9
1.557016E+3,	1.508957E-9
1.557020E+3,	1.281723E-9
1.557024E+3,	1.078704E-9
1.557028E+3,	867.218266E-12
1.557032E+3,	645.776874E-12
1.557036E+3,	401.598847E-12
1.557040E+3,	242.883557E-12
1.557044E+3,	207.181673E-12
1.557048E+3,	203.887989E-12
1.557052E+3,	254.772167E-12
1.557056E+3,	405.396928E-12
1.557060E+3,	624.462882E-12
1.557064E+3,	911.254917E-12
1.557068E+3,	1.161806E-9
1.557072E+3,	1.384441E-9
1.557076E+3,	1.604599E-9
1.557080E+3,	1.772332E-9
1.557084E+3,	1.834198E-9
1.557088E+3,	1.855246E-9
1.557092E+3,	1.739952E-9
1.557096E+3,	1.591633E-9
1.557100E+3,	1.375280E-9
1.557104E+3,	1.099988E-9
1.557108E+3,	819.464324E-12
1.557112E+3,	602.191356E-12
1.557116E+3,	437.073673E-12
1.557120E+3,	260.072919E-12
1.557124E+3,	203.045576E-12
1.557128E+3,	215.863378E-12
1.557132E+3,	312.523208E-12
1.557136E+3,	489.787312E-12
1.557140E+3,	684.825341E-12
1.557144E+3,	927.243995E-12
1.557148E+3,	1.253463E-9
