YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 29/06/2023 Time: 15:43:28,	
A_WL(nm),	A_I(mW)
1.555500E+3,	161.442285E-12
1.555504E+3,	185.594590E-12
1.555508E+3,	157.576660E-12
1.555512E+3,	170.854120E-12
1.555516E+3,	179.048714E-12
1.555520E+3,	169.622687E-12
1.555524E+3,	171.817711E-12
1.555528E+3,	163.554266E-12
1.555532E+3,	161.299877E-12
1.555536E+3,	164.031039E-12
1.555540E+3,	160.075425E-12
1.555544E+3,	184.456798E-12
1.555548E+3,	173.908191E-12
1.555552E+3,	185.348573E-12
1.555556E+3,	178.334010E-12
1.555560E+3,	170.822590E-12
1.555564E+3,	154.624014E-12
1.555568E+3,	179.086632E-12
1.555572E+3,	167.198497E-12
1.555576E+3,	172.739359E-12
1.555580E+3,	198.534563E-12
1.555584E+3,	190.798383E-12
1.555588E+3,	236.496340E-12
1.555592E+3,	225.441050E-12
1.555596E+3,	186.615608E-12
1.555600E+3,	208.284699E-12
1.555604E+3,	209.386963E-12
1.555608E+3,	198.917146E-12
1.555612E+3,	218.212692E-12
1.555616E+3,	217.479406E-12
1.555620E+3,	226.574494E-12
1.555624E+3,	218.792862E-12
1.555628E+3,	229.103307E-12
1.555632E+3,	210.309868E-12
1.555636E+3,	218.193980E-12
1.555640E+3,	220.814102E-12
1.555644E+3,	246.310070E-12
1.555648E+3,	224.262094E-12
1.555652E+3,	226.873972E-12
1.555656E+3,	252.261939E-12
1.555660E+3,	244.420934E-12
1.555664E+3,	249.941504E-12
1.555668E+3,	248.765417E-12
1.555672E+3,	260.588092E-12
1.555676E+3,	271.522552E-12
1.555680E+3,	260.665833E-12
1.555684E+3,	262.831479E-12
1.555688E+3,	287.286805E-12
1.555692E+3,	277.789424E-12
1.555696E+3,	290.849029E-12
1.555700E+3,	295.175123E-12
1.555704E+3,	300.795714E-12
1.555708E+3,	303.072690E-12
1.555712E+3,	316.576623E-12
1.555716E+3,	315.209768E-12
1.555720E+3,	301.941022E-12
1.555724E+3,	298.079925E-12
1.555728E+3,	321.200476E-12
1.555732E+3,	316.215334E-12
1.555736E+3,	322.399130E-12
1.555740E+3,	313.727851E-12
1.555744E+3,	318.110284E-12
1.555748E+3,	319.062050E-12
1.555752E+3,	322.422702E-12
1.555756E+3,	345.270976E-12
