YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 29/06/2023 Time: 15:44:00,	
A_WL(nm),	A_I(mW)
1.555500E+3,	165.930856E-12
1.555504E+3,	174.055196E-12
1.555508E+3,	166.966978E-12
1.555512E+3,	167.791560E-12
1.555516E+3,	174.870190E-12
1.555520E+3,	189.484694E-12
1.555524E+3,	179.529880E-12
1.555528E+3,	179.689547E-12
1.555532E+3,	184.889073E-12
1.555536E+3,	198.451449E-12
1.555540E+3,	203.638318E-12
1.555544E+3,	195.255498E-12
1.555548E+3,	206.981690E-12
1.555552E+3,	199.578710E-12
1.555556E+3,	195.487001E-12
1.555560E+3,	195.917173E-12
1.555564E+3,	245.880316E-12
1.555568E+3,	218.486368E-12
1.555572E+3,	214.544417E-12
1.555576E+3,	226.971387E-12
1.555580E+3,	218.910913E-12
1.555584E+3,	234.983659E-12
1.555588E+3,	245.087646E-12
1.555592E+3,	227.193350E-12
1.555596E+3,	221.661443E-12
1.555600E+3,	231.227841E-12
1.555604E+3,	222.149874E-12
1.555608E+3,	226.877903E-12
1.555612E+3,	258.001514E-12
1.555616E+3,	248.853114E-12
1.555620E+3,	262.247920E-12
1.555624E+3,	269.548834E-12
1.555628E+3,	271.597360E-12
1.555632E+3,	282.389623E-12
1.555636E+3,	265.506369E-12
1.555640E+3,	287.777610E-12
1.555644E+3,	283.885566E-12
1.555648E+3,	277.134292E-12
1.555652E+3,	281.853657E-12
1.555656E+3,	274.999019E-12
1.555660E+3,	298.320373E-12
1.555664E+3,	292.196750E-12
1.555668E+3,	296.885539E-12
1.555672E+3,	294.180929E-12
1.555676E+3,	309.380357E-12
1.555680E+3,	329.940590E-12
1.555684E+3,	318.319530E-12
1.555688E+3,	337.497885E-12
1.555692E+3,	319.392133E-12
1.555696E+3,	319.179232E-12
1.555700E+3,	328.428952E-12
1.555704E+3,	349.559671E-12
1.555708E+3,	358.724243E-12
1.555712E+3,	330.095322E-12
1.555716E+3,	368.760349E-12
1.555720E+3,	355.715034E-12
1.555724E+3,	355.755129E-12
1.555728E+3,	340.940150E-12
1.555732E+3,	343.131271E-12
1.555736E+3,	369.390115E-12
1.555740E+3,	366.282443E-12
1.555744E+3,	364.406663E-12
1.555748E+3,	373.067608E-12
1.555752E+3,	377.732368E-12
1.555756E+3,	359.226653E-12
1.555760E+3,	397.085317E-12
1.555764E+3,	378.943594E-12
1.555768E+3,	369.158936E-12
1.555772E+3,	382.717331E-12
1.555776E+3,	405.216046E-12
1.555780E+3,	384.158676E-12
1.555784E+3,	379.854230E-12
1.555788E+3,	393.619784E-12
1.555792E+3,	416.531983E-12
1.555796E+3,	406.771143E-12
1.555800E+3,	390.331825E-12
1.555804E+3,	407.753313E-12
1.555808E+3,	413.913183E-12
1.555812E+3,	414.614874E-12
1.555816E+3,	404.429567E-12
1.555820E+3,	415.332712E-12
1.555824E+3,	449.876828E-12
1.555828E+3,	446.219285E-12
1.555832E+3,	439.173563E-12
1.555836E+3,	420.526078E-12
1.555840E+3,	475.713822E-12
1.555844E+3,	459.807641E-12
1.555848E+3,	447.607158E-12
1.555852E+3,	457.313364E-12
1.555856E+3,	452.918805E-12
1.555860E+3,	462.319027E-12
1.555864E+3,	459.395333E-12
1.555868E+3,	476.818509E-12
1.555872E+3,	494.744680E-12
1.555876E+3,	472.416872E-12
1.555880E+3,	468.555219E-12
1.555884E+3,	485.407488E-12
1.555888E+3,	480.158760E-12
1.555892E+3,	466.287114E-12
1.555896E+3,	483.405751E-12
1.555900E+3,	482.130389E-12
1.555904E+3,	492.229732E-12
1.555908E+3,	486.432278E-12
1.555912E+3,	515.964607E-12
1.555916E+3,	508.287519E-12
1.555920E+3,	502.749597E-12
1.555924E+3,	530.050183E-12
1.555928E+3,	527.598379E-12
1.555932E+3,	528.039970E-12
1.555936E+3,	542.114561E-12
1.555940E+3,	527.152877E-12
1.555944E+3,	522.757645E-12
1.555948E+3,	535.884472E-12
1.555952E+3,	553.689920E-12
1.555956E+3,	549.789116E-12
1.555960E+3,	553.132470E-12
1.555964E+3,	528.137869E-12
1.555968E+3,	532.966647E-12
1.555972E+3,	536.860712E-12
1.555976E+3,	547.025981E-12
1.555980E+3,	524.329098E-12
1.555984E+3,	550.253363E-12
1.555988E+3,	552.236771E-12
1.555992E+3,	546.078176E-12
1.555996E+3,	573.626515E-12
