YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 29/06/2023 Time: 15:47:49,	
A_WL(nm),	A_I(mW)
1.555500E+3,	34.929933E-12
1.555504E+3,	42.573242E-12
1.555508E+3,	61.542609E-12
1.555512E+3,	30.514113E-12
1.555516E+3,	21.570416E-12
1.555520E+3,	19.924606E-12
1.555524E+3,	17.948948E-12
1.555528E+3,	19.080040E-12
1.555532E+3,	18.470065E-12
1.555536E+3,	6.133380E-12
1.555540E+3,	11.379109E-12
1.555544E+3,	24.259307E-12
1.555548E+3,	26.141453E-12
1.555552E+3,	17.235421E-12
1.555556E+3,	42.132989E-12
1.555560E+3,	43.399251E-12
1.555564E+3,	42.948238E-12
1.555568E+3,	55.839513E-12
1.555572E+3,	45.607300E-12
1.555576E+3,	85.795029E-12
1.555580E+3,	71.370437E-12
1.555584E+3,	66.320156E-12
1.555588E+3,	39.982174E-12
1.555592E+3,	35.145858E-12
1.555596E+3,	50.002422E-12
1.555600E+3,	17.943604E-12
1.555604E+3,	21.901392E-12
1.555608E+3,	0.000000E+0
1.555612E+3,	0.000000E+0
1.555616E+3,	0.000000E+0
1.555620E+3,	15.972686E-12
1.555624E+3,	5.901856E-12
1.555628E+3,	43.591171E-12
1.555632E+3,	33.490261E-12
1.555636E+3,	33.525715E-12
1.555640E+3,	55.965423E-12
1.555644E+3,	48.366215E-12
1.555648E+3,	59.461159E-12
1.555652E+3,	64.608071E-12
1.555656E+3,	76.438908E-12
1.555660E+3,	82.689075E-12
1.555664E+3,	65.916485E-12
1.555668E+3,	61.007400E-12
1.555672E+3,	32.634890E-12
1.555676E+3,	30.234838E-12
1.555680E+3,	46.217288E-12
1.555684E+3,	25.130020E-12
1.555688E+3,	0.000000E+0
1.555692E+3,	21.490803E-12
1.555696E+3,	29.838696E-12
1.555700E+3,	25.190267E-12
1.555704E+3,	21.728034E-12
1.555708E+3,	28.680813E-12
1.555712E+3,	33.297744E-12
1.555716E+3,	54.062633E-12
1.555720E+3,	71.475364E-12
1.555724E+3,	56.673383E-12
1.555728E+3,	86.755939E-12
1.555732E+3,	89.781402E-12
1.555736E+3,	109.404370E-12
1.555740E+3,	76.417922E-12
1.555744E+3,	78.365679E-12
1.555748E+3,	75.098439E-12
1.555752E+3,	77.609638E-12
1.555756E+3,	61.599314E-12
1.555760E+3,	30.503197E-12
1.555764E+3,	37.582418E-12
1.555768E+3,	14.875280E-12
1.555772E+3,	10.908898E-12
1.555776E+3,	0.000000E+0
1.555780E+3,	16.869171E-12
1.555784E+3,	40.690773E-12
1.555788E+3,	51.412843E-12
1.555792E+3,	77.223552E-12
1.555796E+3,	79.846477E-12
1.555800E+3,	97.468614E-12
1.555804E+3,	104.389859E-12
1.555808E+3,	113.424458E-12
1.555812E+3,	112.578874E-12
1.555816E+3,	107.518931E-12
1.555820E+3,	100.511315E-12
1.555824E+3,	110.344803E-12
1.555828E+3,	94.613226E-12
1.555832E+3,	63.857885E-12
1.555836E+3,	32.665672E-12
1.555840E+3,	50.770594E-12
1.555844E+3,	24.632496E-12
1.555848E+3,	7.559244E-12
1.555852E+3,	7.300273E-12
1.555856E+3,	33.489208E-12
1.555860E+3,	31.266900E-12
1.555864E+3,	32.166472E-12
1.555868E+3,	65.010969E-12
1.555872E+3,	91.391055E-12
1.555876E+3,	100.182716E-12
1.555880E+3,	118.628342E-12
1.555884E+3,	126.073715E-12
1.555888E+3,	128.803231E-12
1.555892E+3,	144.084772E-12
1.555896E+3,	151.881191E-12
1.555900E+3,	115.685281E-12
1.555904E+3,	119.443141E-12
1.555908E+3,	91.940362E-12
1.555912E+3,	81.829810E-12
1.555916E+3,	40.444058E-12
1.555920E+3,	17.827865E-12
1.555924E+3,	12.343939E-12
1.555928E+3,	22.767157E-12
1.555932E+3,	9.489026E-12
1.555936E+3,	43.543709E-12
1.555940E+3,	25.587229E-12
1.555944E+3,	50.160308E-12
1.555948E+3,	59.807684E-12
1.555952E+3,	102.816944E-12
1.555956E+3,	125.845372E-12
1.555960E+3,	126.777859E-12
1.555964E+3,	149.027225E-12
1.555968E+3,	158.179287E-12
1.555972E+3,	153.396936E-12
1.555976E+3,	149.056608E-12
1.555980E+3,	144.822123E-12
1.555984E+3,	119.179291E-12
1.555988E+3,	106.488279E-12
1.555992E+3,	64.750003E-12
1.555996E+3,	62.960048E-12
1.556000E+3,	29.169465E-12
1.556004E+3,	40.409021E-12
1.556008E+3,	25.700736E-12
1.556012E+3,	33.201731E-12
1.556016E+3,	53.054461E-12
1.556020E+3,	75.057303E-12
1.556024E+3,	71.288821E-12
1.556028E+3,	80.257829E-12
1.556032E+3,	108.601672E-12
1.556036E+3,	150.881132E-12
1.556040E+3,	153.617694E-12
1.556044E+3,	139.751960E-12
1.556048E+3,	174.099860E-12
1.556052E+3,	176.559702E-12
1.556056E+3,	152.679577E-12
1.556060E+3,	112.298587E-12
1.556064E+3,	108.918756E-12
1.556068E+3,	101.569663E-12
1.556072E+3,	64.813304E-12
1.556076E+3,	52.598711E-12
1.556080E+3,	41.633328E-12
1.556084E+3,	41.378550E-12
1.556088E+3,	15.298231E-12
1.556092E+3,	42.200689E-12
1.556096E+3,	55.355860E-12
1.556100E+3,	66.802153E-12
1.556104E+3,	107.427071E-12
1.556108E+3,	126.883663E-12
1.556112E+3,	125.529767E-12
1.556116E+3,	179.285246E-12
1.556120E+3,	184.716218E-12
1.556124E+3,	190.116335E-12
1.556128E+3,	200.956293E-12
1.556132E+3,	183.027732E-12
1.556136E+3,	155.375239E-12
1.556140E+3,	126.841755E-12
1.556144E+3,	110.570259E-12
1.556148E+3,	89.231042E-12
1.556152E+3,	69.165412E-12
1.556156E+3,	49.983424E-12
1.556160E+3,	22.896732E-12
1.556164E+3,	18.582694E-12
1.556168E+3,	20.615816E-12
1.556172E+3,	19.234692E-12
1.556176E+3,	44.822460E-12
1.556180E+3,	78.652786E-12
1.556184E+3,	107.592619E-12
1.556188E+3,	135.505275E-12
1.556192E+3,	166.783262E-12
1.556196E+3,	188.287334E-12
1.556200E+3,	204.605848E-12
1.556204E+3,	216.804515E-12
1.556208E+3,	202.802491E-12
1.556212E+3,	192.649196E-12
1.556216E+3,	168.460362E-12
1.556220E+3,	166.883917E-12
1.556224E+3,	119.285520E-12
1.556228E+3,	88.766866E-12
1.556232E+3,	60.450638E-12
1.556236E+3,	47.844745E-12
1.556240E+3,	32.950446E-12
1.556244E+3,	19.472542E-12
1.556248E+3,	39.895886E-12
1.556252E+3,	47.476152E-12
1.556256E+3,	73.283392E-12
1.556260E+3,	95.722205E-12
1.556264E+3,	100.155544E-12
1.556268E+3,	175.220449E-12
1.556272E+3,	170.404932E-12
1.556276E+3,	221.481152E-12
1.556280E+3,	198.355724E-12
1.556284E+3,	215.171921E-12
1.556288E+3,	191.850845E-12
1.556292E+3,	204.204936E-12
1.556296E+3,	149.143559E-12
1.556300E+3,	110.415316E-12
1.556304E+3,	108.108100E-12
1.556308E+3,	97.693211E-12
1.556312E+3,	57.646864E-12
1.556316E+3,	41.069177E-12
1.556320E+3,	35.248682E-12
1.556324E+3,	16.653830E-12
1.556328E+3,	33.195204E-12
1.556332E+3,	38.215249E-12
1.556336E+3,	40.055281E-12
1.556340E+3,	53.399747E-12
1.556344E+3,	69.885060E-12
1.556348E+3,	97.114869E-12
1.556352E+3,	110.858776E-12
1.556356E+3,	93.818877E-12
1.556360E+3,	98.511209E-12
1.556364E+3,	91.970319E-12
1.556368E+3,	65.593760E-12
1.556372E+3,	63.268076E-12
1.556376E+3,	60.652306E-12
1.556380E+3,	46.983541E-12
1.556384E+3,	11.656059E-12
1.556388E+3,	1.865343E-12
1.556392E+3,	5.996016E-12
1.556396E+3,	19.086817E-12
1.556400E+3,	21.135921E-12
1.556404E+3,	0.000000E+0
1.556408E+3,	14.877937E-12
1.556412E+3,	7.552831E-12
1.556416E+3,	6.942331E-12
1.556420E+3,	0.000000E+0
1.556424E+3,	19.875077E-12
1.556428E+3,	16.394947E-12
1.556432E+3,	34.697347E-12
1.556436E+3,	45.879808E-12
1.556440E+3,	26.824534E-12
1.556444E+3,	53.384728E-12
1.556448E+3,	50.021914E-12
1.556452E+3,	33.284891E-12
1.556456E+3,	58.356327E-12
1.556460E+3,	41.885194E-12
1.556464E+3,	58.074630E-12
1.556468E+3,	56.121500E-12
1.556472E+3,	40.204504E-12
1.556476E+3,	44.684418E-12
1.556480E+3,	52.252795E-12
1.556484E+3,	107.165826E-12
1.556488E+3,	185.951784E-12
1.556492E+3,	238.945839E-12
1.556496E+3,	334.463338E-12
1.556500E+3,	464.902389E-12
1.556504E+3,	604.675639E-12
1.556508E+3,	744.661932E-12
1.556512E+3,	836.571060E-12
1.556516E+3,	985.856103E-12
1.556520E+3,	1.058793E-9
1.556524E+3,	1.084319E-9
1.556528E+3,	1.082320E-9
1.556532E+3,	995.566928E-12
1.556536E+3,	892.746455E-12
1.556540E+3,	802.396429E-12
1.556544E+3,	639.071664E-12
1.556548E+3,	518.645647E-12
