YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 26/06/2023 Time: 11:27:39,	
A_WL(nm),	A_I(mW)
1.558250E+3,	11.223364E-9
1.558254E+3,	10.761040E-9
1.558258E+3,	9.968035E-9
1.558262E+3,	8.930344E-9
1.558266E+3,	7.224454E-9
1.558270E+3,	5.611212E-9
1.558274E+3,	4.308015E-9
1.558278E+3,	3.020211E-9
1.558282E+3,	1.873004E-9
1.558286E+3,	1.224335E-9
1.558290E+3,	1.136581E-9
1.558294E+3,	1.626647E-9
1.558298E+3,	2.564670E-9
1.558302E+3,	3.664830E-9
1.558306E+3,	5.093462E-9
1.558310E+3,	7.118375E-9
1.558314E+3,	8.882749E-9
1.558318E+3,	10.141610E-9
1.558322E+3,	11.486869E-9
1.558326E+3,	12.330420E-9
1.558330E+3,	12.626986E-9
1.558334E+3,	12.378212E-9
1.558338E+3,	11.545333E-9
1.558342E+3,	10.499315E-9
1.558346E+3,	9.061748E-9
1.558350E+3,	7.117432E-9
1.558354E+3,	5.341038E-9
1.558358E+3,	3.978767E-9
1.558362E+3,	2.512725E-9
1.558366E+3,	1.618862E-9
1.558370E+3,	1.330184E-9
1.558374E+3,	1.433704E-9
1.558378E+3,	2.166033E-9
1.558382E+3,	3.261782E-9
1.558386E+3,	4.472168E-9
1.558390E+3,	6.422231E-9
1.558394E+3,	8.267624E-9
1.558398E+3,	9.654463E-9
1.558402E+3,	10.947013E-9
1.558406E+3,	11.990957E-9
1.558410E+3,	12.571884E-9
1.558414E+3,	12.677852E-9
1.558418E+3,	12.247630E-9
1.558422E+3,	11.385853E-9
1.558426E+3,	10.435498E-9
1.558430E+3,	8.938361E-9
1.558434E+3,	7.510433E-9
1.558438E+3,	6.415758E-9
1.558442E+3,	5.249362E-9
1.558446E+3,	4.135746E-9
1.558450E+3,	3.560778E-9
1.558454E+3,	3.397533E-9
1.558458E+3,	3.702127E-9
1.558462E+3,	4.294404E-9
1.558466E+3,	4.997687E-9
1.558470E+3,	5.999717E-9
1.558474E+3,	7.290801E-9
1.558478E+3,	8.376892E-9
1.558482E+3,	9.147268E-9
1.558486E+3,	10.026210E-9
1.558490E+3,	10.661867E-9
1.558494E+3,	11.004740E-9
1.558498E+3,	11.277988E-9
1.558502E+3,	11.468684E-9
1.558506E+3,	11.509213E-9
1.558510E+3,	11.485279E-9
1.558514E+3,	11.452073E-9
1.558518E+3,	11.422357E-9
1.558522E+3,	11.464060E-9
1.558526E+3,	11.542957E-9
1.558530E+3,	11.587783E-9
1.558534E+3,	11.519054E-9
1.558538E+3,	11.254981E-9
1.558542E+3,	10.772742E-9
1.558546E+3,	10.101355E-9
1.558550E+3,	9.394531E-9
1.558554E+3,	8.431486E-9
1.558558E+3,	7.552576E-9
1.558562E+3,	7.017257E-9
1.558566E+3,	6.698889E-9
1.558570E+3,	6.714060E-9
1.558574E+3,	7.192627E-9
1.558578E+3,	8.039691E-9
1.558582E+3,	9.787246E-9
1.558586E+3,	11.822925E-9
1.558590E+3,	13.716723E-9
1.558594E+3,	16.022831E-9
1.558598E+3,	18.463743E-9
1.558602E+3,	20.090920E-9
1.558606E+3,	20.757589E-9
1.558610E+3,	20.796474E-9
1.558614E+3,	19.950699E-9
1.558618E+3,	18.698642E-9
1.558622E+3,	16.542291E-9
1.558626E+3,	14.381780E-9
1.558630E+3,	12.725271E-9
1.558634E+3,	11.283659E-9
1.558638E+3,	10.531165E-9
1.558642E+3,	10.870875E-9
1.558646E+3,	12.022507E-9
1.558650E+3,	14.592008E-9
1.558654E+3,	17.927763E-9
1.558658E+3,	21.172492E-9
1.558662E+3,	24.844329E-9
1.558666E+3,	28.998031E-9
1.558670E+3,	32.292068E-9
1.558674E+3,	34.314346E-9
1.558678E+3,	35.869888E-9
1.558682E+3,	35.949150E-9
1.558686E+3,	35.084718E-9
1.558690E+3,	32.880428E-9
1.558694E+3,	30.451048E-9
1.558698E+3,	28.351002E-9
1.558702E+3,	26.529812E-9
1.558706E+3,	25.771848E-9
1.558710E+3,	26.974756E-9
1.558714E+3,	29.812460E-9
1.558718E+3,	35.674878E-9
1.558722E+3,	42.473690E-9
1.558726E+3,	48.714289E-9
1.558730E+3,	55.537838E-9
1.558734E+3,	62.689618E-9
1.558738E+3,	67.682026E-9
1.558742E+3,	69.508456E-9
1.558746E+3,	67.945519E-9
1.558750E+3,	62.848197E-9
1.558754E+3,	56.306827E-9
1.558758E+3,	47.583777E-9
1.558762E+3,	37.137226E-9
1.558766E+3,	28.783152E-9
1.558770E+3,	24.283713E-9
1.558774E+3,	23.179208E-9
1.558778E+3,	27.334965E-9
1.558782E+3,	35.082166E-9
1.558786E+3,	52.529569E-9
1.558790E+3,	74.083895E-9
1.558794E+3,	94.242606E-9
1.558798E+3,	118.408962E-9
1.558802E+3,	144.262840E-9
1.558806E+3,	164.143759E-9
1.558810E+3,	176.615339E-9
1.558814E+3,	186.691784E-9
