YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 23/10/2023 Time: 13:31:07,	
A_WL(nm),	A_I(mW)
1.545800E+3,	22.563860E-12
1.545804E+3,	0.000000E+0
1.545808E+3,	9.040338E-12
1.545812E+3,	11.037422E-12
1.545816E+3,	0.000000E+0
1.545820E+3,	1.894481E-12
1.545824E+3,	3.169753E-12
1.545828E+3,	25.116711E-12
1.545832E+3,	12.002725E-12
1.545836E+3,	14.621909E-12
1.545840E+3,	2.520535E-12
1.545844E+3,	0.000000E+0
1.545848E+3,	0.000000E+0
1.545852E+3,	9.546110E-12
1.545856E+3,	17.764932E-12
1.545860E+3,	8.954949E-12
1.545864E+3,	10.629912E-12
1.545868E+3,	0.000000E+0
1.545872E+3,	0.000000E+0
1.545876E+3,	0.000000E+0
1.545880E+3,	0.000000E+0
1.545884E+3,	36.341457E-12
1.545888E+3,	6.567170E-12
1.545892E+3,	622.965739E-15
1.545896E+3,	4.171422E-12
1.545900E+3,	18.256841E-12
1.545904E+3,	9.012662E-12
1.545908E+3,	1.400819E-12
1.545912E+3,	0.000000E+0
1.545916E+3,	8.247450E-12
1.545920E+3,	27.001515E-12
1.545924E+3,	10.632358E-12
1.545928E+3,	0.000000E+0
1.545932E+3,	0.000000E+0
1.545936E+3,	9.877860E-12
1.545940E+3,	4.362936E-12
1.545944E+3,	21.563196E-12
1.545948E+3,	14.381897E-12
1.545952E+3,	0.000000E+0
1.545956E+3,	12.457176E-12
1.545960E+3,	18.297192E-12
1.545964E+3,	13.544346E-12
1.545968E+3,	13.619821E-12
1.545972E+3,	0.000000E+0
1.545976E+3,	17.079886E-12
1.545980E+3,	22.580177E-12
1.545984E+3,	0.000000E+0
1.545988E+3,	0.000000E+0
1.545992E+3,	22.179410E-12
1.545996E+3,	3.136021E-12
1.546000E+3,	17.736970E-12
1.546004E+3,	0.000000E+0
1.546008E+3,	14.321426E-12
1.546012E+3,	3.452918E-12
1.546016E+3,	0.000000E+0
1.546020E+3,	0.000000E+0
1.546024E+3,	22.200669E-12
1.546028E+3,	1.436334E-12
1.546032E+3,	10.405192E-12
1.546036E+3,	14.732320E-12
1.546040E+3,	5.592814E-12
1.546044E+3,	20.682651E-12
1.546048E+3,	0.000000E+0
1.546052E+3,	0.000000E+0
1.546056E+3,	5.625498E-12
1.546060E+3,	10.559169E-12
1.546064E+3,	5.431421E-12
1.546068E+3,	4.075735E-12
1.546072E+3,	13.048785E-12
1.546076E+3,	26.311849E-12
1.546080E+3,	2.322378E-12
1.546084E+3,	0.000000E+0
1.546088E+3,	9.570786E-12
1.546092E+3,	0.000000E+0
1.546096E+3,	2.291936E-12
1.546100E+3,	23.903462E-12
1.546104E+3,	0.000000E+0
1.546108E+3,	18.500240E-12
1.546112E+3,	20.500275E-12
1.546116E+3,	11.105327E-12
1.546120E+3,	16.385368E-12
1.546124E+3,	23.742220E-12
1.546128E+3,	0.000000E+0
1.546132E+3,	0.000000E+0
1.546136E+3,	13.388590E-12
1.546140E+3,	38.878922E-12
1.546144E+3,	20.289747E-12
1.546148E+3,	29.743400E-12
1.546152E+3,	18.084493E-12
