YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 23/10/2023 Time: 13:31:59,	
A_WL(nm),	A_I(mW)
1.545800E+3,	0.000000E+0
1.545804E+3,	2.971056E-12
1.545808E+3,	0.000000E+0
1.545812E+3,	10.621240E-12
1.545816E+3,	14.296769E-12
1.545820E+3,	3.986853E-12
1.545824E+3,	21.114252E-12
1.545828E+3,	11.569204E-12
1.545832E+3,	21.901437E-12
1.545836E+3,	23.689706E-12
1.545840E+3,	2.074265E-12
1.545844E+3,	6.260487E-12
1.545848E+3,	0.000000E+0
1.545852E+3,	5.176228E-12
1.545856E+3,	0.000000E+0
1.545860E+3,	17.819121E-12
1.545864E+3,	3.961352E-12
1.545868E+3,	5.758515E-12
1.545872E+3,	0.000000E+0
1.545876E+3,	8.751325E-12
1.545880E+3,	14.296769E-12
1.545884E+3,	0.000000E+0
1.545888E+3,	0.000000E+0
1.545892E+3,	0.000000E+0
1.545896E+3,	12.926932E-12
1.545900E+3,	4.218397E-12
1.545904E+3,	13.374368E-12
1.545908E+3,	19.886722E-12
1.545912E+3,	4.308734E-12
1.545916E+3,	2.050298E-12
1.545920E+3,	0.000000E+0
1.545924E+3,	0.000000E+0
1.545928E+3,	3.235313E-12
1.545932E+3,	34.719948E-12
1.545936E+3,	30.344000E-12
1.545940E+3,	6.910454E-12
1.545944E+3,	0.000000E+0
1.545948E+3,	863.157502E-15
1.545952E+3,	20.046476E-12
1.545956E+3,	22.538840E-12
1.545960E+3,	6.297610E-12
1.545964E+3,	6.713259E-12
1.545968E+3,	12.621245E-12
1.545972E+3,	12.376260E-12
1.545976E+3,	0.000000E+0
1.545980E+3,	1.472477E-12
1.545984E+3,	6.731330E-12
1.545988E+3,	20.754937E-12
1.545992E+3,	15.392971E-12
1.545996E+3,	27.652601E-12
1.546000E+3,	14.068423E-12
1.546004E+3,	8.502352E-12
1.546008E+3,	0.000000E+0
1.546012E+3,	10.009740E-12
1.546016E+3,	17.053862E-12
1.546020E+3,	406.249059E-15
1.546024E+3,	0.000000E+0
1.546028E+3,	16.417740E-12
1.546032E+3,	1.271563E-12
1.546036E+3,	9.710300E-12
1.546040E+3,	6.153035E-12
1.546044E+3,	0.000000E+0
1.546048E+3,	23.465687E-12
1.546052E+3,	8.580951E-12
1.546056E+3,	13.969782E-12
1.546060E+3,	22.046717E-12
1.546064E+3,	14.613937E-12
1.546068E+3,	1.617422E-12
1.546072E+3,	23.145725E-12
1.546076E+3,	1.463246E-12
1.546080E+3,	0.000000E+0
1.546084E+3,	0.000000E+0
1.546088E+3,	8.341628E-12
1.546092E+3,	0.000000E+0
1.546096E+3,	0.000000E+0
1.546100E+3,	5.322966E-12
1.546104E+3,	0.000000E+0
1.546108E+3,	4.184189E-12
1.546112E+3,	4.166113E-12
1.546116E+3,	0.000000E+0
1.546120E+3,	0.000000E+0
1.546124E+3,	0.000000E+0
1.546128E+3,	9.859997E-12
1.546132E+3,	0.000000E+0
1.546136E+3,	0.000000E+0
1.546140E+3,	0.000000E+0
1.546144E+3,	0.000000E+0
1.546148E+3,	0.000000E+0
1.546152E+3,	27.194711E-12
1.546156E+3,	14.107813E-12
1.546160E+3,	0.000000E+0
1.546164E+3,	15.304342E-12
1.546168E+3,	20.854897E-12
1.546172E+3,	17.853620E-12
1.546176E+3,	14.430123E-12
1.546180E+3,	4.174304E-12
1.546184E+3,	7.584189E-12
1.546188E+3,	1.400835E-12
1.546192E+3,	0.000000E+0
1.546196E+3,	0.000000E+0
1.546200E+3,	191.379269E-15
1.546204E+3,	3.371553E-12
1.546208E+3,	11.778745E-12
1.546212E+3,	1.021155E-12
1.546216E+3,	0.000000E+0
1.546220E+3,	22.160270E-12
1.546224E+3,	0.000000E+0
1.546228E+3,	0.000000E+0
1.546232E+3,	13.424023E-12
1.546236E+3,	3.199260E-12
1.546240E+3,	6.540309E-12
1.546244E+3,	6.589790E-12
1.546248E+3,	6.788671E-12
1.546252E+3,	0.000000E+0
1.546256E+3,	12.991551E-12
1.546260E+3,	11.067052E-12
1.546264E+3,	4.065824E-12
1.546268E+3,	21.686574E-12
1.546272E+3,	10.874746E-12
1.546276E+3,	4.113779E-12
1.546280E+3,	85.270333E-15
1.546284E+3,	5.902206E-12
1.546288E+3,	22.107505E-12
1.546292E+3,	0.000000E+0
1.546296E+3,	0.000000E+0
1.546300E+3,	0.000000E+0
1.546304E+3,	0.000000E+0
1.546308E+3,	0.000000E+0
1.546312E+3,	0.000000E+0
1.546316E+3,	894.801665E-15
1.546320E+3,	20.854379E-12
1.546324E+3,	0.000000E+0
1.546328E+3,	13.987725E-12
1.546332E+3,	19.702315E-12
1.546336E+3,	30.408128E-12
1.546340E+3,	11.522962E-12
1.546344E+3,	4.110162E-12
1.546348E+3,	0.000000E+0
1.546352E+3,	15.741885E-12
1.546356E+3,	0.000000E+0
1.546360E+3,	5.510513E-12
1.546364E+3,	12.458187E-12
1.546368E+3,	28.653968E-12
1.546372E+3,	3.101067E-12
1.546376E+3,	24.458445E-12
1.546380E+3,	6.774276E-12
1.546384E+3,	0.000000E+0
1.546388E+3,	7.913273E-12
1.546392E+3,	12.706676E-12
1.546396E+3,	10.536078E-12
1.546400E+3,	5.575624E-12
1.546404E+3,	18.081760E-12
1.546408E+3,	4.928700E-12
1.546412E+3,	13.068442E-12
1.546416E+3,	12.525792E-12
1.546420E+3,	7.541932E-12
1.546424E+3,	0.000000E+0
1.546428E+3,	0.000000E+0
1.546432E+3,	298.093448E-15
1.546436E+3,	677.948179E-15
1.546440E+3,	6.635387E-12
1.546444E+3,	0.000000E+0
1.546448E+3,	6.050176E-12
1.546452E+3,	0.000000E+0
1.546456E+3,	2.414427E-12
1.546460E+3,	13.412116E-12
1.546464E+3,	8.422938E-12
1.546468E+3,	25.600025E-12
1.546472E+3,	10.680786E-12
1.546476E+3,	0.000000E+0
1.546480E+3,	0.000000E+0
1.546484E+3,	0.000000E+0
1.546488E+3,	8.051316E-12
1.546492E+3,	0.000000E+0
1.546496E+3,	13.990945E-12
1.546500E+3,	0.000000E+0
1.546504E+3,	17.722283E-12
1.546508E+3,	8.519383E-12
1.546512E+3,	6.395326E-12
1.546516E+3,	22.805200E-12
1.546520E+3,	29.264218E-12
1.546524E+3,	18.054334E-12
