YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 23/10/2023 Time: 13:30:41,	
A_WL(nm),	A_I(mW)
1.545800E+3,	338.066279E-15
1.545804E+3,	10.918926E-12
1.545808E+3,	16.326369E-12
1.545812E+3,	23.545200E-12
1.545816E+3,	7.396572E-12
1.545820E+3,	11.879468E-12
1.545824E+3,	19.311721E-12
1.545828E+3,	9.076465E-12
1.545832E+3,	1.562116E-12
1.545836E+3,	1.453736E-12
1.545840E+3,	18.522528E-12
1.545844E+3,	38.683231E-12
1.545848E+3,	14.193445E-12
1.545852E+3,	2.808487E-12
1.545856E+3,	14.278706E-12
1.545860E+3,	13.498796E-12
1.545864E+3,	0.000000E+0
1.545868E+3,	11.226000E-12
1.545872E+3,	4.921897E-12
1.545876E+3,	1.544051E-12
1.545880E+3,	0.000000E+0
1.545884E+3,	0.000000E+0
1.545888E+3,	9.179732E-12
1.545892E+3,	7.380210E-12
1.545896E+3,	1.092720E-12
1.545900E+3,	17.787090E-12
1.545904E+3,	14.675230E-12
1.545908E+3,	373.823168E-15
1.545912E+3,	0.000000E+0
1.545916E+3,	0.000000E+0
1.545920E+3,	24.038440E-12
1.545924E+3,	12.637852E-12
1.545928E+3,	0.000000E+0
1.545932E+3,	0.000000E+0
1.545936E+3,	17.949699E-12
1.545940E+3,	0.000000E+0
1.545944E+3,	0.000000E+0
1.545948E+3,	19.279251E-12
1.545952E+3,	10.484016E-12
1.545956E+3,	13.541228E-12
1.545960E+3,	0.000000E+0
1.545964E+3,	12.441973E-12
1.545968E+3,	11.632364E-12
1.545972E+3,	7.105908E-12
1.545976E+3,	0.000000E+0
1.545980E+3,	20.773006E-12
1.545984E+3,	11.285389E-12
1.545988E+3,	3.424215E-12
1.545992E+3,	0.000000E+0
1.545996E+3,	0.000000E+0
1.546000E+3,	24.821060E-12
1.546004E+3,	18.929701E-12
1.546008E+3,	7.919722E-12
1.546012E+3,	21.366085E-12
1.546016E+3,	31.171436E-12
1.546020E+3,	2.104985E-12
1.546024E+3,	4.653089E-12
1.546028E+3,	1.183330E-12
1.546032E+3,	1.590473E-12
1.546036E+3,	15.554105E-12
1.546040E+3,	0.000000E+0
1.546044E+3,	5.719317E-12
1.546048E+3,	7.191073E-12
1.546052E+3,	4.438894E-12
1.546056E+3,	0.000000E+0
1.546060E+3,	23.886831E-12
1.546064E+3,	2.394683E-12
1.546068E+3,	31.713666E-12
1.546072E+3,	13.112582E-12
1.546076E+3,	0.000000E+0
1.546080E+3,	7.528216E-12
1.546084E+3,	0.000000E+0
1.546088E+3,	5.769800E-12
1.546092E+3,	22.458844E-12
1.546096E+3,	0.000000E+0
1.546100E+3,	0.000000E+0
1.546104E+3,	13.131721E-12
1.546108E+3,	15.752713E-12
1.546112E+3,	8.323551E-12
1.546116E+3,	5.712127E-12
1.546120E+3,	0.000000E+0
1.546124E+3,	47.276942E-12
1.546128E+3,	33.051273E-12
1.546132E+3,	2.316596E-12
1.546136E+3,	0.000000E+0
1.546140E+3,	0.000000E+0
1.546144E+3,	0.000000E+0
1.546148E+3,	0.000000E+0
1.546152E+3,	20.127064E-12
1.546156E+3,	9.795135E-12
1.546160E+3,	0.000000E+0
1.546164E+3,	12.881624E-12
1.546168E+3,	22.572496E-12
1.546172E+3,	14.883441E-12
1.546176E+3,	9.213030E-12
1.546180E+3,	12.809304E-12
1.546184E+3,	6.644030E-12
1.546188E+3,	10.766265E-12
1.546192E+3,	0.000000E+0
1.546196E+3,	0.000000E+0
1.546200E+3,	16.497623E-12
1.546204E+3,	0.000000E+0
1.546208E+3,	0.000000E+0
1.546212E+3,	4.712366E-12
1.546216E+3,	2.283467E-12
1.546220E+3,	14.740247E-12
1.546224E+3,	0.000000E+0
1.546228E+3,	2.919553E-12
1.546232E+3,	12.610426E-12
1.546236E+3,	19.113900E-12
1.546240E+3,	4.827467E-12
1.546244E+3,	0.000000E+0
1.546248E+3,	10.024986E-12
1.546252E+3,	2.351841E-12
1.546256E+3,	0.000000E+0
1.546260E+3,	6.170334E-12
1.546264E+3,	0.000000E+0
1.546268E+3,	0.000000E+0
1.546272E+3,	225.635716E-15
1.546276E+3,	6.374297E-12
1.546280E+3,	4.144629E-12
1.546284E+3,	0.000000E+0
1.546288E+3,	0.000000E+0
1.546292E+3,	0.000000E+0
1.546296E+3,	928.799051E-15
1.546300E+3,	8.162981E-12
1.546304E+3,	23.033413E-12
1.546308E+3,	659.707767E-15
1.546312E+3,	0.000000E+0
1.546316E+3,	3.444667E-12
1.546320E+3,	5.408393E-12
1.546324E+3,	0.000000E+0
1.546328E+3,	5.777521E-12
1.546332E+3,	24.693539E-12
1.546336E+3,	0.000000E+0
1.546340E+3,	11.135361E-12
1.546344E+3,	20.082083E-12
1.546348E+3,	13.155853E-12
1.546352E+3,	7.133832E-12
1.546356E+3,	18.599181E-12
1.546360E+3,	0.000000E+0
1.546364E+3,	18.602991E-12
1.546368E+3,	8.291217E-12
1.546372E+3,	23.481900E-12
1.546376E+3,	338.533387E-15
1.546380E+3,	0.000000E+0
1.546384E+3,	20.364194E-12
1.546388E+3,	0.000000E+0
1.546392E+3,	16.324336E-12
1.546396E+3,	0.000000E+0
1.546400E+3,	0.000000E+0
1.546404E+3,	2.133581E-12
1.546408E+3,	26.761291E-12
1.546412E+3,	0.000000E+0
1.546416E+3,	0.000000E+0
1.546420E+3,	24.229994E-12
1.546424E+3,	0.000000E+0
1.546428E+3,	13.430207E-12
1.546432E+3,	0.000000E+0
1.546436E+3,	4.313698E-12
1.546440E+3,	0.000000E+0
1.546444E+3,	0.000000E+0
1.546448E+3,	5.073407E-12
1.546452E+3,	0.000000E+0
1.546456E+3,	28.751009E-12
1.546460E+3,	11.640529E-12
1.546464E+3,	17.286634E-12
1.546468E+3,	19.688762E-12
1.546472E+3,	14.678300E-12
1.546476E+3,	13.412122E-12
1.546480E+3,	9.233719E-12
1.546484E+3,	20.361226E-12
1.546488E+3,	10.267609E-12
1.546492E+3,	0.000000E+0
1.546496E+3,	0.000000E+0
1.546500E+3,	0.000000E+0
1.546504E+3,	0.000000E+0
1.546508E+3,	0.000000E+0
1.546512E+3,	8.729257E-12
1.546516E+3,	0.000000E+0
1.546520E+3,	0.000000E+0
1.546524E+3,	3.878344E-12
1.546528E+3,	39.271263E-12
1.546532E+3,	16.671855E-12
1.546536E+3,	10.321394E-12
1.546540E+3,	13.486855E-12
1.546544E+3,	850.805224E-15
1.546548E+3,	25.367098E-12
1.546552E+3,	15.188272E-12
1.546556E+3,	17.576479E-12
1.546560E+3,	33.371208E-12
1.546564E+3,	3.316413E-12
1.546568E+3,	0.000000E+0
1.546572E+3,	8.910181E-12
1.546576E+3,	0.000000E+0
1.546580E+3,	7.734170E-12
1.546584E+3,	10.774769E-12
1.546588E+3,	11.689185E-12
1.546592E+3,	11.587867E-12
1.546596E+3,	18.101163E-12
1.546600E+3,	17.504108E-12
1.546604E+3,	7.147761E-12
1.546608E+3,	0.000000E+0
1.546612E+3,	11.608632E-12
1.546616E+3,	8.007401E-12
1.546620E+3,	11.101926E-12
1.546624E+3,	14.698901E-12
1.546628E+3,	12.278210E-12
1.546632E+3,	14.504095E-12
1.546636E+3,	696.356679E-15
1.546640E+3,	4.008042E-12
1.546644E+3,	3.572659E-12
