YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 26/06/2023 Time: 11:46:41,	
A_WL(nm),	A_I(mW)
1.558250E+3,	15.405172E-9
1.558254E+3,	16.532005E-9
1.558258E+3,	17.418696E-9
1.558262E+3,	18.306218E-9
1.558266E+3,	19.579247E-9
1.558270E+3,	20.727484E-9
1.558274E+3,	21.638375E-9
1.558278E+3,	22.533516E-9
1.558282E+3,	23.427103E-9
1.558286E+3,	24.114018E-9
1.558290E+3,	24.518898E-9
1.558294E+3,	24.793825E-9
1.558298E+3,	24.870893E-9
1.558302E+3,	24.844769E-9
1.558306E+3,	24.606903E-9
1.558310E+3,	24.319307E-9
1.558314E+3,	23.973292E-9
1.558318E+3,	23.446940E-9
1.558322E+3,	22.833545E-9
1.558326E+3,	22.232774E-9
1.558330E+3,	21.819598E-9
1.558334E+3,	21.287308E-9
1.558338E+3,	20.860451E-9
1.558342E+3,	20.499582E-9
1.558346E+3,	20.080614E-9
1.558350E+3,	19.647087E-9
1.558354E+3,	19.270936E-9
1.558358E+3,	19.024849E-9
1.558362E+3,	18.747191E-9
1.558366E+3,	18.545711E-9
1.558370E+3,	18.414514E-9
1.558374E+3,	18.149986E-9
1.558378E+3,	17.884113E-9
1.558382E+3,	17.635441E-9
1.558386E+3,	17.352547E-9
1.558390E+3,	16.968917E-9
1.558394E+3,	16.553488E-9
1.558398E+3,	16.127352E-9
1.558402E+3,	15.484373E-9
1.558406E+3,	14.860263E-9
1.558410E+3,	14.291685E-9
1.558414E+3,	13.612464E-9
1.558418E+3,	12.744519E-9
1.558422E+3,	11.830024E-9
1.558426E+3,	11.159623E-9
1.558430E+3,	10.311545E-9
1.558434E+3,	9.612128E-9
1.558438E+3,	9.044561E-9
1.558442E+3,	8.420109E-9
1.558446E+3,	7.759238E-9
1.558450E+3,	7.158012E-9
1.558454E+3,	6.724717E-9
1.558458E+3,	6.142958E-9
1.558462E+3,	5.649623E-9
1.558466E+3,	5.291608E-9
1.558470E+3,	4.825204E-9
1.558474E+3,	4.331418E-9
1.558478E+3,	3.958422E-9
1.558482E+3,	3.545930E-9
1.558486E+3,	3.100845E-9
1.558490E+3,	2.720956E-9
1.558494E+3,	2.446145E-9
1.558498E+3,	2.118148E-9
1.558502E+3,	1.858756E-9
1.558506E+3,	1.731100E-9
1.558510E+3,	1.606840E-9
1.558514E+3,	1.569780E-9
1.558518E+3,	1.587681E-9
1.558522E+3,	1.637441E-9
1.558526E+3,	1.776603E-9
1.558530E+3,	2.006294E-9
1.558534E+3,	2.207891E-9
1.558538E+3,	2.533825E-9
1.558542E+3,	2.949890E-9
1.558546E+3,	3.359769E-9
1.558550E+3,	3.797958E-9
1.558554E+3,	4.470689E-9
1.558558E+3,	5.179886E-9
1.558562E+3,	5.846534E-9
1.558566E+3,	6.911698E-9
1.558570E+3,	8.011054E-9
1.558574E+3,	9.106566E-9
1.558578E+3,	10.548730E-9
1.558582E+3,	12.681249E-9
1.558586E+3,	15.000521E-9
1.558590E+3,	17.001994E-9
1.558594E+3,	19.826605E-9
1.558598E+3,	22.682227E-9
1.558602E+3,	25.158266E-9
1.558606E+3,	27.982332E-9
1.558610E+3,	31.329652E-9
1.558614E+3,	34.295649E-9
1.558618E+3,	36.729389E-9
1.558622E+3,	39.357877E-9
1.558626E+3,	41.305593E-9
1.558630E+3,	42.652465E-9
1.558634E+3,	43.983492E-9
1.558638E+3,	45.335664E-9
1.558642E+3,	46.170704E-9
1.558646E+3,	46.616203E-9
1.558650E+3,	46.925808E-9
1.558654E+3,	47.156329E-9
1.558658E+3,	47.548965E-9
1.558662E+3,	48.629653E-9
1.558666E+3,	50.315670E-9
1.558670E+3,	52.383683E-9
1.558674E+3,	55.386627E-9
1.558678E+3,	60.121765E-9
1.558682E+3,	66.076984E-9
1.558686E+3,	72.225984E-9
1.558690E+3,	82.263145E-9
1.558694E+3,	93.660924E-9
1.558698E+3,	104.670819E-9
1.558702E+3,	118.213018E-9
1.558706E+3,	135.792657E-9
1.558710E+3,	152.219473E-9
1.558714E+3,	165.706213E-9
1.558718E+3,	184.130557E-9
1.558722E+3,	201.285624E-9
1.558726E+3,	215.628193E-9
1.558730E+3,	229.052475E-9
1.558734E+3,	241.876401E-9
1.558738E+3,	252.487194E-9
1.558742E+3,	258.651822E-9
1.558746E+3,	264.991514E-9
1.558750E+3,	269.302586E-9
1.558754E+3,	271.961220E-9
1.558758E+3,	273.534363E-9
1.558762E+3,	273.125030E-9
1.558766E+3,	270.948189E-9
1.558770E+3,	266.848057E-9
1.558774E+3,	259.867488E-9
1.558778E+3,	252.227064E-9
1.558782E+3,	245.595660E-9
1.558786E+3,	237.776861E-9
1.558790E+3,	232.344972E-9
1.558794E+3,	229.240036E-9
1.558798E+3,	227.085019E-9
1.558802E+3,	226.388098E-9
1.558806E+3,	228.237423E-9
1.558810E+3,	231.905310E-9
1.558814E+3,	239.189859E-9
1.558818E+3,	248.375880E-9
1.558822E+3,	257.495292E-9
1.558826E+3,	270.842103E-9
1.558830E+3,	283.075887E-9
1.558834E+3,	292.030525E-9
1.558838E+3,	301.254290E-9
1.558842E+3,	311.351637E-9
1.558846E+3,	319.238024E-9
1.558850E+3,	324.743194E-9
1.558854E+3,	330.870458E-9
1.558858E+3,	334.994571E-9
1.558862E+3,	336.998176E-9
1.558866E+3,	337.960213E-9
1.558870E+3,	338.375777E-9
1.558874E+3,	338.551921E-9
1.558878E+3,	338.672490E-9
1.558882E+3,	338.972044E-9
1.558886E+3,	340.044176E-9
1.558890E+3,	341.546178E-9
1.558894E+3,	344.706831E-9
1.558898E+3,	350.452785E-9
1.558902E+3,	358.114699E-9
1.558906E+3,	366.644814E-9
1.558910E+3,	381.220576E-9
1.558914E+3,	395.957055E-9
1.558918E+3,	408.838123E-9
1.558922E+3,	427.958901E-9
1.558926E+3,	445.898272E-9
1.558930E+3,	460.187068E-9
1.558934E+3,	477.022663E-9
1.558938E+3,	496.894534E-9
1.558942E+3,	513.756518E-9
1.558946E+3,	524.828513E-9
1.558950E+3,	535.378113E-9
1.558954E+3,	541.802692E-9
1.558958E+3,	544.643060E-9
1.558962E+3,	545.062220E-9
1.558966E+3,	542.373119E-9
1.558970E+3,	536.777835E-9
1.558974E+3,	529.989829E-9
1.558978E+3,	518.030887E-9
1.558982E+3,	505.355300E-9
1.558986E+3,	493.960659E-9
1.558990E+3,	481.497576E-9
1.558994E+3,	468.195055E-9
1.558998E+3,	457.574186E-9
1.559002E+3,	449.558690E-9
1.559006E+3,	440.447970E-9
1.559010E+3,	433.058416E-9
1.559014E+3,	427.685721E-9
1.559018E+3,	421.868031E-9
1.559022E+3,	419.526403E-9
1.559026E+3,	419.741569E-9
1.559030E+3,	421.857150E-9
1.559034E+3,	426.248051E-9
1.559038E+3,	431.556467E-9
1.559042E+3,	436.456146E-9
1.559046E+3,	443.564670E-9
1.559050E+3,	450.442848E-9
1.559054E+3,	456.054733E-9
1.559058E+3,	463.083513E-9
1.559062E+3,	467.471918E-9
1.559066E+3,	469.051435E-9
1.559070E+3,	468.380581E-9
1.559074E+3,	464.873152E-9
1.559078E+3,	459.912701E-9
1.559082E+3,	454.649672E-9
1.559086E+3,	447.004680E-9
1.559090E+3,	439.925746E-9
1.559094E+3,	434.842637E-9
1.559098E+3,	429.263619E-9
1.559102E+3,	425.435065E-9
1.559106E+3,	424.203096E-9
1.559110E+3,	425.528007E-9
1.559114E+3,	431.748998E-9
1.559118E+3,	441.089022E-9
1.559122E+3,	452.444122E-9
1.559126E+3,	471.863602E-9
1.559130E+3,	492.084620E-9
1.559134E+3,	510.242154E-9
1.559138E+3,	536.132420E-9
1.559142E+3,	560.466784E-9
1.559146E+3,	582.513303E-9
1.559150E+3,	607.596404E-9
1.559154E+3,	635.380044E-9
1.559158E+3,	658.881941E-9
1.559162E+3,	675.773344E-9
1.559166E+3,	695.266464E-9
1.559170E+3,	709.989626E-9
1.559174E+3,	719.319258E-9
1.559178E+3,	727.783757E-9
1.559182E+3,	731.162260E-9
1.559186E+3,	729.614124E-9
1.559190E+3,	722.630699E-9
1.559194E+3,	708.880470E-9
1.559198E+3,	692.210869E-9
1.559202E+3,	674.868296E-9
1.559206E+3,	648.474983E-9
1.559210E+3,	622.895593E-9
1.559214E+3,	600.598244E-9
1.559218E+3,	569.056436E-9
1.559222E+3,	538.280092E-9
1.559226E+3,	512.283981E-9
1.559230E+3,	484.726664E-9
1.559234E+3,	454.992724E-9
1.559238E+3,	430.210926E-9
1.559242E+3,	413.066761E-9
1.559246E+3,	395.727677E-9
1.559250E+3,	383.649022E-9
1.559254E+3,	376.441720E-9
1.559258E+3,	371.105717E-9
1.559262E+3,	370.926947E-9
1.559266E+3,	375.321931E-9
1.559270E+3,	383.860866E-9
1.559274E+3,	398.413049E-9
1.559278E+3,	415.436242E-9
1.559282E+3,	431.294288E-9
1.559286E+3,	454.121424E-9
1.559290E+3,	475.900816E-9
1.559294E+3,	493.364176E-9
1.559298E+3,	517.155443E-9
1.559302E+3,	537.602084E-9
1.559306E+3,	554.023964E-9
1.559310E+3,	570.801975E-9
1.559314E+3,	587.897161E-9
1.559318E+3,	601.827884E-9
1.559322E+3,	611.628145E-9
1.559326E+3,	623.511127E-9
1.559330E+3,	634.907299E-9
1.559334E+3,	644.401945E-9
1.559338E+3,	656.632604E-9
1.559342E+3,	665.804866E-9
1.559346E+3,	672.267979E-9
1.559350E+3,	678.896426E-9
1.559354E+3,	686.796448E-9
1.559358E+3,	695.181670E-9
1.559362E+3,	702.951945E-9
1.559366E+3,	713.332168E-9
1.559370E+3,	720.439385E-9
1.559374E+3,	723.881436E-9
1.559378E+3,	725.846276E-9
1.559382E+3,	725.701187E-9
1.559386E+3,	724.056353E-9
1.559390E+3,	719.952687E-9
1.559394E+3,	710.386194E-9
1.559398E+3,	697.921092E-9
1.559402E+3,	684.876759E-9
1.559406E+3,	661.788642E-9
1.559410E+3,	636.111648E-9
1.559414E+3,	612.145836E-9
1.559418E+3,	576.327154E-9
1.559422E+3,	541.658927E-9
1.559426E+3,	513.573139E-9
1.559430E+3,	483.092824E-9
1.559434E+3,	448.555299E-9
1.559438E+3,	419.922964E-9
1.559442E+3,	399.609306E-9
1.559446E+3,	378.472047E-9
1.559450E+3,	364.483202E-9
1.559454E+3,	358.720683E-9
1.559458E+3,	358.124193E-9
1.559462E+3,	363.290471E-9
1.559466E+3,	371.745743E-9
1.559470E+3,	386.017811E-9
1.559474E+3,	410.775450E-9
1.559478E+3,	438.748941E-9
1.559482E+3,	466.470746E-9
1.559486E+3,	506.437206E-9
1.559490E+3,	544.753531E-9
1.559494E+3,	576.201921E-9
1.559498E+3,	614.537421E-9
1.559502E+3,	647.460538E-9
1.559506E+3,	673.302985E-9
1.559510E+3,	700.899780E-9
1.559514E+3,	730.507343E-9
1.559518E+3,	753.787447E-9
1.559522E+3,	769.637072E-9
1.559526E+3,	784.147092E-9
1.559530E+3,	791.740005E-9
1.559534E+3,	794.454038E-9
1.559538E+3,	794.886767E-9
1.559542E+3,	792.695218E-9
1.559546E+3,	789.052630E-9
1.559550E+3,	780.962326E-9
1.559554E+3,	767.196510E-9
1.559558E+3,	751.837749E-9
1.559562E+3,	739.028256E-9
1.559566E+3,	725.580550E-9
1.559570E+3,	716.026869E-9
1.559574E+3,	709.259363E-9
1.559578E+3,	700.472392E-9
1.559582E+3,	692.328931E-9
1.559586E+3,	686.106254E-9
1.559590E+3,	680.915702E-9
1.559594E+3,	677.108572E-9
1.559598E+3,	675.084933E-9
1.559602E+3,	674.081807E-9
1.559606E+3,	673.267600E-9
1.559610E+3,	671.784111E-9
1.559614E+3,	669.632004E-9
1.559618E+3,	665.137724E-9
1.559622E+3,	660.131821E-9
1.559626E+3,	655.140586E-9
1.559630E+3,	649.599918E-9
1.559634E+3,	642.661438E-9
1.559638E+3,	635.590212E-9
1.559642E+3,	629.372408E-9
1.559646E+3,	619.960744E-9
1.559650E+3,	610.758819E-9
1.559654E+3,	603.372720E-9
1.559658E+3,	596.565682E-9
1.559662E+3,	591.596135E-9
1.559666E+3,	588.169978E-9
1.559670E+3,	584.525405E-9
1.559674E+3,	581.490739E-9
1.559678E+3,	580.909777E-9
1.559682E+3,	582.770635E-9
1.559686E+3,	588.940213E-9
1.559690E+3,	598.159792E-9
1.559694E+3,	608.152926E-9
1.559698E+3,	623.812638E-9
1.559702E+3,	638.884013E-9
1.559706E+3,	651.183512E-9
1.559710E+3,	665.633618E-9
1.559714E+3,	684.802745E-9
1.559718E+3,	702.621892E-9
1.559722E+3,	717.218682E-9
1.559726E+3,	734.296634E-9
1.559730E+3,	746.447124E-9
1.559734E+3,	754.292882E-9
1.559738E+3,	762.024763E-9
1.559742E+3,	767.030605E-9
1.559746E+3,	769.362432E-9
1.559750E+3,	770.044618E-9
1.559754E+3,	767.834072E-9
1.559758E+3,	762.472691E-9
1.559762E+3,	754.882764E-9
1.559766E+3,	741.281682E-9
1.559770E+3,	727.867967E-9
1.559774E+3,	718.272395E-9
1.559778E+3,	709.120373E-9
1.559782E+3,	704.395656E-9
1.559786E+3,	702.966263E-9
1.559790E+3,	703.110690E-9
1.559794E+3,	705.670059E-9
1.559798E+3,	710.834369E-9
1.559802E+3,	717.682382E-9
1.559806E+3,	731.162166E-9
1.559810E+3,	746.854864E-9
1.559814E+3,	760.730461E-9
1.559818E+3,	779.825146E-9
1.559822E+3,	794.024024E-9
1.559826E+3,	802.517569E-9
1.559830E+3,	808.722402E-9
1.559834E+3,	813.574128E-9
1.559838E+3,	816.607005E-9
1.559842E+3,	817.552445E-9
1.559846E+3,	816.036206E-9
1.559850E+3,	810.584044E-9
1.559854E+3,	802.099537E-9
1.559858E+3,	786.540388E-9
1.559862E+3,	768.621010E-9
1.559866E+3,	752.377137E-9
1.559870E+3,	732.042104E-9
1.559874E+3,	704.758467E-9
1.559878E+3,	680.040229E-9
1.559882E+3,	659.086411E-9
1.559886E+3,	629.258644E-9
1.559890E+3,	601.273074E-9
1.559894E+3,	580.054196E-9
1.559898E+3,	556.158259E-9
1.559902E+3,	539.217792E-9
1.559906E+3,	529.908549E-9
1.559910E+3,	523.932009E-9
1.559914E+3,	522.665401E-9
1.559918E+3,	527.120251E-9
1.559922E+3,	535.505456E-9
1.559926E+3,	553.149214E-9
1.559930E+3,	574.706242E-9
1.559934E+3,	595.866054E-9
1.559938E+3,	626.631218E-9
1.559942E+3,	655.849665E-9
1.559946E+3,	680.597176E-9
1.559950E+3,	709.006178E-9
1.559954E+3,	742.841319E-9
1.559958E+3,	771.932228E-9
1.559962E+3,	793.271329E-9
1.559966E+3,	819.283844E-9
1.559970E+3,	840.018570E-9
1.559974E+3,	854.273940E-9
1.559978E+3,	869.059477E-9
1.559982E+3,	878.415774E-9
1.559986E+3,	882.251101E-9
1.559990E+3,	884.610760E-9
1.559994E+3,	885.351421E-9
1.559998E+3,	884.960207E-9
1.560002E+3,	882.138698E-9
1.560006E+3,	874.594347E-9
1.560010E+3,	864.802473E-9
1.560014E+3,	855.229249E-9
1.560018E+3,	841.822435E-9
1.560022E+3,	829.994014E-9
1.560026E+3,	820.303864E-9
1.560030E+3,	806.417932E-9
1.560034E+3,	792.291510E-9
1.560038E+3,	779.512234E-9
1.560042E+3,	764.677844E-9
1.560046E+3,	745.795225E-9
1.560050E+3,	727.736565E-9
1.560054E+3,	712.211189E-9
1.560058E+3,	691.625892E-9
1.560062E+3,	670.401535E-9
1.560066E+3,	649.637509E-9
1.560070E+3,	619.473018E-9
1.560074E+3,	592.090612E-9
1.560078E+3,	570.991351E-9
1.560082E+3,	544.676731E-9
1.560086E+3,	521.398018E-9
1.560090E+3,	502.307165E-9
1.560094E+3,	482.225486E-9
1.560098E+3,	462.611000E-9
1.560102E+3,	449.373421E-9
1.560106E+3,	442.894849E-9
1.560110E+3,	440.326536E-9
1.560114E+3,	445.274342E-9
1.560118E+3,	456.042577E-9
1.560122E+3,	477.981742E-9
1.560126E+3,	503.338434E-9
1.560130E+3,	528.096944E-9
1.560134E+3,	565.523532E-9
1.560138E+3,	606.409388E-9
1.560142E+3,	645.015761E-9
1.560146E+3,	691.138686E-9
1.560150E+3,	747.744203E-9
1.560154E+3,	795.253752E-9
1.560158E+3,	831.536356E-9
1.560162E+3,	876.837165E-9
1.560166E+3,	914.276965E-9
1.560170E+3,	943.457301E-9
1.560174E+3,	976.478581E-9
1.560178E+3,	999.581112E-9
1.560182E+3,	1.011649E-6
1.560186E+3,	1.017321E-6
1.560190E+3,	1.013620E-6
1.560194E+3,	1.003871E-6
1.560198E+3,	986.735176E-9
1.560202E+3,	959.605203E-9
1.560206E+3,	930.081739E-9
1.560210E+3,	902.800912E-9
1.560214E+3,	861.097126E-9
1.560218E+3,	817.366295E-9
1.560222E+3,	777.369930E-9
1.560226E+3,	721.622885E-9
1.560230E+3,	672.680235E-9
1.560234E+3,	636.349562E-9
1.560238E+3,	591.657825E-9
1.560242E+3,	553.749843E-9
1.560246E+3,	525.919499E-9
1.560250E+3,	497.545787E-9
1.560254E+3,	470.868564E-9
1.560258E+3,	454.080883E-9
1.560262E+3,	447.113429E-9
1.560266E+3,	446.313647E-9
1.560270E+3,	452.203649E-9
1.560274E+3,	462.353239E-9
1.560278E+3,	482.362233E-9
1.560282E+3,	506.152423E-9
1.560286E+3,	530.010245E-9
1.560290E+3,	564.514275E-9
1.560294E+3,	597.814511E-9
1.560298E+3,	626.075350E-9
1.560302E+3,	658.212189E-9
1.560306E+3,	694.574526E-9
1.560310E+3,	723.767421E-9
1.560314E+3,	745.783675E-9
1.560318E+3,	773.355480E-9
1.560322E+3,	796.647319E-9
1.560326E+3,	813.822229E-9
1.560330E+3,	834.013848E-9
1.560334E+3,	848.550745E-9
1.560338E+3,	858.238814E-9
1.560342E+3,	868.081860E-9
1.560346E+3,	875.229421E-9
1.560350E+3,	880.819515E-9
1.560354E+3,	887.697821E-9
1.560358E+3,	894.763852E-9
1.560362E+3,	898.201638E-9
1.560366E+3,	897.558532E-9
1.560370E+3,	893.423042E-9
1.560374E+3,	888.578638E-9
1.560378E+3,	883.853619E-9
1.560382E+3,	878.048397E-9
1.560386E+3,	872.182964E-9
1.560390E+3,	865.552121E-9
1.560394E+3,	852.379118E-9
1.560398E+3,	836.778594E-9
1.560402E+3,	821.573344E-9
1.560406E+3,	802.351407E-9
1.560410E+3,	776.556326E-9
1.560414E+3,	751.772709E-9
1.560418E+3,	731.039383E-9
1.560422E+3,	702.771910E-9
1.560426E+3,	676.253568E-9
1.560430E+3,	655.533648E-9
1.560434E+3,	631.094374E-9
1.560438E+3,	611.940908E-9
1.560442E+3,	600.469784E-9
1.560446E+3,	591.729712E-9
1.560450E+3,	589.240500E-9
1.560454E+3,	591.242530E-9
1.560458E+3,	597.113199E-9
1.560462E+3,	610.035370E-9
1.560466E+3,	626.330926E-9
1.560470E+3,	645.327232E-9
1.560474E+3,	676.010241E-9
1.560478E+3,	706.383843E-9
1.560482E+3,	730.116944E-9
1.560486E+3,	761.689461E-9
1.560490E+3,	789.764974E-9
1.560494E+3,	810.865898E-9
1.560498E+3,	834.499245E-9
1.560502E+3,	852.644507E-9
1.560506E+3,	865.787578E-9
1.560510E+3,	876.955449E-9
1.560514E+3,	884.709499E-9
1.560518E+3,	885.139909E-9
1.560522E+3,	879.553720E-9
1.560526E+3,	866.986864E-9
1.560530E+3,	852.425798E-9
1.560534E+3,	837.805467E-9
1.560538E+3,	814.977309E-9
1.560542E+3,	790.695207E-9
1.560546E+3,	767.668696E-9
1.560550E+3,	734.371629E-9
1.560554E+3,	704.262413E-9
1.560558E+3,	683.195161E-9
1.560562E+3,	664.820044E-9
1.560566E+3,	648.260690E-9
1.560570E+3,	637.728933E-9
1.560574E+3,	633.512158E-9
1.560578E+3,	633.595269E-9
1.560582E+3,	639.341290E-9
1.560586E+3,	648.808399E-9
1.560590E+3,	668.514628E-9
1.560594E+3,	693.215821E-9
1.560598E+3,	717.570671E-9
1.560602E+3,	752.686860E-9
1.560606E+3,	785.663560E-9
1.560610E+3,	812.090325E-9
1.560614E+3,	839.258586E-9
1.560618E+3,	869.843137E-9
1.560622E+3,	895.656225E-9
1.560626E+3,	912.487883E-9
1.560630E+3,	927.263778E-9
1.560634E+3,	932.946728E-9
1.560638E+3,	931.524705E-9
1.560642E+3,	922.522522E-9
1.560646E+3,	909.852612E-9
1.560650E+3,	894.628511E-9
1.560654E+3,	870.099015E-9
1.560658E+3,	843.677744E-9
1.560662E+3,	819.471934E-9
1.560666E+3,	785.454297E-9
1.560670E+3,	751.879758E-9
1.560674E+3,	724.916224E-9
1.560678E+3,	696.295529E-9
1.560682E+3,	664.973958E-9
1.560686E+3,	639.860708E-9
1.560690E+3,	620.916365E-9
1.560694E+3,	599.321218E-9
1.560698E+3,	582.948995E-9
1.560702E+3,	571.766153E-9
1.560706E+3,	560.216248E-9
1.560710E+3,	554.178085E-9
1.560714E+3,	553.467815E-9
1.560718E+3,	557.183670E-9
1.560722E+3,	563.837523E-9
1.560726E+3,	570.455594E-9
1.560730E+3,	578.813488E-9
1.560734E+3,	590.671979E-9
1.560738E+3,	603.785793E-9
1.560742E+3,	616.612693E-9
1.560746E+3,	634.002407E-9
1.560750E+3,	650.730342E-9
1.560754E+3,	664.153592E-9
1.560758E+3,	681.224313E-9
1.560762E+3,	696.738496E-9
1.560766E+3,	708.660697E-9
1.560770E+3,	723.777497E-9
1.560774E+3,	737.434130E-9
1.560778E+3,	748.974949E-9
1.560782E+3,	761.986296E-9
1.560786E+3,	776.927218E-9
1.560790E+3,	789.375702E-9
1.560794E+3,	798.838075E-9
1.560798E+3,	811.723947E-9
1.560802E+3,	824.698484E-9
1.560806E+3,	836.637057E-9
1.560810E+3,	853.067866E-9
1.560814E+3,	867.605364E-9
1.560818E+3,	878.011824E-9
1.560822E+3,	889.099758E-9
1.560826E+3,	896.515807E-9
1.560830E+3,	900.565004E-9
1.560834E+3,	903.613051E-9
1.560838E+3,	904.232914E-9
1.560842E+3,	900.935776E-9
1.560846E+3,	893.716917E-9
1.560850E+3,	876.602566E-9
1.560854E+3,	856.267452E-9
1.560858E+3,	837.407357E-9
1.560862E+3,	807.734790E-9
1.560866E+3,	776.087753E-9
1.560870E+3,	748.589959E-9
1.560874E+3,	708.718186E-9
1.560878E+3,	670.036798E-9
1.560882E+3,	636.517723E-9
1.560886E+3,	599.020568E-9
1.560890E+3,	555.782396E-9
1.560894E+3,	519.938638E-9
1.560898E+3,	494.845355E-9
1.560902E+3,	469.531655E-9
1.560906E+3,	453.128364E-9
1.560910E+3,	445.278200E-9
1.560914E+3,	442.627097E-9
1.560918E+3,	448.710442E-9
1.560922E+3,	460.552083E-9
1.560926E+3,	484.156278E-9
1.560930E+3,	513.052107E-9
1.560934E+3,	542.509376E-9
1.560938E+3,	578.118572E-9
1.560942E+3,	626.098634E-9
1.560946E+3,	672.842549E-9
1.560950E+3,	711.267427E-9
1.560954E+3,	763.699297E-9
1.560958E+3,	811.505895E-9
1.560962E+3,	847.908358E-9
1.560966E+3,	890.186460E-9
1.560970E+3,	923.201835E-9
1.560974E+3,	944.095571E-9
1.560978E+3,	965.768878E-9
1.560982E+3,	978.602479E-9
1.560986E+3,	984.379728E-9
1.560990E+3,	986.146359E-9
1.560994E+3,	981.817238E-9
1.560998E+3,	970.983022E-9
1.561002E+3,	957.065116E-9
1.561006E+3,	933.313624E-9
1.561010E+3,	908.598787E-9
1.561014E+3,	889.170938E-9
1.561018E+3,	864.217738E-9
1.561022E+3,	840.958460E-9
1.561026E+3,	820.901492E-9
1.561030E+3,	794.210982E-9
1.561034E+3,	771.001788E-9
1.561038E+3,	752.560537E-9
1.561042E+3,	730.685242E-9
1.561046E+3,	712.808700E-9
1.561050E+3,	699.220247E-9
1.561054E+3,	682.196756E-9
1.561058E+3,	666.696466E-9
1.561062E+3,	654.749818E-9
1.561066E+3,	641.850232E-9
1.561070E+3,	626.288194E-9
1.561074E+3,	612.614686E-9
1.561078E+3,	602.000838E-9
1.561082E+3,	587.509608E-9
1.561086E+3,	574.191245E-9
1.561090E+3,	562.771176E-9
1.561094E+3,	547.086787E-9
1.561098E+3,	534.342956E-9
1.561102E+3,	525.326246E-9
1.561106E+3,	516.544827E-9
1.561110E+3,	511.953776E-9
1.561114E+3,	511.193340E-9
1.561118E+3,	514.242150E-9
1.561122E+3,	521.616963E-9
1.561126E+3,	531.926048E-9
1.561130E+3,	551.542968E-9
1.561134E+3,	575.164017E-9
1.561138E+3,	598.938803E-9
1.561142E+3,	629.111712E-9
1.561146E+3,	667.758544E-9
1.561150E+3,	702.171296E-9
1.561154E+3,	729.812454E-9
1.561158E+3,	767.094104E-9
1.561162E+3,	801.960583E-9
1.561166E+3,	829.687455E-9
1.561170E+3,	863.397609E-9
1.561174E+3,	890.708367E-9
1.561178E+3,	908.754719E-9
1.561182E+3,	925.953162E-9
1.561186E+3,	936.231347E-9
1.561190E+3,	940.218236E-9
1.561194E+3,	940.148321E-9
1.561198E+3,	934.141808E-9
1.561202E+3,	924.280683E-9
1.561206E+3,	904.681038E-9
1.561210E+3,	879.281677E-9
1.561214E+3,	853.457928E-9
1.561218E+3,	821.993133E-9
1.561222E+3,	781.228079E-9
1.561226E+3,	744.193894E-9
1.561230E+3,	715.174627E-9
1.561234E+3,	676.213651E-9
1.561238E+3,	641.074718E-9
1.561242E+3,	613.347344E-9
1.561246E+3,	581.207833E-9
1.561250E+3,	558.367536E-9
1.561254E+3,	545.756419E-9
1.561258E+3,	536.925137E-9
1.561262E+3,	534.763823E-9
1.561266E+3,	537.677073E-9
1.561270E+3,	546.723787E-9
1.561274E+3,	559.816780E-9
1.561278E+3,	574.157903E-9
1.561282E+3,	596.795192E-9
1.561286E+3,	619.394992E-9
1.561290E+3,	639.142690E-9
1.561294E+3,	660.304434E-9
1.561298E+3,	682.589234E-9
1.561302E+3,	699.876865E-9
1.561306E+3,	711.581375E-9
1.561310E+3,	723.154610E-9
1.561314E+3,	730.951602E-9
1.561318E+3,	735.903549E-9
1.561322E+3,	739.372232E-9
1.561326E+3,	739.435623E-9
1.561330E+3,	736.685696E-9
1.561334E+3,	730.305223E-9
1.561338E+3,	722.575180E-9
1.561342E+3,	714.925611E-9
1.561346E+3,	703.914919E-9
1.561350E+3,	694.078792E-9
1.561354E+3,	686.174330E-9
1.561358E+3,	675.830294E-9
1.561362E+3,	666.541192E-9
1.561366E+3,	659.798883E-9
1.561370E+3,	653.556968E-9
1.561374E+3,	649.682389E-9
1.561378E+3,	649.093159E-9
1.561382E+3,	650.738976E-9
1.561386E+3,	654.536689E-9
1.561390E+3,	658.655861E-9
1.561394E+3,	662.595715E-9
1.561398E+3,	668.247220E-9
1.561402E+3,	674.895987E-9
1.561406E+3,	681.473348E-9
1.561410E+3,	690.341008E-9
1.561414E+3,	696.494105E-9
1.561418E+3,	699.680638E-9
1.561422E+3,	701.431618E-9
1.561426E+3,	701.256621E-9
1.561430E+3,	700.718002E-9
1.561434E+3,	699.192163E-9
1.561438E+3,	697.038026E-9
1.561442E+3,	694.071061E-9
1.561446E+3,	689.711610E-9
1.561450E+3,	682.546216E-9
1.561454E+3,	675.251106E-9
1.561458E+3,	669.824405E-9
1.561462E+3,	663.903678E-9
1.561466E+3,	660.154907E-9
1.561470E+3,	658.118509E-9
1.561474E+3,	656.395662E-9
1.561478E+3,	655.000198E-9
1.561482E+3,	653.984451E-9
1.561486E+3,	653.016722E-9
1.561490E+3,	652.947953E-9
1.561494E+3,	654.230984E-9
1.561498E+3,	657.369021E-9
