YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 26/06/2023 Time: 11:50:07,	
A_WL(nm),	A_I(mW)
1.558250E+3,	4.047507E-9
1.558254E+3,	4.398149E-9
1.558258E+3,	4.551919E-9
1.558262E+3,	4.604732E-9
1.558266E+3,	4.462885E-9
1.558270E+3,	4.183369E-9
1.558274E+3,	3.861237E-9
1.558278E+3,	3.405390E-9
1.558282E+3,	2.770333E-9
1.558286E+3,	2.268860E-9
1.558290E+3,	1.856508E-9
1.558294E+3,	1.532805E-9
1.558298E+3,	1.376395E-9
1.558302E+3,	1.401417E-9
1.558306E+3,	1.628018E-9
1.558310E+3,	2.011523E-9
1.558314E+3,	2.472182E-9
1.558318E+3,	2.996822E-9
1.558322E+3,	3.672275E-9
1.558326E+3,	4.217107E-9
1.558330E+3,	4.615043E-9
1.558334E+3,	4.939562E-9
1.558338E+3,	5.109148E-9
1.558342E+3,	5.094931E-9
1.558346E+3,	4.955685E-9
1.558350E+3,	4.574701E-9
1.558354E+3,	4.096826E-9
1.558358E+3,	3.647447E-9
1.558362E+3,	2.968819E-9
1.558366E+3,	2.370948E-9
1.558370E+3,	1.898200E-9
1.558374E+3,	1.483653E-9
1.558378E+3,	1.049808E-9
1.558382E+3,	706.526769E-12
1.558386E+3,	512.750464E-12
1.558390E+3,	334.942759E-12
1.558394E+3,	283.000249E-12
1.558398E+3,	274.048917E-12
1.558402E+3,	330.584302E-12
1.558406E+3,	415.382890E-12
1.558410E+3,	438.822631E-12
1.558414E+3,	483.220924E-12
1.558418E+3,	527.001966E-12
1.558422E+3,	490.974649E-12
1.558426E+3,	476.940066E-12
1.558430E+3,	415.790166E-12
1.558434E+3,	344.459543E-12
1.558438E+3,	294.133207E-12
1.558442E+3,	223.022974E-12
1.558446E+3,	207.728218E-12
1.558450E+3,	185.484113E-12
1.558454E+3,	224.676858E-12
1.558458E+3,	274.295841E-12
1.558462E+3,	285.303305E-12
1.558466E+3,	321.230204E-12
1.558470E+3,	339.124213E-12
1.558474E+3,	342.597860E-12
1.558478E+3,	324.871898E-12
1.558482E+3,	315.881063E-12
1.558486E+3,	271.491549E-12
1.558490E+3,	304.284469E-12
1.558494E+3,	379.541540E-12
1.558498E+3,	579.452514E-12
1.558502E+3,	901.885346E-12
1.558506E+3,	1.303089E-9
1.558510E+3,	1.821546E-9
1.558514E+3,	2.658390E-9
1.558518E+3,	3.618918E-9
1.558522E+3,	4.542960E-9
1.558526E+3,	5.724368E-9
1.558530E+3,	6.743662E-9
1.558534E+3,	7.483267E-9
1.558538E+3,	8.186504E-9
1.558542E+3,	8.721363E-9
1.558546E+3,	8.908047E-9
1.558550E+3,	8.785192E-9
1.558554E+3,	8.231512E-9
1.558558E+3,	7.428936E-9
1.558562E+3,	6.588076E-9
1.558566E+3,	5.311282E-9
1.558570E+3,	4.142797E-9
1.558574E+3,	3.298594E-9
1.558578E+3,	2.672945E-9
1.558582E+3,	2.571107E-9
1.558586E+3,	3.198721E-9
1.558590E+3,	4.470359E-9
1.558594E+3,	7.256063E-9
1.558598E+3,	10.872099E-9
1.558602E+3,	14.689075E-9
1.558606E+3,	19.487162E-9
1.558610E+3,	25.776078E-9
1.558614E+3,	31.493215E-9
1.558618E+3,	36.002650E-9
1.558622E+3,	41.137969E-9
1.558626E+3,	44.462774E-9
1.558630E+3,	45.584973E-9
1.558634E+3,	45.329915E-9
1.558638E+3,	42.740973E-9
1.558642E+3,	38.601157E-9
1.558646E+3,	34.106126E-9
1.558650E+3,	27.112514E-9
1.558654E+3,	20.263106E-9
1.558658E+3,	15.084406E-9
1.558662E+3,	9.581239E-9
1.558666E+3,	6.282867E-9
1.558670E+3,	5.244207E-9
1.558674E+3,	5.881832E-9
1.558678E+3,	9.211622E-9
1.558682E+3,	14.549665E-9
1.558686E+3,	20.842075E-9
1.558690E+3,	30.764765E-9
1.558694E+3,	40.374752E-9
1.558698E+3,	48.136149E-9
1.558702E+3,	56.357162E-9
1.558706E+3,	65.934206E-9
1.558710E+3,	73.388722E-9
1.558714E+3,	77.440373E-9
1.558718E+3,	80.081972E-9
1.558722E+3,	79.993998E-9
1.558726E+3,	78.040515E-9
1.558730E+3,	74.055133E-9
1.558734E+3,	66.728185E-9
1.558738E+3,	58.503442E-9
1.558742E+3,	50.901490E-9
1.558746E+3,	40.734817E-9
1.558750E+3,	32.009952E-9
1.558754E+3,	25.769982E-9
1.558758E+3,	19.949210E-9
1.558762E+3,	18.115823E-9
1.558766E+3,	20.315138E-9
1.558770E+3,	26.853145E-9
1.558774E+3,	39.852850E-9
1.558778E+3,	56.015117E-9
1.558782E+3,	72.798229E-9
1.558786E+3,	97.834078E-9
1.558790E+3,	122.246464E-9
1.558794E+3,	141.659359E-9
1.558798E+3,	159.653814E-9
1.558802E+3,	174.912006E-9
1.558806E+3,	182.803249E-9
1.558810E+3,	183.833984E-9
1.558814E+3,	178.180208E-9
1.558818E+3,	166.580086E-9
1.558822E+3,	151.915699E-9
1.558826E+3,	133.044847E-9
1.558830E+3,	109.166267E-9
1.558834E+3,	86.141746E-9
1.558838E+3,	67.322670E-9
1.558842E+3,	44.852132E-9
1.558846E+3,	28.146375E-9
1.558850E+3,	18.583038E-9
1.558854E+3,	11.909302E-9
1.558858E+3,	10.907060E-9
1.558862E+3,	14.168019E-9
1.558866E+3,	21.148771E-9
1.558870E+3,	33.098224E-9
1.558874E+3,	46.334119E-9
1.558878E+3,	57.969326E-9
1.558882E+3,	73.426526E-9
1.558886E+3,	87.120349E-9
1.558890E+3,	97.562943E-9
1.558894E+3,	107.484340E-9
1.558898E+3,	115.329378E-9
1.558902E+3,	118.381690E-9
1.558906E+3,	117.726432E-9
1.558910E+3,	113.151779E-9
1.558914E+3,	105.607751E-9
1.558918E+3,	96.509975E-9
1.558922E+3,	84.137583E-9
1.558926E+3,	67.605073E-9
1.558930E+3,	53.243867E-9
1.558934E+3,	43.356750E-9
1.558938E+3,	34.002254E-9
1.558942E+3,	30.042490E-9
1.558946E+3,	31.715895E-9
1.558950E+3,	41.613743E-9
1.558954E+3,	58.361888E-9
1.558958E+3,	77.604475E-9
1.558962E+3,	102.294711E-9
1.558966E+3,	134.708524E-9
1.558970E+3,	166.000590E-9
1.558974E+3,	191.817218E-9
1.558978E+3,	223.712788E-9
1.558982E+3,	242.397724E-9
1.558986E+3,	251.874963E-9
1.558990E+3,	255.195914E-9
1.558994E+3,	249.366783E-9
1.558998E+3,	235.713433E-9
1.559002E+3,	217.691817E-9
1.559006E+3,	187.492745E-9
1.559010E+3,	156.465163E-9
1.559014E+3,	131.326658E-9
1.559018E+3,	96.361408E-9
1.559022E+3,	66.605255E-9
1.559026E+3,	48.285406E-9
1.559030E+3,	31.348363E-9
1.559034E+3,	18.570252E-9
1.559038E+3,	12.562328E-9
1.559042E+3,	12.550968E-9
1.559046E+3,	17.971823E-9
1.559050E+3,	27.005271E-9
1.559054E+3,	37.441993E-9
1.559058E+3,	54.983664E-9
1.559062E+3,	72.657971E-9
1.559066E+3,	86.956427E-9
1.559070E+3,	101.715590E-9
1.559074E+3,	117.682391E-9
1.559078E+3,	130.290140E-9
1.559082E+3,	137.938887E-9
1.559086E+3,	143.413965E-9
1.559090E+3,	143.502486E-9
1.559094E+3,	139.344563E-9
1.559098E+3,	128.667818E-9
1.559102E+3,	114.814145E-9
1.559106E+3,	100.360948E-9
1.559110E+3,	82.257769E-9
1.559114E+3,	60.686259E-9
1.559118E+3,	43.462600E-9
1.559122E+3,	33.749022E-9
1.559126E+3,	28.581686E-9
1.559130E+3,	31.929796E-9
1.559134E+3,	41.673305E-9
1.559138E+3,	63.058522E-9
1.559142E+3,	89.389030E-9
1.559146E+3,	114.704069E-9
1.559150E+3,	145.419563E-9
1.559154E+3,	180.129720E-9
1.559158E+3,	207.371664E-9
1.559162E+3,	226.736492E-9
1.559166E+3,	246.416713E-9
1.559170E+3,	254.033853E-9
1.559174E+3,	252.726706E-9
1.559178E+3,	244.793278E-9
1.559182E+3,	230.730595E-9
1.559186E+3,	214.148319E-9
1.559190E+3,	190.765244E-9
1.559194E+3,	158.566191E-9
1.559198E+3,	128.802642E-9
1.559202E+3,	98.482790E-9
1.559206E+3,	77.211900E-9
1.559210E+3,	54.501362E-9
1.559214E+3,	39.305401E-9
1.559218E+3,	24.248406E-9
1.559222E+3,	16.817480E-9
1.559226E+3,	15.783005E-9
1.559230E+3,	18.933380E-9
1.559234E+3,	28.946568E-9
1.559238E+3,	43.042150E-9
1.559242E+3,	57.812231E-9
1.559246E+3,	80.944871E-9
1.559250E+3,	104.646975E-9
1.559254E+3,	125.198638E-9
1.559258E+3,	151.776464E-9
1.559262E+3,	172.548366E-9
1.559266E+3,	185.698841E-9
1.559270E+3,	195.109997E-9
1.559274E+3,	199.178142E-9
1.559278E+3,	195.612343E-9
1.559282E+3,	186.444122E-9
1.559286E+3,	165.698284E-9
1.559290E+3,	141.994175E-9
1.559294E+3,	120.676858E-9
1.559298E+3,	90.640292E-9
1.559302E+3,	64.285099E-9
1.559306E+3,	47.237440E-9
1.559310E+3,	33.980374E-9
1.559314E+3,	27.489866E-9
1.559318E+3,	29.236384E-9
1.559322E+3,	37.139925E-9
1.559326E+3,	55.330098E-9
1.559330E+3,	78.184664E-9
1.559334E+3,	100.232260E-9
1.559338E+3,	129.005246E-9
1.559342E+3,	153.676408E-9
1.559346E+3,	171.812841E-9
1.559350E+3,	188.768133E-9
1.559354E+3,	201.870726E-9
1.559358E+3,	205.859785E-9
1.559362E+3,	202.603577E-9
1.559366E+3,	191.704608E-9
1.559370E+3,	176.910147E-9
1.559374E+3,	161.614617E-9
1.559378E+3,	137.380780E-9
1.559382E+3,	112.525889E-9
1.559386E+3,	92.891774E-9
1.559390E+3,	72.949328E-9
1.559394E+3,	53.555578E-9
1.559398E+3,	40.157668E-9
1.559402E+3,	33.210439E-9
1.559406E+3,	30.261451E-9
1.559410E+3,	33.627577E-9
1.559414E+3,	41.724895E-9
1.559418E+3,	59.272176E-9
1.559422E+3,	80.283555E-9
1.559426E+3,	100.039394E-9
1.559430E+3,	124.758624E-9
1.559434E+3,	156.967462E-9
1.559438E+3,	185.934296E-9
1.559442E+3,	206.754210E-9
1.559446E+3,	231.749788E-9
1.559450E+3,	246.954046E-9
1.559454E+3,	254.633195E-9
1.559458E+3,	255.359957E-9
1.559462E+3,	247.376592E-9
1.559466E+3,	233.688431E-9
1.559470E+3,	211.760097E-9
1.559474E+3,	177.550571E-9
1.559478E+3,	141.940525E-9
1.559482E+3,	101.349119E-9
1.559486E+3,	74.482835E-9
1.559490E+3,	45.220501E-9
1.559494E+3,	29.240610E-9
1.559498E+3,	19.036236E-9
1.559502E+3,	19.453897E-9
1.559506E+3,	26.529379E-9
1.559510E+3,	39.892257E-9
1.559514E+3,	61.791084E-9
1.559518E+3,	85.220490E-9
1.559522E+3,	105.448052E-9
1.559526E+3,	129.447645E-9
1.559530E+3,	146.973237E-9
1.559534E+3,	157.551477E-9
1.559538E+3,	165.629849E-9
1.559542E+3,	166.752840E-9
1.559546E+3,	162.775805E-9
1.559550E+3,	154.381504E-9
1.559554E+3,	139.781733E-9
1.559558E+3,	123.772926E-9
1.559562E+3,	109.868728E-9
1.559566E+3,	90.349040E-9
1.559570E+3,	72.531570E-9
1.559574E+3,	59.870770E-9
1.559578E+3,	46.735603E-9
1.559582E+3,	38.546446E-9
1.559586E+3,	35.602362E-9
1.559590E+3,	36.730361E-9
1.559594E+3,	45.596443E-9
1.559598E+3,	60.767564E-9
1.559602E+3,	79.640365E-9
1.559606E+3,	111.456450E-9
1.559610E+3,	144.621923E-9
1.559614E+3,	172.743859E-9
1.559618E+3,	212.629639E-9
1.559622E+3,	248.963207E-9
1.559626E+3,	270.855048E-9
1.559630E+3,	290.948834E-9
1.559634E+3,	302.991515E-9
1.559638E+3,	304.277654E-9
1.559642E+3,	297.246982E-9
1.559646E+3,	276.046945E-9
1.559650E+3,	245.586690E-9
1.559654E+3,	212.428895E-9
1.559658E+3,	167.053989E-9
1.559662E+3,	128.636721E-9
1.559666E+3,	96.041946E-9
1.559670E+3,	62.941368E-9
1.559674E+3,	38.383339E-9
1.559678E+3,	23.598656E-9
1.559682E+3,	18.630526E-9
1.559686E+3,	21.164805E-9
1.559690E+3,	30.140435E-9
1.559694E+3,	41.716528E-9
1.559698E+3,	61.997325E-9
1.559702E+3,	82.746650E-9
1.559706E+3,	100.476135E-9
1.559710E+3,	118.635956E-9
1.559714E+3,	137.286897E-9
1.559718E+3,	151.165343E-9
1.559722E+3,	159.568491E-9
1.559726E+3,	166.328056E-9
1.559730E+3,	167.698323E-9
1.559734E+3,	164.670064E-9
1.559738E+3,	155.988492E-9
1.559742E+3,	143.449561E-9
1.559746E+3,	129.977829E-9
1.559750E+3,	112.735294E-9
1.559754E+3,	90.648048E-9
1.559758E+3,	71.423954E-9
1.559762E+3,	57.753057E-9
1.559766E+3,	44.638945E-9
1.559770E+3,	39.072521E-9
1.559774E+3,	40.672754E-9
1.559778E+3,	52.264471E-9
