YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 26/06/2023 Time: 11:33:35,	
A_WL(nm),	A_I(mW)
1.558250E+3,	38.901216E-9
1.558254E+3,	39.998288E-9
1.558258E+3,	40.829594E-9
1.558262E+3,	41.489661E-9
1.558266E+3,	42.350010E-9
1.558270E+3,	43.076405E-9
1.558274E+3,	43.631322E-9
1.558278E+3,	44.190589E-9
1.558282E+3,	44.811871E-9
1.558286E+3,	45.285856E-9
1.558290E+3,	45.619837E-9
1.558294E+3,	46.038400E-9
1.558298E+3,	46.410503E-9
1.558302E+3,	46.664314E-9
1.558306E+3,	46.935741E-9
1.558310E+3,	47.279061E-9
1.558314E+3,	47.573765E-9
1.558318E+3,	47.831203E-9
1.558322E+3,	48.165849E-9
1.558326E+3,	48.432991E-9
1.558330E+3,	48.756682E-9
1.558334E+3,	49.140344E-9
1.558338E+3,	49.533097E-9
1.558342E+3,	49.779130E-9
1.558346E+3,	50.087655E-9
1.558350E+3,	50.484994E-9
1.558354E+3,	50.904644E-9
1.558358E+3,	51.246965E-9
1.558362E+3,	51.697507E-9
1.558366E+3,	52.076402E-9
1.558370E+3,	52.443348E-9
1.558374E+3,	52.831088E-9
1.558378E+3,	53.343223E-9
1.558382E+3,	53.755283E-9
1.558386E+3,	54.121761E-9
1.558390E+3,	54.689900E-9
1.558394E+3,	55.195988E-9
1.558398E+3,	55.657100E-9
1.558402E+3,	56.168514E-9
1.558406E+3,	56.805412E-9
1.558410E+3,	57.419022E-9
1.558414E+3,	57.961627E-9
1.558418E+3,	58.770329E-9
1.558422E+3,	59.422340E-9
1.558426E+3,	60.005906E-9
1.558430E+3,	60.636947E-9
1.558434E+3,	61.166116E-9
1.558438E+3,	61.482850E-9
1.558442E+3,	61.785804E-9
1.558446E+3,	61.925154E-9
1.558450E+3,	61.835521E-9
1.558454E+3,	61.549627E-9
1.558458E+3,	60.994255E-9
1.558462E+3,	60.045845E-9
1.558466E+3,	58.943193E-9
1.558470E+3,	57.388357E-9
1.558474E+3,	55.359975E-9
1.558478E+3,	53.223013E-9
1.558482E+3,	51.145632E-9
1.558486E+3,	48.113194E-9
1.558490E+3,	45.049208E-9
1.558494E+3,	42.526248E-9
1.558498E+3,	39.782097E-9
1.558502E+3,	36.644848E-9
1.558506E+3,	33.758088E-9
1.558510E+3,	31.599664E-9
1.558514E+3,	28.903468E-9
1.558518E+3,	26.805918E-9
1.558522E+3,	25.378717E-9
1.558526E+3,	23.928344E-9
1.558530E+3,	22.996499E-9
1.558534E+3,	22.577450E-9
1.558538E+3,	22.444064E-9
1.558542E+3,	22.573153E-9
1.558546E+3,	23.006420E-9
1.558550E+3,	23.514074E-9
1.558554E+3,	24.459716E-9
1.558558E+3,	25.291471E-9
1.558562E+3,	25.886701E-9
1.558566E+3,	26.459351E-9
1.558570E+3,	27.015565E-9
1.558574E+3,	27.250951E-9
1.558578E+3,	27.295262E-9
1.558582E+3,	26.989448E-9
1.558586E+3,	26.359006E-9
1.558590E+3,	25.552291E-9
1.558594E+3,	24.396791E-9
1.558598E+3,	22.640429E-9
