YOKOGAWA AQ6370D - S/N: 91S206859
#Date: 26/06/2023 Time: 11:36:07,	
A_WL(nm),	A_I(mW)
1.558250E+3,	10.586429E-9
1.558254E+3,	8.126090E-9
1.558258E+3,	6.668950E-9
1.558262E+3,	5.758458E-9
1.558266E+3,	5.100728E-9
1.558270E+3,	5.104437E-9
1.558274E+3,	5.526180E-9
1.558278E+3,	6.432626E-9
1.558282E+3,	7.985373E-9
1.558286E+3,	9.801914E-9
1.558290E+3,	11.645849E-9
1.558294E+3,	14.420703E-9
1.558298E+3,	17.209287E-9
1.558302E+3,	19.687335E-9
1.558306E+3,	22.430256E-9
1.558310E+3,	25.480266E-9
1.558314E+3,	28.192913E-9
1.558318E+3,	30.356049E-9
1.558322E+3,	33.082852E-9
1.558326E+3,	35.228096E-9
1.558330E+3,	36.642502E-9
1.558334E+3,	37.958147E-9
1.558338E+3,	38.751882E-9
1.558342E+3,	39.003977E-9
1.558346E+3,	38.925054E-9
1.558350E+3,	38.269423E-9
1.558354E+3,	37.275436E-9
1.558358E+3,	36.236355E-9
1.558362E+3,	34.461180E-9
1.558366E+3,	32.572711E-9
1.558370E+3,	30.972773E-9
1.558374E+3,	29.101887E-9
1.558378E+3,	26.778762E-9
1.558382E+3,	24.603369E-9
1.558386E+3,	22.845539E-9
1.558390E+3,	20.665218E-9
1.558394E+3,	18.757942E-9
1.558398E+3,	17.340067E-9
1.558402E+3,	15.921700E-9
1.558406E+3,	14.443146E-9
1.558410E+3,	13.260094E-9
1.558414E+3,	12.361735E-9
1.558418E+3,	11.412042E-9
1.558422E+3,	10.698296E-9
1.558426E+3,	10.159202E-9
1.558430E+3,	9.558052E-9
1.558434E+3,	9.059346E-9
1.558438E+3,	8.687172E-9
1.558442E+3,	8.315966E-9
1.558446E+3,	7.842090E-9
1.558450E+3,	7.359932E-9
1.558454E+3,	6.991370E-9
1.558458E+3,	6.408304E-9
1.558462E+3,	5.908018E-9
1.558466E+3,	5.531279E-9
1.558470E+3,	5.130679E-9
1.558474E+3,	4.767447E-9
1.558478E+3,	4.560676E-9
1.558482E+3,	4.583336E-9
1.558486E+3,	4.860787E-9
1.558490E+3,	5.504195E-9
1.558494E+3,	6.394287E-9
1.558498E+3,	7.650622E-9
1.558502E+3,	9.502093E-9
1.558506E+3,	11.598194E-9
1.558510E+3,	13.734064E-9
1.558514E+3,	17.134799E-9
1.558518E+3,	20.743227E-9
1.558522E+3,	23.937641E-9
1.558526E+3,	28.106108E-9
1.558530E+3,	31.950121E-9
1.558534E+3,	35.223603E-9
1.558538E+3,	38.896776E-9
1.558542E+3,	42.963068E-9
1.558546E+3,	45.999805E-9
1.558550E+3,	47.937146E-9
1.558554E+3,	49.661152E-9
1.558558E+3,	50.432670E-9
1.558562E+3,	50.263095E-9
1.558566E+3,	49.209790E-9
1.558570E+3,	46.603191E-9
1.558574E+3,	43.336455E-9
1.558578E+3,	40.032391E-9
1.558582E+3,	34.946846E-9
1.558586E+3,	29.867441E-9
1.558590E+3,	25.635459E-9
1.558594E+3,	21.237231E-9
1.558598E+3,	16.850179E-9
1.558602E+3,	14.357276E-9
1.558606E+3,	14.001334E-9
1.558610E+3,	16.149950E-9
1.558614E+3,	21.252216E-9
1.558618E+3,	28.834552E-9
1.558622E+3,	44.143551E-9
1.558626E+3,	62.932633E-9
1.558630E+3,	82.293278E-9
1.558634E+3,	106.398369E-9
1.558638E+3,	140.937147E-9
1.558642E+3,	178.995955E-9
1.558646E+3,	216.812060E-9
1.558650E+3,	267.469103E-9
1.558654E+3,	315.685868E-9
1.558658E+3,	361.143544E-9
1.558662E+3,	408.164110E-9
1.558666E+3,	466.637853E-9
1.558670E+3,	524.099377E-9
1.558674E+3,	570.319774E-9
1.558678E+3,	627.902784E-9
1.558682E+3,	676.733792E-9
1.558686E+3,	713.071781E-9
1.558690E+3,	747.592663E-9
1.558694E+3,	779.010093E-9
1.558698E+3,	798.244558E-9
1.558702E+3,	805.787333E-9
1.558706E+3,	802.285844E-9
1.558710E+3,	787.569952E-9
1.558714E+3,	768.774019E-9
1.558718E+3,	731.985643E-9
1.558722E+3,	687.339169E-9
1.558726E+3,	640.590151E-9
1.558730E+3,	579.387746E-9
1.558734E+3,	503.647676E-9
1.558738E+3,	434.398273E-9
1.558742E+3,	378.935120E-9
1.558746E+3,	305.434932E-9
1.558750E+3,	238.707065E-9
1.558754E+3,	188.236342E-9
1.558758E+3,	140.910634E-9
1.558762E+3,	96.069016E-9
1.558766E+3,	69.819154E-9
1.558770E+3,	63.203458E-9
1.558774E+3,	69.866305E-9
1.558778E+3,	92.759526E-9
1.558782E+3,	130.888939E-9
1.558786E+3,	195.783418E-9
1.558790E+3,	275.551934E-9
1.558794E+3,	344.594593E-9
1.558798E+3,	437.483491E-9
1.558802E+3,	561.334927E-9
1.558806E+3,	677.583208E-9
1.558810E+3,	795.627858E-9
1.558814E+3,	955.010162E-9
1.558818E+3,	1.101784E-6
1.558822E+3,	1.219769E-6
1.558826E+3,	1.343464E-6
1.558830E+3,	1.484040E-6
1.558834E+3,	1.607334E-6
1.558838E+3,	1.696064E-6
1.558842E+3,	1.786732E-6
1.558846E+3,	1.845251E-6
1.558850E+3,	1.878079E-6
1.558854E+3,	1.900886E-6
1.558858E+3,	1.905142E-6
1.558862E+3,	1.886954E-6
1.558866E+3,	1.854265E-6
1.558870E+3,	1.787706E-6
1.558874E+3,	1.708495E-6
1.558878E+3,	1.629329E-6
1.558882E+3,	1.506354E-6
1.558886E+3,	1.379768E-6
1.558890E+3,	1.263798E-6
1.558894E+3,	1.130522E-6
1.558898E+3,	973.485227E-9
1.558902E+3,	830.537847E-9
1.558906E+3,	713.465961E-9
1.558910E+3,	565.436086E-9
1.558914E+3,	439.647952E-9
1.558918E+3,	346.651241E-9
1.558922E+3,	253.119217E-9
1.558926E+3,	165.594749E-9
1.558930E+3,	95.995772E-9
1.558934E+3,	77.359849E-9
1.558938E+3,	63.227511E-9
1.558942E+3,	76.542642E-9
1.558946E+3,	108.963183E-9
1.558950E+3,	163.095596E-9
1.558954E+3,	260.295187E-9
1.558958E+3,	348.237003E-9
1.558962E+3,	443.368779E-9
1.558966E+3,	593.090935E-9
1.558970E+3,	726.716967E-9
1.558974E+3,	854.557405E-9
1.558978E+3,	1.026152E-6
1.558982E+3,	1.187323E-6
1.558986E+3,	1.323043E-6
1.558990E+3,	1.475440E-6
1.558994E+3,	1.666547E-6
1.558998E+3,	1.831473E-6
1.559002E+3,	1.952878E-6
1.559006E+3,	2.094332E-6
1.559010E+3,	2.206215E-6
1.559014E+3,	2.295937E-6
1.559018E+3,	2.357162E-6
1.559022E+3,	2.405979E-6
1.559026E+3,	2.424585E-6
1.559030E+3,	2.421876E-6
1.559034E+3,	2.392228E-6
1.559038E+3,	2.342708E-6
1.559042E+3,	2.283115E-6
1.559046E+3,	2.175730E-6
1.559050E+3,	2.062252E-6
1.559054E+3,	1.955190E-6
1.559058E+3,	1.816683E-6
1.559062E+3,	1.630070E-6
1.559066E+3,	1.459424E-6
1.559070E+3,	1.320212E-6
1.559074E+3,	1.127206E-6
1.559078E+3,	922.241933E-9
1.559082E+3,	772.340233E-9
1.559086E+3,	604.663941E-9
1.559090E+3,	458.715749E-9
1.559094E+3,	367.597314E-9
1.559098E+3,	277.235179E-9
1.559102E+3,	181.921892E-9
1.559106E+3,	102.087712E-9
1.559110E+3,	83.052019E-9
1.559114E+3,	73.516491E-9
1.559118E+3,	92.260670E-9
1.559122E+3,	131.903318E-9
1.559126E+3,	215.419517E-9
1.559130E+3,	316.594187E-9
1.559134E+3,	411.380412E-9
1.559138E+3,	546.551566E-9
1.559142E+3,	713.355900E-9
1.559146E+3,	868.202576E-9
1.559150E+3,	1.012689E-6
1.559154E+3,	1.223034E-6
1.559158E+3,	1.429201E-6
1.559162E+3,	1.597843E-6
1.559166E+3,	1.816832E-6
1.559170E+3,	2.005715E-6
1.559174E+3,	2.141133E-6
1.559178E+3,	2.306913E-6
1.559182E+3,	2.428108E-6
1.559186E+3,	2.522979E-6
1.559190E+3,	2.575004E-6
1.559194E+3,	2.608279E-6
1.559198E+3,	2.614861E-6
1.559202E+3,	2.597757E-6
1.559206E+3,	2.541312E-6
1.559210E+3,	2.452435E-6
1.559214E+3,	2.361349E-6
1.559218E+3,	2.242764E-6
1.559222E+3,	2.076562E-6
1.559226E+3,	1.912761E-6
1.559230E+3,	1.766588E-6
1.559234E+3,	1.562522E-6
1.559238E+3,	1.364355E-6
1.559242E+3,	1.197074E-6
1.559246E+3,	969.552659E-9
1.559250E+3,	772.449177E-9
